* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 16, 2023 5:47:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Focal Elex R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 86.561 -118.9075
20.299999 86.629 -119.5389
20.600000 86.696 -120.1632
20.900000 86.761 -120.7841
21.200001 86.824 -121.4038
21.400000 86.864 -121.8143
21.799999 86.940 -122.6196
22.000000 86.975 -123.0090
22.400000 87.044 -123.7511
22.700001 87.095 -124.2749
23.000000 87.148 -124.7783
23.299999 87.203 -125.2737
23.600000 87.258 -125.7707
24.000000 87.332 -126.4428
24.299999 87.385 -126.9503
24.700001 87.451 -127.6177
25.000000 87.497 -128.1021
25.400000 87.557 -128.7205
25.799999 87.614 -129.3092
26.200001 87.670 -129.8722
26.500000 87.712 -130.2800
26.900000 87.769 -130.8110
27.200001 87.811 -131.2096
27.600000 87.867 -131.7573
28.000000 87.918 -132.3327
28.500000 87.968 -133.0638
29.000000 88.003 -133.7336
29.500000 88.033 -134.2933
30.000000 88.072 -134.7819
30.400000 88.111 -135.1809
30.700001 88.142 -135.5040
31.100000 88.181 -135.9604
31.500000 88.216 -136.4225
32.000000 88.258 -136.9812
32.500000 88.303 -137.5310
33.000000 88.348 -138.0995
33.500000 88.388 -138.6739
34.000000 88.424 -139.2083
34.500000 88.460 -139.6855
35.000000 88.502 -140.1356
35.500000 88.547 -140.5925
36.000000 88.591 -141.0553
36.500000 88.632 -141.5125
37.000000 88.670 -141.9747
37.500000 88.701 -142.4496
38.200001 88.725 -143.0517
38.700001 88.738 -143.3621
39.500000 88.787 -143.7734
40.000000 88.829 -144.1364
40.599998 88.866 -144.6786
41.200001 88.887 -145.1628
41.799999 88.916 -145.5569
42.500000 88.969 -146.1177
43.099998 88.999 -146.7231
43.700001 89.005 -147.2226
44.400002 89.022 -147.5644
45.000000 89.065 -147.8461
45.500000 89.103 -148.1828
46.200001 89.133 -148.7124
46.799999 89.138 -149.0750
47.500000 89.138 -149.3206
48.200001 89.151 -149.3825
48.700001 89.185 -149.4024
49.400002 89.261 -149.6593
50.000000 89.314 -150.1986
50.799999 89.321 -151.0617
51.500000 89.293 -151.6193
52.200001 89.274 -152.0147
53.000000 89.271 -152.4220
53.799999 89.284 -152.8200
54.500000 89.304 -153.1864
55.200001 89.324 -153.5472
56.000000 89.347 -153.8868
57.000000 89.381 -154.2222
58.000000 89.416 -154.4885
59.000000 89.451 -154.8342
60.000000 89.446 -155.2758
60.799999 89.423 -155.5204
61.500000 89.412 -155.7095
62.200001 89.410 -155.9787
63.000000 89.410 -156.3903
64.000000 89.412 -157.0004
65.000000 89.419 -157.6313
66.000000 89.439 -158.1868
67.000000 89.477 -158.6772
68.000000 89.519 -159.0890
69.000000 89.560 -159.4003
70.000000 89.596 -159.6518
71.000000 89.619 -159.8827
72.000000 89.629 -160.1147
73.000000 89.629 -160.3612
74.000000 89.625 -160.6272
75.000000 89.626 -160.9267
76.199997 89.634 -161.3385
77.500000 89.648 -161.7999
78.800003 89.663 -162.2126
80.000000 89.676 -162.5436
81.199997 89.684 -162.8580
82.500000 89.687 -163.1862
83.800003 89.688 -163.5140
85.000000 89.690 -163.8332
86.199997 89.694 -164.1725
87.500000 89.694 -164.5375
88.500000 89.692 -164.7929
90.000000 89.690 -165.1408
91.199997 89.690 -165.4141
92.500000 89.693 -165.7324
93.800003 89.695 -166.0406
95.000000 89.700 -166.3000
96.199997 89.708 -166.5599
97.500000 89.710 -166.8317
98.800003 89.708 -167.0800
100.000000 89.702 -167.3122
101.500000 89.689 -167.6027
103.000000 89.678 -167.8929
104.400002 89.668 -168.1674
106.000000 89.656 -168.4443
107.500000 89.651 -168.6891
109.000000 89.648 -168.9651
110.599998 89.641 -169.2775
112.000000 89.634 -169.5470
113.800003 89.620 -169.8791
115.000000 89.606 -170.0643
117.199997 89.579 -170.3417
118.000000 89.569 -170.4489
120.599998 89.541 -170.7850
122.000000 89.535 -170.9883
124.099998 89.520 -171.3129
125.000000 89.511 -171.4399
126.500000 89.491 -171.6345
128.000000 89.469 -171.8132
131.500000 89.423 -172.2500
132.000000 89.417 -172.3107
134.000000 89.394 -172.5332
136.000000 89.367 -172.7125
138.000000 89.336 -172.8392
140.000000 89.303 -172.9651
143.000000 89.249 -173.0755
145.000000 89.224 -173.0614
147.500000 89.210 -173.0351
150.000000 89.192 -173.1511
152.500000 89.161 -173.2592
155.000000 89.148 -173.3361
157.500000 89.145 -173.3812
160.000000 89.144 -173.3915
162.500000 89.128 -173.5028
165.000000 89.096 -173.6099
167.500000 89.077 -173.7067
170.000000 89.065 -173.7898
172.500000 89.053 -173.8286
175.000000 89.042 -173.8703
177.500000 89.029 -173.9404
180.000000 88.996 -174.0188
182.500000 88.953 -174.0126
185.000000 88.932 -174.0830
187.500000 88.928 -174.2458
190.000000 88.928 -174.3386
192.500000 88.918 -174.2833
195.000000 88.902 -174.2319
197.500000 88.879 -174.2970
200.000000 88.858 -174.3756
203.000000 88.830 -174.3878
206.000000 88.810 -174.3558
209.000000 88.794 -174.4594
212.000000 88.770 -174.5089
214.000000 88.755 -174.4846
218.000000 88.741 -174.4646
220.000000 88.736 -174.4706
224.000000 88.717 -174.3887
227.000000 88.695 -174.3053
230.000000 88.671 -174.2623
233.000000 88.660 -174.2728
236.000000 88.657 -174.2621
240.000000 88.623 -174.0602
243.000000 88.592 -173.9033
247.000000 88.565 -173.8267
250.000000 88.543 -173.7785
254.000000 88.505 -173.6852
258.000000 88.486 -173.5667
262.000000 88.473 -173.4777
265.000000 88.459 -173.4303
269.000000 88.442 -173.3276
272.000000 88.429 -173.2206
276.000000 88.413 -173.0819
280.000000 88.398 -172.9563
285.000000 88.381 -172.7657
290.000000 88.370 -172.5352
295.000000 88.362 -172.2956
300.000000 88.347 -172.2222
304.000000 88.335 -172.1225
307.000000 88.328 -172.0225
311.000000 88.314 -171.9224
315.000000 88.297 -171.8151
320.000000 88.280 -171.6421
325.000000 88.270 -171.4244
330.000000 88.263 -171.1953
335.000000 88.252 -171.0059
340.000000 88.230 -170.7693
345.000000 88.221 -170.5234
350.000000 88.220 -170.3260
355.000000 88.209 -170.0654
360.000000 88.203 -169.7972
365.000000 88.214 -169.5980
370.000000 88.221 -169.4668
375.000000 88.210 -169.3413
382.000000 88.187 -169.0322
387.000000 88.185 -168.7468
395.000000 88.187 -168.3508
400.000000 88.186 -168.1273
406.000000 88.193 -167.8575
412.000000 88.207 -167.6600
418.000000 88.215 -167.5061
425.000000 88.217 -167.2210
431.000000 88.215 -166.9116
437.000000 88.213 -166.6228
444.000000 88.215 -166.2761
450.000000 88.220 -166.0371
455.000000 88.234 -165.8845
462.000000 88.248 -165.5606
468.000000 88.251 -165.2661
475.000000 88.259 -164.9960
482.000000 88.269 -164.7793
487.000000 88.278 -164.6389
494.000000 88.281 -164.4018
500.000000 88.282 -164.1772
508.000000 88.282 -163.8951
515.000000 88.278 -163.5912
522.000000 88.277 -163.2476
530.000000 88.279 -162.8123
538.000000 88.288 -162.3280
545.000000 88.303 -161.9296
552.000000 88.317 -161.5206
560.000000 88.344 -161.0200
570.000000 88.397 -160.5129
580.000000 88.444 -160.0722
590.000000 88.490 -159.6256
600.000000 88.538 -159.2391
608.000000 88.577 -158.9797
615.000000 88.609 -158.7627
622.000000 88.638 -158.5411
630.000000 88.668 -158.3034
640.000000 88.701 -158.0079
650.000000 88.739 -157.6736
660.000000 88.769 -157.3632
670.000000 88.785 -157.0083
680.000000 88.801 -156.5608
690.000000 88.829 -156.0442
700.000000 88.877 -155.5208
710.000000 88.935 -155.0545
720.000000 88.993 -154.6100
730.000000 89.055 -154.1759
740.000000 89.124 -153.7887
750.000000 89.197 -153.5005
762.000000 89.274 -153.2449
775.000000 89.339 -152.9478
788.000000 89.403 -152.5430
800.000000 89.461 -152.1890
812.000000 89.518 -151.8004
825.000000 89.602 -151.3541
838.000000 89.698 -151.0298
850.000000 89.769 -150.8203
862.000000 89.824 -150.5276
875.000000 89.893 -150.1095
885.000000 89.958 -149.7610
900.000000 90.061 -149.2609
912.000000 90.155 -148.8836
925.000000 90.266 -148.6068
938.000000 90.364 -148.4541
950.000000 90.445 -148.2882
962.000000 90.529 -148.1014
975.000000 90.620 -147.9236
988.000000 90.709 -147.7458
1000.000000 90.792 -147.5613
1015.000000 90.891 -147.2626
1030.000000 91.013 -146.9207
1044.000000 91.144 -146.6509
1060.000000 91.308 -146.4385
1075.000000 91.469 -146.3365
1090.000000 91.645 -146.4918
1106.000000 91.799 -146.9525
1120.000000 91.899 -147.3743
1138.000000 91.994 -147.7776
1150.000000 92.056 -147.9483
1172.000000 92.173 -148.2358
1180.000000 92.219 -148.3086
1206.000000 92.376 -148.6167
1220.000000 92.469 -148.7503
1241.000000 92.636 -149.1813
1250.000000 92.705 -149.4836
1265.000000 92.791 -150.1996
1280.000000 92.804 -150.9195
1315.000000 92.813 -150.6658
1320.000000 92.853 -150.5236
1340.000000 93.081 -150.5213
1360.000000 93.297 -151.4738
1380.000000 93.398 -152.9024
1400.000000 93.410 -154.0882
1430.000000 93.330 -155.2500
1450.000000 93.293 -155.2734
1475.000000 93.357 -155.5305
1500.000000 93.379 -156.1264
1525.000000 93.402 -156.3280
1550.000000 93.479 -156.9395
1575.000000 93.458 -157.8568
1600.000000 93.357 -158.1737
1625.000000 93.351 -157.5457
1650.000000 93.532 -157.6979
1675.000000 93.588 -159.0966
1700.000000 93.519 -160.1851
1725.000000 93.401 -161.1326
1750.000000 93.205 -161.6182
1775.000000 92.975 -161.5682
1800.000000 92.721 -160.5465
1825.000000 92.588 -158.6758
1850.000000 92.633 -156.6371
1875.000000 92.832 -155.3707
1900.000000 93.023 -154.9985
1925.000000 93.197 -155.2074
1950.000000 93.262 -156.2236
1975.000000 93.112 -156.8634
2000.000000 92.894 -156.1130
2030.000000 92.760 -153.7460
2060.000000 92.896 -151.4243
2090.000000 93.031 -150.0579
2120.000000 93.191 -147.8385
2140.000000 93.460 -146.2843
2180.000000 94.069 -146.0039
2200.000000 94.187 -146.5465
2240.000000 94.333 -145.6069
2270.000000 94.675 -144.2840
2300.000000 95.133 -144.0515
2330.000000 95.523 -144.9527
2360.000000 95.806 -146.3190
2400.000000 95.935 -148.1153
2430.000000 95.970 -147.8432
2470.000000 96.309 -146.9999
2500.000000 96.626 -147.1011
2540.000000 97.066 -147.6899
2580.000000 97.502 -148.9544
2620.000000 97.871 -150.4886
2650.000000 98.180 -151.5046
2690.000000 98.658 -153.8816
2720.000000 98.878 -156.5571
2760.000000 99.012 -159.5985
2800.000000 99.129 -162.3536
2850.000000 99.147 -165.4755
2900.000000 99.153 -167.4168
2950.000000 99.357 -168.8641
3000.000000 99.625 -172.0240
3040.000000 99.654 -174.9610
3070.000000 99.626 -176.7637
3110.000000 99.598 -178.8116
3150.000000 99.579 179.1933
3200.000000 99.521 176.8382
3250.000000 99.473 175.0811
3300.000000 99.561 173.2872
3350.000000 99.658 170.5809
3400.000000 99.687 167.5330
3450.000000 99.676 164.1938
3500.000000 99.575 160.7120
3550.000000 99.433 157.3300
3600.000000 99.262 153.6052
3650.000000 98.952 149.5574
3700.000000 98.500 146.1085
3750.000000 98.016 142.9968
3820.000000 97.123 138.6994
3870.000000 96.225 137.2097
3950.000000 94.762 139.6619
4000.000000 94.133 143.1148
4060.000000 93.764 147.6509
4120.000000 93.739 151.2448
4180.000000 93.831 153.2546
4250.000000 93.931 154.3829
4310.000000 93.935 154.5072
4370.000000 93.835 154.8373
4440.000000 93.737 155.8832
4500.000000 93.737 156.8382
4550.000000 93.775 157.3398
4620.000000 93.796 157.5413
4680.000000 93.746 157.8950
4750.000000 93.738 158.9065
4820.000000 93.829 159.8031
4870.000000 93.918 160.2844
4940.000000 94.076 160.7836
