* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:15:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fuku Philphone Rag L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 70.217 -101.0415
20.299999 70.312 -101.2994
20.600000 70.423 -101.4877
20.900000 70.553 -101.6770
21.200001 70.699 -101.9325
21.400000 70.801 -102.1641
21.799999 71.007 -102.7866
22.000000 71.108 -103.1757
22.400000 71.301 -104.0835
22.700001 71.436 -104.8539
23.000000 71.564 -105.6931
23.299999 71.685 -106.6108
23.600000 71.793 -107.6065
24.000000 71.910 -109.0121
24.299999 71.974 -110.0414
24.700001 72.036 -111.2467
25.000000 72.082 -111.9755
25.400000 72.168 -112.7736
25.799999 72.290 -113.5820
26.200001 72.420 -114.5695
26.500000 72.497 -115.3812
26.900000 72.563 -116.3323
27.200001 72.600 -116.7719
27.600000 72.679 -116.9334
28.000000 72.844 -116.8990
28.500000 73.149 -117.3297
29.000000 73.430 -118.6938
29.500000 73.575 -120.4574
30.000000 73.607 -121.6981
30.400000 73.637 -122.1173
30.700001 73.699 -122.2693
31.100000 73.836 -122.6440
31.500000 73.992 -123.4902
32.000000 74.123 -125.2100
32.500000 74.125 -127.1507
33.000000 74.013 -128.5986
33.500000 73.871 -129.1538
34.000000 73.813 -128.9422
34.500000 73.903 -128.6021
35.000000 74.107 -128.8086
35.500000 74.319 -129.8155
36.000000 74.460 -131.2942
36.500000 74.519 -132.7253
37.000000 74.536 -133.7842
37.500000 74.548 -134.4617
38.200001 74.589 -134.9527
38.700001 74.646 -135.0615
39.500000 74.818 -135.1746
40.000000 74.960 -135.5579
40.599998 75.105 -136.5468
41.200001 75.160 -137.8760
41.799999 75.123 -138.9874
42.500000 75.077 -139.5986
43.099998 75.136 -140.0429
43.700001 75.240 -141.1479
44.400002 75.271 -143.0467
45.000000 75.213 -144.2319
45.500000 75.205 -144.6722
46.200001 75.331 -145.2595
46.799999 75.473 -146.3654
47.500000 75.547 -147.8191
48.200001 75.582 -148.6504
48.700001 75.640 -149.0133
49.400002 75.747 -149.7299
50.000000 75.801 -150.5361
50.799999 75.816 -151.5894
51.500000 75.785 -152.5158
52.200001 75.707 -153.3173
53.000000 75.632 -153.9492
53.799999 75.614 -154.8771
54.500000 75.578 -156.0145
55.200001 75.536 -157.0178
56.000000 75.541 -158.1561
57.000000 75.562 -159.7423
58.000000 75.636 -161.1223
59.000000 75.682 -163.1564
60.000000 75.535 -164.6081
60.799999 75.412 -165.0104
61.500000 75.293 -165.1512
62.200001 75.169 -164.7705
63.000000 75.138 -163.9515
64.000000 75.222 -163.7101
65.000000 75.295 -164.0098
66.000000 75.396 -164.7290
67.000000 75.412 -165.8547
68.000000 75.374 -166.2610
69.000000 75.427 -166.3093
70.000000 75.517 -166.7980
71.000000 75.547 -167.6463
72.000000 75.505 -168.3840
73.000000 75.454 -168.8317
74.000000 75.436 -169.2654
75.000000 75.434 -169.8613
76.199997 75.429 -170.6699
77.500000 75.429 -171.4428
78.800003 75.454 -172.2308
80.000000 75.464 -173.1363
81.199997 75.430 -174.0908
82.500000 75.361 -174.9109
83.800003 75.317 -175.6226
85.000000 75.272 -176.4087
86.199997 75.215 -177.0313
87.500000 75.172 -177.6224
88.500000 75.135 -178.1111
90.000000 75.062 -178.7862
91.199997 75.001 -179.3094
92.500000 74.921 -179.9084
93.800003 74.824 179.6837
95.000000 74.758 179.5228
96.199997 74.726 179.3930
97.500000 74.712 179.1414
98.800003 74.701 178.7313
100.000000 74.671 178.2288
101.500000 74.604 177.7292
103.000000 74.550 177.4067
104.400002 74.510 177.1102
106.000000 74.466 176.8082
107.500000 74.432 176.4869
109.000000 74.398 176.0518
110.599998 74.352 175.5273
112.000000 74.314 175.1350
113.800003 74.283 174.7402
115.000000 74.270 174.4860
117.199997 74.234 173.9363
118.000000 74.211 173.6998
120.599998 74.103 172.8514
122.000000 74.038 172.4502
124.099998 73.967 171.9470
125.000000 73.943 171.7387
126.500000 73.903 171.4285
128.000000 73.853 171.1267
131.500000 73.669 170.4414
132.000000 73.637 170.3446
134.000000 73.501 170.0154
136.000000 73.383 169.7924
138.000000 73.261 169.5946
140.000000 73.131 169.6664
143.000000 72.997 170.0198
145.000000 72.952 170.1028
147.500000 72.929 170.0260
150.000000 72.922 169.7587
152.500000 72.886 169.5333
155.000000 72.826 169.4587
157.500000 72.750 169.3710
160.000000 72.666 169.2686
162.500000 72.589 169.0599
165.000000 72.508 168.8962
167.500000 72.424 169.0279
170.000000 72.361 169.2512
172.500000 72.307 169.3941
175.000000 72.259 169.3926
177.500000 72.216 169.3618
180.000000 72.173 169.3302
182.500000 72.125 169.3241
185.000000 72.070 169.2739
187.500000 72.006 169.2565
190.000000 71.953 169.3277
192.500000 71.914 169.3522
195.000000 71.869 169.3359
197.500000 71.823 169.3029
200.000000 71.767 169.2520
203.000000 71.686 169.2882
206.000000 71.615 169.3801
209.000000 71.550 169.4806
212.000000 71.485 169.6445
214.000000 71.444 169.7869
218.000000 71.378 170.0724
220.000000 71.347 170.1637
224.000000 71.274 170.3633
227.000000 71.231 170.6386
230.000000 71.201 170.8613
233.000000 71.162 170.9346
236.000000 71.110 170.9386
240.000000 71.034 171.0528
243.000000 70.974 171.2814
247.000000 70.902 171.6696
250.000000 70.867 171.9190
254.000000 70.844 172.0781
258.000000 70.806 172.2169
262.000000 70.744 172.6472
265.000000 70.698 173.0245
269.000000 70.649 173.3652
272.000000 70.623 173.4879
276.000000 70.590 173.5246
280.000000 70.566 173.6193
285.000000 70.541 174.0035
290.000000 70.485 174.3959
295.000000 70.430 174.8389
300.000000 70.388 175.2983
304.000000 70.353 175.4890
307.000000 70.322 175.5949
311.000000 70.277 175.7746
315.000000 70.243 176.0760
320.000000 70.213 176.4924
325.000000 70.194 176.9437
330.000000 70.176 177.3986
335.000000 70.153 177.7390
340.000000 70.132 178.0167
345.000000 70.112 178.3357
350.000000 70.089 178.6530
355.000000 70.068 178.9215
360.000000 70.055 179.2166
365.000000 70.037 179.4749
370.000000 70.010 179.7206
375.000000 69.979 -179.9518
382.000000 69.947 -179.2445
387.000000 69.927 -178.7239
395.000000 69.908 -178.1038
400.000000 69.905 -177.8316
406.000000 69.888 -177.5306
412.000000 69.854 -177.2057
418.000000 69.807 -176.7900
425.000000 69.754 -176.1170
431.000000 69.732 -175.4750
437.000000 69.738 -174.8110
444.000000 69.765 -174.1666
450.000000 69.792 -173.7392
455.000000 69.813 -173.3846
462.000000 69.836 -172.8647
468.000000 69.850 -172.4625
475.000000 69.861 -172.0193
482.000000 69.872 -171.5836
487.000000 69.890 -171.2723
494.000000 69.919 -170.8482
500.000000 69.934 -170.4873
508.000000 69.943 -169.9734
515.000000 69.954 -169.4832
522.000000 69.981 -169.0176
530.000000 70.018 -168.5499
538.000000 70.054 -168.1777
545.000000 70.083 -167.9222
552.000000 70.109 -167.7133
560.000000 70.124 -167.4810
570.000000 70.099 -167.2129
580.000000 70.041 -166.7468
590.000000 70.015 -165.9277
600.000000 70.003 -164.7593
608.000000 70.021 -163.7978
615.000000 70.054 -163.0555
622.000000 70.099 -162.3238
630.000000 70.162 -161.4733
640.000000 70.254 -160.3912
650.000000 70.384 -159.5738
660.000000 70.534 -159.1888
670.000000 70.657 -158.8396
680.000000 70.774 -158.3465
690.000000 70.879 -157.9063
700.000000 70.964 -157.5938
710.000000 71.062 -157.2721
720.000000 71.161 -156.8743
730.000000 71.267 -156.4903
740.000000 71.403 -156.2445
750.000000 71.526 -156.1469
762.000000 71.642 -156.1772
775.000000 71.764 -156.3157
788.000000 71.874 -156.3765
800.000000 71.946 -156.3803
812.000000 72.007 -156.3973
825.000000 72.069 -156.3386
838.000000 72.142 -156.0609
850.000000 72.214 -155.7959
862.000000 72.287 -155.5975
875.000000 72.365 -155.4375
885.000000 72.429 -155.3129
900.000000 72.549 -155.1450
912.000000 72.649 -155.1048
925.000000 72.733 -155.0624
938.000000 72.804 -154.9773
950.000000 72.888 -154.8360
962.000000 72.982 -154.7545
975.000000 73.073 -154.7346
988.000000 73.164 -154.7116
1000.000000 73.249 -154.7688
1015.000000 73.331 -154.9299
1030.000000 73.381 -155.0604
1044.000000 73.426 -154.9404
1060.000000 73.509 -154.6445
1075.000000 73.607 -154.3548
1090.000000 73.717 -154.0829
1106.000000 73.844 -153.9126
1120.000000 73.951 -153.8938
1138.000000 74.081 -153.9055
1150.000000 74.175 -153.8632
1172.000000 74.368 -153.7973
1180.000000 74.441 -153.7818
1206.000000 74.701 -154.1015
1220.000000 74.814 -154.4581
1241.000000 74.966 -154.8829
1250.000000 75.032 -155.0559
1265.000000 75.142 -155.3171
1280.000000 75.252 -155.5644
1315.000000 75.551 -156.2243
1320.000000 75.596 -156.4082
1340.000000 75.745 -157.2165
1360.000000 75.871 -157.9797
1380.000000 75.981 -158.6593
1400.000000 76.126 -159.4025
1430.000000 76.202 -161.1888
1450.000000 76.163 -161.0110
1475.000000 76.467 -160.3459
1500.000000 76.826 -161.8060
1525.000000 77.014 -163.8737
1550.000000 77.115 -165.5451
1575.000000 77.268 -167.0703
1600.000000 77.401 -169.4493
1625.000000 77.353 -171.6005
1650.000000 77.340 -172.8094
1675.000000 77.394 -174.2483
1700.000000 77.465 -176.0200
1725.000000 77.524 -178.1167
1750.000000 77.547 179.2596
1775.000000 77.448 176.4727
1800.000000 77.317 174.0535
1825.000000 77.188 171.2345
1850.000000 76.941 167.9951
1875.000000 76.539 165.0118
1900.000000 76.046 162.5886
1925.000000 75.491 160.3343
1950.000000 74.766 158.5269
1975.000000 73.855 158.3119
2000.000000 72.909 160.2273
2030.000000 71.961 164.6842
2060.000000 71.293 170.4001
2090.000000 70.907 177.2203
2120.000000 70.966 -175.4766
2140.000000 71.264 -171.4915
2180.000000 71.956 -167.0619
2200.000000 72.220 -165.7318
2240.000000 72.760 -163.3427
2270.000000 73.215 -162.5567
2300.000000 73.591 -162.7462
2330.000000 73.882 -163.3543
2360.000000 74.108 -164.4326
2400.000000 74.149 -166.4950
2430.000000 73.962 -167.1708
2470.000000 73.706 -166.0703
2500.000000 73.641 -164.6706
2540.000000 73.598 -162.9986
2580.000000 73.557 -160.4482
2620.000000 73.741 -157.3933
2650.000000 73.985 -155.7134
2690.000000 74.292 -154.1632
2720.000000 74.519 -152.9975
2760.000000 74.865 -151.5305
2800.000000 75.245 -150.5386
2850.000000 75.641 -149.9156
2900.000000 76.061 -148.5618
2950.000000 76.575 -147.6716
3000.000000 77.106 -146.8928
3040.000000 77.622 -146.3991
3070.000000 78.057 -146.3556
3110.000000 78.670 -147.0267
3150.000000 79.238 -148.5750
3200.000000 79.833 -151.0661
3250.000000 80.378 -153.6477
3300.000000 80.916 -156.7439
3350.000000 81.394 -160.4358
3400.000000 81.785 -164.6991
3450.000000 82.059 -169.3144
3500.000000 82.210 -173.9151
3550.000000 82.296 -178.2815
3600.000000 82.339 177.1754
3650.000000 82.252 172.4832
3700.000000 82.036 168.2796
3750.000000 81.768 164.7648
3820.000000 81.379 160.4016
3870.000000 81.052 157.5356
3950.000000 80.424 154.0783
4000.000000 80.053 152.6915
4060.000000 79.645 151.2819
4120.000000 79.240 150.1811
4180.000000 78.844 149.5176
4250.000000 78.423 149.2194
4310.000000 78.102 149.2249
4370.000000 77.804 149.4712
4440.000000 77.496 150.0742
4500.000000 77.272 150.8401
4550.000000 77.118 151.6577
4620.000000 76.958 153.0273
4680.000000 76.882 154.3877
4750.000000 76.874 156.0912
4820.000000 76.941 157.8278
4870.000000 77.039 159.1333
4940.000000 77.270 161.0296
5000.000000 77.568 162.5950
5080.000000 78.121 164.3910
5150.000000 78.760 165.5123
5220.000000 79.557 166.0359
5300.000000 80.690 165.4608
5380.000000 82.058 162.7975
5450.000000 83.364 157.7345
