* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 4:45:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fuku Philphone Rag R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 69.374 -86.9744
20.299999 69.523 -87.9274
20.600000 69.667 -88.8385
20.900000 69.809 -89.7062
21.200001 69.953 -90.5385
21.400000 70.050 -91.0849
21.799999 70.246 -92.1838
22.000000 70.343 -92.7486
22.400000 70.532 -93.9227
22.700001 70.661 -94.8271
23.000000 70.778 -95.7155
23.299999 70.882 -96.5430
23.600000 70.981 -97.2822
24.000000 71.115 -98.1263
24.299999 71.225 -98.6977
24.700001 71.389 -99.4753
25.000000 71.518 -100.1316
25.400000 71.682 -101.1270
25.799999 71.826 -102.1972
26.200001 71.948 -103.2393
26.500000 72.032 -103.9636
26.900000 72.143 -104.8563
27.200001 72.228 -105.4960
27.600000 72.344 -106.3378
28.000000 72.460 -107.1679
28.500000 72.610 -108.1724
29.000000 72.774 -109.1921
29.500000 72.945 -110.3396
30.000000 73.100 -111.6375
30.400000 73.202 -112.6920
30.700001 73.269 -113.4352
31.100000 73.354 -114.3408
31.500000 73.445 -115.1909
32.000000 73.563 -116.2799
32.500000 73.671 -117.4333
33.000000 73.761 -118.5728
33.500000 73.841 -119.6428
34.000000 73.917 -120.6846
34.500000 73.981 -121.7339
35.000000 74.027 -122.7200
35.500000 74.067 -123.5439
36.000000 74.123 -124.2400
36.500000 74.200 -124.9599
37.000000 74.282 -125.8004
37.500000 74.350 -126.6974
38.200001 74.436 -127.8566
38.700001 74.508 -128.6497
39.500000 74.626 -130.1023
40.000000 74.679 -131.0617
40.599998 74.727 -132.0964
41.200001 74.781 -133.0109
41.799999 74.842 -133.9218
42.500000 74.909 -134.9601
43.099998 74.979 -135.7724
43.700001 75.071 -136.6980
44.400002 75.160 -138.1093
45.000000 75.176 -139.3362
45.500000 75.168 -140.0874
46.200001 75.194 -140.8116
46.799999 75.260 -141.5457
47.500000 75.319 -142.6879
48.200001 75.339 -143.7766
48.700001 75.354 -144.4618
49.400002 75.381 -145.5012
50.000000 75.379 -146.4847
50.799999 75.337 -147.6106
51.500000 75.306 -148.3514
52.200001 75.295 -149.0611
53.000000 75.293 -149.9554
53.799999 75.285 -150.9151
54.500000 75.268 -151.7498
55.200001 75.248 -152.5267
56.000000 75.228 -153.3815
57.000000 75.196 -154.4811
58.000000 75.133 -155.5478
59.000000 75.040 -156.3231
60.000000 74.975 -156.8322
60.799999 74.930 -157.3509
61.500000 74.866 -157.7262
62.200001 74.808 -157.8417
63.000000 74.783 -157.8347
64.000000 74.798 -157.8594
65.000000 74.864 -157.8773
66.000000 74.983 -158.1671
67.000000 75.105 -158.8237
68.000000 75.202 -159.7814
69.000000 75.238 -160.8667
70.000000 75.221 -161.6935
71.000000 75.212 -162.1377
72.000000 75.255 -162.5237
73.000000 75.329 -163.2130
74.000000 75.381 -164.2728
75.000000 75.378 -165.4474
76.199997 75.328 -166.6224
77.500000 75.277 -167.6213
78.800003 75.246 -168.6023
80.000000 75.205 -169.5700
81.199997 75.147 -170.3980
82.500000 75.091 -171.0940
83.800003 75.054 -171.7133
85.000000 75.029 -172.2953
86.199997 75.004 -172.9791
87.500000 74.944 -173.7447
88.500000 74.886 -174.2145
90.000000 74.796 -174.7929
91.199997 74.724 -175.1977
92.500000 74.643 -175.5358
93.800003 74.586 -175.8593
95.000000 74.540 -176.2985
96.199997 74.497 -176.7963
97.500000 74.455 -177.4175
98.800003 74.417 -178.0173
100.000000 74.398 -178.5287
101.500000 74.389 -179.1677
103.000000 74.374 -179.7451
104.400002 74.355 179.7963
106.000000 74.303 179.3037
107.500000 74.226 178.9451
109.000000 74.138 178.6377
110.599998 74.061 178.2934
112.000000 74.009 177.8995
113.800003 73.956 177.3926
115.000000 73.918 177.1149
117.199997 73.854 176.8115
118.000000 73.826 176.6470
120.599998 73.706 176.1342
122.000000 73.669 175.7978
124.099998 73.656 175.2322
125.000000 73.662 174.9238
126.500000 73.641 174.3228
128.000000 73.559 173.9116
131.500000 73.352 173.4091
132.000000 73.325 173.2879
134.000000 73.204 172.7253
136.000000 73.045 172.3992
138.000000 72.871 172.4973
140.000000 72.689 172.9484
143.000000 72.553 174.1650
145.000000 72.572 174.5709
147.500000 72.581 174.7040
150.000000 72.574 174.7277
152.500000 72.534 174.6246
155.000000 72.487 174.6577
157.500000 72.455 174.5357
160.000000 72.407 174.3875
162.500000 72.379 174.4910
165.000000 72.363 174.6583
167.500000 72.319 174.6597
170.000000 72.256 174.5477
172.500000 72.206 174.4372
175.000000 72.177 174.4116
177.500000 72.150 174.3997
180.000000 72.111 174.3786
182.500000 72.063 174.3322
185.000000 72.013 174.2673
187.500000 71.979 174.1832
190.000000 71.963 174.1631
192.500000 71.945 174.2766
195.000000 71.910 174.4026
197.500000 71.864 174.3679
200.000000 71.818 174.2581
203.000000 71.772 174.2172
206.000000 71.722 174.2110
209.000000 71.673 174.1805
212.000000 71.626 174.1797
214.000000 71.593 174.2231
218.000000 71.531 174.2821
220.000000 71.507 174.2781
224.000000 71.471 174.1768
227.000000 71.439 174.2024
230.000000 71.394 174.4672
233.000000 71.347 174.7388
236.000000 71.300 174.8435
240.000000 71.241 174.8199
243.000000 71.210 174.8690
247.000000 71.184 175.1141
250.000000 71.165 175.2373
254.000000 71.119 175.3512
258.000000 71.072 175.6435
262.000000 71.007 175.7418
265.000000 70.972 175.7820
269.000000 70.954 176.0531
272.000000 70.932 176.2564
276.000000 70.885 176.1737
280.000000 70.819 176.2821
285.000000 70.789 176.4106
290.000000 70.697 176.4521
295.000000 70.681 177.1551
300.000000 70.678 177.1196
304.000000 70.601 177.2033
307.000000 70.551 177.4516
311.000000 70.513 177.7993
315.000000 70.474 178.0978
320.000000 70.405 178.5248
325.000000 70.362 179.1693
330.000000 70.364 179.7454
335.000000 70.355 -179.9110
340.000000 70.316 -179.5654
345.000000 70.285 -179.2460
350.000000 70.244 -179.0504
355.000000 70.208 -178.8827
360.000000 70.206 -178.7589
365.000000 70.215 -178.4525
370.000000 70.205 -178.0106
375.000000 70.190 -177.6637
382.000000 70.205 -177.0641
387.000000 70.197 -176.5430
395.000000 70.147 -176.0445
400.000000 70.133 -175.9850
406.000000 70.150 -175.7452
412.000000 70.146 -175.3492
418.000000 70.130 -174.9586
425.000000 70.104 -174.3533
431.000000 70.096 -173.8353
437.000000 70.090 -173.3803
444.000000 70.090 -172.9598
450.000000 70.106 -172.6465
455.000000 70.117 -172.3677
462.000000 70.127 -171.8744
468.000000 70.134 -171.4410
475.000000 70.146 -170.9639
482.000000 70.150 -170.5619
487.000000 70.156 -170.3116
494.000000 70.178 -169.9817
500.000000 70.191 -169.6702
508.000000 70.192 -169.2125
515.000000 70.190 -168.8035
522.000000 70.199 -168.3686
530.000000 70.230 -167.8331
538.000000 70.266 -167.3467
545.000000 70.289 -166.9758
552.000000 70.327 -166.6128
560.000000 70.374 -166.2994
570.000000 70.397 -165.9337
580.000000 70.434 -165.4414
590.000000 70.489 -164.9600
600.000000 70.533 -164.5576
608.000000 70.574 -164.3152
615.000000 70.609 -164.2078
622.000000 70.634 -164.2360
630.000000 70.626 -164.4525
640.000000 70.500 -164.5778
650.000000 70.289 -163.6412
660.000000 70.207 -161.5176
670.000000 70.337 -159.3500
680.000000 70.551 -158.0633
690.000000 70.754 -157.4563
700.000000 70.912 -157.1020
710.000000 71.045 -156.9033
720.000000 71.176 -156.7983
730.000000 71.284 -156.6331
740.000000 71.367 -156.4752
750.000000 71.445 -156.3925
762.000000 71.523 -156.3102
775.000000 71.588 -156.1814
788.000000 71.650 -155.9033
800.000000 71.720 -155.4783
812.000000 71.813 -155.0887
825.000000 71.918 -154.8469
838.000000 72.015 -154.6079
850.000000 72.110 -154.4601
862.000000 72.186 -154.4019
875.000000 72.249 -154.2094
885.000000 72.306 -153.9460
900.000000 72.409 -153.5749
912.000000 72.479 -153.2955
925.000000 72.575 -152.9429
938.000000 72.698 -152.6581
950.000000 72.804 -152.5325
962.000000 72.900 -152.5295
975.000000 72.993 -152.5606
988.000000 73.075 -152.5958
1000.000000 73.147 -152.5942
1015.000000 73.239 -152.5378
1030.000000 73.333 -152.4376
1044.000000 73.420 -152.2717
1060.000000 73.524 -152.0963
1075.000000 73.629 -152.0608
1090.000000 73.747 -152.0945
1106.000000 73.869 -152.0962
1120.000000 73.958 -152.0364
1138.000000 74.090 -152.0270
1150.000000 74.178 -152.1197
1172.000000 74.321 -152.1464
1180.000000 74.379 -152.1591
1206.000000 74.553 -152.3387
1220.000000 74.635 -152.3059
1241.000000 74.792 -152.3651
1250.000000 74.864 -152.4288
1265.000000 74.997 -152.4874
1280.000000 75.136 -152.7080
1315.000000 75.405 -153.3593
1320.000000 75.452 -153.4429
1340.000000 75.628 -154.0346
1360.000000 75.750 -154.6752
1380.000000 75.889 -155.3336
1400.000000 76.012 -156.1362
1430.000000 76.164 -157.2834
1450.000000 76.265 -158.1527
1475.000000 76.332 -159.4097
1500.000000 76.259 -160.1171
1525.000000 76.321 -159.1431
1550.000000 76.610 -159.5129
1575.000000 76.818 -160.6988
1600.000000 76.985 -162.2068
1625.000000 77.045 -163.9993
1650.000000 77.024 -165.2191
1675.000000 77.058 -165.8136
1700.000000 77.178 -166.5874
1725.000000 77.292 -167.8625
1750.000000 77.384 -169.2399
1775.000000 77.509 -170.8759
1800.000000 77.605 -173.3687
1825.000000 77.552 -176.3392
1850.000000 77.361 -178.9448
1875.000000 77.096 178.8506
1900.000000 76.750 177.0936
1925.000000 76.349 176.0065
1950.000000 75.940 175.5988
1975.000000 75.558 175.8502
2000.000000 75.219 176.4409
2030.000000 74.831 177.4894
2060.000000 74.489 178.9671
2090.000000 74.171 -178.8954
2120.000000 73.949 -175.7690
2140.000000 73.918 -173.4407
2180.000000 74.123 -169.3094
2200.000000 74.320 -167.7197
2240.000000 74.825 -165.7615
2270.000000 75.227 -165.7280
2300.000000 75.531 -166.7139
2330.000000 75.733 -168.1240
2360.000000 75.848 -169.9941
2400.000000 75.750 -172.8622
2430.000000 75.484 -174.3143
2470.000000 75.004 -174.6310
2500.000000 74.660 -173.7086
2540.000000 74.305 -171.4924
2580.000000 74.086 -168.3908
2620.000000 74.009 -164.9969
2650.000000 74.032 -162.2226
2690.000000 74.229 -158.4452
2720.000000 74.486 -155.7577
2760.000000 74.975 -152.3885
2800.000000 75.672 -149.9066
2850.000000 76.684 -149.5747
2900.000000 77.393 -152.5046
2950.000000 77.686 -155.7251
3000.000000 77.758 -157.3962
3040.000000 77.881 -157.4009
3070.000000 78.091 -157.4594
3110.000000 78.389 -158.5112
3150.000000 78.560 -159.9982
3200.000000 78.680 -161.1473
3250.000000 78.845 -161.7094
3300.000000 79.062 -162.1904
3350.000000 79.335 -162.6447
3400.000000 79.698 -163.3100
3450.000000 80.120 -164.7195
3500.000000 80.495 -167.0606
3550.000000 80.772 -169.7902
3600.000000 80.987 -172.5147
3650.000000 81.188 -175.3077
3700.000000 81.370 -178.5203
3750.000000 81.466 177.7567
3820.000000 81.384 172.4506
3870.000000 81.200 169.1569
3950.000000 80.817 164.8738
4000.000000 80.536 162.6666
4060.000000 80.160 160.6245
4120.000000 79.791 159.2954
4180.000000 79.464 158.3770
4250.000000 79.108 157.5859
4310.000000 78.805 157.2799
4370.000000 78.519 157.4062
4440.000000 78.241 158.0455
4500.000000 78.063 158.9197
4550.000000 77.966 159.8491
4620.000000 77.924 161.2523
4680.000000 77.961 162.3840
4750.000000 78.073 163.5692
4820.000000 78.245 164.6232
4870.000000 78.406 165.3394
4940.000000 78.701 166.2974
5000.000000 79.030 166.9993
5080.000000 79.591 167.6519
5150.000000 80.229 167.7921
5220.000000 81.016 167.1618
5300.000000 82.090 164.9710
