* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 4:54:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-560S Rag R Nov 4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 68.326 -105.7556
20.299999 68.405 -106.3945
20.600000 68.485 -106.9423
20.900000 68.573 -107.4211
21.200001 68.675 -107.8807
21.400000 68.749 -108.2081
21.799999 68.904 -108.9486
22.000000 68.982 -109.3708
22.400000 69.128 -110.3069
22.700001 69.226 -111.0587
23.000000 69.314 -111.8242
23.299999 69.391 -112.5896
23.600000 69.459 -113.3455
24.000000 69.531 -114.3145
24.299999 69.572 -114.9749
24.700001 69.615 -115.7026
25.000000 69.649 -116.1034
25.400000 69.715 -116.4704
25.799999 69.820 -116.7898
26.200001 69.958 -117.2657
26.500000 70.066 -117.8025
26.900000 70.191 -118.7320
27.200001 70.257 -119.4856
27.600000 70.311 -120.3873
28.000000 70.352 -121.0345
28.500000 70.433 -121.5476
29.000000 70.565 -122.0783
29.500000 70.713 -122.8934
30.000000 70.831 -123.9279
30.400000 70.895 -124.7367
30.700001 70.932 -125.2691
31.100000 70.979 -125.8802
31.500000 71.029 -126.4276
32.000000 71.089 -127.0811
32.500000 71.140 -127.6625
33.000000 71.192 -128.0937
33.500000 71.267 -128.4184
34.000000 71.371 -128.8206
34.500000 71.480 -129.4453
35.000000 71.567 -130.2488
35.500000 71.623 -131.0502
36.000000 71.666 -131.7299
36.500000 71.717 -132.3327
37.000000 71.777 -132.9816
37.500000 71.830 -133.7117
38.200001 71.881 -134.6998
38.700001 71.917 -135.2799
39.500000 72.009 -136.1457
40.000000 72.082 -136.7994
40.599998 72.161 -137.7255
41.200001 72.214 -138.6780
41.799999 72.246 -139.4853
42.500000 72.291 -140.1492
43.099998 72.359 -140.6221
43.700001 72.443 -141.1994
44.400002 72.525 -141.9958
45.000000 72.575 -142.6294
45.500000 72.617 -143.0953
46.200001 72.680 -143.7623
46.799999 72.730 -144.4221
47.500000 72.771 -145.2959
48.200001 72.785 -146.2432
48.700001 72.777 -146.8954
49.400002 72.757 -147.6791
50.000000 72.755 -148.3145
50.799999 72.761 -149.3510
51.500000 72.739 -150.3309
52.200001 72.712 -151.1584
53.000000 72.712 -152.1382
53.799999 72.691 -153.4506
54.500000 72.604 -154.5259
55.200001 72.496 -155.1530
56.000000 72.432 -155.6805
57.000000 72.340 -157.0199
58.000000 72.053 -158.0506
59.000000 71.765 -157.6134
60.000000 71.598 -157.0186
60.799999 71.448 -156.3374
61.500000 71.362 -155.1999
62.200001 71.382 -153.9777
63.000000 71.481 -153.0036
64.000000 71.630 -152.2200
65.000000 71.820 -151.7787
66.000000 72.019 -151.9224
67.000000 72.176 -152.4627
68.000000 72.298 -153.1719
69.000000 72.382 -153.9826
70.000000 72.428 -154.7155
71.000000 72.458 -155.3034
72.000000 72.471 -155.7560
73.000000 72.486 -155.9603
74.000000 72.535 -156.1124
75.000000 72.596 -156.4408
76.199997 72.661 -156.9337
77.500000 72.736 -157.5860
78.800003 72.798 -158.3096
80.000000 72.858 -158.9578
81.199997 72.912 -159.6969
82.500000 72.947 -160.5565
83.800003 72.968 -161.4592
85.000000 72.966 -162.4675
86.199997 72.916 -163.5665
87.500000 72.797 -164.6405
88.500000 72.656 -165.1864
90.000000 72.407 -165.1051
91.199997 72.275 -164.2365
92.500000 72.284 -163.2244
93.800003 72.379 -162.8449
95.000000 72.467 -162.9167
96.199997 72.544 -163.1354
97.500000 72.616 -163.3528
98.800003 72.689 -163.5683
100.000000 72.743 -163.8510
101.500000 72.782 -164.3049
103.000000 72.799 -164.8852
104.400002 72.795 -165.5317
106.000000 72.780 -166.2284
107.500000 72.773 -166.8043
109.000000 72.770 -167.3350
110.599998 72.755 -167.8596
112.000000 72.736 -168.2424
113.800003 72.713 -168.6870
115.000000 72.700 -168.9797
117.199997 72.675 -169.5023
118.000000 72.665 -169.6848
120.599998 72.621 -170.2097
122.000000 72.598 -170.4174
124.099998 72.571 -170.7485
125.000000 72.557 -170.8999
126.500000 72.533 -171.1579
128.000000 72.514 -171.4914
131.500000 72.436 -172.5482
132.000000 72.421 -172.6838
134.000000 72.361 -173.2111
136.000000 72.273 -173.7694
138.000000 72.131 -174.2085
140.000000 71.951 -174.2839
143.000000 71.718 -173.4438
145.000000 71.657 -172.5475
147.500000 71.679 -171.5889
150.000000 71.740 -171.1041
152.500000 71.787 -170.9514
155.000000 71.822 -170.9857
157.500000 71.852 -171.1525
160.000000 71.857 -171.3190
162.500000 71.852 -171.3456
165.000000 71.855 -171.3918
167.500000 71.855 -171.5531
170.000000 71.842 -171.7141
172.500000 71.823 -171.7910
175.000000 71.806 -171.8348
177.500000 71.785 -171.8937
180.000000 71.759 -171.9266
182.500000 71.739 -171.9168
185.000000 71.729 -171.8738
187.500000 71.726 -171.8472
190.000000 71.715 -171.8699
192.500000 71.695 -171.8915
195.000000 71.673 -171.8900
197.500000 71.655 -171.8556
200.000000 71.642 -171.8345
203.000000 71.626 -171.8493
206.000000 71.603 -171.8596
209.000000 71.576 -171.8416
212.000000 71.552 -171.8408
214.000000 71.536 -171.8237
218.000000 71.501 -171.6801
220.000000 71.482 -171.5776
224.000000 71.450 -171.3725
227.000000 71.430 -171.2218
230.000000 71.411 -171.0690
233.000000 71.391 -170.8633
236.000000 71.380 -170.6093
240.000000 71.371 -170.3601
243.000000 71.365 -170.2147
247.000000 71.365 -170.0504
250.000000 71.362 -169.9521
254.000000 71.346 -169.8112
258.000000 71.339 -169.5464
262.000000 71.343 -169.2660
265.000000 71.339 -169.1172
269.000000 71.333 -168.8915
272.000000 71.337 -168.6743
276.000000 71.352 -168.4150
280.000000 71.370 -168.1794
285.000000 71.383 -167.9238
290.000000 71.404 -167.7867
295.000000 71.421 -167.7275
300.000000 71.412 -167.5652
304.000000 71.404 -167.3431
307.000000 71.408 -167.1834
311.000000 71.426 -166.9899
315.000000 71.445 -166.7672
320.000000 71.449 -166.5133
325.000000 71.452 -166.2845
330.000000 71.464 -166.0655
335.000000 71.481 -165.8627
340.000000 71.509 -165.6660
345.000000 71.544 -165.5402
350.000000 71.557 -165.4102
355.000000 71.557 -165.2326
360.000000 71.560 -165.0465
365.000000 71.564 -164.8445
370.000000 71.580 -164.6683
375.000000 71.608 -164.5338
382.000000 71.625 -164.2858
387.000000 71.631 -164.0697
395.000000 71.660 -163.7182
400.000000 71.682 -163.4808
406.000000 71.712 -163.2867
412.000000 71.745 -163.1561
418.000000 71.769 -163.0425
425.000000 71.801 -162.9297
431.000000 71.831 -162.7688
437.000000 71.846 -162.5900
444.000000 71.864 -162.3675
450.000000 71.893 -162.1902
455.000000 71.916 -162.0543
462.000000 71.945 -161.8476
468.000000 71.972 -161.7250
475.000000 71.994 -161.6719
482.000000 71.999 -161.6227
487.000000 71.998 -161.5620
494.000000 72.002 -161.4006
500.000000 72.010 -161.1853
508.000000 72.034 -160.8473
515.000000 72.071 -160.6168
522.000000 72.102 -160.4158
530.000000 72.128 -160.1450
538.000000 72.153 -159.9237
545.000000 72.170 -159.7942
552.000000 72.186 -159.6598
560.000000 72.208 -159.4377
570.000000 72.241 -159.1154
580.000000 72.302 -158.8012
590.000000 72.370 -158.5757
600.000000 72.422 -158.4203
608.000000 72.464 -158.3376
615.000000 72.503 -158.3186
622.000000 72.539 -158.3593
630.000000 72.566 -158.4490
640.000000 72.581 -158.5481
650.000000 72.582 -158.6301
660.000000 72.570 -158.5658
670.000000 72.560 -158.3838
680.000000 72.564 -158.2561
690.000000 72.569 -158.2415
700.000000 72.543 -158.3284
710.000000 72.473 -158.3151
720.000000 72.375 -157.9520
730.000000 72.256 -157.0867
740.000000 72.172 -155.7299
750.000000 72.201 -154.2327
762.000000 72.338 -152.8503
775.000000 72.506 -151.9049
788.000000 72.666 -151.2614
800.000000 72.799 -150.8953
812.000000 72.916 -150.6118
825.000000 73.031 -150.3870
838.000000 73.141 -150.1834
850.000000 73.243 -150.0134
862.000000 73.338 -149.9111
875.000000 73.429 -149.9056
885.000000 73.482 -149.9113
900.000000 73.546 -149.7799
912.000000 73.594 -149.5563
925.000000 73.658 -149.1441
938.000000 73.763 -148.7604
950.000000 73.870 -148.6538
962.000000 73.967 -148.6495
975.000000 74.059 -148.6702
988.000000 74.136 -148.7444
1000.000000 74.193 -148.8671
1015.000000 74.247 -148.9606
1030.000000 74.294 -148.9480
1044.000000 74.338 -148.7634
1060.000000 74.425 -148.4982
1075.000000 74.517 -148.5254
1090.000000 74.594 -148.6924
1106.000000 74.650 -148.8227
1120.000000 74.687 -148.8715
1138.000000 74.729 -148.8952
1150.000000 74.756 -148.8308
1172.000000 74.811 -148.5400
1180.000000 74.835 -148.4216
1206.000000 74.938 -147.9979
1220.000000 75.013 -147.8068
1241.000000 75.107 -147.8071
1250.000000 75.140 -147.8136
1265.000000 75.206 -147.7390
1280.000000 75.277 -147.6496
1315.000000 75.426 -147.8623
1320.000000 75.444 -147.8988
1340.000000 75.518 -148.0184
1360.000000 75.565 -148.2438
1380.000000 75.571 -148.2978
1400.000000 75.594 -148.0537
1430.000000 75.713 -147.8827
1450.000000 75.773 -148.1238
1475.000000 75.813 -148.1582
1500.000000 75.866 -148.2437
1525.000000 75.884 -148.2529
1550.000000 75.918 -148.0798
1575.000000 75.940 -147.9979
1600.000000 75.933 -147.7134
1625.000000 75.956 -147.0969
1650.000000 76.022 -146.6334
1675.000000 76.073 -146.2982
1700.000000 76.124 -145.9611
1725.000000 76.169 -145.6411
1750.000000 76.206 -145.2927
1775.000000 76.219 -144.7587
1800.000000 76.279 -143.9218
1825.000000 76.374 -143.3734
1850.000000 76.420 -142.7471
1875.000000 76.494 -141.8361
1900.000000 76.620 -141.0250
1925.000000 76.757 -140.3441
1950.000000 76.904 -139.6561
1975.000000 77.076 -139.0112
2000.000000 77.267 -138.5906
2030.000000 77.475 -138.3719
2060.000000 77.660 -138.1481
2090.000000 77.858 -137.9543
2120.000000 78.046 -138.0452
2140.000000 78.148 -138.0782
2180.000000 78.374 -138.0161
2200.000000 78.481 -138.1732
2240.000000 78.593 -138.2522
2270.000000 78.715 -137.6746
2300.000000 78.896 -137.2241
2330.000000 79.105 -136.7933
2360.000000 79.375 -136.6605
2400.000000 79.676 -137.3807
2430.000000 79.819 -137.9239
2470.000000 79.980 -138.2522
2500.000000 80.106 -138.2550
2540.000000 80.330 -137.9838
2580.000000 80.614 -137.9709
2620.000000 80.908 -138.1970
2650.000000 81.125 -138.4948
2690.000000 81.427 -138.8671
2720.000000 81.690 -139.3149
2760.000000 82.035 -140.4399
2800.000000 82.343 -141.8096
2850.000000 82.721 -143.8714
2900.000000 83.012 -146.5948
2950.000000 83.197 -149.3623
3000.000000 83.295 -151.9270
3040.000000 83.362 -153.7573
3070.000000 83.409 -155.1402
3110.000000 83.451 -157.0240
3150.000000 83.459 -158.8805
3200.000000 83.443 -161.0816
3250.000000 83.387 -163.2943
3300.000000 83.270 -165.2609
3350.000000 83.124 -166.7923
3400.000000 83.003 -168.0276
3450.000000 82.900 -169.2888
3500.000000 82.782 -170.7207
3550.000000 82.589 -172.1910
3600.000000 82.325 -173.2462
3650.000000 82.023 -173.8489
3700.000000 81.672 -173.8379
3750.000000 81.296 -172.8432
3820.000000 80.886 -169.4845
3870.000000 80.799 -166.0497
3950.000000 81.156 -160.0675
4000.000000 81.712 -157.0403
4060.000000 82.578 -155.2712
4120.000000 83.488 -155.6581
4180.000000 84.346 -158.0767
4250.000000 85.118 -163.1543
4310.000000 85.519 -168.5701
4370.000000 85.669 -174.2704
4440.000000 85.558 179.6245
4500.000000 85.288 175.3768
4550.000000 84.999 172.6400
4620.000000 84.557 169.9778
4680.000000 84.197 168.6614
4750.000000 83.848 167.9696
4820.000000 83.606 167.9045
