* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 9:02:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-560s Worn L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.033	-97.2165
20.299999	73.103	-97.4969
20.600000	73.213	-97.6793
20.900000	73.362	-97.9026
21.200001	73.539	-98.2961
21.400000	73.660	-98.6938
21.799999	73.888	-99.7892
22.000000	73.983	-100.4438
22.400000	74.125	-101.8068
22.700001	74.196	-102.7288
23.000000	74.253	-103.4709
23.299999	74.317	-104.0581
23.600000	74.401	-104.5869
24.000000	74.541	-105.4027
24.299999	74.651	-106.2227
24.700001	74.768	-107.6062
25.000000	74.815	-108.7437
25.400000	74.817	-110.1472
25.799999	74.774	-111.1582
26.200001	74.732	-111.6748
26.500000	74.729	-111.8099
26.900000	74.782	-111.8457
27.200001	74.863	-111.9176
27.600000	75.005	-112.2190
28.000000	75.160	-112.8038
28.500000	75.334	-113.8354
29.000000	75.471	-114.9845
29.500000	75.578	-116.0734
30.000000	75.672	-117.0287
30.400000	75.748	-117.7134
30.700001	75.807	-118.2035
31.100000	75.889	-118.8595
31.500000	75.971	-119.5455
32.000000	76.064	-120.4624
32.500000	76.138	-121.4179
33.000000	76.190	-122.3441
33.500000	76.227	-123.1881
34.000000	76.260	-123.9512
34.500000	76.297	-124.6876
35.000000	76.338	-125.4565
35.500000	76.379	-126.2950
36.000000	76.413	-127.2054
36.500000	76.438	-128.1560
37.000000	76.452	-129.0806
37.500000	76.464	-129.9162
38.200001	76.507	-130.9297
38.700001	76.567	-131.6301
39.500000	76.704	-132.9219
40.000000	76.797	-133.8815
40.599998	76.893	-135.1671
41.200001	76.952	-136.4816
41.799999	76.967	-137.6016
42.500000	76.967	-138.4413
43.099998	76.994	-138.8596
43.700001	77.056	-139.2745
44.400002	77.142	-139.9640
45.000000	77.205	-140.7346
45.500000	77.244	-141.4540
46.200001	77.281	-142.5076
46.799999	77.306	-143.4241
47.500000	77.337	-144.5511
48.200001	77.362	-145.7635
48.700001	77.375	-146.6486
49.400002	77.385	-147.8927
50.000000	77.382	-148.9896
50.799999	77.338	-150.4414
51.500000	77.256	-151.5811
52.200001	77.132	-152.5555
53.000000	76.937	-153.4152
53.799999	76.689	-153.9079
54.500000	76.443	-153.9886
55.200001	76.184	-153.6577
56.000000	75.918	-152.7566
57.000000	75.695	-151.0231
58.000000	75.679	-148.9369
59.000000	75.880	-147.4888
60.000000	76.146	-147.0639
60.799999	76.338	-147.2748
61.500000	76.452	-147.6633
62.200001	76.518	-147.9153
63.000000	76.587	-147.9520
64.000000	76.692	-147.9985
65.000000	76.800	-148.2560
66.000000	76.895	-148.8054
67.000000	76.965	-149.5158
68.000000	77.018	-150.3080
69.000000	77.040	-151.0378
70.000000	77.049	-151.5042
71.000000	77.058	-151.7594
72.000000	77.068	-151.7531
73.000000	77.114	-151.5167
74.000000	77.210	-151.3945
75.000000	77.325	-151.5488
76.199997	77.479	-152.1015
77.500000	77.612	-153.1822
78.800003	77.701	-154.2481
80.000000	77.768	-155.2582
81.199997	77.804	-156.1592
82.500000	77.847	-157.0688
83.800003	77.864	-158.0981
85.000000	77.861	-158.9077
86.199997	77.874	-159.6931
87.500000	77.871	-160.7088
88.500000	77.837	-161.3723
90.000000	77.798	-162.0742
91.199997	77.773	-162.7424
92.500000	77.704	-163.4072
93.800003	77.637	-163.7781
95.000000	77.598	-164.0545
96.199997	77.574	-164.3406
97.500000	77.547	-164.7158
98.800003	77.500	-164.9387
100.000000	77.495	-164.8905
101.500000	77.557	-165.3606
103.000000	77.497	-166.3083
104.400002	77.398	-166.2769
106.000000	77.457	-166.2400
107.500000	77.477	-167.2133
109.000000	77.369	-167.8193
110.599998	77.305	-167.6420
112.000000	77.337	-167.6405
113.800003	77.351	-168.2289
115.000000	77.316	-168.6046
117.199997	77.259	-169.1285
118.000000	77.242	-169.3788
120.599998	77.160	-170.0037
122.000000	77.126	-170.1813
124.099998	77.068	-170.1829
125.000000	77.054	-170.0870
126.500000	77.059	-170.0068
128.000000	77.079	-170.1967
131.500000	77.080	-171.4220
132.000000	77.071	-171.6307
134.000000	77.001	-172.4193
136.000000	76.878	-172.9540
138.000000	76.733	-173.0737
