* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 7:40:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-560s Stock Worn R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.074	-97.8464
20.299999	74.157	-98.7180
20.600000	74.236	-99.5890
20.900000	74.313	-100.4348
21.200001	74.393	-101.2415
21.400000	74.450	-101.7635
21.799999	74.579	-102.8036
22.000000	74.649	-103.3404
22.400000	74.796	-104.4807
22.700001	74.903	-105.3892
23.000000	75.002	-106.3081
23.299999	75.092	-107.1858
23.600000	75.177	-107.9868
24.000000	75.294	-108.9200
24.299999	75.390	-109.5550
24.700001	75.532	-110.4026
25.000000	75.639	-111.0915
25.400000	75.769	-112.0902
25.799999	75.871	-113.1008
26.200001	75.946	-114.0039
26.500000	75.992	-114.5683
26.900000	76.056	-115.1844
27.200001	76.110	-115.5942
27.600000	76.190	-116.1484
28.000000	76.273	-116.7672
28.500000	76.366	-117.6255
29.000000	76.444	-118.5095
29.500000	76.513	-119.3762
30.000000	76.580	-120.2302
30.400000	76.635	-120.9143
30.700001	76.677	-121.4298
31.100000	76.737	-122.1230
31.500000	76.799	-122.8302
32.000000	76.880	-123.7470
32.500000	76.959	-124.6977
33.000000	77.034	-125.6540
33.500000	77.103	-126.5842
34.000000	77.168	-127.4720
34.500000	77.231	-128.3140
35.000000	77.290	-129.1035
35.500000	77.349	-129.8323
36.000000	77.411	-130.5140
36.500000	77.479	-131.1928
37.000000	77.546	-131.9185
37.500000	77.605	-132.6932
38.200001	77.664	-133.7467
38.700001	77.702	-134.4108
39.500000	77.785	-135.4569
40.000000	77.843	-136.2340
40.599998	77.898	-137.2832
41.200001	77.933	-138.3240
41.799999	77.966	-139.3263
42.500000	78.002	-140.5606
43.099998	78.011	-141.6450
43.700001	78.004	-142.5807
44.400002	78.011	-143.4612
45.000000	78.043	-144.2266
45.500000	78.072	-144.9583
46.200001	78.100	-146.0460
46.799999	78.114	-146.9541
47.500000	78.131	-148.0302
48.200001	78.136	-149.1881
48.700001	78.126	-150.0497
49.400002	78.090	-151.2646
50.000000	78.037	-152.2879
50.799999	77.933	-153.5513
51.500000	77.819	-154.5094
52.200001	77.688	-155.3362
53.000000	77.517	-156.0742
53.799999	77.334	-156.4721
54.500000	77.189	-156.5716
55.200001	77.059	-156.5600
56.000000	76.911	-156.3953
57.000000	76.740	-155.6979
58.000000	76.657	-154.4951
59.000000	76.703	-153.2750
60.000000	76.846	-152.5858
60.799999	76.970	-152.5729
61.500000	77.054	-152.8216
62.200001	77.111	-153.1505
63.000000	77.153	-153.5215
64.000000	77.189	-153.9333
65.000000	77.211	-154.2744
66.000000	77.226	-154.5051
67.000000	77.249	-154.6170
68.000000	77.294	-154.7297
69.000000	77.349	-154.9830
70.000000	77.390	-155.4066
71.000000	77.397	-155.8563
72.000000	77.378	-156.1227
73.000000	77.362	-156.1441
74.000000	77.369	-155.9664
75.000000	77.417	-155.6784
76.199997	77.536	-155.4552
77.500000	77.702	-155.6368
78.800003	77.855	-156.2631
80.000000	77.961	-157.0543
81.199997	78.039	-157.9026
82.500000	78.099	-158.8270
83.800003	78.139	-159.7249
85.000000	78.161	-160.5204
86.199997	78.173	-161.2843
87.500000	78.176	-162.1135
88.500000	78.164	-162.7473
90.000000	78.128	-163.5767
91.199997	78.098	-164.1151
92.500000	78.070	-164.6143
93.800003	78.047	-165.0337
95.000000	78.033	-165.3788
96.199997	78.024	-165.7242
97.500000	78.015	-166.1270
98.800003	78.000	-166.5412
100.000000	77.982	-166.9055
101.500000	77.957	-167.3161
103.000000	77.935	-167.6882
104.400002	77.915	-168.0471
106.000000	77.891	-168.4734
107.500000	77.869	-168.8769
109.000000	77.849	-169.2786
110.599998	77.826	-169.6721
112.000000	77.805	-169.9549
113.800003	77.781	-170.3066
115.000000	77.762	-170.5958
117.199997	77.728	-171.2784
118.000000	77.714	-171.5855
120.599998	77.653	-172.3446
122.000000	77.651	-172.5556
124.099998	77.651	-173.0007
125.000000	77.638	-173.2108
126.500000	77.599	-173.5686
128.000000	77.546	-173.9742
131.500000	77.362	-175.0398
132.000000	77.328	-175.1579
134.000000	77.181	-175.4148
