* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:08:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-580 BS Rag L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 57.954 -56.6524
20.299999 58.083 -57.4240
20.600000 58.192 -58.2015
20.900000 58.287 -58.8452
21.200001 58.393 -59.2998
21.400000 58.480 -59.5462
21.799999 58.695 -60.0569
22.000000 58.819 -60.3931
22.400000 59.074 -61.3154
22.700001 59.252 -62.1900
23.000000 59.407 -63.1332
23.299999 59.536 -64.0519
23.600000 59.643 -64.8720
24.000000 59.762 -65.7121
24.299999 59.849 -66.1054
24.700001 59.982 -66.3290
25.000000 60.111 -66.3623
25.400000 60.324 -66.4281
25.799999 60.559 -66.7359
26.200001 60.772 -67.3179
26.500000 60.900 -67.8069
26.900000 61.033 -68.3125
27.200001 61.130 -68.5028
27.600000 61.289 -68.6011
28.000000 61.495 -68.8540
28.500000 61.756 -69.8259
29.000000 61.916 -71.3783
29.500000 61.948 -72.7855
30.000000 61.941 -73.5023
30.400000 61.980 -73.7331
30.700001 62.048 -73.9336
31.100000 62.160 -74.4473
31.500000 62.259 -75.2055
32.000000 62.343 -76.1280
32.500000 62.435 -76.6965
33.000000 62.604 -77.1021
33.500000 62.844 -77.8144
34.000000 63.086 -79.0189
34.500000 63.281 -80.4479
35.000000 63.432 -81.7766
35.500000 63.565 -82.8983
36.000000 63.683 -83.8430
36.500000 63.777 -84.5255
37.000000 63.870 -84.7649
37.500000 64.012 -84.5830
38.200001 64.342 -84.3725
38.700001 64.614 -84.8249
39.500000 64.913 -86.4642
40.000000 64.994 -87.4148
40.599998 65.055 -88.1000
41.200001 65.141 -88.5890
41.799999 65.229 -89.2250
42.500000 65.296 -89.9181
43.099998 65.384 -90.2271
43.700001 65.552 -90.7802
44.400002 65.733 -92.3355
45.000000 65.759 -93.8592
45.500000 65.730 -94.5111
46.200001 65.791 -94.5268
46.799999 65.983 -94.7234
47.500000 66.200 -95.7968
48.200001 66.312 -96.9615
48.700001 66.366 -97.4552
49.400002 66.470 -97.7891
50.000000 66.596 -97.9424
50.799999 66.834 -98.2586
51.500000 67.069 -99.1508
52.200001 67.220 -100.5565
53.000000 67.293 -101.8982
53.799999 67.376 -103.0135
54.500000 67.395 -104.2695
55.200001 67.292 -104.9530
56.000000 67.248 -104.1381
57.000000 67.596 -103.5481
58.000000 67.853 -105.7721
59.000000 67.773 -107.6772
60.000000 67.729 -108.1356
60.799999 67.815 -108.5406
61.500000 67.930 -109.3114
62.200001 68.034 -110.4527
63.000000 68.105 -111.8803
64.000000 68.157 -113.3094
65.000000 68.230 -114.3663
66.000000 68.312 -115.2833
67.000000 68.377 -116.1379
68.000000 68.396 -116.9614
69.000000 68.363 -117.7110
70.000000 68.275 -118.4546
71.000000 68.118 -119.0023
72.000000 67.940 -119.0478
73.000000 67.814 -118.5653
74.000000 67.815 -117.7857
75.000000 67.936 -117.3088
76.199997 68.133 -117.1039
77.500000 68.410 -117.1802
78.800003 68.673 -117.7888
80.000000 68.854 -118.6373
81.199997 68.968 -119.4010
82.500000 69.083 -120.1473
83.800003 69.168 -121.0064
85.000000 69.228 -121.6747
86.199997 69.305 -122.1729
87.500000 69.430 -122.8033
88.500000 69.521 -123.4635
90.000000 69.641 -124.4153
91.199997 69.746 -125.2222
92.500000 69.844 -126.2654
93.800003 69.901 -127.3286
95.000000 69.935 -128.2008
96.199997 69.963 -129.0708
97.500000 69.963 -130.0356
98.800003 69.937 -130.8136
100.000000 69.920 -131.3876
101.500000 69.904 -132.1030
103.000000 69.875 -132.7482
104.400002 69.856 -133.1874
106.000000 69.871 -133.6824
107.500000 69.905 -134.3963
109.000000 69.907 -135.2482
110.599998 69.886 -135.9812
112.000000 69.858 -136.5138
113.800003 69.797 -136.8956
115.000000 69.764 -136.9119
117.199997 69.760 -136.7982
118.000000 69.775 -136.7915
120.599998 69.857 -137.1305
122.000000 69.895 -137.6440
124.099998 69.882 -138.5074
125.000000 69.860 -138.7301
126.500000 69.845 -138.8398
128.000000 69.884 -138.9521
131.500000 69.978 -140.0699
132.000000 69.980 -140.2783
134.000000 69.957 -141.0586
136.000000 69.892 -141.7372
138.000000 69.763 -142.1376
140.000000 69.614 -141.8827
143.000000 69.560 -140.6498
145.000000 69.653 -140.0855
147.500000 69.793 -140.0531
150.000000 69.881 -140.4956
152.500000 69.923 -140.9603
155.000000 69.966 -141.2925
157.500000 70.000 -141.6132
160.000000 70.006 -141.9316
162.500000 70.010 -142.1772
165.000000 70.025 -142.4636
167.500000 70.018 -142.6711
170.000000 70.011 -142.6340
172.500000 70.030 -142.6310
175.000000 70.041 -142.8088
177.500000 70.044 -142.9853
180.000000 70.055 -143.1954
182.500000 70.057 -143.3404
185.000000 70.061 -143.3834
187.500000 70.072 -143.4953
190.000000 70.074 -143.7037
192.500000 70.064 -143.8307
195.000000 70.057 -143.8982
197.500000 70.051 -143.9758
200.000000 70.055 -144.0210
203.000000 70.065 -144.0054
206.000000 70.082 -143.8938
209.000000 70.104 -143.8729
212.000000 70.106 -143.9436
214.000000 70.101 -143.9956
218.000000 70.100 -144.1205
220.000000 70.107 -144.1647
224.000000 70.126 -144.1958
227.000000 70.129 -144.2411
230.000000 70.118 -144.3139
233.000000 70.101 -144.2935
236.000000 70.093 -144.1420
240.000000 70.094 -143.9413
243.000000 70.103 -143.8855
247.000000 70.124 -143.8719
250.000000 70.141 -143.8609
254.000000 70.146 -143.8250
258.000000 70.125 -143.7423
262.000000 70.111 -143.6526
265.000000 70.117 -143.5660
269.000000 70.124 -143.3363
272.000000 70.126 -143.1614
276.000000 70.128 -143.0678
280.000000 70.129 -142.9480
285.000000 70.133 -142.7251
290.000000 70.140 -142.3956
295.000000 70.124 -142.0719
300.000000 70.112 -141.8460
304.000000 70.129 -141.6905
307.000000 70.146 -141.5506
311.000000 70.150 -141.3514
315.000000 70.139 -141.2046
320.000000 70.131 -140.9889
325.000000 70.133 -140.7375
330.000000 70.142 -140.4516
335.000000 70.158 -140.0901
340.000000 70.175 -139.7164
345.000000 70.188 -139.4331
350.000000 70.197 -139.2356
355.000000 70.195 -138.9536
360.000000 70.202 -138.5318
365.000000 70.219 -138.1331
370.000000 70.239 -137.8129
375.000000 70.269 -137.5129
382.000000 70.292 -137.0762
387.000000 70.298 -136.7415
395.000000 70.307 -136.2890
400.000000 70.330 -136.0108
406.000000 70.355 -135.6465
412.000000 70.368 -135.3107
418.000000 70.381 -134.9404
425.000000 70.390 -134.4922
431.000000 70.409 -134.0799
437.000000 70.436 -133.6468
444.000000 70.458 -133.1843
450.000000 70.474 -132.8327
455.000000 70.487 -132.5434
462.000000 70.505 -132.1161
468.000000 70.523 -131.7354
475.000000 70.538 -131.2847
482.000000 70.532 -130.8043
487.000000 70.533 -130.3819
494.000000 70.554 -129.7340
500.000000 70.580 -129.2740
508.000000 70.604 -128.6964
515.000000 70.613 -128.0654
522.000000 70.634 -127.4200
530.000000 70.680 -126.8393
538.000000 70.704 -126.2971
545.000000 70.719 -125.8127
552.000000 70.739 -125.2442
560.000000 70.775 -124.5494
570.000000 70.824 -123.7808
580.000000 70.869 -123.0687
590.000000 70.938 -122.3464
600.000000 71.009 -121.6752
608.000000 71.052 -121.2134
615.000000 71.069 -120.8301
622.000000 71.084 -120.3864
630.000000 71.118 -119.8521
640.000000 71.149 -119.1459
650.000000 71.180 -118.3368
660.000000 71.228 -117.6650
670.000000 71.263 -117.0058
680.000000 71.306 -116.2342
690.000000 71.359 -115.5499
700.000000 71.411 -114.9686
710.000000 71.445 -114.4249
720.000000 71.452 -113.8266
730.000000 71.474 -113.1214
740.000000 71.523 -112.3479
750.000000 71.573 -111.6545
762.000000 71.636 -110.9028
775.000000 71.691 -110.2360
788.000000 71.689 -109.6670
800.000000 71.619 -108.9271
812.000000 71.516 -107.5727
825.000000 71.513 -105.3271
838.000000 71.668 -103.2502
850.000000 71.837 -101.9566
862.000000 71.987 -100.9741
875.000000 72.140 -100.1932
885.000000 72.229 -99.6731
900.000000 72.314 -98.7745
912.000000 72.382 -97.8945
925.000000 72.485 -96.9181
938.000000 72.602 -96.1670
950.000000 72.680 -95.5846
962.000000 72.747 -94.8603
975.000000 72.837 -93.9849
988.000000 72.927 -93.2109
1000.000000 73.006 -92.4902
1015.000000 73.097 -91.4775
1030.000000 73.179 -90.5265
1044.000000 73.262 -89.6661
1060.000000 73.366 -88.6220
1075.000000 73.488 -87.7159
1090.000000 73.592 -86.8163
1106.000000 73.682 -85.9706
1120.000000 73.720 -85.2764
1138.000000 73.750 -83.9036
1150.000000 73.813 -82.7283
1172.000000 74.011 -80.9540
1180.000000 74.098 -80.3697
1206.000000 74.401 -78.7083
1220.000000 74.559 -77.9989
1241.000000 74.749 -77.1599
1250.000000 74.808 -76.7623
1265.000000 74.906 -75.9175
1280.000000 75.036 -75.1219
1315.000000 75.424 -74.0129
1320.000000 75.465 -74.0040
1340.000000 75.561 -74.1061
1360.000000 75.598 -73.9414
1380.000000 75.635 -73.1016
1400.000000 75.774 -71.8704
1430.000000 76.027 -71.1361
1450.000000 76.051 -71.3458
1475.000000 75.985 -70.4608
1500.000000 76.035 -68.2128
1525.000000 76.217 -66.7693
1550.000000 76.331 -66.2382
1575.000000 76.353 -65.2161
1600.000000 76.425 -63.5960
1625.000000 76.579 -62.2305
1650.000000 76.701 -61.0712
1675.000000 76.865 -59.9392
1700.000000 77.005 -59.5169
1725.000000 76.983 -58.8990
1750.000000 77.037 -57.2767
1775.000000 77.182 -56.4917
1800.000000 77.154 -56.0119
1825.000000 77.066 -54.3213
1850.000000 77.100 -52.1137
1875.000000 77.224 -50.1413
1900.000000 77.373 -48.4739
1925.000000 77.524 -47.1084
1950.000000 77.604 -45.8970
1975.000000 77.625 -44.3216
2000.000000 77.707 -42.3489
2030.000000 77.844 -40.4484
2060.000000 77.985 -38.0708
2090.000000 78.267 -35.4821
2120.000000 78.519 -33.7209
2140.000000 78.648 -32.5292
2180.000000 78.954 -29.6661
2200.000000 79.167 -28.4915
2240.000000 79.599 -26.9163
2270.000000 79.812 -25.8557
2300.000000 80.000 -24.0670
2330.000000 80.290 -22.1765
2360.000000 80.621 -20.8622
2400.000000 81.037 -19.5888
2430.000000 81.343 -18.9131
2470.000000 81.612 -17.8355
2500.000000 81.849 -16.3220
2540.000000 82.323 -14.5143
2580.000000 82.873 -13.5782
2620.000000 83.325 -13.5578
2650.000000 83.618 -13.3501
2690.000000 84.058 -13.3849
2720.000000 84.351 -13.8749
2760.000000 84.662 -14.7203
2800.000000 84.916 -15.3505
2850.000000 85.217 -15.8496
2900.000000 85.555 -16.6296
2950.000000 85.818 -17.8529
3000.000000 86.013 -18.9745
3040.000000 86.170 -19.9382
3070.000000 86.241 -20.7964
3110.000000 86.311 -21.5926
3150.000000 86.421 -22.4810
3200.000000 86.496 -23.9540
3250.000000 86.512 -25.2189
3300.000000 86.531 -26.5441
3350.000000 86.498 -28.1700
3400.000000 86.395 -29.9190
3450.000000 86.198 -31.5718
3500.000000 85.943 -32.8979
3550.000000 85.650 -34.0529
3600.000000 85.320 -35.0823
3650.000000 84.931 -36.3029
3700.000000 84.383 -37.2522
3750.000000 83.719 -37.2053
3820.000000 82.744 -35.5387
3870.000000 82.022 -33.5434
3950.000000 80.724 -27.5518
4000.000000 79.995 -21.1870
4060.000000 79.502 -11.6906
4120.000000 79.556 -1.6900
4180.000000 80.105 7.1618
4250.000000 81.144 14.8249
4310.000000 82.142 18.3644
4370.000000 83.034 19.3591
4440.000000 83.785 18.3022
4500.000000 84.158 16.6902
4550.000000 84.318 15.4743
4620.000000 84.391 14.2004
4680.000000 84.344 13.7499
4750.000000 84.274 13.9755
4820.000000 84.205 14.6079
4870.000000 84.166 15.3099
