* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:05:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-580 BS Rag R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 66.463 -93.9939
20.299999 66.586 -94.7773
20.600000 66.699 -95.5314
20.900000 66.806 -96.2346
21.200001 66.912 -96.8878
21.400000 66.984 -97.3073
21.799999 67.133 -98.1404
22.000000 67.207 -98.5693
22.400000 67.350 -99.4722
22.700001 67.447 -100.1752
23.000000 67.529 -100.8613
23.299999 67.599 -101.4789
23.600000 67.662 -101.9926
24.000000 67.750 -102.5028
24.299999 67.829 -102.7983
24.700001 67.956 -103.1847
25.000000 68.062 -103.5430
25.400000 68.200 -104.1467
25.799999 68.319 -104.8236
26.200001 68.419 -105.4430
26.500000 68.492 -105.8230
26.900000 68.602 -106.2471
27.200001 68.698 -106.5797
27.600000 68.837 -107.1506
28.000000 68.965 -107.9034
28.500000 69.083 -108.9363
29.000000 69.162 -109.7608
29.500000 69.247 -110.2696
30.000000 69.372 -110.6767
30.400000 69.491 -111.1066
30.700001 69.578 -111.5097
31.100000 69.683 -112.0842
31.500000 69.778 -112.6186
32.000000 69.902 -113.2092
32.500000 70.040 -113.8503
33.000000 70.171 -114.6618
33.500000 70.266 -115.5596
34.000000 70.326 -116.3417
34.500000 70.374 -116.9114
35.000000 70.428 -117.3275
35.500000 70.491 -117.6758
36.000000 70.561 -117.9746
36.500000 70.646 -118.2415
37.000000 70.751 -118.5765
37.500000 70.865 -119.0936
38.200001 70.998 -120.1160
38.700001 71.064 -120.9052
39.500000 71.143 -122.0604
40.000000 71.187 -122.7404
40.599998 71.228 -123.4882
41.200001 71.269 -124.0280
41.799999 71.344 -124.3757
42.500000 71.490 -124.8885
43.099998 71.621 -125.6376
43.700001 71.716 -126.4872
44.400002 71.802 -127.2974
45.000000 71.883 -127.8933
45.500000 71.947 -128.4485
46.200001 72.005 -129.2203
46.799999 72.038 -129.6780
47.500000 72.102 -130.0771
48.200001 72.179 -130.6199
48.700001 72.223 -131.0566
49.400002 72.288 -131.5727
50.000000 72.372 -132.0519
50.799999 72.493 -133.0376
51.500000 72.567 -134.0575
52.200001 72.621 -135.0040
53.000000 72.660 -135.9801
53.799999 72.676 -136.5135
54.500000 72.748 -136.5425
55.200001 72.900 -136.8114
56.000000 73.038 -137.8348
57.000000 73.048 -139.0517
58.000000 73.033 -139.6213
59.000000 73.026 -140.1972
60.000000 73.014 -140.6881
60.799999 73.037 -141.1571
61.500000 73.069 -141.7805
62.200001 73.094 -142.5672
63.000000 73.109 -143.5865
64.000000 73.087 -144.8598
65.000000 73.038 -145.7229
66.000000 73.033 -146.3107
67.000000 73.024 -147.1003
68.000000 72.953 -147.6505
69.000000 72.897 -147.8091
70.000000 72.860 -147.9701
71.000000 72.824 -147.9545
72.000000 72.846 -147.8122
73.000000 72.915 -147.9099
74.000000 72.987 -148.2196
75.000000 73.056 -148.5564
76.199997 73.146 -148.9826
77.500000 73.242 -149.5771
78.800003 73.326 -150.3686
80.000000 73.364 -151.3261
81.199997 73.362 -152.1872
82.500000 73.365 -152.9929
83.800003 73.379 -153.7490
85.000000 73.391 -154.4777
86.199997 73.380 -155.0905
87.500000 73.360 -155.6080
88.500000 73.326 -155.9331
90.000000 73.251 -156.1912
91.199997 73.187 -156.1804
92.500000 73.149 -156.0009
93.800003 73.161 -155.8602
95.000000 73.205 -155.8853
96.199997 73.267 -156.0736
97.500000 73.339 -156.4782
98.800003 73.388 -156.9866
100.000000 73.421 -157.3691
101.500000 73.481 -157.8665
103.000000 73.534 -158.5717
104.400002 73.557 -159.2570
106.000000 73.567 -159.8722
107.500000 73.582 -160.3675
109.000000 73.571 -160.9077
110.599998 73.527 -161.3127
112.000000 73.497 -161.5362
113.800003 73.487 -161.8189
115.000000 73.504 -162.0267
117.199997 73.562 -162.6592
118.000000 73.571 -162.9351
120.599998 73.574 -163.7046
122.000000 73.565 -164.1605
124.099998 73.541 -164.8236
125.000000 73.537 -165.0853
126.500000 73.539 -165.5479
128.000000 73.536 -166.0111
131.500000 73.460 -166.8395
132.000000 73.444 -166.9075
134.000000 73.391 -167.1035
136.000000 73.363 -167.3771
138.000000 73.324 -167.6828
140.000000 73.296 -167.8571
143.000000 73.257 -168.2417
145.000000 73.215 -168.5186
147.500000 73.168 -168.8605
150.000000 73.118 -169.1774
152.500000 73.064 -169.3085
155.000000 73.002 -169.3454
157.500000 72.955 -169.1995
160.000000 72.930 -169.0205
162.500000 72.923 -168.8209
165.000000 72.933 -168.8021
167.500000 72.966 -168.9255
170.000000 73.006 -169.2004
172.500000 73.016 -169.4617
175.000000 73.010 -169.7216
177.500000 72.999 -170.0543
180.000000 72.984 -170.3564
182.500000 72.968 -170.5638
185.000000 72.949 -170.8062
187.500000 72.921 -171.0226
190.000000 72.898 -171.1234
192.500000 72.878 -171.1825
195.000000 72.857 -171.2787
197.500000 72.830 -171.4155
200.000000 72.801 -171.5127
203.000000 72.771 -171.5772
206.000000 72.751 -171.6686
209.000000 72.733 -171.7771
212.000000 72.712 -171.8423
214.000000 72.693 -171.8668
218.000000 72.653 -171.8299
220.000000 72.638 -171.7748
224.000000 72.629 -171.6840
227.000000 72.632 -171.7179
230.000000 72.628 -171.7920
233.000000 72.614 -171.8724
236.000000 72.597 -171.9840
240.000000 72.584 -172.1426
243.000000 72.579 -172.1409
247.000000 72.561 -171.9582
250.000000 72.540 -171.8412
254.000000 72.498 -171.8316
258.000000 72.459 -171.9574
262.000000 72.453 -172.1685
265.000000 72.454 -172.1641
269.000000 72.442 -172.0016
272.000000 72.421 -171.9345
276.000000 72.401 -171.8268
280.000000 72.382 -171.7196
285.000000 72.368 -171.7755
290.000000 72.368 -171.7482
295.000000 72.342 -171.7470
300.000000 72.310 -171.6992
304.000000 72.291 -171.5643
307.000000 72.283 -171.4652
311.000000 72.273 -171.3590
315.000000 72.270 -171.2624
320.000000 72.272 -171.1763
325.000000 72.257 -171.2578
330.000000 72.231 -171.2561
335.000000 72.210 -171.1261
340.000000 72.188 -171.0029
345.000000 72.162 -170.7959
350.000000 72.147 -170.6081
355.000000 72.137 -170.4997
360.000000 72.120 -170.3576
365.000000 72.093 -170.1857
370.000000 72.066 -170.0308
375.000000 72.054 -169.8996
382.000000 72.048 -169.6174
387.000000 72.047 -169.3983
395.000000 72.032 -169.1636
400.000000 72.029 -169.0068
406.000000 72.036 -168.7609
412.000000 72.035 -168.5508
418.000000 72.035 -168.3584
425.000000 72.015 -168.1040
431.000000 72.002 -167.8470
437.000000 72.003 -167.6564
444.000000 71.995 -167.3088
450.000000 71.981 -167.0298
455.000000 71.991 -166.7559
462.000000 72.020 -166.6339
468.000000 72.011 -166.4139
475.000000 72.021 -166.0850
482.000000 72.003 -165.9315
487.000000 71.978 -165.7460
494.000000 71.958 -165.4110
500.000000 71.955 -165.0712
508.000000 71.985 -164.6166
515.000000 72.025 -164.2050
522.000000 72.069 -163.8195
530.000000 72.082 -163.6209
538.000000 72.039 -163.5864
545.000000 72.023 -163.4708
552.000000 72.049 -163.2821
560.000000 72.072 -162.9008
570.000000 72.074 -162.8937
580.000000 72.163 -162.9917
590.000000 72.215 -162.4254
600.000000 72.205 -162.1652
608.000000 72.206 -161.8907
615.000000 72.220 -161.5151
622.000000 72.229 -161.1558
630.000000 72.224 -160.8813
640.000000 72.235 -160.6183
650.000000 72.252 -160.3444
660.000000 72.257 -160.1186
670.000000 72.279 -159.9299
680.000000 72.289 -159.6238
690.000000 72.303 -159.2153
700.000000 72.318 -158.9532
710.000000 72.330 -158.6096
720.000000 72.340 -157.9438
730.000000 72.353 -157.5181
740.000000 72.386 -157.3338
750.000000 72.437 -157.1460
762.000000 72.485 -157.0065
775.000000 72.489 -156.7752
788.000000 72.496 -156.3455
800.000000 72.514 -155.8688
812.000000 72.526 -155.4543
825.000000 72.555 -155.1451
838.000000 72.587 -154.8075
850.000000 72.626 -154.3410
862.000000 72.676 -153.9544
875.000000 72.702 -153.7090
885.000000 72.699 -153.5279
900.000000 72.682 -153.1104
912.000000 72.660 -152.5700
925.000000 72.656 -151.8175
938.000000 72.694 -151.0877
950.000000 72.741 -150.5447
962.000000 72.774 -149.9905
975.000000 72.807 -149.3809
988.000000 72.843 -148.7187
1000.000000 72.889 -148.0582
1015.000000 72.963 -147.2864
1030.000000 73.041 -146.5592
1044.000000 73.107 -145.8247
1060.000000 73.208 -144.8318
1075.000000 73.339 -144.1653
1090.000000 73.471 -143.8301
1106.000000 73.603 -143.5166
1120.000000 73.695 -143.1380
1138.000000 73.780 -142.5667
1150.000000 73.851 -142.0933
1172.000000 74.014 -141.4048
1180.000000 74.082 -141.1593
1206.000000 74.329 -140.5157
1220.000000 74.465 -140.2999
1241.000000 74.652 -140.3428
1250.000000 74.709 -140.3660
1265.000000 74.801 -140.2911
1280.000000 74.908 -140.1976
1315.000000 75.157 -140.2160
1320.000000 75.194 -140.2654
1340.000000 75.320 -140.6402
1360.000000 75.378 -140.9521
1380.000000 75.409 -141.0580
1400.000000 75.429 -140.8757
1430.000000 75.563 -140.3747
1450.000000 75.667 -140.4640
1475.000000 75.720 -140.6961
1500.000000 75.735 -140.4450
1525.000000 75.841 -139.8680
1550.000000 75.922 -139.6794
1575.000000 75.974 -139.2741
1600.000000 76.037 -138.5819
1625.000000 76.173 -137.7240
1650.000000 76.316 -137.4022
1675.000000 76.398 -136.9435
1700.000000 76.577 -136.2607
1725.000000 76.770 -136.2373
1750.000000 76.880 -136.4172
1775.000000 76.933 -136.2038
1800.000000 77.043 -135.6780
1825.000000 77.178 -135.5526
1850.000000 77.226 -135.4419
1875.000000 77.276 -134.6342
1900.000000 77.425 -133.7408
1925.000000 77.584 -133.2060
1950.000000 77.730 -132.6093
1975.000000 77.897 -131.8467
2000.000000 78.134 -131.0826
2030.000000 78.421 -130.8874
2060.000000 78.645 -130.7372
2090.000000 78.890 -130.4332
2120.000000 79.168 -130.1564
2140.000000 79.364 -130.1041
2180.000000 79.755 -130.4280
2200.000000 79.913 -130.7697
2240.000000 80.201 -130.7991
2270.000000 80.545 -130.7805
2300.000000 80.872 -131.4927
2330.000000 81.148 -132.2364
2360.000000 81.457 -133.0887
2400.000000 81.820 -134.8957
2430.000000 82.042 -136.2527
2470.000000 82.294 -138.4073
2500.000000 82.389 -140.0120
2540.000000 82.469 -141.6164
2580.000000 82.549 -142.7076
2620.000000 82.679 -143.3079
2650.000000 82.824 -143.7061
2690.000000 83.070 -144.3838
2720.000000 83.285 -145.0880
2760.000000 83.594 -146.4708
2800.000000 83.868 -148.3186
2850.000000 84.197 -150.8453
2900.000000 84.476 -154.1091
2950.000000 84.621 -157.5287
3000.000000 84.708 -160.6671
3040.000000 84.766 -163.1276
3070.000000 84.793 -164.9525
3110.000000 84.832 -167.3008
3150.000000 84.885 -169.8303
3200.000000 84.912 -173.3874
3250.000000 84.877 -177.2005
3300.000000 84.762 178.6940
3350.000000 84.546 174.4429
3400.000000 84.214 170.2611
3450.000000 83.767 166.3068
3500.000000 83.207 162.7126
3550.000000 82.516 159.6049
3600.000000 81.686 157.5200
3650.000000 80.786 156.6254
3700.000000 79.842 156.9233
3750.000000 78.860 158.6368
3820.000000 77.500 164.2462
3870.000000 76.700 170.9487
3950.000000 76.327 -174.4434
4000.000000 76.979 -165.4359
4060.000000 78.365 -158.4594
4120.000000 79.785 -156.8328
4180.000000 80.891 -159.0127
4250.000000 81.736 -163.7063
4310.000000 82.159 -167.9969
4370.000000 82.410 -172.0581
4440.000000 82.583 -176.5229
4500.000000 82.632 179.5441
4550.000000 82.573 176.2728
4620.000000 82.354 172.0950
4680.000000 82.064 169.0704
4750.000000 81.652 166.3385
4820.000000 81.202 164.3761
4870.000000 80.869 163.4219
