* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:10:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-600 SS Rag L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 64.987 -92.0379
20.299999 65.101 -92.5475
20.600000 65.209 -93.0664
20.900000 65.310 -93.5889
21.200001 65.407 -94.1083
21.400000 65.470 -94.4518
21.799999 65.591 -95.1360
22.000000 65.650 -95.4775
22.400000 65.765 -96.1566
22.700001 65.848 -96.6498
23.000000 65.930 -97.1121
23.299999 66.017 -97.5356
23.600000 66.110 -97.9298
24.000000 66.251 -98.4506
24.299999 66.368 -98.8834
24.700001 66.529 -99.5602
25.000000 66.646 -100.1376
25.400000 66.788 -100.9417
25.799999 66.915 -101.6837
26.200001 67.039 -102.2988
26.500000 67.139 -102.6948
26.900000 67.286 -103.2128
27.200001 67.401 -103.6537
27.600000 67.548 -104.3442
28.000000 67.671 -105.0931
28.500000 67.789 -105.9235
29.000000 67.894 -106.4991
29.500000 68.021 -106.9240
30.000000 68.171 -107.4581
30.400000 68.286 -108.0647
30.700001 68.358 -108.6050
31.100000 68.427 -109.3473
31.500000 68.469 -110.0096
32.000000 68.504 -110.6060
32.500000 68.549 -110.9305
33.000000 68.635 -111.1268
33.500000 68.763 -111.4301
34.000000 68.903 -112.0254
34.500000 69.012 -112.8446
35.000000 69.073 -113.5938
35.500000 69.121 -114.0111
36.000000 69.207 -114.1763
36.500000 69.342 -114.4261
37.000000 69.484 -114.9952
37.500000 69.590 -115.7695
38.200001 69.680 -116.7058
38.700001 69.744 -117.1978
39.500000 69.866 -118.0953
40.000000 69.926 -118.7686
40.599998 69.974 -119.5134
41.200001 70.022 -120.0931
41.799999 70.093 -120.5660
42.500000 70.217 -121.1628
43.099998 70.342 -121.9237
43.700001 70.434 -122.9017
44.400002 70.477 -123.8152
45.000000 70.521 -124.0793
45.500000 70.614 -124.1707
46.200001 70.795 -124.7001
46.799999 70.916 -125.6005
47.500000 70.981 -126.6830
48.200001 71.005 -127.5342
48.700001 71.016 -128.0278
49.400002 71.034 -128.5927
50.000000 71.067 -129.0531
50.799999 71.115 -129.8596
51.500000 71.121 -130.4998
52.200001 71.143 -130.6844
53.000000 71.280 -130.8184
53.799999 71.440 -131.5868
54.500000 71.513 -132.3040
55.200001 71.591 -132.6391
56.000000 71.739 -133.1750
57.000000 71.848 -134.5114
58.000000 71.862 -135.5552
59.000000 71.885 -136.5771
60.000000 71.873 -137.6422
60.799999 71.888 -138.3881
61.500000 71.924 -139.2476
62.200001 71.938 -140.3007
63.000000 71.914 -141.4448
64.000000 71.855 -142.5388
65.000000 71.787 -143.3185
66.000000 71.699 -143.8672
67.000000 71.578 -144.1190
68.000000 71.435 -143.8425
69.000000 71.351 -142.9751
70.000000 71.388 -142.0586
71.000000 71.504 -141.5805
72.000000 71.643 -141.5547
73.000000 71.773 -141.8575
74.000000 71.881 -142.2745
75.000000 71.982 -142.7241
76.199997 72.092 -143.4039
77.500000 72.177 -144.2208
78.800003 72.246 -145.0280
80.000000 72.289 -145.7842
81.199997 72.312 -146.3951
82.500000 72.338 -146.8982
83.800003 72.365 -147.3554
85.000000 72.386 -147.8122
86.199997 72.397 -148.2718
87.500000 72.414 -148.6895
88.500000 72.441 -148.9892
90.000000 72.499 -149.3998
91.199997 72.562 -149.7143
92.500000 72.636 -150.1210
93.800003 72.699 -150.6307
95.000000 72.741 -151.1391
96.199997 72.779 -151.6512
97.500000 72.819 -152.2930
98.800003 72.839 -152.9846
100.000000 72.843 -153.5454
101.500000 72.841 -154.2015
103.000000 72.827 -154.8403
104.400002 72.808 -155.4045
106.000000 72.798 -155.9923
107.500000 72.795 -156.5406
109.000000 72.786 -157.0049
110.599998 72.768 -157.3990
112.000000 72.747 -157.6342
113.800003 72.751 -157.8984
115.000000 72.772 -158.1371
117.199997 72.828 -158.5994
118.000000 72.849 -158.7569
120.599998 72.886 -159.4187
122.000000 72.848 -159.8915
124.099998 72.749 -160.5442
125.000000 72.701 -160.7726
126.500000 72.640 -160.9711
128.000000 72.629 -160.9948
131.500000 72.724 -161.3903
132.000000 72.735 -161.5057
134.000000 72.760 -162.0868
136.000000 72.737 -162.8409
138.000000 72.639 -163.3931
140.000000 72.536 -163.2665
143.000000 72.552 -162.6469
145.000000 72.628 -162.6523
147.500000 72.699 -163.1183
150.000000 72.722 -163.8813
152.500000 72.706 -164.5755
155.000000 72.669 -164.9604
157.500000 72.607 -165.1040
160.000000 72.553 -165.1408
162.500000 72.542 -165.2926
165.000000 72.555 -165.4791
167.500000 72.553 -165.6635
170.000000 72.521 -165.7840
172.500000 72.497 -165.8344
175.000000 72.495 -165.9227
177.500000 72.496 -166.0451
180.000000 72.508 -166.1760
182.500000 72.529 -166.3767
185.000000 72.537 -166.6050
187.500000 72.525 -166.8168
190.000000 72.508 -167.0256
192.500000 72.502 -167.2767
195.000000 72.505 -167.5188
197.500000 72.509 -167.6816
200.000000 72.503 -167.8034
203.000000 72.482 -168.0172
206.000000 72.460 -168.3217
209.000000 72.436 -168.5568
212.000000 72.409 -168.7644
214.000000 72.395 -168.9933
218.000000 72.363 -169.2962
220.000000 72.346 -169.2112
224.000000 72.300 -169.1313
227.000000 72.271 -169.2132
230.000000 72.255 -169.2174
233.000000 72.244 -169.1673
236.000000 72.236 -169.1207
240.000000 72.229 -169.0330
243.000000 72.202 -169.0459
247.000000 72.157 -169.0632
250.000000 72.146 -169.0519
254.000000 72.161 -169.0945
258.000000 72.173 -169.1243
262.000000 72.156 -169.0551
265.000000 72.140 -169.0518
269.000000 72.138 -169.0415
272.000000 72.137 -169.0715
276.000000 72.107 -169.1548
280.000000 72.081 -169.2650
285.000000 72.043 -169.4485
290.000000 71.983 -169.3245
295.000000 71.944 -169.0314
300.000000 71.942 -168.9374
304.000000 71.946 -168.9716
307.000000 71.944 -168.9941
311.000000 71.945 -168.9525
315.000000 71.943 -168.9038
320.000000 71.921 -168.8463
325.000000 71.891 -168.7363
330.000000 71.876 -168.6959
335.000000 71.871 -168.5646
340.000000 71.863 -168.2291
345.000000 71.855 -167.9791
350.000000 71.837 -167.8398
355.000000 71.831 -167.7874
360.000000 71.844 -167.8406
365.000000 71.843 -167.7792
370.000000 71.826 -167.6401
375.000000 71.822 -167.4125
382.000000 71.805 -167.0400
387.000000 71.790 -166.9224
395.000000 71.786 -166.8396
400.000000 71.795 -166.6655
406.000000 71.811 -166.4656
412.000000 71.811 -166.3377
418.000000 71.795 -166.2501
425.000000 71.798 -166.0557
431.000000 71.822 -165.9999
437.000000 71.830 -165.9897
444.000000 71.819 -165.5908
450.000000 71.806 -165.2997
455.000000 71.799 -165.2059
462.000000 71.795 -165.0309
468.000000 71.796 -164.7950
475.000000 71.802 -164.5646
482.000000 71.806 -164.4448
487.000000 71.808 -164.3109
494.000000 71.824 -164.0304
500.000000 71.843 -163.8003
508.000000 71.847 -163.5899
515.000000 71.846 -163.3373
522.000000 71.868 -162.9806
530.000000 71.888 -162.7301
538.000000 71.891 -162.6002
545.000000 71.894 -162.4216
552.000000 71.895 -162.2671
560.000000 71.887 -162.0526
570.000000 71.902 -161.6978
580.000000 71.934 -161.4207
590.000000 71.974 -161.2662
600.000000 71.972 -161.1871
608.000000 71.954 -161.1019
615.000000 71.932 -161.0057
622.000000 71.905 -160.8553
630.000000 71.862 -160.4936
640.000000 71.827 -159.8192
650.000000 71.833 -159.1211
660.000000 71.860 -158.4371
670.000000 71.894 -157.8552
680.000000 71.952 -157.2715
690.000000 72.030 -156.7325
700.000000 72.092 -156.3426
710.000000 72.152 -156.1319
720.000000 72.208 -155.9419
730.000000 72.257 -155.7238
740.000000 72.297 -155.5935
750.000000 72.321 -155.4963
762.000000 72.348 -155.3602
775.000000 72.388 -155.1975
788.000000 72.413 -154.9749
800.000000 72.441 -154.7806
812.000000 72.471 -154.6549
825.000000 72.481 -154.5177
838.000000 72.473 -154.4498
850.000000 72.448 -154.5189
862.000000 72.392 -154.3881
875.000000 72.293 -153.9852
885.000000 72.202 -153.3865
900.000000 72.100 -151.7969
912.000000 72.110 -150.2708
925.000000 72.212 -148.8693
938.000000 72.335 -147.8520
950.000000 72.453 -147.0176
962.000000 72.596 -146.3134
975.000000 72.739 -145.9546
988.000000 72.851 -145.7391
1000.000000 72.930 -145.4033
1015.000000 73.028 -144.8634
1030.000000 73.129 -144.5385
1044.000000 73.189 -144.3130
1060.000000 73.271 -143.8837
1075.000000 73.373 -143.5841
1090.000000 73.471 -143.2786
1106.000000 73.558 -142.7285
1120.000000 73.614 -142.1273
1138.000000 73.687 -141.1964
1150.000000 73.771 -140.6565
1172.000000 74.012 -139.9958
1180.000000 74.105 -139.8318
1206.000000 74.368 -139.5294
1220.000000 74.478 -139.3923
1241.000000 74.638 -139.0964
1250.000000 74.713 -139.0115
1265.000000 74.844 -138.9841
1280.000000 74.970 -138.9876
1315.000000 75.275 -139.3820
1320.000000 75.308 -139.5494
1340.000000 75.404 -140.1724
1360.000000 75.460 -140.3572
1380.000000 75.517 -140.4129
1400.000000 75.574 -140.4060
1430.000000 75.697 -140.2189
1450.000000 75.776 -140.1254
1475.000000 75.877 -139.9090
1500.000000 76.041 -139.9314
1525.000000 76.164 -140.3835
1550.000000 76.202 -140.5480
1575.000000 76.279 -140.2123
1600.000000 76.418 -140.1793
1625.000000 76.466 -140.5129
1650.000000 76.501 -140.1975
1675.000000 76.626 -139.8792
1700.000000 76.707 -140.1683
1725.000000 76.725 -140.0258
1750.000000 76.831 -139.5099
1775.000000 76.928 -139.6350
1800.000000 76.939 -139.4000
1825.000000 77.047 -138.5671
1850.000000 77.231 -138.4766
1875.000000 77.327 -138.7924
1900.000000 77.391 -138.7836
1925.000000 77.461 -138.6818
1950.000000 77.513 -138.5356
1975.000000 77.535 -138.1751
2000.000000 77.571 -137.4143
2030.000000 77.721 -136.4286
2060.000000 77.945 -135.8423
2090.000000 78.099 -135.8588
2120.000000 78.152 -135.3552
2140.000000 78.252 -134.5414
2180.000000 78.605 -133.7102
2200.000000 78.750 -133.6649
2240.000000 78.996 -133.3452
2270.000000 79.221 -132.9016
2300.000000 79.491 -132.5795
2330.000000 79.760 -132.7356
2360.000000 79.969 -132.9979
2400.000000 80.302 -133.0328
2430.000000 80.536 -133.5601
2470.000000 80.805 -133.7756
2500.000000 81.089 -133.9547
2540.000000 81.462 -134.8379
2580.000000 81.767 -136.1511
2620.000000 81.998 -137.1923
2650.000000 82.215 -137.8503
2690.000000 82.478 -139.1295
2720.000000 82.662 -139.9478
2760.000000 82.936 -141.1207
2800.000000 83.198 -142.4857
2850.000000 83.529 -144.3729
2900.000000 83.812 -146.6361
2950.000000 84.070 -148.8715
3000.000000 84.317 -151.3426
3040.000000 84.470 -153.4300
3070.000000 84.588 -154.8484
3110.000000 84.767 -157.0560
3150.000000 84.877 -159.5698
3200.000000 84.962 -162.5009
3250.000000 85.021 -165.4352
3300.000000 85.040 -168.3539
3350.000000 85.041 -171.1796
3400.000000 85.019 -174.0801
3450.000000 84.957 -177.0176
3500.000000 84.867 -179.8873
3550.000000 84.732 177.1205
3600.000000 84.532 174.3046
3650.000000 84.289 171.7523
3700.000000 84.037 169.4653
3750.000000 83.764 167.2042
3820.000000 83.301 164.4082
3870.000000 82.926 162.8622
3950.000000 82.338 160.9742
4000.000000 81.936 160.1180
4060.000000 81.440 159.7032
4120.000000 80.957 159.9343
4180.000000 80.515 160.6678
4250.000000 80.029 162.1921
4310.000000 79.684 164.4089
4370.000000 79.505 167.3193
4440.000000 79.581 170.5763
4500.000000 79.824 172.4999
4550.000000 80.073 173.3157
4620.000000 80.434 173.3711
4680.000000 80.695 172.4399
4750.000000 80.879 170.7701
4820.000000 80.942 169.0140
4870.000000 80.943 168.0270
4940.000000 80.950 166.9056
