* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 4:51:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-600 SS Rag R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 63.851 -89.5407
20.299999 63.923 -89.4716
20.600000 64.041 -89.3150
20.900000 64.194 -89.2846
21.200001 64.353 -89.5023
21.400000 64.446 -89.7467
21.799999 64.591 -90.2840
22.000000 64.648 -90.4858
22.400000 64.764 -90.6424
22.700001 64.878 -90.6348
23.000000 65.028 -90.7153
23.299999 65.196 -91.0457
23.600000 65.358 -91.6639
24.000000 65.529 -92.8267
24.299999 65.614 -93.7621
24.700001 65.690 -94.8759
25.000000 65.739 -95.5714
25.400000 65.814 -96.4044
25.799999 65.894 -97.2655
26.200001 65.956 -98.1231
26.500000 65.988 -98.6320
26.900000 66.034 -98.9755
27.200001 66.101 -98.9888
27.600000 66.262 -98.8911
28.000000 66.498 -99.0438
28.500000 66.811 -99.9310
29.000000 67.042 -101.2977
29.500000 67.179 -102.4493
30.000000 67.303 -103.0070
30.400000 67.446 -103.2280
30.700001 67.578 -103.4635
31.100000 67.756 -104.0306
31.500000 67.896 -104.8296
32.000000 67.995 -105.7828
32.500000 68.048 -106.3000
33.000000 68.132 -106.4496
33.500000 68.266 -106.6903
34.000000 68.392 -107.3473
34.500000 68.448 -108.2161
35.000000 68.435 -108.8208
35.500000 68.419 -108.9138
36.000000 68.466 -108.7530
36.500000 68.577 -108.7828
37.000000 68.698 -109.1972
37.500000 68.792 -109.8307
38.200001 68.892 -110.6754
38.700001 68.965 -111.1968
39.500000 69.096 -111.9353
40.000000 69.198 -112.2722
40.599998 69.372 -112.6755
41.200001 69.583 -113.4311
41.799999 69.762 -114.5900
42.500000 69.893 -115.9592
43.099998 69.980 -116.8813
43.700001 70.069 -117.7797
44.400002 70.128 -118.8978
45.000000 70.130 -119.5967
45.500000 70.139 -119.8830
46.200001 70.206 -120.2119
46.799999 70.277 -120.7606
47.500000 70.320 -121.4560
48.200001 70.368 -121.8419
48.700001 70.441 -122.0768
49.400002 70.571 -122.6871
50.000000 70.661 -123.3685
50.799999 70.762 -124.0904
51.500000 70.865 -124.5837
52.200001 70.968 -125.0883
53.000000 71.068 -125.5218
53.799999 71.185 -125.8062
54.500000 71.304 -126.2449
55.200001 71.392 -127.0333
56.000000 71.403 -128.1030
57.000000 71.327 -128.8796
58.000000 71.321 -129.1657
59.000000 71.389 -129.7607
60.000000 71.501 -130.5515
60.799999 71.625 -131.4717
61.500000 71.715 -132.5040
62.200001 71.771 -133.4598
63.000000 71.832 -134.3141
64.000000 71.918 -135.3593
65.000000 71.958 -136.5140
66.000000 71.940 -137.5782
67.000000 71.874 -138.6169
68.000000 71.742 -139.4999
69.000000 71.575 -139.9789
70.000000 71.395 -140.0701
71.000000 71.211 -139.3291
72.000000 71.166 -137.6330
73.000000 71.321 -136.0906
74.000000 71.547 -135.2566
75.000000 71.789 -134.9277
76.199997 72.065 -135.3561
77.500000 72.242 -136.5783
78.800003 72.304 -137.6826
80.000000 72.359 -138.3642
81.199997 72.448 -139.0252
82.500000 72.560 -139.8660
83.800003 72.664 -140.8320
85.000000 72.736 -141.8315
86.199997 72.766 -142.8439
87.500000 72.768 -143.7104
88.500000 72.778 -144.2588
90.000000 72.800 -144.9877
91.199997 72.830 -145.4395
92.500000 72.877 -145.8140
93.800003 72.943 -146.1344
95.000000 72.998 -146.4788
96.199997 73.040 -146.7353
97.500000 73.102 -146.9801
98.800003 73.164 -147.4250
100.000000 73.202 -147.9717
101.500000 73.224 -148.7432
103.000000 73.231 -149.5196
104.400002 73.239 -150.2406
106.000000 73.248 -151.0795
107.500000 73.243 -151.7185
109.000000 73.243 -152.1705
110.599998 73.244 -152.5476
112.000000 73.255 -152.8448
113.800003 73.285 -153.3689
115.000000 73.304 -153.8344
117.199997 73.324 -154.6829
118.000000 73.329 -154.9577
120.599998 73.343 -155.8159
122.000000 73.343 -156.2763
124.099998 73.366 -156.8334
125.000000 73.389 -157.1310
126.500000 73.409 -157.7590
128.000000 73.382 -158.2288
131.500000 73.445 -158.8309
132.000000 73.459 -159.0491
134.000000 73.481 -159.8865
136.000000 73.472 -160.5291
138.000000 73.426 -160.9503
140.000000 73.376 -161.2708
143.000000 73.330 -162.1943
145.000000 73.278 -162.8990
147.500000 73.183 -163.2617
150.000000 73.127 -163.1613
152.500000 73.124 -163.2655
155.000000 73.124 -163.6273
157.500000 73.105 -163.9428
160.000000 73.089 -164.1348
162.500000 73.082 -164.3293
165.000000 73.070 -164.6593
167.500000 73.035 -165.0535
170.000000 72.994 -165.3452
172.500000 72.955 -165.4795
175.000000 72.932 -165.4263
177.500000 72.946 -165.3874
180.000000 72.978 -165.4938
182.500000 73.000 -165.6686
185.000000 73.001 -165.8573
187.500000 72.982 -166.1479
190.000000 72.953 -166.4795
192.500000 72.944 -166.7620
195.000000 72.952 -167.0026
197.500000 72.948 -167.1967
200.000000 72.929 -167.3407
203.000000 72.907 -167.5595
206.000000 72.892 -167.7964
209.000000 72.877 -168.0097
212.000000 72.855 -168.2619
214.000000 72.836 -168.4078
218.000000 72.806 -168.5389
220.000000 72.795 -168.6252
224.000000 72.773 -168.9486
227.000000 72.755 -169.1501
230.000000 72.751 -169.2584
233.000000 72.762 -169.5125
236.000000 72.716 -169.7814
240.000000 72.626 -169.4629
243.000000 72.628 -169.3706
247.000000 72.612 -169.5590
250.000000 72.585 -169.7134
254.000000 72.606 -169.7200
258.000000 72.620 -169.4921
262.000000 72.526 -169.6090
265.000000 72.466 -169.6502
269.000000 72.455 -169.5610
272.000000 72.455 -169.5794
276.000000 72.433 -169.6420
280.000000 72.398 -169.7250
285.000000 72.383 -169.9953
290.000000 72.375 -169.8632
295.000000 72.322 -169.7039
300.000000 72.287 -169.7934
304.000000 72.277 -169.7406
307.000000 72.272 -169.6196
311.000000 72.275 -169.4563
315.000000 72.281 -169.3499
320.000000 72.275 -169.3118
325.000000 72.251 -169.1797
330.000000 72.245 -168.9444
335.000000 72.233 -168.9209
340.000000 72.210 -168.9796
345.000000 72.208 -168.9637
350.000000 72.219 -168.8631
355.000000 72.184 -168.7475
360.000000 72.140 -168.8110
365.000000 72.113 -168.7748
370.000000 72.099 -168.7437
375.000000 72.094 -168.6073
382.000000 72.099 -168.3164
387.000000 72.100 -168.2687
395.000000 72.092 -168.0338
400.000000 72.090 -167.9022
406.000000 72.090 -167.8924
412.000000 72.076 -167.7862
418.000000 72.062 -167.5134
425.000000 72.046 -167.2563
431.000000 72.021 -167.1252
437.000000 72.005 -166.9591
444.000000 71.996 -166.7232
450.000000 72.016 -166.5162
455.000000 72.022 -166.3053
462.000000 72.011 -166.1510
468.000000 72.008 -165.9865
475.000000 72.006 -165.6795
482.000000 72.012 -165.4025
487.000000 72.015 -165.2289
494.000000 72.008 -165.0650
500.000000 72.001 -164.9768
508.000000 71.989 -164.7380
515.000000 71.992 -164.4442
522.000000 71.988 -164.2386
530.000000 71.971 -163.9620
538.000000 71.989 -163.6121
545.000000 72.008 -163.3643
552.000000 72.018 -163.1436
560.000000 72.034 -162.8896
570.000000 72.045 -162.5721
580.000000 72.049 -162.1420
590.000000 72.076 -161.7393
600.000000 72.094 -161.3271
608.000000 72.126 -160.9705
615.000000 72.159 -160.7686
622.000000 72.185 -160.6462
630.000000 72.215 -160.5021
640.000000 72.255 -160.1574
650.000000 72.264 -159.7490
660.000000 72.262 -159.4638
670.000000 72.277 -159.2068
680.000000 72.313 -159.0216
690.000000 72.343 -158.8464
700.000000 72.356 -158.6044
710.000000 72.380 -158.2768
720.000000 72.404 -157.9839
730.000000 72.434 -157.7789
740.000000 72.480 -157.5642
750.000000 72.508 -157.3626
762.000000 72.527 -157.1475
775.000000 72.537 -156.9356
788.000000 72.546 -156.6447
800.000000 72.577 -156.4320
812.000000 72.600 -156.2227
825.000000 72.616 -155.9252
838.000000 72.619 -155.6546
850.000000 72.626 -155.3471
862.000000 72.635 -155.1267
875.000000 72.598 -154.9941
885.000000 72.538 -154.7507
900.000000 72.434 -153.8614
912.000000 72.401 -152.6667
925.000000 72.457 -151.2385
938.000000 72.589 -150.1347
950.000000 72.715 -149.5933
962.000000 72.806 -149.2292
975.000000 72.891 -148.8538
988.000000 72.979 -148.4889
1000.000000 73.058 -148.1302
1015.000000 73.141 -147.7980
1030.000000 73.188 -147.4768
1044.000000 73.211 -146.9733
1060.000000 73.280 -146.2740
1075.000000 73.402 -145.7218
1090.000000 73.510 -145.2412
1106.000000 73.595 -144.6292
1120.000000 73.689 -144.0466
1138.000000 73.817 -143.4875
1150.000000 73.894 -143.1332
1172.000000 74.076 -142.3601
1180.000000 74.150 -142.1671
1206.000000 74.386 -141.7786
1220.000000 74.514 -141.6916
1241.000000 74.671 -141.8428
1250.000000 74.722 -141.9203
1265.000000 74.801 -141.9270
1280.000000 74.880 -141.8425
1315.000000 75.102 -141.6483
1320.000000 75.141 -141.6435
1340.000000 75.310 -141.7335
1360.000000 75.481 -141.9764
1380.000000 75.553 -142.2434
1400.000000 75.531 -142.2210
1430.000000 75.635 -141.8177
1450.000000 75.780 -141.9014
1475.000000 75.916 -142.1349
1500.000000 75.973 -142.2260
1525.000000 76.011 -142.2170
1550.000000 76.079 -141.7911
1575.000000 76.251 -141.5862
1600.000000 76.370 -142.2414
1625.000000 76.360 -142.2206
1650.000000 76.443 -141.6172
1675.000000 76.593 -141.5972
1700.000000 76.656 -141.9150
1725.000000 76.670 -141.6568
1750.000000 76.773 -141.0649
1775.000000 76.893 -141.1898
1800.000000 76.922 -141.1913
1825.000000 76.996 -140.6670
1850.000000 77.125 -140.5219
1875.000000 77.221 -140.6168
1900.000000 77.289 -140.5601
1925.000000 77.358 -140.4188
1950.000000 77.430 -140.3582
1975.000000 77.467 -140.3066
2000.000000 77.485 -139.8702
2030.000000 77.580 -139.1172
2060.000000 77.707 -138.6929
2090.000000 77.770 -138.2686
2120.000000 77.870 -137.1838
2140.000000 77.997 -136.5409
2180.000000 78.227 -135.7655
2200.000000 78.351 -135.2505
2240.000000 78.655 -134.3929
2270.000000 78.834 -133.9602
2300.000000 79.067 -133.6064
2330.000000 79.312 -133.6719
2360.000000 79.504 -133.5849
2400.000000 79.819 -133.0764
2430.000000 80.068 -132.9424
2470.000000 80.387 -132.5847
2500.000000 80.694 -132.5532
2540.000000 81.090 -133.4004
2580.000000 81.430 -134.2117
2620.000000 81.776 -135.1384
2650.000000 82.014 -135.9469
2690.000000 82.316 -137.0335
2720.000000 82.536 -137.8645
2760.000000 82.830 -139.1605
2800.000000 83.122 -140.5939
2850.000000 83.452 -142.5902
2900.000000 83.787 -144.5314
2950.000000 84.118 -146.9690
3000.000000 84.386 -149.6435
3040.000000 84.551 -151.9435
3070.000000 84.650 -153.6371
3110.000000 84.769 -155.8493
3150.000000 84.860 -158.1065
3200.000000 84.937 -160.8627
3250.000000 84.995 -163.5663
3300.000000 85.026 -166.2020
3350.000000 85.048 -168.7780
3400.000000 85.053 -171.4323
3450.000000 85.019 -174.1140
3500.000000 84.961 -176.7516
3550.000000 84.866 -179.4542
3600.000000 84.725 177.9712
3650.000000 84.558 175.5901
3700.000000 84.371 173.3054
3750.000000 84.152 171.1440
3820.000000 83.808 168.3366
3870.000000 83.519 166.5250
3950.000000 83.001 164.3429
4000.000000 82.668 163.3354
4060.000000 82.247 162.5651
4120.000000 81.836 162.3115
4180.000000 81.438 162.5544
4250.000000 81.023 163.4633
4310.000000 80.710 164.8119
4370.000000 80.487 166.6996
4440.000000 80.392 169.2816
4500.000000 80.483 171.4157
4550.000000 80.664 172.7741
4620.000000 81.002 173.7454
4680.000000 81.317 173.7452
4750.000000 81.658 172.8199
4820.000000 81.919 171.1876
4870.000000 82.042 169.8535
4940.000000 82.157 168.1216
