* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:12:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-6XX Hadoe L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 66.571 -94.8972
20.299999 66.658 -95.2365
20.600000 66.768 -95.4696
20.900000 66.907 -95.6841
21.200001 67.069 -95.9938
21.400000 67.182 -96.2917
21.799999 67.397 -97.0769
22.000000 67.492 -97.5255
22.400000 67.655 -98.4075
22.700001 67.763 -98.9810
23.000000 67.870 -99.4752
23.299999 67.982 -99.9572
23.600000 68.094 -100.4892
24.000000 68.229 -101.3213
24.299999 68.305 -101.9933
24.700001 68.367 -102.8122
25.000000 68.392 -103.2612
25.400000 68.418 -103.5596
25.799999 68.469 -103.5389
26.200001 68.571 -103.3270
26.500000 68.691 -103.1679
26.900000 68.912 -103.1507
27.200001 69.109 -103.4375
27.600000 69.381 -104.3728
28.000000 69.603 -105.9391
28.500000 69.737 -108.3425
29.000000 69.696 -110.2849
29.500000 69.582 -110.9760
30.000000 69.569 -110.4980
30.400000 69.694 -109.9130
30.700001 69.850 -109.7025
31.100000 70.079 -109.9153
31.500000 70.277 -110.5740
32.000000 70.452 -111.5754
32.500000 70.576 -112.4020
33.000000 70.696 -113.0775
33.500000 70.813 -113.8179
34.000000 70.903 -114.6810
34.500000 70.953 -115.5312
35.000000 70.980 -116.2761
35.500000 70.999 -116.9636
36.000000 71.009 -117.6541
36.500000 71.004 -118.3012
37.000000 70.997 -118.8336
37.500000 71.008 -119.2902
38.200001 71.047 -119.9602
38.700001 71.081 -120.3939
39.500000 71.187 -120.7347
40.000000 71.319 -120.9118
40.599998 71.517 -121.3806
41.200001 71.709 -122.0183
41.799999 71.905 -122.6179
42.500000 72.150 -123.5357
43.099998 72.292 -124.6390
43.700001 72.336 -125.3563
44.400002 72.426 -125.2045
45.000000 72.654 -125.2358
45.500000 72.849 -126.2623
46.200001 72.893 -128.7366
46.799999 72.690 -130.1863
47.500000 72.432 -130.0891
48.200001 72.380 -129.3245
48.700001 72.438 -129.1873
49.400002 72.531 -129.6586
50.000000 72.590 -130.3205
50.799999 72.658 -131.2962
51.500000 72.710 -132.1381
52.200001 72.767 -132.8335
53.000000 72.870 -133.4901
53.799999 73.006 -134.3135
54.500000 73.101 -135.2211
55.200001 73.164 -136.0663
56.000000 73.231 -136.9410
57.000000 73.278 -138.2523
58.000000 73.247 -139.3114
59.000000 73.248 -140.1712
60.000000 73.210 -141.5773
60.799999 73.065 -142.5976
61.500000 72.877 -142.9384
62.200001 72.684 -142.5926
63.000000 72.536 -141.5190
64.000000 72.503 -140.0168
65.000000 72.552 -138.8525
66.000000 72.655 -137.9100
67.000000 72.811 -137.3025
68.000000 73.019 -137.1175
69.000000 73.243 -137.6159
70.000000 73.408 -138.5652
71.000000 73.520 -139.4679
72.000000 73.608 -140.1914
73.000000 73.696 -140.7165
74.000000 73.796 -141.2478
75.000000 73.880 -141.9000
76.199997 73.946 -142.6969
77.500000 74.004 -143.4612
78.800003 74.073 -144.3456
80.000000 74.098 -145.2671
81.199997 74.099 -145.9134
82.500000 74.111 -146.3209
83.800003 74.156 -146.5193
85.000000 74.227 -146.7988
86.199997 74.298 -147.2397
87.500000 74.368 -147.8169
88.500000 74.420 -148.3133
90.000000 74.493 -149.1264
91.199997 74.544 -149.7596
92.500000 74.596 -150.4033
93.800003 74.639 -151.0443
95.000000 74.657 -151.6072
96.199997 74.664 -152.0670
97.500000 74.674 -152.5482
98.800003 74.684 -153.0669
100.000000 74.699 -153.5964
101.500000 74.716 -154.4072
103.000000 74.715 -155.2667
104.400002 74.702 -155.9911
106.000000 74.681 -156.6418
107.500000 74.668 -157.0154
109.000000 74.680 -157.2030
110.599998 74.716 -157.4136
112.000000 74.744 -157.6493
113.800003 74.780 -158.0231
115.000000 74.805 -158.3874
117.199997 74.829 -159.3286
118.000000 74.825 -159.6696
120.599998 74.811 -160.4037
122.000000 74.825 -160.6523
124.099998 74.857 -161.0514
125.000000 74.871 -161.2335
126.500000 74.890 -161.5826
128.000000 74.900 -161.9821
131.500000 74.887 -163.0946
132.000000 74.882 -163.2746
134.000000 74.853 -164.0103
136.000000 74.813 -164.7205
138.000000 74.756 -165.2996
140.000000 74.692 -165.5986
143.000000 74.652 -165.6865
145.000000 74.663 -165.8245
147.500000 74.674 -166.2532
150.000000 74.653 -166.8457
152.500000 74.609 -167.4255
155.000000 74.552 -167.8855
157.500000 74.490 -168.0628
160.000000 74.456 -167.9484
162.500000 74.465 -167.7957
165.000000 74.496 -167.8451
167.500000 74.518 -168.1361
170.000000 74.520 -168.4774
172.500000 74.516 -168.7797
175.000000 74.508 -169.0576
177.500000 74.502 -169.3041
180.000000 74.499 -169.5646
182.500000 74.494 -169.8632
185.000000 74.486 -170.1999
187.500000 74.476 -170.5263
190.000000 74.465 -170.7651
192.500000 74.454 -170.9802
195.000000 74.435 -171.2150
197.500000 74.411 -171.4801
200.000000 74.385 -171.7508
203.000000 74.355 -172.0436
206.000000 74.326 -172.2784
209.000000 74.303 -172.4785
212.000000 74.280 -172.6814
214.000000 74.261 -172.7984
218.000000 74.224 -173.0287
220.000000 74.208 -173.1471
224.000000 74.178 -173.3100
227.000000 74.150 -173.3953
230.000000 74.121 -173.5068
233.000000 74.100 -173.6391
236.000000 74.081 -173.7461
240.000000 74.055 -173.8347
243.000000 74.038 -173.9054
247.000000 74.019 -173.9933
250.000000 74.001 -174.0871
254.000000 73.970 -174.2959
258.000000 73.953 -174.4274
262.000000 73.954 -174.4771
265.000000 73.950 -174.5567
269.000000 73.925 -174.6620
272.000000 73.898 -174.7205
276.000000 73.861 -174.8872
280.000000 73.820 -175.0230
285.000000 73.777 -175.0613
290.000000 73.752 -175.1145
295.000000 73.729 -175.1350
300.000000 73.700 -175.0923
304.000000 73.683 -175.0454
307.000000 73.673 -175.0066
311.000000 73.650 -174.9786
315.000000 73.621 -175.0106
320.000000 73.578 -175.0928
325.000000 73.544 -175.0724
330.000000 73.518 -175.0220
335.000000 73.502 -174.9763
340.000000 73.484 -174.9296
345.000000 73.470 -174.8850
350.000000 73.459 -174.8207
355.000000 73.439 -174.7548
360.000000 73.411 -174.6863
365.000000 73.385 -174.5979
370.000000 73.365 -174.5107
375.000000 73.343 -174.4735
382.000000 73.316 -174.3475
387.000000 73.300 -174.2095
395.000000 73.277 -174.0554
400.000000 73.263 -173.9778
406.000000 73.250 -173.9191
412.000000 73.234 -173.8660
418.000000 73.216 -173.8206
425.000000 73.190 -173.7312
431.000000 73.158 -173.5902
437.000000 73.136 -173.4137
444.000000 73.115 -173.1929
450.000000 73.100 -173.0323
455.000000 73.084 -172.9220
462.000000 73.057 -172.7373
468.000000 73.043 -172.5603
475.000000 73.028 -172.4135
482.000000 73.002 -172.2699
487.000000 72.984 -172.0772
494.000000 72.972 -171.7629
500.000000 72.969 -171.5382
508.000000 72.963 -171.2266
515.000000 72.944 -170.9651
522.000000 72.922 -170.7245
530.000000 72.913 -170.5082
538.000000 72.931 -170.2085
545.000000 72.938 -169.9302
552.000000 72.923 -169.6733
560.000000 72.897 -169.3449
570.000000 72.896 -168.8563
580.000000 72.922 -168.3434
590.000000 72.952 -167.9784
600.000000 72.986 -167.6720
608.000000 73.006 -167.4999
615.000000 73.013 -167.3810
622.000000 73.018 -167.1826
630.000000 73.028 -166.8610
640.000000 73.037 -166.4310
650.000000 73.044 -166.1588
660.000000 73.073 -166.0226
670.000000 73.095 -165.8399
680.000000 73.109 -165.5425
690.000000 73.127 -165.2124
700.000000 73.157 -164.9362
710.000000 73.205 -164.8081
720.000000 73.258 -164.8297
730.000000 73.283 -164.8076
740.000000 73.272 -164.6412
750.000000 73.257 -164.3949
762.000000 73.277 -164.0004
775.000000 73.314 -163.6869
788.000000 73.329 -163.4647
800.000000 73.357 -163.3001
812.000000 73.386 -163.3519
825.000000 73.374 -163.5070
838.000000 73.325 -163.5652
850.000000 73.253 -163.5597
862.000000 73.150 -163.3225
875.000000 73.013 -162.5952
885.000000 72.915 -161.6840
900.000000 72.862 -159.8985
912.000000 72.914 -158.4077
925.000000 73.032 -157.0325
938.000000 73.173 -156.1115
950.000000 73.302 -155.5688
962.000000 73.439 -155.0568
975.000000 73.587 -154.6182
988.000000 73.705 -154.4106
1000.000000 73.777 -154.2879
1015.000000 73.853 -153.9985
1030.000000 73.959 -153.6325
1044.000000 74.075 -153.2993
1060.000000 74.224 -153.1364
1075.000000 74.349 -153.2414
1090.000000 74.448 -153.2230
1106.000000 74.549 -153.2579
1120.000000 74.595 -153.4753
1138.000000 74.604 -153.4069
1150.000000 74.636 -153.2387
1172.000000 74.781 -153.0189
1180.000000 74.834 -152.9391
1206.000000 74.997 -152.9675
1220.000000 75.065 -153.2153
1241.000000 75.097 -153.4758
1250.000000 75.098 -153.4498
1265.000000 75.107 -153.2529
1280.000000 75.145 -152.9596
1315.000000 75.346 -152.6184
1320.000000 75.372 -152.6782
1340.000000 75.431 -153.0869
1360.000000 75.431 -153.3373
1380.000000 75.425 -153.1410
1400.000000 75.481 -152.6220
1430.000000 75.652 -152.5009
1450.000000 75.703 -152.8448
1475.000000 75.676 -153.1710
1500.000000 75.625 -152.6487
1525.000000 75.718 -151.8397
1550.000000 75.840 -151.5719
1575.000000 75.921 -151.4616
1600.000000 76.010 -151.3607
1625.000000 76.097 -151.3968
1650.000000 76.147 -151.5366
1675.000000 76.157 -151.5084
1700.000000 76.165 -151.2569
1725.000000 76.179 -150.8734
1750.000000 76.223 -150.2718
1775.000000 76.319 -149.8070
1800.000000 76.415 -149.7670
1825.000000 76.430 -149.9264
1850.000000 76.404 -149.4885
1875.000000 76.455 -148.7272
1900.000000 76.525 -148.1297
1925.000000 76.609 -147.5615
1950.000000 76.691 -147.2117
1975.000000 76.723 -146.8066
2000.000000 76.760 -146.0605
2030.000000 76.854 -145.0494
2060.000000 76.987 -143.8729
2090.000000 77.197 -142.8280
2120.000000 77.430 -142.2890
2140.000000 77.558 -142.1041
2180.000000 77.760 -141.6560
2200.000000 77.863 -141.1592
2240.000000 78.179 -140.0035
2270.000000 78.455 -139.6925
2300.000000 78.695 -139.6215
2330.000000 78.922 -139.5835
2360.000000 79.159 -139.5392
2400.000000 79.490 -139.6439
2430.000000 79.740 -139.8499
2470.000000 80.059 -140.4117
2500.000000 80.262 -140.8571
2540.000000 80.542 -141.2654
2580.000000 80.855 -141.7482
2620.000000 81.195 -142.6294
2650.000000 81.403 -143.4541
2690.000000 81.687 -144.2917
2720.000000 81.943 -145.1343
2760.000000 82.265 -146.7751
2800.000000 82.536 -148.5182
2850.000000 82.796 -150.7764
2900.000000 83.029 -152.8305
2950.000000 83.276 -155.1763
3000.000000 83.473 -157.4527
3040.000000 83.669 -159.3288
3070.000000 83.799 -161.1331
3110.000000 83.883 -163.6312
3150.000000 83.930 -165.8084
3200.000000 83.995 -168.4330
3250.000000 84.034 -171.1354
3300.000000 84.048 -173.8011
3350.000000 84.047 -176.5505
3400.000000 83.996 -179.4751
3450.000000 83.878 177.7692
3500.000000 83.731 175.2890
3550.000000 83.574 172.9862
3600.000000 83.393 170.7702
3650.000000 83.200 168.8224
3700.000000 83.022 166.7699
3750.000000 82.786 164.6685
3820.000000 82.398 162.1634
3870.000000 82.100 160.7134
3950.000000 81.606 158.6801
4000.000000 81.263 157.8026
4060.000000 80.864 157.1176
4120.000000 80.475 156.7606
4180.000000 80.091 156.5424
4250.000000 79.578 156.8850
4310.000000 79.156 158.3081
4370.000000 78.865 160.5731
4440.000000 78.763 163.3583
4500.000000 78.822 165.1421
4550.000000 78.901 166.2072
4620.000000 79.073 167.4434
4680.000000 79.284 167.8353
4750.000000 79.509 167.4760
4820.000000 79.654 166.5673
4870.000000 79.705 165.9444
4940.000000 79.767 165.2919
