* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:03:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-6XX Hadoe R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 66.178 -98.9243
20.299999 66.244 -98.5597
20.600000 66.363 -98.4695
20.900000 66.487 -98.7513
21.200001 66.577 -99.2661
21.400000 66.618 -99.6084
21.799999 66.673 -100.1664
22.000000 66.701 -100.3607
22.400000 66.779 -100.6688
22.700001 66.857 -100.9477
23.000000 66.942 -101.3229
23.299999 67.024 -101.7492
23.600000 67.107 -102.1665
24.000000 67.230 -102.6579
24.299999 67.344 -103.0168
24.700001 67.525 -103.6099
25.000000 67.667 -104.2076
25.400000 67.838 -105.1779
25.799999 67.969 -106.1493
26.200001 68.072 -106.8900
26.500000 68.151 -107.2436
26.900000 68.279 -107.5336
27.200001 68.395 -107.7475
27.600000 68.561 -108.1830
28.000000 68.703 -108.8174
28.500000 68.816 -109.6504
29.000000 68.876 -110.1785
29.500000 68.942 -110.3838
30.000000 69.038 -110.6163
30.400000 69.113 -111.0049
30.700001 69.151 -111.3844
31.100000 69.175 -111.8449
31.500000 69.190 -112.1202
32.000000 69.247 -112.2524
32.500000 69.373 -112.5270
33.000000 69.523 -113.2786
33.500000 69.636 -114.4002
34.000000 69.699 -115.5007
34.500000 69.747 -116.3410
35.000000 69.810 -116.9900
35.500000 69.888 -117.5987
36.000000 69.964 -118.1627
36.500000 70.039 -118.5879
37.000000 70.133 -118.8965
37.500000 70.251 -119.2589
38.200001 70.414 -120.0987
38.700001 70.498 -120.8620
39.500000 70.581 -122.0174
40.000000 70.624 -122.6939
40.599998 70.662 -123.5382
41.200001 70.674 -124.2985
41.799999 70.685 -124.7413
42.500000 70.770 -124.9322
43.099998 70.921 -125.3069
43.700001 71.073 -126.1455
44.400002 71.177 -127.3291
45.000000 71.219 -128.0329
45.500000 71.262 -128.3522
46.200001 71.360 -128.6926
46.799999 71.457 -129.0926
47.500000 71.556 -129.6661
48.200001 71.634 -130.2588
48.700001 71.678 -130.6446
49.400002 71.737 -131.0600
50.000000 71.807 -131.3431
50.799999 71.933 -131.9163
51.500000 72.025 -132.7321
52.200001 72.064 -133.5651
53.000000 72.087 -134.1854
53.799999 72.146 -134.7119
54.500000 72.200 -135.4554
55.200001 72.213 -136.3224
56.000000 72.215 -137.1922
57.000000 72.253 -138.6703
58.000000 72.198 -140.7375
59.000000 72.062 -142.2984
60.000000 71.968 -143.5158
60.799999 71.883 -144.4930
61.500000 71.772 -145.1571
62.200001 71.623 -145.4437
63.000000 71.427 -145.0662
64.000000 71.237 -143.4253
65.000000 71.228 -141.1499
66.000000 71.405 -139.3842
67.000000 71.638 -138.7866
68.000000 71.820 -138.9436
69.000000 71.979 -139.3136
70.000000 72.145 -139.8931
71.000000 72.296 -140.6569
72.000000 72.415 -141.3972
73.000000 72.515 -141.9244
74.000000 72.629 -142.3462
75.000000 72.730 -143.0060
76.199997 72.767 -143.8598
77.500000 72.780 -144.4085
78.800003 72.826 -144.9675
80.000000 72.873 -145.6050
81.199997 72.917 -146.2035
82.500000 72.982 -146.7622
83.800003 73.050 -147.3403
85.000000 73.114 -147.8378
86.199997 73.184 -148.4157
87.500000 73.241 -149.1652
88.500000 73.270 -149.7171
90.000000 73.308 -150.4907
91.199997 73.327 -151.0641
92.500000 73.345 -151.5801
93.800003 73.364 -152.0623
95.000000 73.380 -152.5096
96.199997 73.396 -152.9464
97.500000 73.420 -153.4708
98.800003 73.439 -154.0325
100.000000 73.458 -154.5362
101.500000 73.475 -155.1911
103.000000 73.477 -155.7476
104.400002 73.482 -156.1589
106.000000 73.502 -156.6299
107.500000 73.521 -157.1191
109.000000 73.536 -157.5676
110.599998 73.558 -157.9813
112.000000 73.577 -158.3615
113.800003 73.586 -158.8507
115.000000 73.589 -159.1582
117.199997 73.602 -159.7504
118.000000 73.613 -159.9796
120.599998 73.658 -160.9225
122.000000 73.661 -161.4337
124.099998 73.652 -162.0198
125.000000 73.650 -162.2525
126.500000 73.645 -162.6902
128.000000 73.636 -163.2016
131.500000 73.603 -164.4660
132.000000 73.599 -164.6438
134.000000 73.576 -165.3786
136.000000 73.519 -166.0660
138.000000 73.442 -166.5859
140.000000 73.364 -167.0302
143.000000 73.226 -167.3923
145.000000 73.148 -167.3134
147.500000 73.074 -167.1239
150.000000 73.025 -166.9167
152.500000 73.016 -166.8274
155.000000 73.024 -166.8489
157.500000 73.052 -166.8758
160.000000 73.084 -167.0358
162.500000 73.107 -167.2006
165.000000 73.139 -167.3028
167.500000 73.170 -167.5422
170.000000 73.181 -167.8819
172.500000 73.166 -168.1468
175.000000 73.156 -168.4120
177.500000 73.137 -168.6914
180.000000 73.129 -168.9966
182.500000 73.127 -169.2489
185.000000 73.133 -169.4579
187.500000 73.122 -169.6126
190.000000 73.108 -169.8678
192.500000 73.069 -170.2284
195.000000 73.033 -170.4246
197.500000 73.004 -170.6022
200.000000 72.963 -170.7629
203.000000 72.934 -171.0353
206.000000 72.913 -171.3821
209.000000 72.896 -171.5397
212.000000 72.878 -171.7633
214.000000 72.848 -171.9204
218.000000 72.778 -172.0426
220.000000 72.744 -172.1080
224.000000 72.694 -172.2264
227.000000 72.679 -172.2413
230.000000 72.681 -172.2413
233.000000 72.670 -172.4435
236.000000 72.610 -172.5898
240.000000 72.539 -172.2712
243.000000 72.548 -172.0320
247.000000 72.591 -172.1298
250.000000 72.601 -172.4216
254.000000 72.572 -172.7080
258.000000 72.546 -172.7714
262.000000 72.539 -172.6998
265.000000 72.532 -172.6443
269.000000 72.490 -172.5980
272.000000 72.446 -172.5248
276.000000 72.401 -172.3769
280.000000 72.355 -172.1558
285.000000 72.282 -171.8629
290.000000 72.240 -171.7359
295.000000 72.232 -171.8398
300.000000 72.230 -171.4956
304.000000 72.202 -171.3537
307.000000 72.184 -171.4122
311.000000 72.174 -171.5017
315.000000 72.161 -171.5371
320.000000 72.144 -171.6519
325.000000 72.126 -171.6962
330.000000 72.104 -171.5455
335.000000 72.093 -171.4681
340.000000 72.091 -171.2829
345.000000 72.069 -171.0513
350.000000 72.039 -170.9298
355.000000 72.012 -170.8877
360.000000 72.001 -170.7879
365.000000 71.987 -170.5488
370.000000 71.965 -170.3383
375.000000 71.950 -170.1410
382.000000 71.927 -169.7854
387.000000 71.914 -169.5198
395.000000 71.892 -169.0939
400.000000 71.886 -168.8961
406.000000 71.894 -168.6906
412.000000 71.896 -168.5033
418.000000 71.883 -168.3423
425.000000 71.870 -168.1355
431.000000 71.875 -167.8966
437.000000 71.874 -167.7037
444.000000 71.856 -167.4873
450.000000 71.850 -167.2548
455.000000 71.849 -167.0857
462.000000 71.839 -166.8986
468.000000 71.837 -166.7201
475.000000 71.851 -166.4596
482.000000 71.857 -166.2243
487.000000 71.852 -166.0501
494.000000 71.846 -165.7521
500.000000 71.837 -165.5201
508.000000 71.830 -165.1758
515.000000 71.836 -164.8996
522.000000 71.843 -164.6633
530.000000 71.861 -164.2629
538.000000 71.870 -163.8472
545.000000 71.868 -163.5876
552.000000 71.870 -163.3177
560.000000 71.888 -162.9472
570.000000 71.917 -162.4712
580.000000 71.934 -162.0632
590.000000 71.951 -161.7416
600.000000 71.949 -161.4756
608.000000 71.957 -161.1675
615.000000 71.978 -160.8918
622.000000 72.002 -160.7448
630.000000 72.011 -160.6069
640.000000 72.018 -160.1329
650.000000 72.031 -159.6537
660.000000 72.037 -159.3554
670.000000 72.051 -159.0431
680.000000 72.065 -158.6039
690.000000 72.088 -158.0224
700.000000 72.127 -157.5583
710.000000 72.162 -157.2172
720.000000 72.189 -156.8868
730.000000 72.235 -156.5502
740.000000 72.300 -156.1804
750.000000 72.355 -155.8478
762.000000 72.409 -155.7042
775.000000 72.436 -155.6249
788.000000 72.453 -155.3425
800.000000 72.470 -154.9774
812.000000 72.502 -154.6111
825.000000 72.545 -154.4307
838.000000 72.566 -154.4165
850.000000 72.544 -154.5032
862.000000 72.468 -154.4851
875.000000 72.334 -153.8954
885.000000 72.225 -152.9301
900.000000 72.156 -150.8650
912.000000 72.228 -149.1568
925.000000 72.395 -147.5930
938.000000 72.593 -146.5668
950.000000 72.764 -146.0137
962.000000 72.905 -145.6058
975.000000 73.031 -145.2628
988.000000 73.145 -145.0173
1000.000000 73.236 -144.8400
1015.000000 73.339 -144.4866
1030.000000 73.452 -144.0260
1044.000000 73.575 -143.5654
1060.000000 73.745 -143.0957
1075.000000 73.900 -143.0077
1090.000000 74.033 -143.0733
1106.000000 74.155 -143.1301
1120.000000 74.235 -143.1655
1138.000000 74.344 -143.0718
1150.000000 74.421 -142.9949
1172.000000 74.542 -142.8635
1180.000000 74.589 -142.8378
1206.000000 74.722 -142.7390
1220.000000 74.803 -142.7129
1241.000000 74.909 -142.8217
1250.000000 74.946 -142.8248
1265.000000 75.006 -142.7767
1280.000000 75.081 -142.7184
1315.000000 75.244 -142.9290
1320.000000 75.261 -142.9430
1340.000000 75.321 -143.0366
1360.000000 75.345 -143.1142
1380.000000 75.371 -142.7539
1400.000000 75.452 -142.3702
1430.000000 75.567 -142.2319
1450.000000 75.584 -142.0150
1475.000000 75.669 -141.3377
1500.000000 75.825 -140.9339
1525.000000 75.954 -141.0319
1550.000000 76.031 -141.0000
1575.000000 76.128 -140.6570
1600.000000 76.250 -140.5314
1625.000000 76.325 -140.5976
1650.000000 76.350 -140.3963
1675.000000 76.439 -139.7039
1700.000000 76.601 -139.4777
1725.000000 76.705 -139.6764
1750.000000 76.759 -139.5298
1775.000000 76.854 -139.0371
1800.000000 76.976 -138.9280
1825.000000 77.041 -138.9042
1850.000000 77.133 -138.7608
1875.000000 77.192 -138.8784
1900.000000 77.189 -138.5471
1925.000000 77.253 -137.7705
1950.000000 77.360 -137.3389
1975.000000 77.440 -136.9460
2000.000000 77.537 -136.3694
2030.000000 77.671 -135.7725
2060.000000 77.787 -135.2157
2090.000000 77.921 -134.4306
2120.000000 78.082 -133.6503
2140.000000 78.202 -133.1308
2180.000000 78.490 -132.1373
2200.000000 78.663 -131.7000
2240.000000 79.000 -131.4040
2270.000000 79.204 -131.2520
2300.000000 79.417 -130.8225
2330.000000 79.680 -130.4215
2360.000000 79.951 -130.3596
2400.000000 80.314 -130.3968
2430.000000 80.593 -130.6624
2470.000000 80.938 -131.1191
2500.000000 81.210 -131.5048
2540.000000 81.546 -132.3771
2580.000000 81.849 -133.1038
2620.000000 82.186 -133.9885
2650.000000 82.420 -134.8756
2690.000000 82.708 -136.1368
2720.000000 82.913 -137.0776
2760.000000 83.196 -138.3189
2800.000000 83.488 -139.7548
2850.000000 83.818 -141.9422
2900.000000 84.095 -144.2438
2950.000000 84.342 -146.6216
3000.000000 84.565 -149.0597
3040.000000 84.724 -151.1063
3070.000000 84.829 -152.6748
3110.000000 84.947 -154.8085
3150.000000 85.049 -156.9805
3200.000000 85.132 -159.7239
3250.000000 85.196 -162.3131
3300.000000 85.248 -165.0146
3350.000000 85.251 -167.8182
3400.000000 85.214 -170.5129
3450.000000 85.151 -173.1594
3500.000000 85.052 -175.7350
3550.000000 84.912 -178.1641
3600.000000 84.749 179.6010
3650.000000 84.567 177.5447
3700.000000 84.375 175.6952
3750.000000 84.184 173.9341
3820.000000 83.883 171.5181
3870.000000 83.632 169.9713
3950.000000 83.188 168.0592
4000.000000 82.907 167.2019
4060.000000 82.566 166.4457
4120.000000 82.227 166.0359
4180.000000 81.891 165.9550
4250.000000 81.507 166.4273
4310.000000 81.199 167.3829
4370.000000 80.956 169.0708
4440.000000 80.849 171.4316
4500.000000 80.907 173.3710
4550.000000 81.044 174.6688
4620.000000 81.332 175.8343
4680.000000 81.615 176.0170
4750.000000 81.920 175.4908
4820.000000 82.182 174.4040
4870.000000 82.332 173.4256
4940.000000 82.493 172.0433
