* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 9:07:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-6XX Worn L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.673	-60.8701
20.299999	69.937	-60.9849
20.600000	70.227	-61.5360
20.900000	70.509	-62.6119
21.200001	70.747	-64.1882
21.400000	70.864	-65.4205
21.799999	70.989	-68.0225
22.000000	70.999	-69.2169
22.400000	70.944	-71.0503
22.700001	70.882	-71.8085
23.000000	70.851	-72.0840
23.299999	70.880	-72.0948
23.600000	70.968	-72.0652
24.000000	71.151	-72.2439
24.299999	71.305	-72.6183
24.700001	71.501	-73.3593
25.000000	71.635	-73.9964
25.400000	71.796	-74.8674
25.799999	71.944	-75.7407
26.200001	72.076	-76.5967
26.500000	72.165	-77.1825
26.900000	72.279	-77.8228
27.200001	72.376	-78.1923
27.600000	72.537	-78.6234
28.000000	72.736	-79.1725
28.500000	73.005	-80.2372
29.000000	73.246	-81.6444
29.500000	73.448	-83.1143
30.000000	73.634	-84.5101
30.400000	73.778	-85.6289
30.700001	73.875	-86.4856
31.100000	73.982	-87.5712
31.500000	74.074	-88.4697
32.000000	74.207	-89.2925
32.500000	74.392	-90.1086
33.000000	74.587	-91.3319
33.500000	74.716	-92.8700
34.000000	74.771	-94.1816
34.500000	74.831	-95.0151
35.000000	74.954	-95.7780
35.500000	75.094	-96.9857
36.000000	75.162	-98.4570
36.500000	75.160	-99.5142
37.000000	75.195	-99.8969
37.500000	75.339	-100.1701
38.200001	75.591	-101.4290
38.700001	75.684	-102.5682
39.500000	75.799	-103.3287
40.000000	75.959	-103.6119
40.599998	76.163	-104.5673
41.200001	76.257	-105.7255
41.799999	76.312	-106.2957
42.500000	76.485	-106.8052
43.099998	76.648	-108.1052
43.700001	76.695	-109.8437
44.400002	76.654	-111.4565
45.000000	76.637	-112.6152
45.500000	76.620	-113.7554
46.200001	76.526	-115.3096
46.799999	76.416	-116.1273
47.500000	76.333	-116.6810
48.200001	76.266	-117.1178
48.700001	76.207	-117.1649
49.400002	76.162	-116.6880
50.000000	76.193	-116.0666
50.799999	76.302	-115.3055
51.500000	76.449	-114.7759
52.200001	76.628	-114.6229
53.000000	76.801	-114.9319
53.799999	76.933	-115.2014
54.500000	77.084	-115.3615
55.200001	77.267	-115.8422
56.000000	77.443	-116.8247
57.000000	77.590	-117.9836
58.000000	77.739	-118.8789
59.000000	77.877	-119.8625
60.000000	77.981	-120.6417
60.799999	78.089	-121.1592
61.500000	78.194	-121.8265
62.200001	78.269	-122.6923
63.000000	78.305	-123.6135
64.000000	78.336	-124.3982
65.000000	78.401	-124.9895
66.000000	78.492	-125.6350
67.000000	78.582	-126.3746
68.000000	78.665	-127.0923
69.000000	78.754	-127.7980
70.000000	78.841	-128.5665
71.000000	78.922	-129.3136
72.000000	79.012	-130.0619
73.000000	79.098	-130.8901
74.000000	79.166	-131.7099
75.000000	79.226	-132.4212
76.199997	79.307	-133.2583
77.500000	79.387	-134.2963
78.800003	79.455	-135.4325
80.000000	79.500	-136.5449
81.199997	79.543	-137.5408
82.500000	79.610	-138.6235
83.800003	79.654	-139.7275
85.000000	79.686	-140.5015
86.199997	79.731	-141.2808
87.500000	79.757	-142.1946
88.500000	79.769	-142.8893
90.000000	79.774	-143.9937
91.199997	79.767	-144.9283
92.500000	79.721	-146.0024
93.800003	79.619	-146.7930
95.000000	79.517	-147.1362
96.199997	79.438	-147.2632
97.500000	79.393	-147.3165
98.800003	79.393	-147.4946
100.000000	79.411	-147.6691
101.500000	79.512	-147.8234
103.000000	79.638	-148.4691
104.400002	79.704	-149.1038
106.000000	79.769	-149.7150
107.500000	79.830	-150.4123
109.000000	79.879	-151.2227
110.599998	79.923	-151.9935
112.000000	79.961	-152.5588
113.800003	79.978	-153.2097
115.000000	79.962	-153.6027
117.199997	79.889	-154.6317
118.000000	79.833	-155.0731
120.599998	79.717	-155.4680
122.000000	79.816	-155.8664
124.099998	79.904	-157.1353
125.000000	79.913	-157.4940
126.500000	79.928	-157.9039
128.000000	79.932	-158.3129
131.500000	79.875	-159.4424
132.000000	79.868	-159.6288
134.000000	79.858	-160.4885
136.000000	79.843	-161.5270
138.000000	79.777	-162.4898
140.000000	79.622	-163.3732
143.000000	79.285	-163.8651
145.000000	79.152	-163.5154
147.500000	79.181	-162.2378
150.000000	79.392	-161.2308
152.500000	79.538	-161.2312
155.000000	79.599	-161.8729
157.500000	79.626	-162.5200
160.000000	79.675	-163.0949
162.500000	79.691	-163.7117
165.000000	79.677	-164.3344
167.500000	79.659	-164.9713
170.000000	79.681	-165.5699
172.500000	79.712	-166.2286
175.000000	79.701	-166.7858
