* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 7:36:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD-6XX Worn Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	71.207	-97.7797
20.299999	71.287	-98.7661
20.600000	71.353	-99.5203
20.900000	71.424	-100.0586
21.200001	71.512	-100.4675
21.400000	71.580	-100.7268
21.799999	71.726	-101.2750
22.000000	71.800	-101.5808
22.400000	71.935	-102.2407
22.700001	72.023	-102.7398
23.000000	72.098	-103.2106
23.299999	72.162	-103.6326
23.600000	72.215	-103.9828
24.000000	72.277	-104.2951
24.299999	72.326	-104.3928
24.700001	72.414	-104.3781
25.000000	72.506	-104.3522
25.400000	72.664	-104.4704
25.799999	72.834	-104.9113
26.200001	72.982	-105.6530
26.500000	73.067	-106.2911
26.900000	73.152	-107.0860
27.200001	73.209	-107.5775
27.600000	73.298	-108.1271
28.000000	73.411	-108.7002
28.500000	73.562	-109.6228
29.000000	73.690	-110.7102
29.500000	73.786	-111.7298
30.000000	73.877	-112.5488
30.400000	73.958	-113.0973
30.700001	74.025	-113.4823
31.100000	74.119	-113.9832
31.500000	74.217	-114.4742
32.000000	74.341	-115.0897
32.500000	74.461	-115.7374
33.000000	74.565	-116.3962
33.500000	74.652	-116.9788
34.000000	74.735	-117.4375
34.500000	74.829	-117.8525
35.000000	74.927	-118.3415
35.500000	75.012	-118.9280
36.000000	75.078	-119.5248
36.500000	75.131	-120.0544
37.000000	75.188	-120.5301
37.500000	75.253	-121.0298
38.200001	75.341	-121.8740
38.700001	75.387	-122.5332
39.500000	75.439	-123.3525
40.000000	75.498	-123.6504
40.599998	75.631	-124.0637
41.200001	75.800	-124.9501
41.799999	75.926	-126.2971
42.500000	75.980	-127.8160
43.099998	76.007	-128.6779
43.700001	76.075	-129.3458
44.400002	76.190	-130.3126
45.000000	76.274	-131.3425
45.500000	76.325	-132.2264
46.200001	76.378	-133.4456
46.799999	76.411	-134.5195
47.500000	76.424	-135.8480
48.200001	76.402	-137.2601
48.700001	76.357	-138.3038
49.400002	76.246	-139.7603
50.000000	76.099	-140.9615
50.799999	75.808	-142.3383
51.500000	75.446	-142.8871
52.200001	75.034	-142.3029
53.000000	74.632	-140.1545
53.799999	74.430	-136.9428
54.500000	74.471	-133.8743
55.200001	74.704	-131.2677
56.000000	75.087	-129.4921
57.000000	75.535	-128.8052
58.000000	75.920	-128.8688
59.000000	76.266	-129.5854
60.000000	76.514	-130.8271
60.799999	76.647	-131.8062
61.500000	76.738	-132.6114
62.200001	76.800	-133.3896
63.000000	76.830	-134.0760
64.000000	76.860	-134.4314
65.000000	76.939	-134.4835
66.000000	77.069	-134.6505
67.000000	77.200	-135.2081
68.000000	77.277	-135.8550
69.000000	77.349	-136.2413
70.000000	77.452	-136.6083
71.000000	77.560	-137.0657
72.000000	77.674	-137.5225
73.000000	77.793	-138.0353
74.000000	77.906	-138.5825
75.000000	78.019	-139.1300
76.199997	78.155	-139.9066
77.500000	78.284	-140.8876
78.800003	78.384	-142.0089
80.000000	78.436	-143.0092
81.199997	78.476	-143.8602
82.500000	78.520	-144.7219
83.800003	78.564	-145.5876
85.000000	78.599	-146.4093
86.199997	78.629	-147.2109
87.500000	78.650	-148.0309
88.500000	78.659	-148.5720
90.000000	78.668	-149.2670
91.199997	78.672	-149.7441
92.500000	78.685	-150.3274
93.800003	78.670	-151.0776
95.000000	78.633	-151.5761
96.199997	78.621	-151.8789
97.500000	78.642	-152.1524
98.800003	78.686	-152.4755
100.000000	78.722	-152.8042
101.500000	78.766	-153.1624
103.000000	78.813	-153.6266
104.400002	78.839	-154.1496
106.000000	78.858	-154.6750
107.500000	78.874	-155.1432
109.000000	78.894	-155.5540
110.599998	78.934	-156.1201
112.000000	78.966	-156.7568
113.800003	79.001	-157.5438
115.000000	79.020	-157.9724
117.199997	79.034	-158.2317
118.000000	79.052	-158.1694
120.599998	79.155	-158.8018
122.000000	79.127	-159.7031
124.099998	79.057	-160.7777
125.000000	79.045	-161.1948
126.500000	79.043	-161.8928
128.000000	79.038	-162.5806
131.500000	78.975	-163.7877
132.000000	78.966	-163.9509
134.000000	78.917	-164.7572
136.000000	78.812	-165.5377
138.000000	78.696	-165.9799
140.000000	78.581	-166.2741
