* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 7:26:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Koss KSC75 PE Headband L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 67.858 -20.8137
20.299999 67.914 -21.6088
20.600000 67.928 -21.9143
20.900000 67.976 -21.8113
21.200001 68.089 -21.6721
21.400000 68.185 -21.7286
21.799999 68.352 -22.2298
22.000000 68.403 -22.5314
22.400000 68.472 -22.7892
22.700001 68.577 -22.6266
23.000000 68.791 -22.5541
23.299999 69.103 -23.1530
23.600000 69.426 -24.7930
24.000000 69.685 -28.3886
24.299999 69.655 -31.4511
24.700001 69.308 -34.5891
25.000000 68.925 -35.3329
25.400000 68.563 -33.7948
25.799999 68.671 -31.0071
26.200001 69.175 -29.6235
26.500000 69.599 -30.0929
26.900000 70.018 -31.9988
27.200001 70.198 -33.6329
27.600000 70.338 -35.3281
28.000000 70.484 -36.3594
28.500000 70.748 -37.3376
29.000000 71.027 -38.4180
29.500000 71.288 -39.3440
30.000000 71.608 -40.2229
30.400000 71.895 -41.4153
30.700001 72.066 -42.7202
31.100000 72.152 -44.6465
31.500000 72.056 -45.9713
32.000000 71.858 -45.5969
32.500000 71.925 -43.3912
33.000000 72.355 -41.7841
33.500000 72.841 -42.1297
34.000000 73.149 -43.4795
34.500000 73.332 -44.5536
35.000000 73.551 -45.2923
35.500000 73.816 -46.4594
36.000000 73.996 -48.1953
36.500000 74.031 -49.6973
37.000000 74.028 -50.2487
37.500000 74.141 -50.0961
38.200001 74.493 -50.3069
38.700001 74.744 -51.0562
39.500000 75.082 -52.3221
40.000000 75.311 -53.0978
40.599998 75.576 -54.3391
41.200001 75.760 -55.6950
41.799999 75.884 -56.6303
42.500000 76.077 -57.1895
43.099998 76.306 -57.8155
43.700001 76.527 -58.8565
44.400002 76.714 -60.2678
45.000000 76.837 -61.3115
45.500000 76.942 -62.0540
46.200001 77.102 -63.0790
46.799999 77.234 -63.9840
47.500000 77.378 -64.9347
48.200001 77.536 -65.7343
48.700001 77.664 -66.2842
49.400002 77.856 -67.1076
50.000000 78.022 -67.8883
50.799999 78.228 -69.0128
51.500000 78.385 -69.9480
52.200001 78.540 -70.7496
53.000000 78.735 -71.6674
53.799999 78.921 -72.7194
54.500000 79.063 -73.6249
55.200001 79.202 -74.4585
56.000000 79.365 -75.4380
57.000000 79.550 -76.7307
58.000000 79.715 -77.9605
59.000000 79.879 -79.1115
60.000000 80.064 -80.2631
60.799999 80.227 -81.3442
61.500000 80.362 -82.4366
62.200001 80.480 -83.5636
63.000000 80.605 -84.7868
64.000000 80.764 -86.2256
65.000000 80.922 -87.6705
66.000000 81.056 -89.1374
67.000000 81.150 -90.4862
68.000000 81.224 -91.6069
69.000000 81.297 -92.6411
70.000000 81.356 -93.6873
71.000000 81.402 -94.5958
72.000000 81.469 -95.3527
73.000000 81.567 -96.0967
74.000000 81.690 -96.8978
75.000000 81.826 -97.8261
76.199997 81.970 -99.1208
77.500000 82.075 -100.5064
78.800003 82.156 -101.6513
80.000000 82.245 -102.6412
81.199997 82.339 -103.7154
82.500000 82.444 -104.8404
83.800003 82.566 -106.0404
85.000000 82.654 -107.1761
86.199997 82.731 -108.1317
87.500000 82.817 -109.0821
88.500000 82.889 -109.8444
90.000000 82.979 -111.1068
91.199997 83.057 -112.0185
92.500000 83.164 -113.0547
93.800003 83.288 -114.1613
95.000000 83.384 -115.3704
96.199997 83.432 -116.4976
97.500000 83.453 -117.3947
98.800003 83.500 -118.0400
100.000000 83.570 -118.8707
101.500000 83.630 -120.1880
103.000000 83.675 -121.3970
104.400002 83.738 -122.4607
106.000000 83.809 -123.6712
107.500000 83.860 -124.7957
109.000000 83.872 -125.8610
110.599998 83.866 -126.7415
112.000000 83.890 -127.5159
113.800003 83.925 -128.8071
115.000000 83.944 -129.6860
117.199997 83.981 -131.1867
118.000000 83.991 -131.6851
120.599998 84.016 -132.9096
122.000000 84.044 -133.5346
124.099998 84.069 -134.7554
125.000000 84.068 -135.3118
126.500000 84.067 -136.2010
128.000000 84.079 -137.1844
131.500000 83.988 -139.5887
132.000000 83.961 -139.7776
134.000000 83.885 -140.0961
136.000000 83.877 -140.3253
138.000000 83.882 -140.7994
140.000000 83.889 -141.3627
143.000000 83.919 -142.5018
145.000000 83.940 -143.1924
147.500000 84.002 -143.8802
150.000000 84.031 -144.7094
152.500000 84.045 -145.5180
155.000000 84.049 -146.3595
157.500000 84.069 -147.2238
160.000000 84.059 -148.2800
162.500000 84.034 -149.2338
165.000000 84.037 -149.9864
167.500000 84.058 -150.6807
170.000000 84.065 -151.4860
172.500000 84.045 -152.5181
175.000000 84.010 -153.5301
177.500000 83.996 -154.5394
180.000000 83.982 -155.6972
182.500000 83.932 -156.8691
185.000000 83.828 -157.8922
187.500000 83.671 -158.7105
190.000000 83.481 -159.2630
192.500000 83.309 -159.4171
195.000000 83.171 -159.3229
197.500000 83.075 -159.0046
200.000000 83.027 -158.6745
203.000000 83.004 -158.4775
206.000000 82.983 -158.4039
209.000000 82.984 -158.4597
212.000000 82.999 -158.6368
214.000000 83.006 -158.7319
218.000000 83.021 -158.9388
220.000000 83.023 -159.1217
224.000000 82.988 -159.5963
227.000000 82.956 -159.9167
230.000000 82.938 -160.2359
233.000000 82.909 -160.5213
236.000000 82.868 -160.7882
240.000000 82.826 -161.1188
243.000000 82.801 -161.3086
247.000000 82.786 -161.5735
250.000000 82.783 -161.6088
254.000000 82.743 -161.2927
258.000000 82.696 -161.2560
262.000000 82.664 -161.5755
265.000000 82.647 -161.7048
269.000000 82.609 -161.9084
272.000000 82.577 -162.0744
276.000000 82.558 -162.1380
280.000000 82.553 -162.1416
285.000000 82.523 -162.2134
290.000000 82.509 -162.3274
295.000000 82.492 -162.3077
300.000000 82.461 -162.4108
304.000000 82.443 -162.4592
307.000000 82.432 -162.4880
311.000000 82.420 -162.5980
315.000000 82.396 -162.7111
320.000000 82.360 -162.7297
325.000000 82.337 -162.6402
330.000000 82.323 -162.6614
335.000000 82.303 -162.6988
340.000000 82.294 -162.6905
345.000000 82.300 -162.6493
350.000000 82.290 -162.6214
355.000000 82.267 -162.6836
360.000000 82.243 -162.6492
365.000000 82.218 -162.5179
370.000000 82.192 -162.5568
375.000000 82.188 -162.7765
382.000000 82.161 -162.6381
387.000000 82.130 -162.4559
395.000000 82.127 -162.3422
400.000000 82.126 -162.3068
406.000000 82.122 -162.0974
412.000000 82.107 -162.0709
418.000000 82.083 -161.9956
425.000000 82.069 -161.7728
431.000000 82.065 -161.6083
437.000000 82.068 -161.5909
444.000000 82.056 -161.6349
450.000000 82.051 -161.4297
455.000000 82.041 -161.2355
462.000000 82.023 -160.8797
468.000000 82.022 -160.5610
475.000000 82.022 -160.3339
482.000000 82.013 -160.1642
487.000000 82.011 -160.0149
494.000000 82.002 -159.8723
500.000000 81.981 -159.8942
508.000000 81.961 -159.7799
515.000000 81.965 -159.5428
522.000000 81.960 -159.2422
530.000000 81.931 -158.8007
538.000000 81.932 -158.3222
545.000000 81.962 -158.0215
552.000000 81.985 -157.9010
560.000000 81.998 -157.6567
570.000000 82.002 -157.2685
580.000000 82.011 -156.9099
590.000000 82.021 -156.6609
600.000000 82.026 -156.4313
608.000000 82.046 -156.1499
615.000000 82.065 -155.8964
622.000000 82.077 -155.6295
630.000000 82.092 -155.3578
640.000000 82.114 -155.0903
650.000000 82.125 -154.7834
660.000000 82.138 -154.4187
670.000000 82.156 -154.0540
680.000000 82.172 -153.7369
690.000000 82.191 -153.3981
700.000000 82.214 -153.0899
710.000000 82.239 -152.8438
720.000000 82.261 -152.5238
730.000000 82.286 -152.1927
740.000000 82.311 -151.8743
750.000000 82.332 -151.4914
762.000000 82.373 -151.0992
775.000000 82.407 -150.7461
788.000000 82.431 -150.3207
800.000000 82.453 -149.9567
812.000000 82.474 -149.5784
825.000000 82.506 -149.1357
838.000000 82.542 -148.7204
850.000000 82.572 -148.3724
862.000000 82.607 -148.0199
875.000000 82.638 -147.6505
885.000000 82.656 -147.3564
900.000000 82.680 -146.8818
912.000000 82.708 -146.4549
925.000000 82.740 -145.9431
938.000000 82.777 -145.4324
950.000000 82.814 -145.0288
962.000000 82.848 -144.6247
975.000000 82.879 -144.1228
988.000000 82.910 -143.6001
1000.000000 82.939 -143.1345
1015.000000 82.987 -142.5244
1030.000000 83.043 -141.9128
1044.000000 83.087 -141.3740
1060.000000 83.145 -140.7185
1075.000000 83.201 -140.0749
1090.000000 83.256 -139.4513
1106.000000 83.321 -138.7851
1120.000000 83.379 -138.2244
1138.000000 83.456 -137.4731
1150.000000 83.515 -136.9854
1172.000000 83.641 -136.0542
1180.000000 83.683 -135.7297
1206.000000 83.804 -134.6584
1220.000000 83.877 -134.0965
1241.000000 83.989 -133.2440
1250.000000 84.037 -132.8390
1265.000000 84.122 -132.1654
1280.000000 84.214 -131.5110
1315.000000 84.461 -130.0411
1320.000000 84.499 -129.8367
1340.000000 84.652 -129.0699
1360.000000 84.811 -128.3572
1380.000000 84.976 -127.7290
1400.000000 85.144 -127.1761
1430.000000 85.369 -126.4073
1450.000000 85.518 -125.8571
1475.000000 85.713 -125.0671
1500.000000 85.917 -124.3118
1525.000000 86.126 -123.6207
1550.000000 86.353 -122.9940
1575.000000 86.566 -122.5705
1600.000000 86.760 -122.0892
1625.000000 86.968 -121.3440
1650.000000 87.203 -120.6633
1675.000000 87.450 -120.0425
1700.000000 87.708 -119.4708
1725.000000 87.973 -119.0355
1750.000000 88.243 -118.6146
1775.000000 88.532 -118.2145
1800.000000 88.827 -118.0504
1825.000000 89.111 -117.9587
1850.000000 89.417 -117.8573
1875.000000 89.722 -118.0394
1900.000000 90.006 -118.2839
1925.000000 90.295 -118.5123
1950.000000 90.584 -118.8825
1975.000000 90.853 -119.3345
2000.000000 91.130 -119.7302
2030.000000 91.464 -120.4695
2060.000000 91.769 -121.2869
2090.000000 92.054 -122.0702
2120.000000 92.353 -122.6240
2140.000000 92.578 -123.0565
2180.000000 93.058 -124.2971
2200.000000 93.300 -125.1763
2240.000000 93.733 -127.3825
2270.000000 94.022 -129.1948
2300.000000 94.261 -131.2294
2330.000000 94.419 -133.1211
2360.000000 94.567 -134.5833
2400.000000 94.840 -136.4091
2430.000000 95.064 -138.1325
2470.000000 95.306 -140.8815
2500.000000 95.426 -142.9809
2540.000000 95.546 -145.5584
2580.000000 95.656 -148.1474
2620.000000 95.673 -150.9312
2650.000000 95.624 -152.4177
2690.000000 95.639 -153.7157
2720.000000 95.736 -154.7370
2760.000000 95.911 -157.0001
2800.000000 95.924 -160.0032
2850.000000 95.792 -162.7393
2900.000000 95.688 -164.7855
2950.000000 95.557 -166.5828
3000.000000 95.476 -167.5395
3040.000000 95.522 -168.1963
3070.000000 95.587 -169.0578
3110.000000 95.664 -170.2853
3150.000000 95.797 -171.8337
3200.000000 95.877 -174.4360
3250.000000 95.949 -176.7293
3300.000000 96.085 -179.8342
3350.000000 96.060 176.2125
3400.000000 95.897 172.8524
3450.000000 95.838 169.9655
3500.000000 95.876 165.8461
3550.000000 95.781 159.8925
3600.000000 95.391 152.9386
3650.000000 94.622 145.7851
3700.000000 93.536 139.1356
3750.000000 91.956 132.8088
3820.000000 88.746 132.3736
3870.000000 86.455 137.1761
3950.000000 82.765 161.1912
4000.000000 82.699 -161.6538
4060.000000 85.751 -136.6251
4120.000000 88.568 -133.6202
4180.000000 90.496 -135.7965
4250.000000 92.121 -138.6280
4310.000000 93.360 -140.8493
4370.000000 94.567 -143.4671
4440.000000 96.104 -147.4676
4500.000000 97.497 -153.4123
4550.000000 98.549 -160.7650
4620.000000 99.515 -174.4130
4680.000000 99.649 172.6110
4750.000000 99.055 158.9842
4820.000000 97.974 148.3670
4870.000000 97.034 142.9301
