* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 7:39:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Koss KSC75 PE Headband R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 66.077 -17.9553
20.299999 66.580 -18.5241
20.600000 66.976 -20.1694
20.900000 67.182 -22.3521
21.200001 67.173 -24.3511
21.400000 67.064 -25.2044
21.799999 66.731 -24.9751
22.000000 66.601 -23.7585
22.400000 66.647 -19.8607
22.700001 67.014 -17.0478
23.000000 67.572 -15.5020
23.299999 68.172 -15.5682
23.600000 68.690 -17.0121
24.000000 69.147 -20.2239
24.299999 69.293 -22.9375
24.700001 69.259 -26.0982
25.000000 69.121 -27.6684
25.400000 68.925 -28.3609
25.799999 68.889 -27.8107
26.200001 69.110 -27.2026
26.500000 69.394 -27.4612
26.900000 69.777 -29.0985
27.200001 69.971 -31.0347
27.600000 70.041 -33.7512
28.000000 69.935 -35.6438
28.500000 69.789 -35.9538
29.000000 69.932 -34.7902
29.500000 70.375 -34.2929
30.000000 70.848 -35.3372
30.400000 71.120 -36.7530
30.700001 71.260 -37.7726
31.100000 71.409 -38.8546
31.500000 71.556 -39.6747
32.000000 71.741 -40.6177
32.500000 71.882 -41.4721
33.000000 71.985 -41.8668
33.500000 72.140 -41.7209
34.000000 72.406 -41.6209
34.500000 72.716 -42.1760
35.000000 72.958 -43.2788
35.500000 73.104 -44.3039
36.000000 73.230 -44.8417
36.500000 73.418 -45.1079
37.000000 73.666 -45.6069
37.500000 73.908 -46.5434
38.200001 74.155 -48.1488
38.700001 74.282 -49.1242
39.500000 74.481 -50.2596
40.000000 74.621 -50.8278
40.599998 74.807 -51.4637
41.200001 75.017 -52.1205
41.799999 75.249 -52.9334
42.500000 75.514 -54.2687
43.099998 75.678 -55.6157
43.700001 75.770 -56.6658
44.400002 75.891 -57.0973
45.000000 76.100 -57.2623
45.500000 76.318 -57.7610
46.200001 76.567 -58.9991
46.799999 76.701 -59.9792
47.500000 76.850 -60.7017
48.200001 77.032 -61.3365
48.700001 77.160 -61.8366
49.400002 77.341 -62.4998
50.000000 77.517 -63.1099
50.799999 77.759 -64.2612
51.500000 77.931 -65.4696
52.200001 78.072 -66.5931
53.000000 78.229 -67.6822
53.799999 78.402 -68.6252
54.500000 78.573 -69.4500
55.200001 78.743 -70.3534
56.000000 78.919 -71.3816
57.000000 79.129 -72.5147
58.000000 79.347 -73.6186
59.000000 79.560 -74.8463
60.000000 79.752 -76.1956
60.799999 79.887 -77.2827
61.500000 79.999 -78.1979
62.200001 80.111 -79.0677
63.000000 80.248 -80.0476
64.000000 80.419 -81.3393
65.000000 80.577 -82.6051
66.000000 80.738 -83.8443
67.000000 80.886 -85.1243
68.000000 81.022 -86.3991
69.000000 81.140 -87.6881
70.000000 81.240 -88.8769
71.000000 81.339 -90.0331
72.000000 81.419 -91.1329
73.000000 81.503 -92.0637
74.000000 81.602 -93.0150
75.000000 81.698 -93.9929
76.199997 81.821 -95.1886
77.500000 81.944 -96.5163
78.800003 82.078 -97.6842
80.000000 82.217 -98.8527
81.199997 82.324 -100.1159
82.500000 82.398 -101.3151
83.800003 82.462 -102.3453
85.000000 82.518 -103.3401
86.199997 82.571 -104.2988
87.500000 82.656 -105.3330
88.500000 82.738 -106.1859
90.000000 82.864 -107.5225
91.199997 82.949 -108.4248
92.500000 83.055 -109.1367
93.800003 83.190 -109.9084
95.000000 83.301 -110.9174
96.199997 83.376 -112.0176
97.500000 83.445 -113.1332
98.800003 83.524 -114.1855
100.000000 83.604 -115.1847
101.500000 83.682 -116.4028
103.000000 83.738 -117.4704
104.400002 83.787 -118.4259
106.000000 83.843 -119.7257
107.500000 83.872 -121.0735
109.000000 83.901 -122.2352
110.599998 83.955 -123.3277
112.000000 84.002 -124.2945
113.800003 84.016 -125.4825
115.000000 84.012 -126.1178
117.199997 84.035 -127.1832
118.000000 84.057 -127.5919
120.599998 84.139 -129.2065
122.000000 84.166 -130.0493
124.099998 84.208 -131.3264
125.000000 84.221 -131.9083
126.500000 84.234 -132.8660
128.000000 84.238 -133.7914
131.500000 84.164 -135.4408
132.000000 84.157 -135.6021
134.000000 84.154 -136.3245
136.000000 84.169 -137.1402
138.000000 84.199 -137.9313
140.000000 84.216 -138.7990
143.000000 84.218 -140.1865
145.000000 84.218 -141.2152
147.500000 84.212 -142.2878
150.000000 84.191 -143.0346
152.500000 84.171 -143.8454
155.000000 84.139 -144.9289
157.500000 84.103 -145.8157
160.000000 84.086 -146.5370
162.500000 84.077 -147.2830
165.000000 84.070 -148.1504
167.500000 84.045 -148.9930
170.000000 84.001 -149.7895
172.500000 83.939 -150.5815
175.000000 83.875 -151.1517
177.500000 83.834 -151.4027
180.000000 83.827 -151.5142
182.500000 83.803 -151.9698
185.000000 83.731 -152.5189
187.500000 83.661 -153.0051
190.000000 83.619 -153.4092
192.500000 83.599 -153.5733
195.000000 83.596 -153.6744
197.500000 83.598 -153.9021
200.000000 83.607 -154.2542
203.000000 83.615 -154.6861
206.000000 83.610 -155.0939
209.000000 83.599 -155.5188
212.000000 83.596 -155.9685
214.000000 83.588 -156.2956
218.000000 83.559 -156.9501
220.000000 83.541 -157.3086
224.000000 83.507 -157.9178
227.000000 83.484 -158.3078
230.000000 83.455 -158.6523
233.000000 83.418 -159.0173
236.000000 83.379 -159.3602
240.000000 83.339 -159.8252
243.000000 83.316 -160.1579
247.000000 83.282 -160.3523
250.000000 83.247 -160.3995
254.000000 83.213 -160.5152
258.000000 83.194 -160.7264
262.000000 83.142 -161.0837
265.000000 83.109 -161.3243
269.000000 83.080 -161.5349
272.000000 83.054 -161.6728
276.000000 83.020 -161.8755
280.000000 82.994 -162.0659
285.000000 82.963 -162.2629
290.000000 82.923 -162.3999
295.000000 82.878 -162.4794
300.000000 82.856 -162.6456
304.000000 82.832 -162.7631
307.000000 82.812 -162.7733
311.000000 82.788 -162.7212
315.000000 82.763 -162.7426
320.000000 82.733 -162.9560
325.000000 82.706 -163.1095
330.000000 82.666 -163.1548
335.000000 82.624 -163.2117
340.000000 82.589 -163.2752
345.000000 82.566 -163.1875
350.000000 82.549 -163.1693
355.000000 82.525 -163.1793
360.000000 82.503 -163.1307
365.000000 82.480 -163.1165
370.000000 82.461 -163.0163
375.000000 82.435 -162.9082
382.000000 82.387 -162.8750
387.000000 82.373 -162.9441
395.000000 82.349 -162.9190
400.000000 82.325 -162.8025
406.000000 82.293 -162.6600
412.000000 82.276 -162.5750
418.000000 82.269 -162.3919
425.000000 82.268 -162.2420
431.000000 82.264 -162.1827
437.000000 82.258 -162.0882
444.000000 82.237 -161.9521
450.000000 82.216 -161.8534
455.000000 82.196 -161.7348
462.000000 82.173 -161.4266
468.000000 82.159 -161.1528
475.000000 82.150 -160.9479
482.000000 82.142 -160.7182
487.000000 82.133 -160.5781
494.000000 82.130 -160.3579
500.000000 82.130 -160.1729
508.000000 82.132 -159.9931
515.000000 82.133 -159.7837
522.000000 82.132 -159.5249
530.000000 82.132 -159.2257
538.000000 82.131 -158.9214
545.000000 82.132 -158.6656
552.000000 82.134 -158.4638
560.000000 82.143 -158.1837
570.000000 82.148 -157.8846
580.000000 82.152 -157.5988
590.000000 82.164 -157.2600
600.000000 82.174 -156.9297
608.000000 82.182 -156.6695
615.000000 82.188 -156.4565
622.000000 82.194 -156.2311
630.000000 82.203 -155.9785
640.000000 82.218 -155.6814
650.000000 82.229 -155.3551
660.000000 82.233 -154.9381
670.000000 82.246 -154.5423
680.000000 82.268 -154.2575
690.000000 82.285 -153.9248
700.000000 82.302 -153.5826
710.000000 82.324 -153.2565
720.000000 82.344 -152.9333
730.000000 82.362 -152.6305
740.000000 82.385 -152.2888
750.000000 82.416 -151.9532
762.000000 82.446 -151.5634
775.000000 82.473 -151.1936
788.000000 82.499 -150.7584
800.000000 82.525 -150.3186
812.000000 82.547 -149.9398
825.000000 82.570 -149.5282
838.000000 82.602 -149.0273
850.000000 82.630 -148.5732
862.000000 82.663 -148.1719
875.000000 82.705 -147.8201
885.000000 82.728 -147.5257
900.000000 82.759 -147.0463
912.000000 82.787 -146.6785
925.000000 82.818 -146.2597
938.000000 82.845 -145.7929
950.000000 82.873 -145.3331
962.000000 82.905 -144.8766
975.000000 82.944 -144.4226
988.000000 82.978 -143.9670
1000.000000 83.007 -143.5490
1015.000000 83.045 -142.9982
1030.000000 83.091 -142.3715
1044.000000 83.140 -141.7613
1060.000000 83.195 -141.1340
1075.000000 83.244 -140.5755
1090.000000 83.288 -139.9305
1106.000000 83.338 -139.2087
1120.000000 83.391 -138.5903
1138.000000 83.468 -137.8416
1150.000000 83.521 -137.3407
1172.000000 83.620 -136.3307
1180.000000 83.661 -135.9675
1206.000000 83.794 -134.9632
1220.000000 83.862 -134.3990
1241.000000 83.970 -133.4353
1250.000000 84.022 -133.0071
1265.000000 84.117 -132.3079
1280.000000 84.217 -131.6515
1315.000000 84.429 -130.1401
1320.000000 84.461 -129.9024
1340.000000 84.603 -128.9319
1360.000000 84.775 -128.0403
1380.000000 84.959 -127.2942
1400.000000 85.135 -126.6953
1430.000000 85.378 -125.8516
1450.000000 85.538 -125.2742
1475.000000 85.748 -124.5959
1500.000000 85.955 -123.9603
1525.000000 86.162 -123.2384
1550.000000 86.389 -122.4760
1575.000000 86.631 -121.8959
1600.000000 86.864 -121.4149
1625.000000 87.099 -120.9639
1650.000000 87.337 -120.5295
1675.000000 87.574 -120.0998
1700.000000 87.816 -119.6895
1725.000000 88.064 -119.3762
1750.000000 88.309 -119.1062
1775.000000 88.561 -118.7986
1800.000000 88.829 -118.5246
1825.000000 89.111 -118.4165
1850.000000 89.374 -118.4325
1875.000000 89.630 -118.4017
1900.000000 89.907 -118.3139
1925.000000 90.200 -118.4012
1950.000000 90.487 -118.6066
1975.000000 90.778 -118.9015
2000.000000 91.061 -119.3322
2030.000000 91.390 -119.8960
2060.000000 91.719 -120.5302
2090.000000 92.052 -121.2429
2120.000000 92.387 -122.1872
2140.000000 92.592 -122.8551
2180.000000 93.016 -124.2312
2200.000000 93.222 -125.0393
2240.000000 93.626 -126.7868
2270.000000 93.925 -128.2393
2300.000000 94.219 -129.8728
2330.000000 94.497 -131.7358
2360.000000 94.747 -133.8693
2400.000000 94.984 -136.9549
2430.000000 95.110 -139.1636
2470.000000 95.221 -141.9917
2500.000000 95.283 -144.0013
2540.000000 95.306 -146.6068
2580.000000 95.297 -148.6590
2620.000000 95.311 -150.6727
2650.000000 95.282 -152.0897
2690.000000 95.245 -153.5210
2720.000000 95.256 -154.4200
2760.000000 95.312 -155.7950
2800.000000 95.364 -157.4248
2850.000000 95.394 -159.7159
2900.000000 95.342 -161.9892
2950.000000 95.243 -163.9454
3000.000000 95.113 -165.4865
3040.000000 95.035 -166.4142
3070.000000 94.981 -167.1269
3110.000000 94.901 -167.8711
3150.000000 94.864 -168.4956
3200.000000 94.784 -169.2887
3250.000000 94.827 -169.1992
3300.000000 95.038 -170.5204
3350.000000 95.044 -173.0449
3400.000000 94.885 -174.6840
3450.000000 94.747 -175.3851
3500.000000 94.747 -175.4000
3550.000000 94.942 -176.1712
3600.000000 95.142 -178.4567
3650.000000 95.229 178.0844
3700.000000 95.078 173.6620
3750.000000 94.530 169.6038
3820.000000 93.470 169.1257
3870.000000 93.113 170.2552
3950.000000 92.263 168.3285
4000.000000 91.142 171.7682
4060.000000 90.590 -174.3479
4120.000000 91.796 -162.2229
4180.000000 93.524 -159.3144
4250.000000 95.113 -162.2976
4310.000000 96.197 -166.6702
4370.000000 97.098 -172.7189
4440.000000 97.798 178.5659
4500.000000 98.117 170.3994
4550.000000 98.213 163.1954
4620.000000 97.987 152.1372
4680.000000 97.222 143.1094
4750.000000 95.807 136.4081
4820.000000 94.386 134.7904
4870.000000 93.676 135.4887
