* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:18:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HarmonicDyne Zeus Rag L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 64.966 -61.4837
20.299999 65.137 -62.2660
20.600000 65.300 -62.9329
20.900000 65.464 -63.4864
21.200001 65.638 -63.9714
21.400000 65.759 -64.2926
21.799999 66.010 -64.9743
22.000000 66.136 -65.3477
22.400000 66.381 -66.1509
22.700001 66.556 -66.7731
23.000000 66.726 -67.3873
23.299999 66.891 -67.9887
23.600000 67.053 -68.5824
24.000000 67.265 -69.3712
24.299999 67.419 -69.9598
24.700001 67.618 -70.7253
25.000000 67.763 -71.2735
25.400000 67.957 -71.9702
25.799999 68.152 -72.6543
26.200001 68.349 -73.3607
26.500000 68.494 -73.9134
26.900000 68.680 -74.6688
27.200001 68.814 -75.2309
27.600000 68.988 -75.9551
28.000000 69.159 -76.6492
28.500000 69.371 -77.5020
29.000000 69.579 -78.3597
29.500000 69.779 -79.1991
30.000000 69.976 -79.9860
30.400000 70.137 -80.5887
30.700001 70.261 -81.0475
31.100000 70.429 -81.7031
31.500000 70.594 -82.4278
32.000000 70.785 -83.4182
32.500000 70.953 -84.4366
33.000000 71.098 -85.3892
33.500000 71.231 -86.2130
34.000000 71.368 -86.9165
34.500000 71.518 -87.5940
35.000000 71.673 -88.3498
35.500000 71.812 -89.1924
36.000000 71.925 -89.9932
36.500000 72.025 -90.6042
37.000000 72.143 -91.0130
37.500000 72.298 -91.3795
38.200001 72.557 -92.1885
38.700001 72.736 -93.0536
39.500000 72.967 -94.6606
40.000000 73.083 -95.6321
40.599998 73.209 -96.6994
41.200001 73.334 -97.7033
41.799999 73.459 -98.7112
42.500000 73.593 -99.9117
43.099998 73.695 -100.9247
43.700001 73.786 -101.9060
44.400002 73.873 -102.9887
45.000000 73.934 -103.7982
45.500000 73.983 -104.3638
46.200001 74.060 -105.0611
46.799999 74.129 -105.6484
47.500000 74.203 -106.3077
48.200001 74.275 -106.9193
48.700001 74.323 -107.3599
49.400002 74.374 -107.9693
50.000000 74.403 -108.3854
50.799999 74.447 -108.7314
51.500000 74.503 -108.9624
52.200001 74.565 -109.1964
53.000000 74.639 -109.4186
53.799999 74.721 -109.5956
54.500000 74.798 -109.7305
55.200001 74.880 -109.8066
56.000000 74.992 -109.8403
57.000000 75.158 -110.0089
58.000000 75.315 -110.3200
59.000000 75.472 -110.5866
60.000000 75.643 -110.9534
60.799999 75.770 -111.3601
61.500000 75.872 -111.7006
62.200001 75.976 -111.9992
63.000000 76.107 -112.3531
64.000000 76.280 -112.8998
65.000000 76.454 -113.5745
66.000000 76.621 -114.3705
67.000000 76.773 -115.2626
68.000000 76.905 -116.1712
69.000000 77.024 -117.0172
70.000000 77.138 -117.8136
71.000000 77.247 -118.5544
72.000000 77.359 -119.1942
73.000000 77.485 -119.8163
74.000000 77.614 -120.4816
75.000000 77.741 -121.1438
76.199997 77.899 -121.9578
77.500000 78.071 -122.9299
78.800003 78.230 -124.0036
80.000000 78.365 -125.0263
81.199997 78.491 -126.0938
82.500000 78.614 -127.2951
83.800003 78.721 -128.5247
85.000000 78.803 -129.6488
86.199997 78.874 -130.7303
87.500000 78.939 -131.8327
88.500000 78.982 -132.6076
90.000000 79.046 -133.6326
91.199997 79.105 -134.3797
92.500000 79.176 -135.1938
93.800003 79.249 -136.0429
95.000000 79.314 -136.8622
96.199997 79.375 -137.7033
97.500000 79.434 -138.6132
98.800003 79.489 -139.5027
100.000000 79.535 -140.3050
101.500000 79.585 -141.2748
103.000000 79.626 -142.2030
104.400002 79.659 -142.9915
106.000000 79.702 -143.8486
107.500000 79.746 -144.6559
109.000000 79.793 -145.4819
110.599998 79.843 -146.4085
112.000000 79.881 -147.2506
113.800003 79.919 -148.3377
115.000000 79.939 -149.0354
117.199997 79.973 -150.2542
118.000000 79.985 -150.6849
120.599998 80.025 -152.0894
122.000000 80.043 -152.8838
124.099998 80.054 -154.1262
125.000000 80.054 -154.6719
126.500000 80.044 -155.5926
128.000000 80.020 -156.4880
131.500000 79.930 -158.1914
132.000000 79.918 -158.3935
134.000000 79.875 -159.1791
136.000000 79.833 -160.0208
138.000000 79.770 -160.9441
140.000000 79.665 -161.8030
143.000000 79.436 -162.4261
145.000000 79.291 -162.1537
147.500000 79.212 -161.2730
150.000000 79.268 -160.4613
152.500000 79.398 -160.1654
155.000000 79.537 -160.3949
157.500000 79.652 -160.9483
160.000000 79.741 -161.6732
162.500000 79.806 -162.5079
165.000000 79.850 -163.3970
167.500000 79.876 -164.2936
170.000000 79.887 -165.1975
172.500000 79.879 -166.1052
175.000000 79.853 -166.9689
177.500000 79.814 -167.7266
180.000000 79.773 -168.3449
182.500000 79.736 -168.8519
185.000000 79.704 -169.2886
187.500000 79.675 -169.6915
190.000000 79.641 -170.0777
192.500000 79.599 -170.3418
195.000000 79.572 -170.3994
197.500000 79.593 -170.3880
200.000000 79.656 -170.5833
203.000000 79.731 -171.2108
206.000000 79.768 -172.0736
209.000000 79.767 -172.9679
212.000000 79.748 -173.8046
214.000000 79.731 -174.3360
218.000000 79.682 -175.3384
220.000000 79.651 -175.8137
224.000000 79.571 -176.7481
227.000000 79.483 -177.3676
230.000000 79.378 -177.7591
233.000000 79.285 -177.8498
236.000000 79.234 -177.7728
240.000000 79.223 -177.7847
243.000000 79.229 -177.9702
247.000000 79.231 -178.3763
250.000000 79.222 -178.7518
254.000000 79.199 -179.2749
258.000000 79.166 -179.7535
262.000000 79.126 179.7947
265.000000 79.096 179.4525
269.000000 79.055 179.0262
272.000000 79.022 178.7346
276.000000 78.973 178.3713
280.000000 78.922 178.0491
285.000000 78.857 177.7016
290.000000 78.797 177.3921
295.000000 78.741 177.1620
300.000000 78.696 176.9962
304.000000 78.673 176.9075
307.000000 78.662 176.8295
311.000000 78.652 176.6859
315.000000 78.645 176.5118
320.000000 78.638 176.2346
325.000000 78.632 175.8755
330.000000 78.621 175.4793
335.000000 78.612 175.0501
340.000000 78.601 174.5739
345.000000 78.580 174.0272
350.000000 78.545 173.4692
355.000000 78.500 172.9683
360.000000 78.455 172.4984
365.000000 78.407 172.0082
370.000000 78.350 171.4798
375.000000 78.278 170.9537
382.000000 78.155 170.3286
387.000000 78.057 170.0242
395.000000 77.904 169.7508
400.000000 77.818 169.6331
406.000000 77.717 169.5671
412.000000 77.623 169.5918
418.000000 77.541 169.6566
425.000000 77.458 169.7705
431.000000 77.395 169.9225
437.000000 77.340 170.0873
444.000000 77.291 170.2620
450.000000 77.261 170.3936
455.000000 77.243 170.4965
462.000000 77.232 170.5958
468.000000 77.232 170.5753
475.000000 77.225 170.4173
482.000000 77.206 170.2129
487.000000 77.194 170.0609
494.000000 77.179 169.7619
500.000000 77.155 169.4041
508.000000 77.092 168.8581
515.000000 77.000 168.4191
522.000000 76.873 168.1774
530.000000 76.714 168.4565
538.000000 76.638 169.1849
545.000000 76.650 169.6263
552.000000 76.678 169.7009
560.000000 76.692 169.5280
570.000000 76.685 169.1645
580.000000 76.662 168.7354
590.000000 76.619 168.3081
600.000000 76.558 167.8596
608.000000 76.496 167.4619
615.000000 76.431 167.1284
622.000000 76.364 166.8411
630.000000 76.286 166.5408
640.000000 76.178 166.1541
650.000000 76.070 165.7493
660.000000 75.948 165.2262
670.000000 75.780 164.6941
680.000000 75.573 164.2528
690.000000 75.296 163.9520
700.000000 74.935 164.4710
710.000000 74.629 166.2362
720.000000 74.519 168.4490
730.000000 74.549 170.0430
740.000000 74.597 170.9113
750.000000 74.624 171.5123
762.000000 74.644 172.0722
775.000000 74.646 172.4710
788.000000 74.619 172.8908
800.000000 74.598 173.3782
812.000000 74.591 173.8359
825.000000 74.601 174.2712
838.000000 74.629 174.5708
850.000000 74.668 174.6346
862.000000 74.696 174.4016
875.000000 74.676 173.9098
885.000000 74.622 173.5359
900.000000 74.491 173.1626
912.000000 74.373 173.0705
925.000000 74.248 173.0841
938.000000 74.122 173.1345
950.000000 73.995 173.2003
962.000000 73.858 173.3453
975.000000 73.698 173.6208
988.000000 73.528 174.0366
1000.000000 73.357 174.6458
1015.000000 73.184 175.7441
1030.000000 73.059 176.7523
1044.000000 72.952 177.6373
1060.000000 72.846 178.5071
1075.000000 72.703 179.2071
1090.000000 72.528 -179.7888
1106.000000 72.343 -178.3765
1120.000000 72.194 -176.7399
1138.000000 72.123 -174.2060
1150.000000 72.170 -172.8496
1172.000000 72.233 -171.5643
1180.000000 72.207 -171.2212
1206.000000 72.047 -169.4175
1220.000000 71.958 -168.0880
1241.000000 71.873 -165.5791
1250.000000 71.879 -164.4613
1265.000000 71.923 -162.8599
1280.000000 71.956 -161.4746
1315.000000 72.030 -158.4286
1320.000000 72.028 -158.0103
1340.000000 72.006 -155.8653
1360.000000 72.084 -153.2029
1380.000000 72.281 -150.8629
1400.000000 72.493 -149.2694
1430.000000 72.707 -147.2763
1450.000000 72.818 -145.6577
1475.000000 73.051 -143.2155
1500.000000 73.373 -141.5206
1525.000000 73.627 -140.4596
1550.000000 73.817 -139.1637
1575.000000 74.063 -137.6636
1600.000000 74.302 -136.6284
1625.000000 74.477 -135.4664
1650.000000 74.672 -133.8365
1675.000000 74.963 -132.2027
1700.000000 75.251 -131.0906
1725.000000 75.531 -129.8206
1750.000000 75.868 -128.8330
1775.000000 76.142 -128.3101
1800.000000 76.349 -127.3940
1825.000000 76.618 -125.8881
1850.000000 76.995 -124.4794
1875.000000 77.409 -123.5086
1900.000000 77.857 -122.8100
1925.000000 78.316 -122.7381
1950.000000 78.705 -123.0563
1975.000000 79.078 -123.3134
2000.000000 79.441 -123.8319
2030.000000 79.808 -124.5172
2060.000000 80.186 -124.8927
2090.000000 80.608 -125.5444
2120.000000 80.986 -126.6025
2140.000000 81.218 -127.2841
2180.000000 81.692 -128.7665
2200.000000 81.916 -129.6802
2240.000000 82.314 -131.6757
2270.000000 82.566 -133.2318
2300.000000 82.784 -134.6360
2330.000000 83.010 -135.9137
2360.000000 83.220 -137.2935
2400.000000 83.492 -138.8607
2430.000000 83.723 -140.1742
2470.000000 83.988 -142.0405
2500.000000 84.199 -143.3894
2540.000000 84.469 -145.4483
2580.000000 84.717 -147.5691
2620.000000 84.945 -149.8160
2650.000000 85.108 -151.4814
2690.000000 85.331 -153.8584
2720.000000 85.484 -155.7905
2760.000000 85.666 -158.5348
2800.000000 85.812 -161.4709
2850.000000 85.937 -165.2752
2900.000000 85.996 -169.2302
2950.000000 85.989 -173.1980
3000.000000 85.919 -177.3017
3040.000000 85.782 179.3973
3070.000000 85.636 177.1049
3110.000000 85.415 174.2592
3150.000000 85.155 171.5540
3200.000000 84.767 168.5293
3250.000000 84.324 166.0016
3300.000000 83.833 164.0990
3350.000000 83.329 163.0244
3400.000000 82.892 162.7615
3450.000000 82.588 162.5369
3500.000000 82.310 161.7938
3550.000000 81.975 160.9878
3600.000000 81.600 160.4700
3650.000000 81.212 160.3762
3700.000000 80.847 160.6888
3750.000000 80.524 161.1713
3820.000000 80.094 161.9644
3870.000000 79.789 162.8222
3950.000000 79.406 164.7829
4000.000000 79.242 165.7594
4060.000000 79.006 166.5417
4120.000000 78.654 167.7761
4180.000000 78.305 170.4374
4250.000000 78.158 174.6364
4310.000000 78.282 178.0522
4370.000000 78.583 -179.3671
4440.000000 79.022 -178.0182
4500.000000 79.332 -178.1874
4550.000000 79.490 -178.8397
4620.000000 79.546 -179.7546
4680.000000 79.494 -179.8810
4750.000000 79.456 -179.0677
4820.000000 79.533 -177.7343
4870.000000 79.668 -176.7742
4940.000000 79.944 -175.7081
5000.000000 80.246 -175.0722
5080.000000 80.779 -174.7284
5150.000000 81.371 -175.5676
5220.000000 81.982 -178.1273
5300.000000 82.534 176.4818
5380.000000 82.660 168.7871
