* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:00:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HarmonicDyne Zeus Rag R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 66.018 -64.6116
20.299999 66.193 -65.1891
20.600000 66.373 -65.7541
20.900000 66.557 -66.3356
21.200001 66.741 -66.9496
21.400000 66.862 -67.3770
21.799999 67.098 -68.2702
22.000000 67.213 -68.7321
22.400000 67.432 -69.6754
22.700001 67.588 -70.3826
23.000000 67.735 -71.0642
23.299999 67.878 -71.6984
23.600000 68.020 -72.2820
24.000000 68.217 -73.0094
24.299999 68.371 -73.5642
24.700001 68.578 -74.3730
25.000000 68.724 -75.0331
25.400000 68.899 -75.9211
25.799999 69.053 -76.6954
26.200001 69.204 -77.2761
26.500000 69.329 -77.6096
26.900000 69.518 -78.0218
27.200001 69.673 -78.3916
27.600000 69.882 -79.0272
28.000000 70.075 -79.7943
28.500000 70.285 -80.7824
29.000000 70.474 -81.6609
29.500000 70.662 -82.4384
30.000000 70.855 -83.2051
30.400000 71.010 -83.8451
30.700001 71.125 -84.3417
31.100000 71.277 -85.0289
31.500000 71.427 -85.7556
32.000000 71.604 -86.7250
32.500000 71.764 -87.7138
33.000000 71.911 -88.6370
33.500000 72.059 -89.4711
34.000000 72.216 -90.2844
34.500000 72.377 -91.1538
35.000000 72.529 -92.0770
35.500000 72.669 -92.9951
36.000000 72.802 -93.8791
36.500000 72.932 -94.7552
37.000000 73.054 -95.6511
37.500000 73.163 -96.5510
38.200001 73.296 -97.7567
38.700001 73.380 -98.5757
39.500000 73.499 -99.8295
40.000000 73.565 -100.5484
40.599998 73.648 -101.3557
41.200001 73.737 -102.2152
41.799999 73.812 -103.1932
42.500000 73.854 -104.3213
43.099998 73.863 -105.0567
43.700001 73.876 -105.5625
44.400002 73.905 -106.0322
45.000000 73.926 -106.3881
45.500000 73.936 -106.5886
46.200001 73.949 -106.6565
46.799999 73.972 -106.5506
47.500000 74.018 -106.3018
48.200001 74.091 -105.9573
48.700001 74.164 -105.7130
49.400002 74.288 -105.4869
50.000000 74.398 -105.4093
50.799999 74.546 -105.3402
51.500000 74.693 -105.2752
52.200001 74.861 -105.3208
53.000000 75.056 -105.6023
53.799999 75.228 -106.0238
54.500000 75.360 -106.3455
55.200001 75.496 -106.5890
56.000000 75.665 -106.9509
57.000000 75.848 -107.6652
58.000000 75.985 -108.2956
59.000000 76.128 -108.7742
60.000000 76.285 -109.2181
60.799999 76.435 -109.5427
61.500000 76.587 -109.9159
62.200001 76.743 -110.4084
63.000000 76.915 -111.0305
64.000000 77.125 -111.8178
65.000000 77.329 -112.5874
66.000000 77.538 -113.3404
67.000000 77.749 -114.2281
68.000000 77.936 -115.2682
69.000000 78.102 -116.3260
70.000000 78.260 -117.4023
71.000000 78.411 -118.5434
72.000000 78.548 -119.7085
73.000000 78.675 -120.8561
74.000000 78.793 -121.9767
75.000000 78.905 -123.0525
76.199997 79.036 -124.3314
77.500000 79.164 -125.7582
78.800003 79.274 -127.1531
80.000000 79.368 -128.3930
81.199997 79.458 -129.6118
82.500000 79.543 -130.8858
83.800003 79.622 -132.0542
85.000000 79.696 -133.0934
86.199997 79.764 -134.1344
87.500000 79.831 -135.2376
88.500000 79.883 -136.0737
90.000000 79.962 -137.3920
91.199997 80.020 -138.5068
92.500000 80.077 -139.7336
93.800003 80.134 -141.0048
95.000000 80.181 -142.2873
96.199997 80.208 -143.6965
97.500000 80.195 -145.3743
98.800003 80.100 -147.1341
100.000000 79.904 -148.4730
101.500000 79.549 -148.8070
103.000000 79.308 -147.2751
104.400002 79.369 -145.5050
106.000000 79.637 -144.6698
107.500000 79.885 -145.0028
109.000000 80.071 -145.8282
110.599998 80.213 -146.8739
112.000000 80.305 -147.8373
113.800003 80.390 -149.1195
115.000000 80.428 -149.9777
117.199997 80.473 -151.5099
118.000000 80.484 -152.0570
120.599998 80.504 -153.8332
122.000000 80.505 -154.8059
124.099998 80.490 -156.2952
125.000000 80.476 -156.9276
126.500000 80.444 -157.9487
128.000000 80.406 -158.9218
131.500000 80.282 -160.9733
132.000000 80.258 -161.2350
134.000000 80.141 -162.1433
136.000000 79.993 -162.7432
138.000000 79.834 -162.9746
140.000000 79.697 -162.8497
143.000000 79.598 -162.2888
145.000000 79.611 -161.9637
147.500000 79.673 -161.8670
150.000000 79.730 -162.1254
152.500000 79.752 -162.5793
155.000000 79.745 -163.0253
157.500000 79.737 -163.3569
160.000000 79.738 -163.6091
162.500000 79.743 -163.8540
165.000000 79.747 -164.1176
167.500000 79.747 -164.3902
170.000000 79.743 -164.5926
172.500000 79.741 -164.6455
175.000000 79.764 -164.4862
177.500000 79.849 -164.3094
180.000000 79.970 -164.5310
182.500000 80.060 -165.1283
185.000000 80.110 -165.7446
187.500000 80.152 -166.2575
190.000000 80.204 -166.7347
192.500000 80.266 -167.2591
195.000000 80.330 -167.8731
197.500000 80.391 -168.5956
200.000000 80.441 -169.4476
203.000000 80.480 -170.6742
206.000000 80.467 -172.1364
209.000000 80.350 -173.6031
212.000000 80.111 -174.2257
214.000000 79.964 -173.7663
218.000000 79.987 -172.2131
220.000000 80.104 -172.0417
224.000000 80.289 -172.8246
227.000000 80.354 -173.7053
230.000000 80.383 -174.5654
233.000000 80.390 -175.3748
236.000000 80.384 -176.1218
240.000000 80.364 -177.0232
243.000000 80.345 -177.6549
247.000000 80.317 -178.4738
250.000000 80.293 -179.0791
254.000000 80.256 -179.8590
258.000000 80.209 179.4294
262.000000 80.160 178.8181
265.000000 80.127 178.4094
269.000000 80.086 177.8860
272.000000 80.058 177.4751
276.000000 80.024 176.8819
280.000000 79.986 176.2792
285.000000 79.929 175.5928
290.000000 79.870 174.9981
295.000000 79.815 174.4524
300.000000 79.770 173.8943
304.000000 79.735 173.4243
307.000000 79.709 173.0587
311.000000 79.672 172.5615
315.000000 79.633 172.0656
320.000000 79.578 171.4194
325.000000 79.514 170.7552
330.000000 79.443 170.1291
335.000000 79.365 169.5540
340.000000 79.283 169.0275
345.000000 79.199 168.5091
350.000000 79.106 168.0060
355.000000 79.002 167.5746
360.000000 78.898 167.2713
365.000000 78.802 167.0533
370.000000 78.711 166.8659
375.000000 78.622 166.7247
382.000000 78.510 166.5925
387.000000 78.437 166.5678
395.000000 78.348 166.6097
400.000000 78.318 166.5903
406.000000 78.291 166.4346
412.000000 78.255 166.1542
418.000000 78.209 165.8074
425.000000 78.147 165.3862
431.000000 78.092 165.0031
437.000000 78.026 164.6008
444.000000 77.933 164.2000
450.000000 77.849 163.9139
455.000000 77.782 163.7054
462.000000 77.692 163.4549
468.000000 77.621 163.2388
475.000000 77.536 162.9413
482.000000 77.444 162.6251
487.000000 77.376 162.3987
494.000000 77.273 162.0930
500.000000 77.178 161.8873
508.000000 77.051 161.7039
515.000000 76.940 161.5471
522.000000 76.828 161.3990
530.000000 76.703 161.2970
538.000000 76.581 161.1712
545.000000 76.466 161.0486
552.000000 76.352 160.9705
560.000000 76.224 160.8942
570.000000 76.058 160.7625
580.000000 75.886 160.6245
590.000000 75.688 160.2307
600.000000 75.368 159.8446
608.000000 75.024 160.3998
615.000000 74.762 161.7414
622.000000 74.609 163.3687
630.000000 74.542 164.9360
640.000000 74.508 166.3311
650.000000 74.471 167.3036
660.000000 74.403 168.1725
670.000000 74.320 169.2064
680.000000 74.247 170.4767
690.000000 74.210 171.9210
700.000000 74.223 173.3791
710.000000 74.282 174.7550
720.000000 74.398 175.9207
730.000000 74.567 176.7099
740.000000 74.744 176.9925
750.000000 74.878 176.8234
762.000000 74.975 176.3391
775.000000 75.015 175.7335
788.000000 75.004 175.1715
800.000000 74.963 174.7070
812.000000 74.897 174.3430
825.000000 74.803 174.0884
838.000000 74.699 174.0104
850.000000 74.599 173.9995
862.000000 74.479 174.1255
875.000000 74.359 174.4942
885.000000 74.282 174.8275
900.000000 74.182 175.4859
912.000000 74.144 176.0053
925.000000 74.135 176.3502
938.000000 74.132 176.2796
950.000000 74.068 175.9135
962.000000 73.946 175.6939
975.000000 73.790 175.6657
988.000000 73.617 175.8547
1000.000000 73.454 176.2160
1015.000000 73.262 176.9023
1030.000000 73.072 177.6633
1044.000000 72.899 178.6307
1060.000000 72.753 179.7112
1075.000000 72.605 -179.4778
1090.000000 72.406 -178.5585
1106.000000 72.176 -177.1462
1120.000000 71.998 -175.4644
1138.000000 71.861 -173.0768
1150.000000 71.802 -171.6136
1172.000000 71.719 -168.8732
1180.000000 71.701 -167.9146
1206.000000 71.636 -164.6570
1220.000000 71.643 -162.7991
1241.000000 71.704 -160.0680
1250.000000 71.755 -158.9548
1265.000000 71.852 -157.3717
1280.000000 71.927 -155.9802
1315.000000 72.062 -152.4445
1320.000000 72.088 -151.8919
1340.000000 72.225 -149.7575
1360.000000 72.385 -147.6951
1380.000000 72.606 -145.6620
1400.000000 72.864 -144.1813
1430.000000 73.152 -142.8865
1450.000000 73.253 -141.8096
1475.000000 73.425 -139.8769
1500.000000 73.652 -138.0531
1525.000000 73.909 -136.3457
1550.000000 74.203 -134.8521
1575.000000 74.487 -133.7238
1600.000000 74.765 -132.6352
1625.000000 75.049 -131.8332
1650.000000 75.279 -131.2816
1675.000000 75.466 -130.5072
1700.000000 75.672 -129.5646
1725.000000 75.878 -128.7144
1750.000000 76.063 -127.8039
1775.000000 76.234 -126.6614
1800.000000 76.415 -125.2221
1825.000000 76.630 -123.2802
1850.000000 77.009 -120.8429
1875.000000 77.576 -119.1464
1900.000000 78.142 -118.8457
1925.000000 78.605 -119.2498
1950.000000 78.998 -119.7504
1975.000000 79.362 -120.2575
2000.000000 79.708 -120.8590
2030.000000 80.080 -121.7027
2060.000000 80.415 -122.4468
2090.000000 80.758 -123.0384
2120.000000 81.133 -123.8624
2140.000000 81.365 -124.6485
2180.000000 81.759 -126.3213
2200.000000 81.938 -127.1461
2240.000000 82.262 -128.8064
2270.000000 82.480 -130.0094
2300.000000 82.668 -131.1015
2330.000000 82.862 -131.9432
2360.000000 83.092 -132.7724
2400.000000 83.399 -134.1884
2430.000000 83.614 -135.2650
2470.000000 83.909 -136.7905
2500.000000 84.120 -138.0422
2540.000000 84.405 -139.7865
2580.000000 84.679 -141.8207
2620.000000 84.920 -144.0132
2650.000000 85.085 -145.7349
2690.000000 85.278 -148.1468
2720.000000 85.405 -150.0200
2760.000000 85.545 -152.6628
2800.000000 85.632 -155.3536
2850.000000 85.703 -158.6127
2900.000000 85.738 -161.9838
2950.000000 85.706 -165.4998
3000.000000 85.584 -168.9607
3040.000000 85.428 -171.5471
3070.000000 85.282 -173.3246
3110.000000 85.063 -175.4517
3150.000000 84.826 -177.3277
3200.000000 84.511 -179.3999
3250.000000 84.166 178.7715
3300.000000 83.774 177.3173
3350.000000 83.354 176.6200
3400.000000 83.014 176.5527
3450.000000 82.744 176.2239
3500.000000 82.429 175.8205
3550.000000 82.076 175.8319
3600.000000 81.724 176.3618
3650.000000 81.402 177.4111
3700.000000 81.142 178.9029
3750.000000 80.975 -179.3164
3820.000000 80.927 -176.9367
3870.000000 80.988 -175.8718
3950.000000 81.047 -175.4758
4000.000000 80.987 -175.4987
4060.000000 80.830 -175.1250
4120.000000 80.651 -173.8654
4180.000000 80.595 -171.7578
4250.000000 80.759 -169.5831
4310.000000 80.972 -168.6454
4370.000000 81.155 -168.4016
4440.000000 81.281 -168.4801
4500.000000 81.323 -168.3460
4550.000000 81.356 -167.8958
4620.000000 81.464 -166.9787
4680.000000 81.612 -166.2329
4750.000000 81.822 -165.4235
4820.000000 82.102 -164.6190
4870.000000 82.356 -164.2193
4940.000000 82.764 -164.0816
5000.000000 83.146 -164.3651
5080.000000 83.712 -165.2835
5150.000000 84.290 -166.8617
5220.000000 84.919 -169.7761
5300.000000 85.536 -175.5826
