* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 9:04:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KSC-75 Headband Stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	55.101	-22.9967
20.299999	55.272	-20.9876
20.600000	55.619	-19.2201
20.900000	56.079	-18.2793
21.200001	56.544	-18.4098
21.400000	56.808	-18.9542
21.799999	57.203	-20.6246
22.000000	57.332	-21.4691
22.400000	57.497	-22.6852
22.700001	57.597	-23.0644
23.000000	57.728	-23.0894
23.299999	57.908	-23.0502
23.600000	58.127	-23.1369
24.000000	58.440	-23.6734
24.299999	58.656	-24.3837
24.700001	58.894	-25.5538
25.000000	59.034	-26.4244
25.400000	59.185	-27.4007
25.799999	59.328	-28.0993
26.200001	59.487	-28.5850
26.500000	59.622	-28.8874
26.900000	59.818	-29.2826
27.200001	59.970	-29.5852
27.600000	60.176	-29.9673
28.000000	60.390	-30.2923
28.500000	60.680	-30.6850
29.000000	60.983	-31.2555
29.500000	61.257	-32.0612
30.000000	61.476	-32.8582
30.400000	61.624	-33.2810
30.700001	61.739	-33.4456
31.100000	61.914	-33.5645
31.500000	62.115	-33.7234
32.000000	62.378	-34.1332
32.500000	62.627	-34.7336
33.000000	62.858	-35.3797
33.500000	63.082	-36.0247
34.000000	63.300	-36.6873
34.500000	63.508	-37.3344
35.000000	63.709	-37.8983
35.500000	63.913	-38.3642
36.000000	64.123	-38.7698
36.500000	64.341	-39.1448
37.000000	64.567	-39.5441
37.500000	64.793	-40.0854
38.200001	65.047	-41.1567
38.700001	65.144	-41.8173
39.500000	65.259	-41.6866
40.000000	65.437	-41.0511
40.599998	65.790	-40.6989
41.200001	66.163	-41.4476
41.799999	66.432	-42.9130
42.500000	66.610	-44.4411
43.099998	66.741	-45.1161
43.700001	66.938	-45.4133
44.400002	67.264	-45.9203
45.000000	67.557	-46.8767
45.500000	67.750	-47.9168
46.200001	67.934	-49.1370
46.799999	68.078	-49.6493
47.500000	68.296	-49.9920
48.200001	68.528	-50.4502
48.700001	68.685	-50.7651
49.400002	68.923	-51.1376
50.000000	69.147	-51.6732
50.799999	69.391	-52.7877
51.500000	69.541	-53.6049
52.200001	69.706	-54.1168
53.000000	69.929	-54.7661
53.799999	70.140	-55.5102
54.500000	70.329	-56.0661
55.200001	70.535	-56.6731
56.000000	70.762	-57.5251
57.000000	71.018	-58.5931
58.000000	71.268	-59.6304
59.000000	71.509	-60.6686
60.000000	71.753	-61.6861
60.799999	71.952	-62.5330
61.500000	72.124	-63.3117
62.200001	72.290	-64.0962
63.000000	72.475	-64.9533
64.000000	72.707	-65.9756
65.000000	72.938	-67.0014
66.000000	73.161	-68.0820
67.000000	73.362	-69.2230
68.000000	73.541	-70.3552
69.000000	73.700	-71.5053
70.000000	73.825	-72.5839
71.000000	73.937	-73.3662
72.000000	74.082	-73.8649
73.000000	74.280	-74.3321
74.000000	74.511	-75.0254
75.000000	74.727	-75.9911
76.199997	74.940	-77.1937
77.500000	75.158	-78.3133
78.800003	75.387	-79.4672
80.000000	75.599	-80.6480
81.199997	75.809	-81.9419
82.500000	76.025	-83.4557
83.800003	76.225	-84.9764
85.000000	76.401	-86.3709
86.199997	76.564	-87.7759
87.500000	76.728	-89.2720
88.500000	76.857	-90.4409
90.000000	77.041	-92.4148
91.199997	77.150	-94.1104
92.500000	77.227	-95.8452
93.800003	77.278	-97.3686
95.000000	77.313	-98.6548
96.199997	77.338	-99.8578
97.500000	77.361	-101.1274
98.800003	77.375	-102.3945
100.000000	77.378	-103.4365
101.500000	77.391	-104.4656
103.000000	77.415	-105.2532
104.400002	77.442	-105.7666
106.000000	77.499	-106.2078
107.500000	77.589	-106.7477
109.000000	77.690	-107.4934
110.599998	77.800	-108.3176
112.000000	77.896	-108.9865
113.800003	78.007	-109.7699
115.000000	78.082	-110.3530
117.199997	78.205	-111.9349
118.000000	78.238	-112.6454
120.599998	78.361	-114.4745
122.000000	78.505	-115.2929
124.099998	78.696	-116.7186
125.000000	78.753	-117.3108
126.500000	78.823	-118.2909
128.000000	78.875	-119.2961
131.500000	79.027	-121.9519
132.000000	79.050	-122.3850
134.000000	79.100	-124.1790
136.000000	79.060	-125.7412
138.000000	78.988	-126.7900
140.000000	78.962	-127.5449
143.000000	79.001	-128.5588
145.000000	79.036	-129.1738
147.500000	79.062	-130.0878
150.000000	79.078	-131.3222
152.500000	79.116	-132.8418
155.000000	79.122	-134.2917
157.500000	79.086	-135.1114
160.000000	79.060	-135.7000
162.500000	79.058	-136.4874
165.000000	79.094	-137.3911
167.500000	79.131	-138.2118
170.000000	79.134	-138.8660
172.500000	79.116	-139.6395
175.000000	79.095	-140.5716
177.500000	79.086	-141.4093
180.000000	79.079	-142.0736
182.500000	79.053	-142.7203
185.000000	79.021	-143.4143
187.500000	79.000	-144.1173
190.000000	78.981	-144.7618
192.500000	78.966	-145.3275
195.000000	78.963	-145.8550
197.500000	78.957	-146.3588
200.000000	78.934	-146.8426
203.000000	78.901	-147.4718
206.000000	78.883	-148.0723
209.000000	78.875	-148.5830
212.000000	78.867	-149.2417
214.000000	78.853	-149.8152
218.000000	78.754	-150.6566
220.000000	78.706	-150.6451
224.000000	78.722	-150.6073
227.000000	78.758	-150.9536
230.000000	78.772	-151.4924
233.000000	78.778	-152.1125
236.000000	78.783	-152.7213
240.000000	78.773	-153.4686
243.000000	78.756	-153.9958
247.000000	78.721	-154.6422
250.000000	78.685	-155.1491
254.000000	78.631	-155.8017
258.000000	78.578	-156.3242
262.000000	78.520	-156.7692
265.000000	78.477	-157.0684
269.000000	78.425	-157.4005
272.000000	78.385	-157.6294
276.000000	78.325	-157.9013
280.000000	78.272	-158.1399
285.000000	78.223	-158.4443
290.000000	78.181	-158.6916
295.000000	78.149	-158.8927
300.000000	78.106	-159.0980
304.000000	78.063	-159.2009
307.000000	78.033	-159.2787
311.000000	77.999	-159.3902
315.000000	77.968	-159.4980
320.000000	77.934	-159.6349
325.000000	77.902	-159.7552
330.000000	77.869	-159.8501
335.000000	77.839	-159.9376
340.000000	77.805	-160.0012
345.000000	77.771	-160.0646
350.000000	77.743	-160.0789
355.000000	77.718	-160.0778
360.000000	77.694	-160.1231
365.000000	77.674	-160.1462
370.000000	77.650	-160.1561
375.000000	77.624	-160.1407
382.000000	77.586	-160.0839
387.000000	77.559	-160.0421
395.000000	77.531	-159.9595
400.000000	77.521	-159.9273
406.000000	77.506	-159.8207
412.000000	77.483	-159.6681
418.000000	77.467	-159.5542
425.000000	77.458	-159.4640
431.000000	77.447	-159.4167
437.000000	77.433	-159.3593
444.000000	77.419	-159.2480
450.000000	77.410	-159.1478
455.000000	77.402	-159.0645
462.000000	77.394	-158.9695
468.000000	77.386	-158.9699
475.000000	77.348	-159.0309
482.000000	77.288	-158.7836
487.000000	77.271	-158.4597
494.000000	77.274	-158.1586
500.000000	77.279	-158.0090
508.000000	77.282	-157.8287
515.000000	77.283	-157.6761
522.000000	77.284	-157.5161
530.000000	77.274	-157.3557
538.000000	77.252	-157.1556
545.000000	77.248	-156.9336
552.000000	77.248	-156.7714
560.000000	77.237	-156.5804
570.000000	77.230	-156.1367
580.000000	77.240	-155.7623
590.000000	77.251	-155.4672
600.000000	77.267	-155.2212
608.000000	77.275	-154.9979
615.000000	77.276	-154.7376
622.000000	77.278	-154.4412
630.000000	77.285	-154.1499
640.000000	77.294	-153.8542
650.000000	77.301	-153.5437
660.000000	77.313	-153.2137
670.000000	77.324	-152.9072
680.000000	77.337	-152.6261
690.000000	77.349	-152.3287
700.000000	77.359	-152.0260
710.000000	77.369	-151.6649
720.000000	77.385	-151.2674
730.000000	77.404	-150.9251
740.000000	77.421	-150.6246
750.000000	77.442	-150.2946
762.000000	77.468	-149.9136
775.000000	77.493	-149.5344
788.000000	77.514	-149.1442
800.000000	77.533	-148.7793
812.000000	77.544	-148.4019
825.000000	77.560	-147.8884
838.000000	77.594	-147.3685
850.000000	77.627	-146.9485
862.000000	77.660	-146.5535
875.000000	77.696	-146.1669
885.000000	77.717	-145.8823
900.000000	77.742	-145.4213
912.000000	77.761	-145.0175
925.000000	77.778	-144.5387
938.000000	77.803	-144.0113
950.000000	77.833	-143.5327
962.000000	77.863	-143.0635
975.000000	77.897	-142.5444
988.000000	77.939	-142.0241
1000.000000	77.978	-141.5804
1015.000000	78.019	-141.0380
1030.000000	78.059	-140.4822
1044.000000	78.097	-139.9424
1060.000000	78.141	-139.2775
1075.000000	78.192	-138.6060
1090.000000	78.252	-137.9626
1106.000000	78.312	-137.3189
1120.000000	78.365	-136.7669
1138.000000	78.432	-136.0455
1150.000000	78.475	-135.5170
1172.000000	78.578	-134.5035
1180.000000	78.621	-134.1755
1206.000000	78.751	-133.1321
1220.000000	78.821	-132.5583
1241.000000	78.933	-131.7188
1250.000000	78.984	-131.3698
1265.000000	79.070	-130.8359
1280.000000	79.152	-130.3218
1315.000000	79.344	-128.9834
1320.000000	79.374	-128.7973
1340.000000	79.486	-128.1292
1360.000000	79.565	-127.4358
1380.000000	79.651	-126.4376
1400.000000	79.782	-125.3111
1430.000000	80.033	-123.8151
1450.000000	80.210	-123.0097
1475.000000	80.431	-122.1029
1500.000000	80.655	-121.2646
1525.000000	80.883	-120.4553
1550.000000	81.117	-119.6504
1575.000000	81.368	-118.9263
1600.000000	81.618	-118.3730
1625.000000	81.862	-117.8556
1650.000000	82.117	-117.3717
1675.000000	82.374	-117.0269
1700.000000	82.624	-116.7990
1725.000000	82.856	-116.6257
1750.000000	83.072	-116.3686
1775.000000	83.296	-116.0112
1800.000000	83.537	-115.6602
1825.000000	83.789	-115.3496
1850.000000	84.048	-115.0684
1875.000000	84.323	-114.8601
1900.000000	84.597	-114.7627
1925.000000	84.876	-114.6484
1950.000000	85.176	-114.6534
1975.000000	85.475	-114.8625
2000.000000	85.761	-115.1374
2030.000000	86.105	-115.6039
2060.000000	86.422	-116.1784
2090.000000	86.748	-116.6668
2120.000000	87.068	-117.3775
2140.000000	87.268	-117.7712
2180.000000	87.741	-118.6276
2200.000000	87.965	-119.3631
2240.000000	88.379	-120.7484
2270.000000	88.714	-121.9281
2300.000000	89.014	-123.3543
2330.000000	89.303	-124.7530
2360.000000	89.582	-126.3852
2400.000000	89.908	-128.6462
2430.000000	90.126	-130.4830
2470.000000	90.365	-132.7111
2500.000000	90.556	-134.3877
2540.000000	90.771	-136.7385
2580.000000	90.954	-139.0152
2620.000000	91.116	-141.1915
2650.000000	91.228	-142.7822
2690.000000	91.380	-144.7924
2720.000000	91.499	-146.4123
2760.000000	91.622	-148.6446
2800.000000	91.720	-150.7824
2850.000000	91.813	-153.2014
2900.000000	91.936	-155.4268
2950.000000	92.032	-157.7980
3000.000000	92.090	-159.5649
3040.000000	92.253	-160.4916
3070.000000	92.440	-161.5413
3110.000000	92.659	-163.4618
3150.000000	92.863	-165.2050
3200.000000	93.266	-167.5303
3250.000000	93.729	-171.1107
3300.000000	94.143	-175.8775
3350.000000	94.482	178.6366
3400.000000	94.766	172.3439
3450.000000	94.987	164.9452
3500.000000	95.043	155.8633
3550.000000	94.777	145.5163
3600.000000	94.112	134.8656
3650.000000	92.991	125.3138
3700.000000	91.509	118.6140
3750.000000	89.996	113.9568
3820.000000	87.829	107.6657
3870.000000	85.906	104.9659
3950.000000	82.319	106.4152
4000.000000	79.722	112.5727
4060.000000	76.092	133.6263
4120.000000	74.160	168.0486
4180.000000	76.185	-160.3417
4250.000000	79.829	-140.6461
4310.000000	82.499	-135.2163
4370.000000	84.640	-135.1744
4440.000000	86.621	-137.8476
4500.000000	88.096	-140.8382
4550.000000	89.269	-143.7370
4620.000000	90.883	-149.0273
4680.000000	92.181	-155.4626
4750.000000	93.411	-165.6250
4820.000000	94.194	-177.7545
4870.000000	94.471	173.1523
4940.000000	94.493	160.6354
5000.000000	94.213	150.6237
5080.000000	93.497	138.8009
5150.000000	92.609	130.2326
5220.000000	91.555	123.7230
5300.000000	90.308	118.7352
5380.000000	89.158	115.8130
5450.000000	88.317	114.0895
5520.000000	87.592	112.4294
5600.000000	86.814	110.7094
5700.000000	85.939	108.8010
5800.000000	85.153	106.5378
5900.000000	84.365	103.6484
6000.000000	83.491	100.1346
6080.000000	82.645	97.1760
6150.000000	81.787	94.9569
6220.000000	80.854	93.1991
6300.000000	79.722	91.6647
6400.000000	78.212	90.0252
6500.000000	76.448	88.6312
6600.000000	74.182	89.8121
6700.000000	71.362	98.4554
6800.000000	68.742	116.1715
6900.000000	67.572	137.1521
7000.000000	67.831	155.2927
7100.000000	68.694	168.7046
7200.000000	69.557	177.8344
7300.000000	70.202	-174.8289
7400.000000	70.898	-166.9118
7500.000000	71.927	-159.3540
7620.000000	73.428	-153.1412
7750.000000	74.993	-150.4971
7880.000000	76.376	-150.8125
8000.000000	77.442	-153.3781
8120.000000	78.246	-157.6284
8250.000000	78.813	-163.8800
8380.000000	78.925	-172.0261
8500.000000	78.371	179.9917
8620.000000	77.023	175.5591
8750.000000	75.033	-179.5428
8850.000000	74.093	-170.2433
9000.000000	74.260	-158.6691
9120.000000	74.636	-153.2750
9250.000000	75.039	-147.8031
9380.000000	75.700	-142.2724
9500.000000	76.594	-138.3421
9620.000000	77.590	-136.7058
9750.000000	78.519	-137.5945
9880.000000	79.181	-139.7700
10000.000000	79.650	-141.8371
10150.000000	80.154	-144.4050
10300.000000	80.635	-147.1206
10440.000000	81.077	-150.3987
10600.000000	81.447	-155.3650
10750.000000	81.589	-160.8573
10900.000000	81.449	-166.6247
11060.000000	80.943	-171.6598
11200.000000	80.293	-173.7997
11380.000000	79.517	-172.8452
11500.000000	79.264	-170.5304
11720.000000	79.636	-165.9189
11800.000000	80.020	-164.9232
12060.000000	81.776	-167.3032
12200.000000	82.708	-173.2464
12410.000000	83.513	171.9142
12500.000000	83.537	164.1617
12650.000000	83.103	151.0369
12800.000000	82.180	138.9798
13150.000000	78.654	115.5252
13200.000000	77.991	112.8970
13400.000000	75.025	103.3739
13600.000000	71.594	89.7863
13800.000000	67.850	57.4417
14000.000000	67.397	-1.4235
14300.000000	73.528	-79.6423
14500.000000	76.307	-111.0836
14750.000000	77.774	-142.6469
15000.000000	77.392	-168.0188
15250.000000	75.724	174.7039
15500.000000	73.303	165.5411
15750.000000	70.504	165.0723
16000.000000	68.107	172.4417
16250.000000	66.956	-179.7114
16500.000000	66.409	-174.5881
16750.000000	66.206	-171.3209
17000.000000	66.120	-171.8803
17250.000000	65.582	-174.5827
17500.000000	64.562	-174.4014
17750.000000	63.767	-169.8789
18000.000000	63.793	-165.0794
18250.000000	64.240	-164.5468
18500.000000	64.297	-168.4941
18750.000000	63.547	-172.7331
19000.000000	61.978	-171.5699
19250.000000	60.096	-160.6731
19500.000000	59.298	-143.0540
19750.000000	60.054	-128.1959
