* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 7:34:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KSC-75 Headband Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	56.917	-25.2121
20.299999	57.292	-26.4073
20.600000	57.594	-28.0970
20.900000	57.792	-30.0159
21.200001	57.876	-31.7724
21.400000	57.884	-32.6287
21.799999	57.848	-33.3691
22.000000	57.845	-33.2417
22.400000	57.957	-32.2853
22.700001	58.171	-31.4631
23.000000	58.469	-31.0395
23.299999	58.789	-31.1970
23.600000	59.083	-31.8649
24.000000	59.386	-33.1979
24.299999	59.547	-34.1741
24.700001	59.710	-35.1298
25.000000	59.830	-35.5531
25.400000	60.019	-35.8808
25.799999	60.240	-36.1768
26.200001	60.468	-36.5298
26.500000	60.636	-36.7756
26.900000	60.864	-36.9947
27.200001	61.052	-37.0915
27.600000	61.333	-37.2653
28.000000	61.629	-37.6867
28.500000	61.958	-38.6099
29.000000	62.195	-39.5546
29.500000	62.376	-40.0130
30.000000	62.589	-39.9609
30.400000	62.809	-39.8850
30.700001	62.990	-39.9787
31.100000	63.218	-40.3488
31.500000	63.409	-40.8640
32.000000	63.600	-41.4029
32.500000	63.785	-41.6832
33.000000	64.002	-41.8936
33.500000	64.244	-42.2974
34.000000	64.479	-42.9887
34.500000	64.685	-43.8686
35.000000	64.857	-44.7725
35.500000	65.009	-45.5422
36.000000	65.169	-46.1272
36.500000	65.358	-46.6388
37.000000	65.568	-47.2569
37.500000	65.771	-48.0032
38.200001	66.032	-48.9276
38.700001	66.238	-49.3995
39.500000	66.619	-50.4185
40.000000	66.820	-51.3604
40.599998	66.985	-52.3467
41.200001	67.131	-52.7548
41.799999	67.331	-52.8565
42.500000	67.605	-53.2028
43.099998	67.817	-53.6677
43.700001	68.016	-54.0640
44.400002	68.260	-54.5624
45.000000	68.458	-55.1614
45.500000	68.603	-55.6861
46.200001	68.794	-56.3124
46.799999	68.968	-56.8103
47.500000	69.176	-57.4545
48.200001	69.385	-58.1256
48.700001	69.538	-58.6262
49.400002	69.753	-59.4211
50.000000	69.921	-60.1552
50.799999	70.127	-61.0410
51.500000	70.307	-61.7037
52.200001	70.491	-62.3438
