* Measurement data measured by REW V5.30
* Source: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 8:43:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ks KSC75 (PE Headand) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 65.503 -41.0469
20.299999 65.606 -43.8283
20.600000 65.588 -46.0880
20.900000 65.483 -47.4972
21.200001 65.359 -47.7689
21.400000 65.319 -47.2820
21.799999 65.499 -45.3113
22.000000 65.753 -44.4123
22.400000 66.490 -44.2758
22.700001 67.053 -46.1092
23.000000 67.456 -49.3193
23.299999 67.596 -53.1996
23.600000 67.434 -56.8248
24.000000 66.810 -59.4415
24.299999 66.226 -58.4695
24.700001 65.827 -53.0402
25.000000 66.095 -48.0046
25.400000 67.008 -44.0839
25.799999 67.967 -44.3316
26.200001 68.611 -47.0321
26.500000 68.854 -49.4767
26.900000 68.941 -52.2285
27.200001 68.910 -53.6011
27.600000 68.837 -54.5487
28.000000 68.778 -54.8160
28.500000 68.712 -54.4825
29.000000 68.678 -53.1570
29.500000 68.827 -50.8798
30.000000 69.276 -48.9803
30.400000 69.762 -48.8395
30.700001 70.100 -49.6899
31.100000 70.414 -51.7202
31.500000 70.518 -53.9677
32.000000 70.425 -55.7709
32.500000 70.326 -55.8152
33.000000 70.439 -55.0927
33.500000 70.701 -55.0969
34.000000 70.902 -55.8827
34.500000 71.009 -56.3845
35.000000 71.183 -56.2033
35.500000 71.523 -56.2971
36.000000 71.905 -57.5820
36.500000 72.155 -59.7282
37.000000 72.257 -61.8217
37.500000 72.307 -63.4822
38.200001 72.337 -65.4897
38.700001 72.276 -66.4347
39.500000 72.263 -65.7770
40.000000 72.530 -65.1210
40.599998 72.955 -66.0858
41.200001 73.148 -68.2134
41.799999 73.127 -69.2578
42.500000 73.269 -68.5889
43.099998 73.641 -68.5220
43.700001 73.985 -69.8976
44.400002 74.157 -71.9671
45.000000 74.185 -73.0175
45.500000 74.222 -73.2491
46.200001 74.390 -73.2013
46.799999 74.629 -73.5892
47.500000 74.884 -74.8962
48.200001 75.030 -76.4609
48.700001 75.102 -77.3750
49.400002 75.219 -78.5258
50.000000 75.306 -79.5703
50.799999 75.382 -80.6041
51.500000 75.500 -81.0244
52.200001 75.696 -81.5668
53.000000 75.920 -82.6069
53.799999 76.109 -83.7592
54.500000 76.251 -84.7634
55.200001 76.366 -85.6555
56.000000 76.505 -86.4407
57.000000 76.722 -87.6410
58.000000 76.879 -89.1904
59.000000 76.995 -90.5084
60.000000 77.107 -91.7022
60.799999 77.192 -92.4843
61.500000 77.285 -93.0865
62.200001 77.386 -93.7443
63.000000 77.491 -94.5319
64.000000 77.610 -95.4467
65.000000 77.725 -96.3046
66.000000 77.844 -97.1487
67.000000 77.963 -98.0712
68.000000 78.075 -98.9634
69.000000 78.203 -99.7924
70.000000 78.351 -100.6862
71.000000 78.499 -101.7075
72.000000 78.627 -102.7231
73.000000 78.757 -103.6637
74.000000 78.880 -104.7251
75.000000 78.972 -105.7288
76.199997 79.100 -106.7969
77.500000 79.238 -108.2302
78.800003 79.337 -109.6022
80.000000 79.439 -110.6454
81.199997 79.561 -111.7931
82.500000 79.647 -113.1976
83.800003 79.701 -114.2439
85.000000 79.785 -115.2358
86.199997 79.847 -116.4376
87.500000 79.917 -117.7138
88.500000 79.962 -118.8591
90.000000 79.988 -120.3280
91.199997 80.029 -121.1618
92.500000 80.096 -122.1428
93.800003 80.126 -123.0814
95.000000 80.164 -123.7670
96.199997 80.208 -124.6334
97.500000 80.235 -125.6331
98.800003 80.264 -126.5132
100.000000 80.316 -127.2673
101.500000 80.388 -128.3051
103.000000 80.445 -129.3103
104.400002 80.475 -130.3250
106.000000 80.463 -131.5137
107.500000 80.441 -132.4878
109.000000 80.453 -133.3953
110.599998 80.489 -134.4424
112.000000 80.509 -135.3357
113.800003 80.509 -136.2285
115.000000 80.521 -136.7095
117.199997 80.584 -137.9978
118.000000 80.604 -138.6407
120.599998 80.558 -140.2449
122.000000 80.579 -140.3306
124.099998 80.656 -141.0504
125.000000 80.665 -141.5380
126.500000 80.647 -142.4246
128.000000 80.609 -143.2738
131.500000 80.574 -144.4613
132.000000 80.580 -144.5986
134.000000 80.596 -145.2448
136.000000 80.569 -145.9854
138.000000 80.506 -146.6345
140.000000 80.463 -147.1118
143.000000 80.453 -148.1050
145.000000 80.442 -149.0062
147.500000 80.380 -150.1050
150.000000 80.354 -150.5657
152.500000 80.381 -151.1133
155.000000 80.380 -151.6777
157.500000 80.374 -152.3594
160.000000 80.333 -153.1763
162.500000 80.317 -153.5146
165.000000 80.323 -153.9343
167.500000 80.256 -154.4277
170.000000 80.177 -154.8170
172.500000 80.139 -155.4303
175.000000 80.095 -155.9381
177.500000 80.034 -156.0212
180.000000 79.975 -155.8314
182.500000 79.974 -155.8800
185.000000 79.983 -156.3917
187.500000 79.969 -156.7274
190.000000 79.962 -156.7566
192.500000 79.989 -156.8043
195.000000 80.031 -157.0710
197.500000 80.056 -157.3640
200.000000 80.078 -157.6219
203.000000 80.126 -158.1794
206.000000 80.181 -158.9363
209.000000 80.204 -159.7317
212.000000 80.184 -160.3254
214.000000 80.155 -160.6917
218.000000 80.097 -161.3522
220.000000 80.083 -161.8083
224.000000 80.049 -162.8082
227.000000 80.024 -163.3947
230.000000 79.989 -163.8291
233.000000 79.929 -164.1138
236.000000 79.839 -164.4028
240.000000 79.742 -164.7424
243.000000 79.704 -164.8258
247.000000 79.643 -164.9846
250.000000 79.591 -165.3492
254.000000 79.537 -165.6688
258.000000 79.481 -165.7307
262.000000 79.389 -165.7035
265.000000 79.315 -165.5042
269.000000 79.238 -165.3301
272.000000 79.209 -165.3699
276.000000 79.212 -165.4995
280.000000 79.232 -165.4672
285.000000 79.230 -165.2728
290.000000 79.198 -165.2830
295.000000 79.140 -164.9900
300.000000 79.058 -164.9736
304.000000 79.062 -165.1462
307.000000 79.084 -165.3154
311.000000 79.088 -165.5725
315.000000 79.054 -165.5913
320.000000 78.998 -165.5199
325.000000 78.998 -165.6436
330.000000 79.000 -165.7278
335.000000 78.960 -165.6410
340.000000 78.934 -165.5598
345.000000 78.903 -165.4073
350.000000 78.865 -165.3042
355.000000 78.860 -165.2957
360.000000 78.855 -165.2924
365.000000 78.811 -165.2360
370.000000 78.783 -165.0684
375.000000 78.779 -164.9960
382.000000 78.755 -165.1587
387.000000 78.713 -165.0603
395.000000 78.677 -164.4763
400.000000 78.673 -164.2736
406.000000 78.686 -164.2190
412.000000 78.658 -164.0278
418.000000 78.629 -163.8425
425.000000 78.629 -163.8533
431.000000 78.638 -163.5437
437.000000 78.615 -163.3701
444.000000 78.586 -163.2468
450.000000 78.582 -163.0508
455.000000 78.572 -162.9646
462.000000 78.562 -162.8378
468.000000 78.548 -162.5767
475.000000 78.539 -162.2261
482.000000 78.537 -162.0073
487.000000 78.536 -161.8384
494.000000 78.534 -161.5201
500.000000 78.533 -161.3269
508.000000 78.522 -161.1660
515.000000 78.511 -161.0040
522.000000 78.509 -160.6991
530.000000 78.531 -160.1740
538.000000 78.555 -159.8019
545.000000 78.554 -159.7059
552.000000 78.558 -159.5692
560.000000 78.529 -159.3379
570.000000 78.522 -159.0085
580.000000 78.538 -158.4413
590.000000 78.549 -158.1752
600.000000 78.563 -157.8528
608.000000 78.566 -157.5300
615.000000 78.571 -157.2778
622.000000 78.572 -157.0522
630.000000 78.575 -156.8965
640.000000 78.598 -156.5078
650.000000 78.614 -156.1194
660.000000 78.623 -155.7064
670.000000 78.637 -155.2025
680.000000 78.647 -154.9573
690.000000 78.647 -154.7329
700.000000 78.662 -154.1567
710.000000 78.683 -153.7440
720.000000 78.706 -153.5413
730.000000 78.729 -153.1410
740.000000 78.743 -152.6890
750.000000 78.758 -152.2924
762.000000 78.787 -151.9072
775.000000 78.823 -151.5314
788.000000 78.858 -151.0708
800.000000 78.878 -150.5183
812.000000 78.914 -149.8163
825.000000 78.967 -149.4374
838.000000 79.011 -149.2267
850.000000 79.065 -148.8518
862.000000 79.115 -148.4475
875.000000 79.120 -148.1041
885.000000 79.128 -147.7445
900.000000 79.176 -147.2170
912.000000 79.202 -146.9399
925.000000 79.229 -146.5632
938.000000 79.259 -146.1149
950.000000 79.275 -145.7170
962.000000 79.282 -145.1860
975.000000 79.293 -144.6106
988.000000 79.326 -144.0215
1000.000000 79.366 -143.4591
1015.000000 79.428 -142.7979
1030.000000 79.491 -142.3252
1044.000000 79.548 -142.0060
1060.000000 79.575 -141.5657
1075.000000 79.611 -140.5938
1090.000000 79.683 -139.5779
1106.000000 79.763 -138.8809
1120.000000 79.809 -138.3333
1138.000000 79.860 -137.7162
1150.000000 79.914 -137.2054
1172.000000 80.003 -136.2975
1180.000000 80.040 -135.9865
1206.000000 80.192 -134.8157
1220.000000 80.263 -134.1578
1241.000000 80.379 -133.2039
1250.000000 80.425 -132.7861
1265.000000 80.497 -132.1118
1280.000000 80.567 -131.5265
1315.000000 80.793 -130.1653
1320.000000 80.830 -129.9542
1340.000000 80.970 -129.0227
1360.000000 81.115 -128.0779
1380.000000 81.292 -127.0339
1400.000000 81.488 -126.0642
1430.000000 81.764 -125.2140
1450.000000 81.928 -124.7208
1475.000000 82.141 -123.9797
1500.000000 82.361 -123.3497
1525.000000 82.585 -122.8098
1550.000000 82.806 -122.2584
1575.000000 83.017 -121.7558
1600.000000 83.219 -121.2638
1625.000000 83.430 -120.5944
1650.000000 83.666 -119.9960
1675.000000 83.913 -119.4272
1700.000000 84.182 -118.9845
1725.000000 84.439 -118.8414
1750.000000 84.673 -118.6556
1775.000000 84.924 -118.2300
1800.000000 85.191 -117.9905
1825.000000 85.473 -117.8939
1850.000000 85.756 -117.8845
1875.000000 86.026 -117.8522
1900.000000 86.303 -117.8705
1925.000000 86.571 -118.0965
1950.000000 86.834 -118.3163
1975.000000 87.112 -118.4690
2000.000000 87.404 -118.6894
2030.000000 87.781 -119.1501
2060.000000 88.159 -120.0532
2090.000000 88.479 -121.2667
2120.000000 88.757 -122.3441
2140.000000 88.946 -122.9297
2180.000000 89.372 -124.3044
2200.000000 89.579 -125.2156
2240.000000 89.955 -127.4202
2270.000000 90.162 -129.0717
2300.000000 90.357 -130.3232
2330.000000 90.616 -131.5344
2360.000000 90.890 -133.3435
2400.000000 91.155 -136.2246
2430.000000 91.277 -138.2125
2470.000000 91.460 -140.5671
2500.000000 91.592 -142.7777
2540.000000 91.633 -145.7225
2580.000000 91.611 -147.9531
2620.000000 91.642 -149.5438
2650.000000 91.704 -151.0194
2690.000000 91.742 -153.1423
2720.000000 91.758 -154.7446
2760.000000 91.738 -156.8892
2800.000000 91.676 -158.8115
2850.000000 91.581 -160.6716
2900.000000 91.550 -162.0574
2950.000000 91.588 -163.8649
3000.000000 91.550 -166.2229
3040.000000 91.510 -167.4443
3070.000000 91.532 -168.7896
3110.000000 91.435 -170.9729
3150.000000 91.265 -172.1379
3200.000000 91.191 -173.0859
3250.000000 91.230 -174.4701
3300.000000 91.284 -177.1428
3350.000000 91.152 179.9556
3400.000000 90.984 177.4421
3450.000000 90.777 175.0132
3500.000000 90.633 172.6071
3550.000000 90.476 168.7952
3600.000000 90.021 164.3599
3650.000000 89.425 160.5037
3700.000000 88.589 155.8790
3750.000000 87.225 152.3842
3820.000000 84.764 156.8298
3870.000000 83.607 164.1459
3950.000000 81.772 175.0376
4000.000000 81.079 -164.5383
4060.000000 82.707 -141.6936
4120.000000 85.002 -134.8733
4180.000000 86.796 -134.5660
4250.000000 88.356 -136.4458
4310.000000 89.456 -138.3665
4370.000000 90.505 -140.2610
4440.000000 91.976 -142.9233
4500.000000 93.390 -148.2682
4550.000000 94.414 -155.5389
4620.000000 95.260 -168.9709
4680.000000 95.287 178.6758
4750.000000 94.636 165.7719
4820.000000 93.458 155.9956
4870.000000 92.461 151.4802
