* Measurement data measured by REW V5.30
* Source: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 8:36:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ks KSC75 (PE Headand) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 62.396 -23.6851
20.299999 62.708 -24.7378
20.600000 62.880 -26.7364
20.900000 62.846 -28.8388
21.200001 62.635 -30.1193
21.400000 62.452 -30.1395
21.799999 62.226 -27.9847
22.000000 62.287 -26.2362
22.400000 62.801 -23.3506
22.700001 63.366 -22.8412
23.000000 63.892 -23.8376
23.299999 64.271 -25.7730
23.600000 64.471 -27.9083
24.000000 64.524 -29.9784
24.299999 64.512 -30.4989
24.700001 64.614 -30.0421
25.000000 64.839 -29.5262
25.400000 65.273 -29.6747
25.799999 65.682 -31.1424
26.200001 65.916 -33.3592
26.500000 65.951 -34.8844
26.900000 65.882 -35.9351
27.200001 65.845 -35.7565
27.600000 65.972 -34.6754
28.000000 66.356 -33.9267
28.500000 66.983 -35.1602
29.000000 67.396 -38.5867
29.500000 67.407 -42.1971
30.000000 67.159 -43.6996
30.400000 67.057 -42.8659
30.700001 67.171 -41.7173
31.100000 67.564 -40.8283
31.500000 68.035 -41.5744
32.000000 68.421 -44.2111
32.500000 68.468 -46.7874
33.000000 68.359 -47.6232
33.500000 68.396 -46.8651
34.000000 68.662 -46.1912
34.500000 68.966 -46.5931
35.000000 69.149 -47.4791
35.500000 69.252 -47.9518
36.000000 69.396 -48.0226
36.500000 69.592 -48.3620
37.000000 69.736 -49.1217
37.500000 69.785 -49.6340
38.200001 69.905 -49.0944
38.700001 70.170 -48.6208
39.500000 70.691 -49.7098
40.000000 70.907 -51.0874
40.599998 71.082 -52.4743
41.200001 71.270 -53.5930
41.799999 71.453 -54.8644
42.500000 71.583 -56.2446
43.099998 71.676 -56.8653
43.700001 71.836 -57.2066
44.400002 72.078 -57.9047
45.000000 72.273 -58.8062
45.500000 72.418 -59.6433
46.200001 72.596 -60.8585
46.799999 72.728 -61.8451
47.500000 72.883 -62.8307
48.200001 73.067 -63.7748
48.700001 73.207 -64.5095
49.400002 73.404 -65.5888
50.000000 73.573 -66.5637
50.799999 73.776 -67.9702
51.500000 73.912 -69.0552
52.200001 74.050 -69.8199
53.000000 74.247 -70.5941
53.799999 74.455 -71.4742
54.500000 74.645 -72.2446
55.200001 74.861 -73.1592
56.000000 75.100 -74.6774
57.000000 75.266 -76.9423
58.000000 75.303 -78.3899
59.000000 75.404 -78.7969
60.000000 75.624 -79.2316
60.799999 75.814 -80.0108
61.500000 75.946 -80.8557
62.200001 76.058 -81.6129
63.000000 76.214 -82.4634
64.000000 76.415 -84.0764
65.000000 76.535 -85.9631
66.000000 76.613 -87.7038
67.000000 76.645 -89.2001
68.000000 76.680 -90.0912
69.000000 76.764 -90.7414
70.000000 76.868 -91.3008
71.000000 77.000 -91.9418
72.000000 77.109 -92.8010
73.000000 77.199 -93.5352
74.000000 77.320 -94.2682
75.000000 77.453 -95.1987
76.199997 77.607 -96.4657
77.500000 77.752 -97.8081
78.800003 77.895 -98.9226
80.000000 78.035 -99.9227
81.199997 78.168 -100.9783
82.500000 78.296 -102.2829
83.800003 78.399 -103.6264
85.000000 78.495 -104.8478
86.199997 78.580 -106.0166
87.500000 78.685 -106.9691
88.500000 78.791 -107.6472
90.000000 78.945 -108.8770
91.199997 79.015 -109.9268
92.500000 79.071 -110.8390
93.800003 79.136 -111.8609
95.000000 79.189 -112.8827
96.199997 79.248 -113.9314
97.500000 79.318 -115.0606
98.800003 79.385 -116.1453
100.000000 79.443 -116.9867
101.500000 79.526 -118.0168
103.000000 79.584 -119.1735
104.400002 79.614 -120.2120
106.000000 79.658 -121.2388
107.500000 79.735 -122.1777
109.000000 79.822 -123.1693
110.599998 79.909 -124.2152
112.000000 79.962 -125.2110
113.800003 79.985 -126.5444
115.000000 79.986 -127.4139
117.199997 80.009 -128.9303
118.000000 80.030 -129.5012
120.599998 80.069 -131.4373
122.000000 80.078 -132.1772
124.099998 80.147 -133.3190
125.000000 80.174 -133.9688
126.500000 80.191 -135.0852
128.000000 80.182 -136.0231
131.500000 80.168 -138.0422
132.000000 80.158 -138.4180
134.000000 80.056 -139.8320
136.000000 79.975 -140.1497
138.000000 80.021 -140.6165
140.000000 79.977 -141.4558
143.000000 79.879 -141.8473
145.000000 79.878 -142.4532
147.500000 79.891 -143.4298
150.000000 79.906 -144.1454
152.500000 79.934 -144.9390
155.000000 79.937 -145.9613
157.500000 79.921 -146.8864
160.000000 79.898 -147.5863
162.500000 79.875 -148.2303
165.000000 79.850 -148.9083
167.500000 79.828 -149.5078
170.000000 79.803 -150.0708
172.500000 79.779 -150.6842
175.000000 79.761 -151.2679
177.500000 79.741 -151.6575
180.000000 79.727 -151.9209
182.500000 79.703 -152.6072
185.000000 79.644 -153.4029
187.500000 79.597 -153.9470
190.000000 79.569 -154.3628
192.500000 79.534 -154.6589
195.000000 79.514 -154.8868
197.500000 79.513 -155.2640
200.000000 79.511 -155.7431
203.000000 79.499 -156.2534
206.000000 79.472 -156.7190
209.000000 79.438 -157.1537
212.000000 79.417 -157.5437
214.000000 79.406 -157.8245
218.000000 79.370 -158.4615
220.000000 79.343 -158.7345
224.000000 79.293 -159.1367
227.000000 79.257 -159.4741
230.000000 79.217 -159.7671
233.000000 79.188 -160.0082
236.000000 79.168 -160.3220
240.000000 79.131 -160.7612
243.000000 79.092 -160.9133
247.000000 79.057 -161.2023
250.000000 79.033 -161.4315
254.000000 78.988 -161.4966
258.000000 78.947 -161.7096
262.000000 78.915 -161.9831
265.000000 78.889 -162.1712
269.000000 78.859 -162.3743
272.000000 78.842 -162.5242
276.000000 78.809 -162.7640
280.000000 78.761 -162.9350
285.000000 78.717 -163.0036
290.000000 78.682 -163.0108
295.000000 78.654 -163.1325
300.000000 78.624 -163.4127
304.000000 78.591 -163.4998
307.000000 78.565 -163.5387
311.000000 78.538 -163.4485
315.000000 78.512 -163.3524
320.000000 78.468 -163.5287
325.000000 78.446 -163.6836
330.000000 78.446 -163.7301
335.000000 78.418 -163.8073
340.000000 78.364 -163.8543
345.000000 78.323 -163.8080
350.000000 78.293 -163.7282
355.000000 78.271 -163.6931
360.000000 78.250 -163.6607
365.000000 78.228 -163.5625
370.000000 78.210 -163.5108
375.000000 78.190 -163.4390
382.000000 78.164 -163.4377
387.000000 78.146 -163.4139
395.000000 78.120 -163.0832
400.000000 78.105 -162.9305
406.000000 78.091 -162.8200
412.000000 78.079 -162.7408
418.000000 78.072 -162.6846
425.000000 78.059 -162.4868
431.000000 78.045 -162.3372
437.000000 78.030 -162.2320
444.000000 78.012 -161.9941
450.000000 77.999 -161.8138
455.000000 77.987 -161.7488
462.000000 77.976 -161.7476
468.000000 77.963 -161.5778
475.000000 77.950 -161.1536
482.000000 77.947 -160.8603
487.000000 77.942 -160.6817
494.000000 77.945 -160.5018
500.000000 77.955 -160.3290
508.000000 77.953 -160.0152
515.000000 77.938 -159.8483
522.000000 77.925 -159.7248
530.000000 77.922 -159.5518
538.000000 77.921 -159.2942
545.000000 77.927 -159.0375
552.000000 77.934 -158.7693
560.000000 77.935 -158.4546
570.000000 77.934 -158.0753
580.000000 77.937 -157.6295
590.000000 77.948 -157.3265
600.000000 77.976 -157.1102
608.000000 77.986 -156.8505
615.000000 77.986 -156.6196
622.000000 77.985 -156.4180
630.000000 77.975 -156.1457
640.000000 77.971 -155.8358
650.000000 77.997 -155.5258
660.000000 78.032 -155.2118
670.000000 78.050 -154.8340
680.000000 78.065 -154.5524
690.000000 78.087 -154.2531
700.000000 78.097 -153.7758
710.000000 78.107 -153.3795
720.000000 78.121 -153.0466
730.000000 78.138 -152.6790
740.000000 78.164 -152.2791
750.000000 78.193 -151.9500
762.000000 78.220 -151.5709
775.000000 78.253 -151.1539
788.000000 78.285 -150.7163
800.000000 78.311 -150.3428
812.000000 78.335 -149.9952
825.000000 78.355 -149.5250
838.000000 78.387 -148.9589
850.000000 78.430 -148.5290
862.000000 78.470 -148.2017
875.000000 78.501 -147.7825
885.000000 78.513 -147.4516
900.000000 78.545 -146.9783
912.000000 78.573 -146.6373
925.000000 78.607 -146.2513
938.000000 78.639 -145.8372
950.000000 78.660 -145.4184
962.000000 78.685 -144.9837
975.000000 78.721 -144.5163
988.000000 78.754 -144.0386
1000.000000 78.787 -143.5583
1015.000000 78.829 -142.9287
1030.000000 78.870 -142.3122
1044.000000 78.903 -141.7834
1060.000000 78.946 -141.2034
1075.000000 78.996 -140.5471
1090.000000 79.048 -139.8605
1106.000000 79.099 -139.0995
1120.000000 79.159 -138.4225
1138.000000 79.242 -137.6433
1150.000000 79.293 -137.1143
1172.000000 79.394 -136.1549
1180.000000 79.434 -135.7853
1206.000000 79.575 -134.7396
1220.000000 79.648 -134.2197
1241.000000 79.762 -133.3013
1250.000000 79.813 -132.9143
1265.000000 79.903 -132.2660
1280.000000 79.996 -131.6210
1315.000000 80.198 -130.1847
1320.000000 80.227 -129.9541
1340.000000 80.353 -129.0270
1360.000000 80.498 -128.0412
1380.000000 80.668 -127.1257
1400.000000 80.858 -126.3960
1430.000000 81.129 -125.5664
1450.000000 81.309 -125.0672
1475.000000 81.521 -124.4441
1500.000000 81.716 -123.7754
1525.000000 81.927 -123.0548
1550.000000 82.154 -122.3784
1575.000000 82.379 -121.7455
1600.000000 82.617 -121.1870
1625.000000 82.856 -120.7042
1650.000000 83.098 -120.2551
1675.000000 83.345 -119.9103
1700.000000 83.582 -119.6100
1725.000000 83.821 -119.3005
1750.000000 84.064 -119.0020
1775.000000 84.311 -118.6603
1800.000000 84.578 -118.3528
1825.000000 84.856 -118.2042
1850.000000 85.123 -118.1624
1875.000000 85.400 -118.0654
1900.000000 85.689 -118.0966
1925.000000 85.976 -118.2045
1950.000000 86.267 -118.3333
1975.000000 86.573 -118.6090
2000.000000 86.874 -119.0565
2030.000000 87.238 -119.8060
2060.000000 87.575 -120.6949
2090.000000 87.894 -121.5018
2120.000000 88.225 -122.6559
2140.000000 88.422 -123.6410
2180.000000 88.750 -125.4809
2200.000000 88.910 -126.2099
2240.000000 89.275 -127.6442
2270.000000 89.551 -129.1189
2300.000000 89.767 -130.7918
2330.000000 89.974 -132.2979
2360.000000 90.188 -133.8663
2400.000000 90.479 -136.1602
2430.000000 90.665 -138.0952
2470.000000 90.882 -140.7583
2500.000000 90.998 -143.1813
2540.000000 91.010 -146.0605
2580.000000 90.997 -148.4164
2620.000000 90.971 -150.2889
2650.000000 90.969 -151.6278
2690.000000 90.979 -153.3027
2720.000000 90.997 -154.6431
2760.000000 90.982 -156.4573
2800.000000 90.967 -158.2251
2850.000000 90.868 -160.5499
2900.000000 90.695 -161.9665
2950.000000 90.640 -162.7623
3000.000000 90.634 -163.7557
3040.000000 90.693 -164.8009
3070.000000 90.710 -166.0874
3110.000000 90.647 -167.7296
3150.000000 90.540 -169.1189
3200.000000 90.308 -170.2598
3250.000000 90.174 -169.9793
3300.000000 90.267 -170.1553
3350.000000 90.353 -171.5277
3400.000000 90.323 -173.3947
3450.000000 90.170 -174.7073
3500.000000 90.067 -174.8899
3550.000000 90.125 -175.3059
3600.000000 90.254 -176.6051
3650.000000 90.338 -179.1647
3700.000000 90.145 177.2287
3750.000000 89.601 174.8044
3820.000000 88.878 176.7311
3870.000000 88.955 178.2727
3950.000000 88.615 173.6516
4000.000000 87.554 174.2942
4060.000000 86.741 -174.1951
4120.000000 87.721 -162.2094
4180.000000 89.349 -159.3579
4250.000000 90.835 -162.6374
4310.000000 91.790 -167.1673
4370.000000 92.561 -172.9993
4440.000000 93.164 178.8647
4500.000000 93.461 171.2377
4550.000000 93.568 164.1844
4620.000000 93.287 153.1523
4680.000000 92.473 144.4537
4750.000000 91.040 138.0734
4820.000000 89.630 136.5836
4870.000000 88.916 136.8967
