* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 11:14:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kyle CA-800v1 No Tape L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.196	-79.8896
20.299999	84.308	-80.9160
20.600000	84.419	-81.9144
20.900000	84.530	-82.8949
21.200001	84.639	-83.8654
21.400000	84.710	-84.5079
21.799999	84.848	-85.7787
22.000000	84.915	-86.4042
22.400000	85.044	-87.6293
22.700001	85.137	-88.5239
23.000000	85.229	-89.3995
23.299999	85.319	-90.2599
23.600000	85.407	-91.1077
24.000000	85.521	-92.2206
24.299999	85.604	-93.0421
24.700001	85.710	-94.1184
25.000000	85.787	-94.9105
25.400000	85.886	-95.9459
25.799999	85.981	-96.9565
26.200001	86.071	-97.9401
26.500000	86.137	-98.6588
26.900000	86.222	-99.5925
27.200001	86.285	-100.2766
27.600000	86.367	-101.1712
28.000000	86.447	-102.0497
28.500000	86.543	-103.1256
29.000000	86.637	-104.1740
29.500000	86.728	-105.1951
30.000000	86.817	-106.1957
30.400000	86.886	-106.9850
30.700001	86.937	-107.5706
31.100000	87.003	-108.3408
31.500000	87.067	-109.0976
32.000000	87.144	-110.0248
32.500000	87.220	-110.9341
33.000000	87.292	-111.8276
33.500000	87.362	-112.7052
34.000000	87.429	-113.5667
34.500000	87.493	-114.4127
35.000000	87.554	-115.2426
35.500000	87.611	-116.0538
36.000000	87.666	-116.8442
36.500000	87.717	-117.6124
37.000000	87.766	-118.3551
37.500000	87.813	-119.0674
38.200001	87.881	-120.0186
38.700001	87.932	-120.6867
39.500000	88.013	-121.7845
40.000000	88.059	-122.4796
40.599998	88.108	-123.2860
41.200001	88.156	-124.0482
41.799999	88.206	-124.7938
42.500000	88.265	-125.6754
43.099998	88.309	-126.4244
43.700001	88.352	-127.1404
44.400002	88.404	-127.9459
45.000000	88.450	-128.6425
45.500000	88.487	-129.2360
46.200001	88.535	-130.0739
46.799999	88.572	-130.7865
47.500000	88.613	-131.6104
48.200001	88.651	-132.4338
48.700001	88.677	-133.0271
49.400002	88.708	-133.8676
50.000000	88.732	-134.5926
50.799999	88.758	-135.5637
51.500000	88.775	-136.4302
52.200001	88.784	-137.3186
53.000000	88.780	-138.3398
53.799999	88.757	-139.3349
54.500000	88.720	-140.1550
55.200001	88.669	-140.8901
56.000000	88.595	-141.5872
57.000000	88.491	-142.2195
58.000000	88.385	-142.5532
59.000000	88.297	-142.5885
60.000000	88.245	-142.4233
60.799999	88.237	-142.2344
61.500000	88.256	-142.1123
62.200001	88.292	-142.1152
63.000000	88.337	-142.3134
