* Measurement data measured by REW V5.30.9
* Source: /home/tedthepraimortis/Documents/GitHub/haruto-graphtool/data_hp/Kyle ZMF Caldera L1.txt
* Format: Comma/Tab/Space delimited data
* Dated: Nov 28, 2023 7:09:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /home/tedthepraimortis/Documents/GitHub/haruto-graphtool/data_hp/Kyle ZMF Caldera L1.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: Kyle ZMF Caldera L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 79.252 179.2353
20.299999 79.480 178.4717
20.600000 79.772 177.4118
20.900000 80.056 176.3039
21.200001 80.327 175.2177
21.400000 80.502 174.5223
21.799999 80.844 173.2038
22.000000 81.015 172.5736
22.400000 81.357 171.3436
22.700001 81.613 170.4219
23.000000 81.867 169.4883
23.299999 82.117 168.5448
23.600000 82.360 167.6007
24.000000 82.677 166.3604
24.299999 82.910 165.4538
24.700001 83.218 164.2759
25.000000 83.448 163.4049
25.400000 83.754 162.2369
25.799999 84.056 161.0391
26.200001 84.350 159.8073
26.500000 84.562 158.8755
26.900000 84.832 157.6579
27.200001 85.028 156.7911
27.600000 85.287 155.7197
28.000000 85.553 154.7342
28.500000 85.904 153.5467
29.000000 86.272 152.2970
29.500000 86.644 150.9268
30.000000 87.009 149.4572
30.400000 87.294 148.2431
30.700001 87.505 147.3192
31.100000 87.782 146.0691
31.500000 88.055 144.7935
32.000000 88.387 143.1647
32.500000 88.710 141.5055
33.000000 89.024 139.8117
33.500000 89.327 138.0701
34.000000 89.616 136.2871
34.500000 89.891 134.4923
35.000000 90.157 132.6991
35.500000 90.418 130.8773
36.000000 90.672 128.9867
36.500000 90.911 127.0335
37.000000 91.135 125.0659
37.500000 91.353 123.1041
38.200001 91.651 120.2866
38.700001 91.846 118.1741
39.500000 92.103 114.7969
40.000000 92.243 112.8553
40.599998 92.415 110.7003
41.200001 92.600 108.5609
41.799999 92.777 106.3340
42.500000 92.954 103.7082
43.099998 93.084 101.5357
43.700001 93.204 99.4346
44.400002 93.332 97.0155
45.000000 93.428 94.9536
45.500000 93.497 93.2494
46.200001 93.579 90.8932
46.799999 93.636 88.9060
47.500000 93.688 86.6323
48.200001 93.727 84.4135
48.700001 93.745 82.8736
49.400002 93.761 80.7992
50.000000 93.768 79.0979
50.799999 93.771 76.9138
51.500000 93.764 75.0695
52.200001 93.746 73.3019
53.000000 93.714 71.3931
53.799999 93.674 69.6037
54.500000 93.635 68.1249
55.200001 93.593 66.7152
56.000000 93.545 65.1790
57.000000 93.481 63.3557
58.000000 93.412 61.6549
59.000000 93.341 60.1393
60.000000 93.279 58.7696
60.799999 93.231 57.7356
61.500000 93.186 56.8948
62.200001 93.142 56.1240
63.000000 93.094 55.3127
64.000000 93.038 54.3817
65.000000 92.989 53.5340
66.000000 92.947 52.7543
67.000000 92.914 52.0415
68.000000 92.891 51.3897
69.000000 92.881 50.7800
70.000000 92.882 50.1918
71.000000 92.892 49.6067
72.000000 92.911 49.0097
73.000000 92.935 48.3905
74.000000 92.964 47.7433
75.000000 92.996 47.0699
76.199997 93.038 46.2348
77.500000 93.087 45.2896
78.800003 93.133 44.2947
80.000000 93.168 43.3238
81.199997 93.190 42.3293
82.500000 93.201 41.2709
83.800003 93.207 40.2298
85.000000 93.209 39.2787
86.199997 93.208 38.3389
87.500000 93.204 37.3470
88.500000 93.199 36.6124
90.000000 93.186 35.5618
91.199997 93.173 34.7603
92.500000 93.156 33.9185
93.800003 93.133 33.0965
95.000000 93.109 32.3623
96.199997 93.082 31.6576
97.500000 93.051 30.9346
98.800003 93.020 30.2568
100.000000 92.992 29.6644
101.500000 92.956 28.9633
103.000000 92.919 28.3012
104.400002 92.882 27.7129
106.000000 92.839 27.0856
107.500000 92.800 26.5489
109.000000 92.763 26.0572
110.599998 92.728 25.5682
112.000000 92.700 25.1553
113.800003 92.668 24.6336
115.000000 92.650 24.2938
117.199997 92.625 23.6853
118.000000 92.615 23.4663
120.599998 92.576 22.8203
122.000000 92.553 22.5656
124.099998 92.529 22.2331
125.000000 92.524 22.0757
126.500000 92.517 21.7869
128.000000 92.513 21.4795
131.500000 92.503 20.7451
132.000000 92.502 20.6376
134.000000 92.492 20.2010
136.000000 92.480 19.7730
138.000000 92.469 19.3773
140.000000 92.460 19.0049
143.000000 92.449 18.4189
145.000000 92.440 18.0138
147.500000 92.423 17.5334
150.000000 92.405 17.1051
152.500000 92.389 16.7261
155.000000 92.375 16.3904
157.500000 92.363 16.0861
160.000000 92.353 15.7757
162.500000 92.346 15.4115
165.000000 92.339 15.0280
167.500000 92.332 14.6889
170.000000 92.327 14.3909
172.500000 92.325 14.1086
175.000000 92.321 13.8424
177.500000 92.312 13.5835
180.000000 92.299 13.2994
182.500000 92.290 12.9793
185.000000 92.287 12.6676
187.500000 92.286 12.3945
190.000000 92.285 12.1331
192.500000 92.281 11.8514
195.000000 92.276 11.5489
197.500000 92.270 11.2367
200.000000 92.266 10.9449
203.000000 92.266 10.6551
206.000000 92.271 10.4026
209.000000 92.272 10.1385
212.000000 92.270 9.8517
214.000000 92.268 9.6552
218.000000 92.264 9.2659
220.000000 92.261 9.0738
224.000000 92.250 8.6989
227.000000 92.240 8.4323
230.000000 92.230 8.1752
233.000000 92.224 7.9132
236.000000 92.219 7.6473
240.000000 92.209 7.3182
243.000000 92.199 7.0916
247.000000 92.186 6.8060
250.000000 92.177 6.5910
254.000000 92.165 6.3145
258.000000 92.151 6.0880
262.000000 92.143 5.8946
265.000000 92.142 5.7462
269.000000 92.142 5.5460
272.000000 92.142 5.3815
276.000000 92.143 5.1182
280.000000 92.147 4.8467
285.000000 92.155 4.5606
290.000000 92.169 4.2489
295.000000 92.187 3.8966
300.000000 92.198 3.5413
304.000000 92.201 3.2134
307.000000 92.203 2.9326
311.000000 92.204 2.5273
315.000000 92.203 2.1030
320.000000 92.194 1.5691
325.000000 92.177 1.0349
330.000000 92.149 0.4877
335.000000 92.114 -0.0611
340.000000 92.076 -0.6012
345.000000 92.029 -1.1257
350.000000 91.971 -1.6131
355.000000 91.905 -2.0417
360.000000 91.833 -2.4367
365.000000 91.755 -2.8272
370.000000 91.670 -3.1787
375.000000 91.577 -3.4470
382.000000 91.443 -3.6606
387.000000 91.351 -3.7023
395.000000 91.218 -3.6183
400.000000 91.143 -3.5188
406.000000 91.057 -3.3679
412.000000 90.974 -3.1446
418.000000 90.906 -2.8760
425.000000 90.850 -2.6058
431.000000 90.806 -2.4403
437.000000 90.755 -2.2984
444.000000 90.685 -2.0906
450.000000 90.623 -1.8548
455.000000 90.573 -1.6098
462.000000 90.511 -1.1876
468.000000 90.466 -0.7721
475.000000 90.423 -0.2559
482.000000 90.398 0.2528
487.000000 90.395 0.5812
494.000000 90.396 0.9814
500.000000 90.391 1.2886
508.000000 90.373 1.7071
515.000000 90.354 2.1349
522.000000 90.342 2.6225
530.000000 90.339 3.2330
538.000000 90.349 3.9002
545.000000 90.374 4.4957
552.000000 90.418 5.0442
560.000000 90.486 5.5741
570.000000 90.581 6.0715
580.000000 90.671 6.3997
590.000000 90.756 6.6514
600.000000 90.841 6.8732
608.000000 90.912 7.0408
615.000000 90.982 7.1569
622.000000 91.055 7.1758
630.000000 91.130 7.0572
640.000000 91.196 6.8659
650.000000 91.248 6.7727
660.000000 91.305 6.7122
670.000000 91.365 6.6024
680.000000 91.419 6.4313
690.000000 91.464 6.2273
700.000000 91.499 6.0259
710.000000 91.527 5.8471
720.000000 91.547 5.7272
730.000000 91.568 5.6841
740.000000 91.596 5.6741
750.000000 91.630 5.6816
762.000000 91.682 5.7162
775.000000 91.754 5.7270
788.000000 91.838 5.6603
800.000000 91.926 5.4888
812.000000 92.015 5.2177
825.000000 92.112 4.8387
838.000000 92.204 4.2667
850.000000 92.270 3.6019
862.000000 92.320 2.8675
875.000000 92.357 2.0174
885.000000 92.370 1.3580
900.000000 92.372 0.4426
912.000000 92.373 -0.2674
925.000000 92.374 -1.1173
938.000000 92.356 -2.1019
950.000000 92.308 -3.0270
962.000000 92.242 -3.8597
975.000000 92.165 -4.7038
988.000000 92.079 -5.5430
1000.000000 91.993 -6.3182
1015.000000 91.881 -7.4028
1030.000000 91.735 -8.7871
1044.000000 91.517 -10.2653
1060.000000 91.134 -11.7690
1075.000000 90.635 -12.4529
1090.000000 90.036 -11.6704
1106.000000 89.461 -8.9284
1120.000000 89.174 -5.6965
1138.000000 89.107 -1.8815
1150.000000 89.161 -0.0026
1172.000000 89.283 2.2650
1180.000000 89.317 2.8870
1206.000000 89.384 4.5844
1220.000000 89.388 5.4945
1241.000000 89.393 7.1161
1250.000000 89.419 7.8399
1265.000000 89.493 8.8562
1280.000000 89.555 9.5347
1315.000000 89.514 10.9118
1320.000000 89.499 11.1916
1340.000000 89.434 12.6713
1360.000000 89.401 14.7309
1380.000000 89.474 17.2102
1400.000000 89.677 19.4139
1430.000000 90.036 21.4294
1450.000000 90.226 22.4633
1475.000000 90.465 23.7172
1500.000000 90.677 24.6900
1525.000000 90.866 25.9836
1550.000000 91.131 27.3897
1575.000000 91.439 28.4505
1600.000000 91.771 29.2218
1625.000000 92.129 29.4614
1650.000000 92.430 28.9198
1675.000000 92.599 27.9595
1700.000000 92.605 27.1677
1725.000000 92.453 27.4145
1750.000000 92.281 29.7517
1775.000000 92.425 34.1105
1800.000000 93.067 38.2543
1825.000000 93.897 39.7913
1850.000000 94.567 39.0043
1875.000000 95.052 37.5477
1900.000000 95.445 36.1231
1925.000000 95.782 34.7657
1950.000000 96.084 33.5135
1975.000000 96.374 32.3449
2000.000000 96.660 31.1351
2030.000000 96.979 29.5459
2060.000000 97.261 27.9507
2090.000000 97.544 26.5261
2120.000000 97.877 25.0505
2140.000000 98.113 23.7242
2180.000000 98.502 20.1170
2200.000000 98.623 18.1366
2240.000000 98.750 14.3446
2270.000000 98.783 11.6907
2300.000000 98.769 9.1984
2330.000000 98.715 6.8751
2360.000000 98.619 4.6847
2400.000000 98.399 2.0819
2430.000000 98.157 0.7214
2470.000000 97.793 0.1183
2500.000000 97.553 0.7655
2540.000000 97.477 2.9909
2580.000000 97.808 4.4696
2620.000000 98.137 3.4661
2650.000000 98.235 2.2278
2690.000000 98.287 1.2110
2720.000000 98.359 0.7713
2760.000000 98.512 0.0869
2800.000000 98.676 -0.9400
2850.000000 98.848 -2.4728
2900.000000 99.014 -3.8893
2950.000000 99.246 -5.4395
3000.000000 99.507 -7.7352
3040.000000 99.674 -10.1375
3070.000000 99.761 -12.1584
3110.000000 99.829 -15.0610
3150.000000 99.835 -18.2177
3200.000000 99.710 -22.3997
3250.000000 99.414 -26.2239
3300.000000 99.016 -29.3538
3350.000000 98.520 -31.7505
3400.000000 97.975 -32.8717
3450.000000 97.519 -33.1485
3500.000000 97.156 -33.3762
3550.000000 96.796 -33.6567
3600.000000 96.408 -33.5225
3650.000000 96.053 -32.8720
3700.000000 95.761 -32.0495
3750.000000 95.497 -31.2075
3820.000000 95.156 -29.6787
3870.000000 94.967 -28.4971
3950.000000 94.694 -26.8503
4000.000000 94.457 -25.5033
4060.000000 94.204 -22.3719
4120.000000 94.280 -18.6311
4180.000000 94.547 -16.5253
4250.000000 94.780 -15.5330
4310.000000 94.910 -14.9199
4370.000000 95.023 -14.3590
4440.000000 95.111 -13.9419
4500.000000 95.102 -13.3709
4550.000000 95.075 -12.3328
4620.000000 95.121 -10.0794
4680.000000 95.289 -7.8373
4750.000000 95.624 -5.2348
4820.000000 96.143 -2.5299
4870.000000 96.702 -0.8347
4940.000000 97.667 -0.1820
5000.000000 98.424 -1.8636
5080.000000 99.152 -6.0445
5150.000000 99.585 -9.9447
5220.000000 99.960 -13.6606
5300.000000 100.387 -18.2927
5380.000000 100.757 -24.0302
5450.000000 100.941 -30.1675
5520.000000 100.897 -37.0651
5600.000000 100.491 -44.7889
5700.000000 99.534 -52.2927
5800.000000 98.325 -56.7504
