* Measurement data measured by REW V5.30.9
* Source: /home/tedthepraimortis/Documents/GitHub/haruto-graphtool/data_hp/Kyle ZMF Caldera R1.txt
* Format: Comma/Tab/Space delimited data
* Dated: Nov 28, 2023 7:09:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /home/tedthepraimortis/Documents/GitHub/haruto-graphtool/data_hp/Kyle ZMF Caldera R1.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: Kyle ZMF Caldera R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 88.250 -80.9641
20.299999 88.320 -81.7979
20.600000 88.410 -82.8862
20.900000 88.500 -83.9629
21.200001 88.588 -84.9988
21.400000 88.647 -85.6708
21.799999 88.768 -86.9904
22.000000 88.829 -87.6485
22.400000 88.949 -88.9766
22.700001 89.034 -89.9848
23.000000 89.113 -90.9961
23.299999 89.185 -91.9967
23.600000 89.250 -92.9726
24.000000 89.327 -94.2174
24.299999 89.380 -95.0997
24.700001 89.446 -96.2048
25.000000 89.494 -96.9838
25.400000 89.559 -97.9659
25.799999 89.625 -98.8988
26.200001 89.692 -99.7956
26.500000 89.742 -100.4484
26.900000 89.809 -101.2920
27.200001 89.859 -101.9023
27.600000 89.926 -102.6841
28.000000 89.996 -103.4326
28.500000 90.087 -104.3371
29.000000 90.185 -105.2342
29.500000 90.287 -106.1518
30.000000 90.389 -107.1062
30.400000 90.467 -107.8936
30.700001 90.522 -108.4900
31.100000 90.591 -109.2782
31.500000 90.656 -110.0445
32.000000 90.735 -110.9666
32.500000 90.815 -111.8675
33.000000 90.896 -112.7756
33.500000 90.975 -113.7036
34.000000 91.048 -114.6429
34.500000 91.113 -115.5772
35.000000 91.173 -116.4946
35.500000 91.225 -117.3846
36.000000 91.273 -118.2320
36.500000 91.318 -119.0244
37.000000 91.366 -119.7690
37.500000 91.418 -120.4982
38.200001 91.495 -121.5551
38.700001 91.546 -122.3456
39.500000 91.610 -123.6197
40.000000 91.641 -124.3881
40.599998 91.670 -125.2612
41.200001 91.692 -126.0574
41.799999 91.712 -126.7528
42.500000 91.744 -127.4566
43.099998 91.783 -128.0214
43.700001 91.828 -128.5802
44.400002 91.890 -129.2279
45.000000 91.951 -129.8005
45.500000 92.005 -130.3201
46.200001 92.075 -131.1178
46.799999 92.125 -131.8151
47.500000 92.176 -132.5819
48.200001 92.230 -133.3102
48.700001 92.271 -133.8398
49.400002 92.327 -134.6173
50.000000 92.373 -135.3142
50.799999 92.428 -136.2839
51.500000 92.469 -137.1722
52.200001 92.502 -138.0889
53.000000 92.528 -139.1570
53.799999 92.543 -140.2372
54.500000 92.544 -141.1768
55.200001 92.534 -142.0950
56.000000 92.510 -143.1021
57.000000 92.461 -144.2617
58.000000 92.397 -145.2797
59.000000 92.321 -146.1423
60.000000 92.239 -146.8116
60.799999 92.179 -147.2158
61.500000 92.133 -147.5093
62.200001 92.092 -147.7661
63.000000 92.049 -148.0097
64.000000 92.001 -148.2182
65.000000 91.966 -148.3348
66.000000 91.945 -148.4189
67.000000 91.932 -148.5096
68.000000 91.920 -148.5876
69.000000 91.914 -148.6292
70.000000 91.917 -148.6489
71.000000 91.933 -148.6759
72.000000 91.958 -148.7259
73.000000 91.992 -148.7880
74.000000 92.035 -148.8590
75.000000 92.086 -148.9571
76.199997 92.150 -149.0954
77.500000 92.226 -149.2661
78.800003 92.307 -149.5132
80.000000 92.379 -149.8225
81.199997 92.444 -150.1922
82.500000 92.511 -150.6216
83.800003 92.577 -151.0848
85.000000 92.637 -151.5706
86.199997 92.689 -152.0960
87.500000 92.737 -152.6708
88.500000 92.769 -153.1090
90.000000 92.812 -153.7651
91.199997 92.841 -154.2909
92.500000 92.866 -154.8558
93.800003 92.885 -155.4048
95.000000 92.900 -155.8964
96.199997 92.911 -156.3791
97.500000 92.918 -156.8902
98.800003 92.922 -157.3800
100.000000 92.922 -157.8106
101.500000 92.920 -158.3211
103.000000 92.914 -158.7908
104.400002 92.906 -159.1849
106.000000 92.897 -159.5892
107.500000 92.892 -159.9357
109.000000 92.890 -160.2648
110.599998 92.888 -160.6068
112.000000 92.887 -160.8975
113.800003 92.887 -161.2602
115.000000 92.887 -161.5002
117.199997 92.888 -161.9395
118.000000 92.888 -162.0952
120.599998 92.882 -162.5505
122.000000 92.879 -162.7399
124.099998 92.880 -162.9728
125.000000 92.883 -163.0703
126.500000 92.892 -163.2444
128.000000 92.905 -163.4428
131.500000 92.935 -163.9858
132.000000 92.938 -164.0684
134.000000 92.949 -164.4059
136.000000 92.957 -164.7437
138.000000 92.962 -165.0708
140.000000 92.967 -165.3817
143.000000 92.971 -165.8222
145.000000 92.973 -166.1002
147.500000 92.973 -166.4271
150.000000 92.974 -166.7303
152.500000 92.976 -167.0174
155.000000 92.979 -167.2905
157.500000 92.984 -167.5529
160.000000 92.991 -167.8137
162.500000 93.000 -168.0833
165.000000 93.008 -168.3614
167.500000 93.013 -168.6402
170.000000 93.017 -168.9144
172.500000 93.018 -169.1716
175.000000 93.013 -169.3994
177.500000 93.005 -169.6024
180.000000 93.001 -169.8076
182.500000 93.007 -170.0481
185.000000 93.016 -170.3010
187.500000 93.021 -170.5255
190.000000 93.022 -170.7263
192.500000 93.023 -170.9194
195.000000 93.024 -171.1047
197.500000 93.027 -171.2795
200.000000 93.029 -171.4483
203.000000 93.033 -171.6499
206.000000 93.038 -171.8500
209.000000 93.044 -172.0482
212.000000 93.051 -172.2464
214.000000 93.055 -172.3787
218.000000 93.063 -172.6425
220.000000 93.066 -172.7726
224.000000 93.074 -173.0299
227.000000 93.080 -173.2244
230.000000 93.086 -173.4195
233.000000 93.093 -173.6134
236.000000 93.098 -173.8073
240.000000 93.106 -174.0645
243.000000 93.112 -174.2576
247.000000 93.121 -174.5194
250.000000 93.126 -174.7179
254.000000 93.132 -174.9816
258.000000 93.137 -175.2426
262.000000 93.143 -175.5015
265.000000 93.147 -175.6946
269.000000 93.152 -175.9514
272.000000 93.156 -176.1442
276.000000 93.160 -176.4031
280.000000 93.164 -176.6671
285.000000 93.167 -177.0072
290.000000 93.169 -177.3595
295.000000 93.166 -177.7218
300.000000 93.160 -178.0757
304.000000 93.154 -178.3366
307.000000 93.149 -178.5245
311.000000 93.142 -178.7731
315.000000 93.132 -179.0175
320.000000 93.118 -179.3048
325.000000 93.103 -179.5612
330.000000 93.090 -179.7893
335.000000 93.080 179.9948
340.000000 93.075 179.7804
345.000000 93.073 179.5593
350.000000 93.075 179.3280
355.000000 93.080 179.0739
360.000000 93.086 178.7693
365.000000 93.088 178.4091
370.000000 93.087 178.0128
375.000000 93.082 177.5811
382.000000 93.061 176.9169
387.000000 93.033 176.4369
395.000000 92.970 175.7258
400.000000 92.924 175.3195
406.000000 92.863 174.8594
412.000000 92.795 174.4238
418.000000 92.719 174.0174
425.000000 92.626 173.5710
431.000000 92.536 173.2020
437.000000 92.428 172.8957
444.000000 92.284 172.7156
450.000000 92.157 172.7479
455.000000 92.059 172.8961
462.000000 91.941 173.2173
468.000000 91.856 173.5279
475.000000 91.768 173.8958
482.000000 91.687 174.2901
487.000000 91.634 174.6019
494.000000 91.568 175.0654
500.000000 91.519 175.4675
508.000000 91.461 176.0121
515.000000 91.414 176.5219
522.000000 91.377 177.0847
530.000000 91.352 177.7451
538.000000 91.341 178.3549
545.000000 91.334 178.8560
552.000000 91.327 179.3649
560.000000 91.326 179.9988
570.000000 91.347 -179.1547
580.000000 91.395 -178.3620
590.000000 91.457 -177.6252
600.000000 91.540 -176.9055
608.000000 91.626 -176.3867
615.000000 91.716 -176.0231
622.000000 91.815 -175.7858
630.000000 91.928 -175.6823
640.000000 92.053 -175.7226
650.000000 92.166 -175.8521
660.000000 92.274 -176.0845
670.000000 92.368 -176.4349
680.000000 92.443 -176.8462
690.000000 92.504 -177.2692
700.000000 92.554 -177.6886
710.000000 92.598 -178.1110
720.000000 92.634 -178.5484
730.000000 92.663 -178.9859
740.000000 92.687 -179.4251
750.000000 92.705 -179.8824
762.000000 92.711 179.5681
775.000000 92.706 179.0659
788.000000 92.712 178.6428
800.000000 92.723 178.1154
812.000000 92.707 177.5182
825.000000 92.674 176.9950
838.000000 92.642 176.5224
850.000000 92.609 176.1087
862.000000 92.578 175.7386
875.000000 92.556 175.3379
885.000000 92.544 174.9468
900.000000 92.511 174.1823
912.000000 92.459 173.4990
925.000000 92.373 172.8207
938.000000 92.274 172.2602
950.000000 92.177 171.8123
962.000000 92.079 171.4274
975.000000 91.982 171.0190
988.000000 91.889 170.4811
1000.000000 91.787 169.7962
1015.000000 91.604 168.7677
1030.000000 91.332 167.6948
1044.000000 90.951 167.1105
1060.000000 90.409 167.8808
1075.000000 89.982 170.1791
1090.000000 89.783 173.0111
1106.000000 89.777 175.4110
1120.000000 89.816 176.6797
1138.000000 89.816 177.7384
1150.000000 89.795 178.4008
1172.000000 89.754 179.5649
1180.000000 89.739 179.8949
1206.000000 89.626 -179.3291
1220.000000 89.493 -178.6689
1241.000000 89.273 -176.8129
1250.000000 89.215 -175.7690
1265.000000 89.188 -174.0235
1280.000000 89.200 -172.5686
1315.000000 89.157 -169.5398
1320.000000 89.163 -169.0117
1340.000000 89.267 -166.8899
1360.000000 89.417 -165.6351
1380.000000 89.446 -165.0129
1400.000000 89.343 -163.7035
1430.000000 89.295 -159.7398
1450.000000 89.468 -157.1017
1475.000000 89.745 -154.8134
1500.000000 89.986 -152.6367
1525.000000 90.328 -150.3607
1550.000000 90.755 -148.9341
1575.000000 91.113 -148.4711
1600.000000 91.390 -148.2368
1625.000000 91.608 -148.2404
1650.000000 91.692 -148.2483
1675.000000 91.661 -147.2569
1700.000000 91.712 -144.6947
1725.000000 92.041 -141.5407
1750.000000 92.588 -139.4125
1775.000000 93.119 -138.7966
1800.000000 93.543 -138.8408
1825.000000 93.911 -138.9084
1850.000000 94.265 -138.9700
1875.000000 94.611 -139.0663
1900.000000 94.955 -139.1973
1925.000000 95.307 -139.3751
1950.000000 95.676 -139.6538
1975.000000 96.064 -140.1466
2000.000000 96.454 -141.0022
2030.000000 96.877 -142.5090
2060.000000 97.231 -144.2733
2090.000000 97.527 -146.0629
2120.000000 97.785 -147.7168
2140.000000 97.959 -148.7104
2180.000000 98.352 -150.7319
2200.000000 98.560 -152.0244
2240.000000 98.918 -155.3732
2270.000000 99.080 -158.2801
2300.000000 99.135 -161.2487
2330.000000 99.071 -163.9869
2360.000000 98.891 -165.8807
2400.000000 98.668 -166.3738
2430.000000 98.726 -165.9230
2470.000000 99.062 -166.5085
2500.000000 99.276 -168.2622
2540.000000 99.385 -171.1247
2580.000000 99.383 -173.4143
2620.000000 99.426 -175.2363
2650.000000 99.490 -176.9336
2690.000000 99.501 -179.8044
2720.000000 99.412 178.0662
2760.000000 99.208 175.7978
2800.000000 98.998 174.1797
2850.000000 98.787 172.5461
2900.000000 98.616 170.6997
2950.000000 98.371 168.4539
3000.000000 97.986 166.4811
3040.000000 97.599 165.4653
3070.000000 97.272 165.1197
3110.000000 96.792 165.4717
3150.000000 96.329 167.1740
3200.000000 95.984 170.5541
3250.000000 95.924 173.7695
3300.000000 96.039 176.6896
3350.000000 96.386 178.8724
3400.000000 96.760 178.8904
3450.000000 96.877 177.8126
3500.000000 96.837 177.6726
3550.000000 96.878 178.4088
3600.000000 97.047 178.9692
3650.000000 97.243 178.7720
3700.000000 97.377 178.0154
3750.000000 97.411 177.1976
3820.000000 97.369 176.9978
3870.000000 97.420 177.3824
3950.000000 97.646 177.5844
4000.000000 97.834 177.2720
4060.000000 98.051 176.0967
4120.000000 98.153 174.2291
4180.000000 98.113 172.4401
4250.000000 97.974 171.0154
4310.000000 97.834 170.2315
4370.000000 97.670 169.7346
4440.000000 97.440 169.7793
4500.000000 97.255 170.5092
4550.000000 97.143 171.6184
4620.000000 97.117 173.6775
4680.000000 97.230 175.3702
4750.000000 97.465 176.9423
4820.000000 97.776 178.0269
4870.000000 98.023 178.4363
