* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:46:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mich HD-580 BS L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.800	-70.0952
20.299999	66.890	-70.7575
20.600000	66.968	-71.0632
20.900000	67.074	-71.0194
21.200001	67.239	-70.8171
21.400000	67.383	-70.7784
21.799999	67.713	-71.1853
22.000000	67.870	-71.6913
22.400000	68.109	-73.1860
22.700001	68.201	-74.3874
23.000000	68.231	-75.2881
23.299999	68.247	-75.7326
23.600000	68.297	-75.8171
24.000000	68.460	-75.8037
24.299999	68.638	-76.1201
24.700001	68.871	-77.2455
25.000000	68.984	-78.4565
25.400000	69.026	-80.0189
25.799999	68.995	-80.8955
26.200001	69.002	-80.9369
26.500000	69.086	-80.7030
26.900000	69.310	-80.5655
27.200001	69.520	-80.8645
27.600000	69.789	-81.8419
28.000000	69.997	-83.1887
28.500000	70.170	-84.8462
29.000000	70.286	-86.1363
29.500000	70.384	-86.9863
30.000000	70.499	-87.3801
30.400000	70.635	-87.4576
30.700001	70.775	-87.5138
31.100000	70.998	-87.8350
31.500000	71.222	-88.5930
32.000000	71.432	-90.0429
32.500000	71.529	-91.5196
33.000000	71.561	-92.4981
33.500000	71.606	-92.9545
34.000000	71.703	-93.2454
34.500000	71.831	-93.6600
35.000000	71.964	-94.2013
35.500000	72.099	-94.7762
36.000000	72.242	-95.4029
36.500000	72.385	-96.1533
37.000000	72.506	-96.9797
37.500000	72.601	-97.7101
38.200001	72.734	-98.3783
38.700001	72.860	-98.7405
39.500000	73.085	-99.6204
40.000000	73.198	-100.3671
40.599998	73.287	-101.2276
41.200001	73.352	-101.8639
41.799999	73.428	-102.3275
42.500000	73.542	-102.8991
43.099998	73.644	-103.5420
43.700001	73.735	-104.2487
44.400002	73.847	-105.0295
45.000000	73.964	-105.7454
45.500000	74.066	-106.4831
46.200001	74.181	-107.6216
46.799999	74.256	-108.4223
47.500000	74.371	-109.1274
48.200001	74.511	-109.9432
48.700001	74.594	-110.6264
49.400002	74.677	-111.4447
50.000000	74.753	-111.9357
50.799999	74.884	-112.6163
51.500000	74.995	-113.3987
52.200001	75.089	-114.2414
53.000000	75.188	-115.2439
53.799999	75.274	-116.3006
54.500000	75.340	-117.1963
55.200001	75.407	-118.0652
56.000000	75.479	-119.0402
57.000000	75.567	-120.1885
58.000000	75.647	-121.5033
59.000000	75.640	-122.9769
60.000000	75.537	-123.9665
60.799999	75.449	-124.2966
61.500000	75.387	-124.4153
62.200001	75.335	-124.4206
63.000000	75.297	-124.2365
64.000000	75.316	-123.8333
65.000000	75.406	-123.4912
66.000000	75.554	-123.2966
67.000000	75.743	-123.4247
68.000000	75.924	-123.9409
69.000000	76.067	-124.6769
70.000000	76.166	-125.4443
71.000000	76.244	-126.1185
72.000000	76.316	-126.7855
73.000000	76.376	-127.4448
74.000000	76.436	-128.0185
75.000000	76.503	-128.5485
76.199997	76.591	-129.0868
77.500000	76.720	-129.5984
78.800003	76.860	-130.3410
80.000000	76.964	-131.1195
81.199997	77.050	-131.9533
82.500000	77.101	-132.8438
83.800003	77.143	-133.4268
85.000000	77.216	-133.8829
86.199997	77.310	-134.4707
87.500000	77.400	-135.2768
88.500000	77.452	-135.9040
90.000000	77.516	-136.7843
91.199997	77.561	-137.4661
92.500000	77.610	-138.2226
93.800003	77.657	-139.0417
95.000000	77.691	-139.8276
96.199997	77.718	-140.5501
97.500000	77.746	-141.2305
98.800003	77.777	-141.8288
100.000000	77.801	-142.3774
101.500000	77.814	-143.0353
103.000000	77.823	-143.6610
104.400002	77.832	-144.2930
106.000000	77.839	-145.0164
107.500000	77.853	-145.6129
109.000000	77.880	-146.1695
110.599998	77.909	-146.7517
112.000000	77.934	-147.2720
113.800003	77.957	-148.0092
115.000000	77.965	-148.5066
117.199997	77.980	-149.3347
118.000000	77.988	-149.6098
120.599998	78.013	-150.5137
122.000000	78.016	-150.9582
124.099998	78.023	-151.6111
125.000000	78.026	-151.9066
126.500000	78.032	-152.4082
128.000000	78.040	-152.9174
131.500000	78.048	-154.1236
132.000000	78.045	-154.3009
134.000000	78.022	-154.9724
136.000000	77.986	-155.5145
138.000000	77.952	-155.9366
140.000000	77.928	-156.2700
143.000000	77.917	-156.8275
145.000000	77.913	-157.3143
147.500000	77.894	-157.9523
150.000000	77.857	-158.5278
152.500000	77.801	-158.8965
155.000000	77.759	-159.0474
157.500000	77.746	-159.1198
160.000000	77.761	-159.2879
162.500000	77.777	-159.5714
165.000000	77.781	-159.8879
167.500000	77.771	-160.1837
170.000000	77.764	-160.4255
172.500000	77.769	-160.6658
175.000000	77.778	-160.9325
177.500000	77.784	-161.2209
180.000000	77.788	-161.5439
182.500000	77.794	-161.8968
185.000000	77.800	-162.2664
187.500000	77.802	-162.6366
190.000000	77.794	-162.9971
192.500000	77.778	-163.2989
195.000000	77.767	-163.5535
197.500000	77.763	-163.8320
200.000000	77.757	-164.1396
203.000000	77.745	-164.4960
206.000000	77.725	-164.8378
209.000000	77.699	-165.1626
212.000000	77.676	-165.4568
214.000000	77.666	-165.6330
218.000000	77.639	-165.9729
220.000000	77.618	-166.1237
224.000000	77.579	-166.4035
227.000000	77.552	-166.5996
230.000000	77.527	-166.7699
233.000000	77.505	-166.9520
236.000000	77.481	-167.1360
240.000000	77.444	-167.2919
243.000000	77.424	-167.3849
247.000000	77.401	-167.5428
250.000000	77.377	-167.6531
254.000000	77.338	-167.7464
258.000000	77.308	-167.8092
262.000000	77.282	-167.9094
265.000000	77.261	-167.9670
269.000000	77.239	-167.9828
272.000000	77.229	-167.9795
276.000000	77.218	-168.0034
280.000000	77.199	-168.0723
285.000000	77.160	-168.1465
290.000000	77.132	-168.1415
295.000000	77.118	-168.1254
300.000000	77.108	-168.1161
304.000000	77.093	-168.1198
307.000000	77.079	-168.1229
311.000000	77.059	-168.1031
315.000000	77.045	-168.0745
320.000000	77.036	-168.0640
325.000000	77.024	-168.1010
330.000000	77.005	-168.1025
335.000000	76.986	-168.0134
340.000000	76.972	-167.9709
345.000000	76.954	-167.9581
350.000000	76.939	-167.8917
355.000000	76.930	-167.8283
360.000000	76.913	-167.7868
365.000000	76.890	-167.7167
370.000000	76.876	-167.6350
375.000000	76.867	-167.5600
382.000000	76.849	-167.4537
387.000000	76.839	-167.3642
395.000000	76.827	-167.2256
400.000000	76.818	-167.1493
406.000000	76.805	-167.0683
412.000000	76.791	-166.9507
418.000000	76.775	-166.8088
425.000000	76.763	-166.6306
431.000000	76.753	-166.4743
437.000000	76.740	-166.3034
444.000000	76.728	-166.1016
450.000000	76.721	-165.9691
455.000000	76.711	-165.8477
462.000000	76.701	-165.6186
468.000000	76.701	-165.4103
475.000000	76.703	-165.1809
482.000000	76.701	-164.9854
487.000000	76.696	-164.8389
494.000000	76.692	-164.6529
500.000000	76.685	-164.5151
508.000000	76.672	-164.3168
515.000000	76.659	-164.0871
522.000000	76.648	-163.7961
530.000000	76.638	-163.4262
538.000000	76.644	-163.0031
545.000000	76.657	-162.6690
552.000000	76.669	-162.3823
560.000000	76.686	-162.0538
570.000000	76.712	-161.7038
580.000000	76.730	-161.3507
590.000000	76.750	-160.9422
600.000000	76.776	-160.5599
608.000000	76.801	-160.2948
615.000000	76.825	-160.0886
622.000000	76.844	-159.8849
630.000000	76.863	-159.6276
640.000000	76.897	-159.3001
650.000000	76.932	-159.0148
660.000000	76.957	-158.7430
670.000000	76.984	-158.4395
680.000000	77.017	-158.1243
690.000000	77.054	-157.8365
700.000000	77.093	-157.5919
710.000000	77.130	-157.3714
720.000000	77.160	-157.1672
730.000000	77.185	-156.9456
740.000000	77.213	-156.7111
750.000000	77.242	-156.4685
762.000000	77.280	-156.1462
775.000000	77.329	-155.8403
788.000000	77.374	-155.5663
800.000000	77.411	-155.2919
812.000000	77.456	-155.0074
825.000000	77.519	-154.7625
838.000000	77.584	-154.6732
850.000000	77.630	-154.7618
862.000000	77.644	-154.9323
875.000000	77.606	-155.0354
885.000000	77.536	-154.8878
900.000000	77.427	-153.8988
912.000000	77.436	-152.6741
925.000000	77.549	-151.6099
938.000000	77.689	-151.0405
950.000000	77.797	-150.7949
962.000000	77.880	-150.6521
975.000000	77.951	-150.5570
988.000000	78.003	-150.4449
1000.000000	78.042	-150.2732
1015.000000	78.090	-149.9299
1030.000000	78.160	-149.5843
1044.000000	78.221	-149.3633
1060.000000	78.281	-148.9687
1075.000000	78.372	-148.5553
1090.000000	78.471	-148.4508
1106.000000	78.536	-148.4521
1120.000000	78.579	-148.3582
