* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:40:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mich HD-580 BS R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.988	-58.5192
20.299999	63.220	-59.2044
20.600000	63.427	-60.1676
20.900000	63.592	-61.1574
21.200001	63.731	-61.8784
21.400000	63.838	-62.1531
21.799999	64.126	-62.4387
22.000000	64.315	-62.6340
22.400000	64.751	-63.5987
22.700001	65.057	-64.9930
23.000000	65.274	-66.8083
23.299999	65.376	-68.5758
23.600000	65.383	-69.8175
24.000000	65.348	-70.1354
24.299999	65.408	-69.4721
24.700001	65.704	-68.2723
25.000000	66.054	-67.9721
25.400000	66.532	-69.0248
25.799999	66.837	-71.3972
26.200001	66.894	-73.8940
26.500000	66.813	-75.1086
26.900000	66.665	-75.4557
27.200001	66.618	-74.9938
27.600000	66.700	-74.1688
28.000000	66.884	-73.9043
28.500000	67.080	-74.4833
29.000000	67.174	-75.0888
29.500000	67.279	-75.1310
30.000000	67.497	-75.1851
30.400000	67.713	-75.7788
30.700001	67.856	-76.5784
31.100000	67.987	-77.8402
31.500000	68.060	-79.0006
32.000000	68.122	-80.0630
32.500000	68.196	-80.7911
33.000000	68.287	-81.3078
33.500000	68.406	-81.5773
34.000000	68.588	-81.7147
34.500000	68.832	-82.1167
35.000000	69.075	-83.0430
35.500000	69.251	-84.2824
36.000000	69.358	-85.3701
36.500000	69.446	-86.0934
37.000000	69.559	-86.6270
37.500000	69.693	-87.2296
38.200001	69.866	-88.2690
38.700001	69.970	-89.0232
39.500000	70.123	-90.1680
