* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:49:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mich HD-800 Low-SN L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.483	-119.7194
20.299999	74.594	-120.9828
20.600000	74.647	-122.1876
20.900000	74.657	-123.0989
21.200001	74.662	-123.5876
21.400000	74.685	-123.7261
21.799999	74.799	-123.8215
22.000000	74.888	-123.9311
22.400000	75.097	-124.5519
22.700001	75.236	-125.4016
23.000000	75.325	-126.4464
23.299999	75.357	-127.4544
23.600000	75.341	-128.2310
24.000000	75.289	-128.7083
24.299999	75.268	-128.6624
24.700001	75.307	-128.3111
25.000000	75.394	-128.1016
25.400000	75.558	-128.2112
25.799999	75.718	-128.9109
26.200001	75.818	-130.0594
26.500000	75.841	-131.0067
26.900000	75.810	-132.1209
27.200001	75.766	-132.7397
27.600000	75.715	-133.3112
28.000000	75.695	-133.8190
28.500000	75.685	-134.6722
29.000000	75.634	-135.6298
29.500000	75.549	-136.1719
30.000000	75.529	-136.1373
30.400000	75.612	-136.0905
30.700001	75.718	-136.3129
31.100000	75.863	-137.0709
31.500000	75.962	-138.1485
32.000000	76.016	-139.3541
32.500000	76.071	-140.0807
33.000000	76.195	-140.7404
33.500000	76.338	-141.8925
34.000000	76.392	-143.4511
34.500000	76.323	-144.6832
35.000000	76.204	-145.0387
35.500000	76.149	-144.6803
36.000000	76.193	-144.2591
36.500000	76.282	-144.2173
37.000000	76.350	-144.5224
37.500000	76.380	-144.9174
38.200001	76.388	-145.3614
38.700001	76.393	-145.6242
39.500000	76.406	-146.0761
40.000000	76.418	-146.4012
40.599998	76.435	-146.8257
41.200001	76.460	-147.2677
41.799999	76.498	-147.7650
42.500000	76.547	-148.5025
43.099998	76.569	-149.1987
43.700001	76.576	-149.7613
44.400002	76.598	-150.1871
45.000000	76.646	-150.5206
45.500000	76.697	-150.8942
46.200001	76.759	-151.5736
46.799999	76.787	-152.2078
47.500000	76.794	-152.8281
48.200001	76.809	-153.2357
48.700001	76.844	-153.5274
49.400002	76.908	-154.2456
50.000000	76.923	-155.1386
50.799999	76.862	-156.1525
51.500000	76.802	-156.6000
52.200001	76.778	-156.9770
