* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:42:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mich HD-800 Low-SN R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.921	-119.7040
20.299999	72.972	-120.0967
20.600000	73.036	-120.4589
20.900000	73.112	-120.8556
21.200001	73.191	-121.3307
21.400000	73.241	-121.6881
21.799999	73.328	-122.4568
22.000000	73.366	-122.8439
22.400000	73.435	-123.5835
22.700001	73.487	-124.1168
23.000000	73.544	-124.6693
23.299999	73.603	-125.2785
23.600000	73.657	-125.9535
24.000000	73.715	-126.9278
24.299999	73.745	-127.6610
24.700001	73.770	-128.5725
25.000000	73.784	-129.1809
25.400000	73.804	-129.8916
25.799999	73.830	-130.5010
26.200001	73.867	-131.0105
26.500000	73.905	-131.3314
26.900000	73.975	-131.7126
27.200001	74.043	-132.0129
27.600000	74.146	-132.4974
28.000000	74.246	-133.0917
28.500000	74.347	-133.8666
29.000000	74.431	-134.4923
29.500000	74.525	-134.9748
30.000000	74.635	-135.5205
30.400000	74.714	-136.0914
30.700001	74.757	-136.5700
31.100000	74.790	-137.1809
31.500000	74.804	-137.6933
32.000000	74.812	-138.2029
32.500000	74.817	-138.6504
33.000000	74.812	-139.0334
33.500000	74.810	-139.2735
34.000000	74.840	-139.4308
34.500000	74.908	-139.7581
35.000000	74.984	-140.4318
35.500000	75.025	-141.3394
36.000000	75.024	-142.1832
36.500000	75.014	-142.7888
37.000000	75.026	-143.2263
37.500000	75.065	-143.6676
38.200001	75.130	-144.4200
38.700001	75.165	-144.9784
39.500000	75.207	-145.7249
40.000000	75.236	-146.1008
40.599998	75.276	-146.5414
41.200001	75.312	-147.0544
41.799999	75.327	-147.6222
42.500000	75.319	-148.2273
43.099998	75.305	-148.6600
43.700001	75.294	-149.0800
44.400002	75.285	-149.6103
45.000000	75.278	-150.1092
45.500000	75.270	-150.5612
46.200001	75.249	-151.1942
46.799999	75.226	-151.6366
47.500000	75.217	-152.0452
48.200001	75.221	-152.4874
48.700001	75.214	-152.8007
49.400002	75.194	-153.0467
50.000000	75.197	-153.0656
50.799999	75.243	-153.1477
51.500000	75.286	-153.4605
52.200001	75.302	-153.8885
53.000000	75.287	-154.3739
53.799999	75.241	-154.7682
54.500000	75.185	-154.9175
55.200001	75.142	-154.8710
56.000000	75.127	-154.7632
57.000000	75.132	-154.7065
58.000000	75.160	-154.6107
59.000000	75.228	-154.7009
60.000000	75.274	-155.1144
60.799999	75.281	-155.4230
61.500000	75.285	-155.6375
62.200001	75.286	-155.8675
63.000000	75.276	-156.1357
64.000000	75.253	-156.3877
65.000000	75.231	-156.5551
66.000000	75.212	-156.6743
67.000000	75.194	-156.7585
68.000000	75.174	-156.7847
69.000000	75.153	-156.7283
70.000000	75.133	-156.6071
71.000000	75.114	-156.3386
72.000000	75.126	-155.9127
73.000000	75.181	-155.5898
74.000000	75.244	-155.4860
75.000000	75.292	-155.4321
76.199997	75.354	-155.2294
77.500000	75.460	-154.9915
78.800003	75.586	-155.0099
80.000000	75.683	-155.2589
81.199997	75.747	-155.5495
82.500000	75.804	-155.7792
83.800003	75.864	-156.0089
85.000000	75.923	-156.2421
86.199997	75.988	-156.5204
87.500000	76.059	-156.9187
88.500000	76.107	-157.2812
90.000000	76.165	-157.8378
91.199997	76.203	-158.2897
92.500000	76.231	-158.7899
93.800003	76.241	-159.2144
95.000000	76.246	-159.5275
96.199997	76.249	-159.8082
97.500000	76.245	-160.0893
98.800003	76.237	-160.3064
100.000000	76.238	-160.4423
101.500000	76.259	-160.6883
103.000000	76.271	-161.0312
104.400002	76.271	-161.2636
106.000000	76.276	-161.3692
107.500000	76.297	-161.4130
109.000000	76.326	-161.4924
110.599998	76.366	-161.6479
112.000000	76.404	-161.9072
113.800003	76.441	-162.3303
115.000000	76.461	-162.5920
117.199997	76.498	-163.0065
118.000000	76.512	-163.1481
120.599998	76.548	-163.6530
122.000000	76.558	-163.9487
124.099998	76.564	-164.4462
125.000000	76.562	-164.6662
126.500000	76.557	-165.0154
128.000000	76.546	-165.3415
131.500000	76.490	-165.8372
132.000000	76.480	-165.8773
134.000000	76.437	-165.9951
136.000000	76.400	-166.0834
138.000000	76.371	-166.1718
140.000000	76.353	-166.1757
143.000000	76.363	-166.0424
145.000000	76.379	-165.9894
147.500000	76.388	-166.0063
150.000000	76.392	-166.0240
152.500000	76.416	-166.0591
155.000000	76.449	-166.1654
157.500000	76.483	-166.3135
160.000000	76.508	-166.5078
162.500000	76.521	-166.6794
165.000000	76.535	-166.8174
167.500000	76.551	-166.9958
170.000000	76.561	-167.1660
172.500000	76.571	-167.2920
175.000000	76.579	-167.4566
177.500000	76.582	-167.6284
180.000000	76.588	-167.7479
182.500000	76.600	-167.8587
185.000000	76.612	-167.9926
187.500000	76.621	-168.1499
190.000000	76.626	-168.3051
192.500000	76.628	-168.4363
195.000000	76.631	-168.5398
197.500000	76.640	-168.6471
200.000000	76.646	-168.7823
203.000000	76.647	-168.9574
206.000000	76.647	-169.1287
209.000000	76.648	-169.2649
212.000000	76.648	-169.3864
214.000000	76.649	-169.4783
218.000000	76.645	-169.6840
220.000000	76.638	-169.7518
224.000000	76.630	-169.7888
227.000000	76.633	-169.8329
230.000000	76.638	-169.9106
233.000000	76.641	-169.9947
236.000000	76.643	-170.0634
240.000000	76.640	-170.1360
243.000000	76.639	-170.2151
247.000000	76.641	-170.3606
250.000000	76.641	-170.4635
254.000000	76.633	-170.5661
258.000000	76.633	-170.6364
262.000000	76.636	-170.7087
265.000000	76.635	-170.7560
269.000000	76.631	-170.8235
272.000000	76.630	-170.8600
276.000000	76.632	-170.9381
280.000000	76.625	-171.0607
285.000000	76.607	-171.1583
290.000000	76.593	-171.1704
295.000000	76.589	-171.1381
300.000000	76.595	-171.1311
304.000000	76.602	-171.1965
307.000000	76.600	-171.2592
311.000000	76.590	-171.2988
315.000000	76.581	-171.2894
320.000000	76.579	-171.2448
325.000000	76.582	-171.2367
330.000000	76.584	-171.2423
335.000000	76.585	-171.2756
340.000000	76.580	-171.3391
345.000000	76.567	-171.3323
350.000000	76.561	-171.2550
355.000000	76.566	-171.2362
360.000000	76.566	-171.2958
365.000000	76.561	-171.3443
370.000000	76.556	-171.3429
375.000000	76.556	-171.3250
382.000000	76.550	-171.3227
387.000000	76.545	-171.2661
395.000000	76.546	-171.1893
400.000000	76.541	-171.1599
406.000000	76.536	-171.0748
412.000000	76.538	-171.0303
418.000000	76.537	-170.9968
425.000000	76.539	-170.9392
431.000000	76.543	-170.9191
437.000000	76.537	-170.8942
444.000000	76.526	-170.8437
450.000000	76.522	-170.7910
455.000000	76.517	-170.7222
462.000000	76.509	-170.6045
468.000000	76.508	-170.4716
475.000000	76.514	-170.2885
482.000000	76.526	-170.1218
487.000000	76.535	-170.0165
494.000000	76.550	-169.9324
500.000000	76.561	-169.9127
508.000000	76.568	-169.8773
515.000000	76.565	-169.8087
522.000000	76.565	-169.6834
530.000000	76.575	-169.5318
538.000000	76.582	-169.3878
545.000000	76.588	-169.2385
552.000000	76.602	-169.0909
560.000000	76.626	-168.9525
570.000000	76.655	-168.7813
580.000000	76.691	-168.6593
590.000000	76.728	-168.5992
600.000000	76.762	-168.5644
608.000000	76.782	-168.5962
615.000000	76.795	-168.6156
622.000000	76.809	-168.6296
630.000000	76.824	-168.6600
640.000000	76.837	-168.6688
650.000000	76.855	-168.6622
660.000000	76.869	-168.7095
670.000000	76.878	-168.7258
680.000000	76.887	-168.7394
690.000000	76.893	-168.7194
700.000000	76.906	-168.7455
710.000000	76.911	-168.8166
720.000000	76.909	-168.8479
730.000000	76.899	-168.7914
740.000000	76.904	-168.6236
750.000000	76.930	-168.5704
762.000000	76.946	-168.6503
775.000000	76.952	-168.7238
788.000000	76.949	-168.7936
800.000000	76.939	-168.8032
812.000000	76.930	-168.7702
825.000000	76.920	-168.6965
838.000000	76.918	-168.6555
850.000000	76.907	-168.6564
862.000000	76.888	-168.5897
875.000000	76.868	-168.3953
885.000000	76.860	-168.1978
900.000000	76.844	-167.8579
912.000000	76.845	-167.3269
