* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:44:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mich Sony MDR-XB500 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.151	-103.6968
20.299999	88.263	-104.7742
20.600000	88.369	-105.8427
20.900000	88.471	-106.9017
21.200001	88.568	-107.9473
21.400000	88.629	-108.6341
21.799999	88.748	-109.9830
22.000000	88.806	-110.6475
22.400000	88.918	-111.9673
22.700001	88.999	-112.9599
23.000000	89.075	-113.9600
23.299999	89.145	-114.9604
23.600000	89.207	-115.9474
24.000000	89.281	-117.2168
24.299999	89.332	-118.1204
24.700001	89.399	-119.2645
25.000000	89.451	-120.0949
25.400000	89.521	-121.1959
25.799999	89.590	-122.3098
26.200001	89.651	-123.4260
26.500000	89.691	-124.2438
26.900000	89.738	-125.2841
27.200001	89.773	-126.0219
27.600000	89.821	-126.9642
28.000000	89.874	-127.8966
28.500000	89.942	-129.0995
29.000000	89.999	-130.3505
29.500000	90.040	-131.6003
30.000000	90.067	-132.7916
30.400000	90.084	-133.6935
30.700001	90.094	-134.3493
31.100000	90.106	-135.2112
31.500000	90.112	-136.0614
32.000000	90.106	-137.0795
32.500000	90.089	-137.9915
33.000000	90.069	-138.7589
33.500000	90.055	-139.3944
34.000000	90.052	-139.9350
34.500000	90.062	-140.4022
35.000000	90.087	-140.8052
35.500000	90.134	-141.1835
36.000000	90.206	-141.6182
36.500000	90.294	-142.1887
37.000000	90.385	-142.9311
37.500000	90.467	-143.8318
38.200001	90.551	-145.2914
38.700001	90.581	-146.4082
39.500000	90.567	-148.0836
40.000000	90.535	-148.9243
40.599998	90.500	-149.6898
41.200001	90.491	-150.3015
41.799999	90.513	-150.9230
42.500000	90.563	-151.8299
43.099998	90.605	-152.8236
43.700001	90.628	-153.9766
44.400002	90.619	-155.3993
45.000000	90.584	-156.5999
45.500000	90.538	-157.5657
46.200001	90.446	-158.8353
46.799999	90.343	-159.7923
47.500000	90.205	-160.7009
48.200001	90.058	-161.3888
48.700001	89.951	-161.7539
49.400002	89.803	-162.0922
50.000000	89.684	-162.2454
50.799999	89.538	-162.3221
51.500000	89.417	-162.2912
52.200001	89.301	-162.1368
53.000000	89.184	-161.7942
53.799999	89.088	-161.3053
54.500000	89.023	-160.7793
55.200001	88.978	-160.1740
56.000000	88.952	-159.3967
57.000000	88.968	-158.3301
58.000000	89.048	-157.3075
59.000000	89.184	-156.5640
60.000000	89.338	-156.2854
60.799999	89.437	-156.3699
61.500000	89.491	-156.5137
62.200001	89.519	-156.5701
63.000000	89.541	-156.4287
64.000000	89.592	-155.9566
65.000000	89.697	-155.3378
66.000000	89.857	-154.8139
67.000000	90.051	-154.5272
68.000000	90.257	-154.4939
69.000000	90.461	-154.6793
70.000000	90.658	-155.0457
71.000000	90.843	-155.5474
72.000000	91.019	-156.1468
73.000000	91.187	-156.8431
74.000000	91.343	-157.6317
75.000000	91.485	-158.4750
76.199997	91.640	-159.5070
77.500000	91.795	-160.6470
78.800003	91.936	-161.8147
80.000000	92.057	-162.9232
81.199997	92.166	-164.0760
82.500000	92.271	-165.3465
83.800003	92.365	-166.6186
85.000000	92.445	-167.8023
86.199997	92.517	-168.9987
87.500000	92.584	-170.2939
88.500000	92.630	-171.2886
90.000000	92.689	-172.7949
91.199997	92.726	-174.0056
92.500000	92.755	-175.3138
93.800003	92.771	-176.6128
95.000000	92.775	-177.7845
96.199997	92.768	-178.9021
97.500000	92.753	179.9739
98.800003	92.740	178.9311
100.000000	92.734	178.0001
101.500000	92.732	176.8221
103.000000	92.731	175.5796
104.400002	92.719	174.3639
106.000000	92.686	172.9589
107.500000	92.637	171.6763
109.000000	92.575	170.4711
110.599998	92.503	169.2825
112.000000	92.442	168.2925
113.800003	92.365	167.0080
115.000000	92.306	166.1224
117.199997	92.162	164.4955
118.000000	92.094	163.9443
120.599998	91.832	162.5382
122.000000	91.679	162.1163
124.099998	91.474	161.9592
125.000000	91.407	162.0294
126.500000	91.332	162.2289
128.000000	91.302	162.3958
131.500000	91.327	162.1513
132.000000	91.332	162.0469
134.000000	91.345	161.5356
136.000000	91.344	160.9611
138.000000	91.338	160.4094
140.000000	91.340	159.8833
143.000000	91.369	158.9734
145.000000	91.393	158.1828
147.500000	91.400	157.0232
150.000000	91.372	155.8687
152.500000	91.327	154.8928
155.000000	91.298	154.1065
157.500000	91.306	153.3456
160.000000	91.348	152.4064
162.500000	91.403	151.1484
165.000000	91.442	149.5352
167.500000	91.437	147.6539
170.000000	91.375	145.6822
172.500000	91.260	143.8026
175.000000	91.108	142.1280
177.500000	90.940	140.6755
180.000000	90.768	139.3880
182.500000	90.599	138.1944
185.000000	90.430	137.0506
187.500000	90.256	135.9528
190.000000	90.074	134.9177
192.500000	89.887	133.9604
195.000000	89.695	133.0917
197.500000	89.503	132.3069
200.000000	89.311	131.5952
203.000000	89.081	130.8379
206.000000	88.850	130.1858
209.000000	88.623	129.6302
212.000000	88.401	129.1581
214.000000	88.257	128.8831
218.000000	87.971	128.4187
220.000000	87.831	128.2447
224.000000	87.565	128.0001
227.000000	87.381	127.8400
230.000000	87.204	127.6836
233.000000	87.031	127.5486
236.000000	86.862	127.4447
240.000000	86.648	127.3359
243.000000	86.497	127.2514
247.000000	86.300	127.1050
250.000000	86.155	126.9774
254.000000	85.962	126.7898
258.000000	85.765	126.5877
262.000000	85.558	126.4166
265.000000	85.399	126.3336
269.000000	85.190	126.2928
272.000000	85.037	126.3126
276.000000	84.838	126.3654
280.000000	84.641	126.4326
285.000000	84.395	126.6086
290.000000	84.161	126.8812
295.000000	83.944	127.1669
300.000000	83.736	127.4363
304.000000	83.572	127.6457
307.000000	83.450	127.8084
311.000000	83.288	128.0603
315.000000	83.133	128.3311
320.000000	82.947	128.6249
325.000000	82.758	128.8904
330.000000	82.562	129.2375
335.000000	82.377	129.6536
340.000000	82.201	130.0370
345.000000	82.027	130.4249
350.000000	81.857	130.8246
355.000000	81.688	131.1958
360.000000	81.514	131.5913
365.000000	81.343	132.0300
370.000000	81.174	132.4813
375.000000	81.001	132.9514
382.000000	80.759	133.7235
387.000000	80.598	134.3498
395.000000	80.368	135.3552
400.000000	80.233	135.9175
406.000000	80.068	136.5551
412.000000	79.898	137.1951
418.000000	79.723	137.8654
425.000000	79.519	138.7083
431.000000	79.345	139.4752
437.000000	79.175	140.2921
444.000000	78.984	141.2559
450.000000	78.818	142.1215
455.000000	78.681	142.8954
462.000000	78.498	144.0419
468.000000	78.350	145.0687
475.000000	78.185	146.3066
482.000000	78.028	147.5789
487.000000	77.922	148.5097
494.000000	77.779	149.8182
500.000000	77.660	151.0100
508.000000	77.523	152.7089
515.000000	77.427	154.2296
522.000000	77.352	155.7214
530.000000	77.288	157.3716
538.000000	77.247	158.9107
545.000000	77.217	160.1573
552.000000	77.192	161.3629
560.000000	77.173	162.6642
570.000000	77.156	164.1300
580.000000	77.139	165.4390
590.000000	77.109	166.6177
600.000000	77.061	167.7295
608.000000	77.007	168.6478
615.000000	76.957	169.5096
622.000000	76.910	170.4164
630.000000	76.860	171.4894
640.000000	76.805	172.8441
650.000000	76.758	174.2375
660.000000	76.731	175.6390
670.000000	76.721	176.9529
680.000000	76.718	178.1357
690.000000	76.708	179.2061
700.000000	76.686	-179.7749
710.000000	76.660	-178.8188
720.000000	76.626	-178.0266
730.000000	76.545	-177.4285
740.000000	76.380	-176.6376
750.000000	76.175	-175.2134
762.000000	75.968	-172.8209
775.000000	75.819	-169.6955
788.000000	75.789	-166.1759
800.000000	75.889	-162.9838
812.000000	76.081	-160.2451
825.000000	76.341	-157.9315
838.000000	76.608	-156.3843
850.000000	76.805	-155.5691
862.000000	76.918	-155.0459
875.000000	76.947	-154.4279
885.000000	76.919	-153.6986
900.000000	76.851	-152.0238
912.000000	76.812	-150.2643
925.000000	76.810	-148.0701
938.000000	76.849	-145.7936
950.000000	76.908	-143.6252
962.000000	76.996	-141.3674
975.000000	77.136	-138.8403
988.000000	77.325	-136.3964
1000.000000	77.528	-134.2752
1015.000000	77.817	-131.8210
1030.000000	78.135	-129.6267
1044.000000	78.444	-127.8843
1060.000000	78.784	-126.1562
1075.000000	79.098	-124.6517
1090.000000	79.416	-123.3882
1106.000000	79.699	-122.3584
1120.000000	79.871	-121.2935
1138.000000	80.077	-119.0427
1150.000000	80.284	-117.0498
1172.000000	80.872	-113.3186
1180.000000	81.141	-112.1561
1206.000000	82.107	-109.5665
1220.000000	82.634	-108.8701
1241.000000	83.406	-108.4431
1250.000000	83.731	-108.4851
1265.000000	84.251	-108.8578
1280.000000	84.738	-109.5160
1315.000000	85.751	-111.8702
1320.000000	85.879	-112.2838
1340.000000	86.349	-114.0143
1360.000000	86.762	-115.7923
1380.000000	87.125	-117.5524
1400.000000	87.452	-119.2364
1430.000000	87.900	-121.6223
1450.000000	88.182	-123.1536
1475.000000	88.510	-125.0229
1500.000000	88.846	-126.7292
1525.000000	89.211	-128.6593
1550.000000	89.554	-130.9858
1575.000000	89.845	-133.6091
1600.000000	90.074	-136.3487
1625.000000	90.248	-139.0862
1650.000000	90.375	-141.7711
1675.000000	90.456	-144.3734
1700.000000	90.496	-146.8384
1725.000000	90.501	-149.1419
1750.000000	90.478	-151.2509
1775.000000	90.434	-153.1628
1800.000000	90.370	-154.8722
1825.000000	90.290	-156.3372
1850.000000	90.203	-157.4738
1875.000000	90.142	-158.2250
1900.000000	90.152	-158.8104
1925.000000	90.223	-159.7175
1950.000000	90.280	-161.1019
1975.000000	90.282	-162.6551
2000.000000	90.238	-164.1136
2030.000000	90.152	-165.6264
2060.000000	90.051	-166.8632
2090.000000	89.954	-167.8515
2120.000000	89.874	-168.6839
2140.000000	89.831	-169.2196
2180.000000	89.749	-170.3106
2200.000000	89.704	-170.8307
2240.000000	89.614	-171.7515
2270.000000	89.551	-172.3830
2300.000000	89.487	-172.9706
2330.000000	89.422	-173.4564
2360.000000	89.366	-173.8185
2400.000000	89.327	-174.1843
2430.000000	89.326	-174.5351
2470.000000	89.329	-175.1883
2500.000000	89.322	-175.7027
2540.000000	89.318	-176.3031
2580.000000	89.341	-176.8689
2620.000000	89.397	-177.5746
2650.000000	89.451	-178.2464
2690.000000	89.533	-179.3467
2720.000000	89.600	179.6315
2760.000000	89.682	177.9511
2800.000000	89.736	175.9135
2850.000000	89.741	173.0136
2900.000000	89.682	169.8808
2950.000000	89.560	166.4848
3000.000000	89.367	162.8253
3040.000000	89.152	159.6764
3070.000000	88.945	157.1863
3110.000000	88.596	153.7306
3150.000000	88.149	150.1849
3200.000000	87.431	145.7809
3250.000000	86.514	141.6135
3300.000000	85.367	137.9318
3350.000000	83.939	135.1771
3400.000000	82.166	134.2053
3450.000000	79.967	136.8918
3500.000000	77.326	147.2514
3550.000000	74.921	169.2105
3600.000000	75.001	-162.6227
3650.000000	77.449	-141.5965
3700.000000	80.012	-132.5174
3750.000000	82.033	-131.4118
3820.000000	83.985	-135.7215
3870.000000	84.867	-140.3296
3950.000000	85.585	-147.9308
4000.000000	85.686	-152.1162
4060.000000	85.511	-156.0123
4120.000000	85.060	-157.8552
4180.000000	84.509	-156.5471
4250.000000	84.195	-151.7779
4310.000000	84.356	-146.9608
4370.000000	84.822	-142.7114
4440.000000	85.600	-139.0381
4500.000000	86.377	-137.0636
4550.000000	87.076	-136.2002
4620.000000	88.106	-136.2885
4680.000000	88.979	-137.7436
4750.000000	89.893	-140.9656
4820.000000	90.637	-145.2703
4870.000000	91.079	-148.6442
4940.000000	91.617	-153.6613
5000.000000	92.010	-158.4053
5080.000000	92.382	-165.5361
5150.000000	92.513	-172.2791
5220.000000	92.445	-179.0745
5300.000000	92.133	173.4875
5380.000000	91.563	166.9214
5450.000000	90.884	162.5740
5520.000000	90.142	159.8724
5600.000000	89.367	158.3016
5700.000000	88.571	157.3705
5800.000000	87.902	156.8762
5900.000000	87.283	156.7024
6000.000000	86.706	157.0616
6080.000000	86.304	157.5491
6150.000000	85.976	157.9432
6220.000000	85.644	158.3854
6300.000000	85.265	159.1051
6400.000000	84.821	160.2045
6500.000000	84.375	161.2925
6600.000000	83.863	162.8049
6700.000000	83.337	165.3635
6800.000000	82.910	168.8813
6900.000000	82.645	172.8752
7000.000000	82.541	176.7664
7100.000000	82.536	-179.7285
7200.000000	82.600	-176.5311
7300.000000	82.717	-173.7377
7400.000000	82.850	-171.2726
7500.000000	82.996	-168.9135
7620.000000	83.226	-166.1186
7750.000000	83.575	-163.3050
7880.000000	84.041	-160.9328
8000.000000	84.584	-159.3857
8120.000000	85.229	-158.8082
8250.000000	85.985	-159.6790
8380.000000	86.726	-162.2836
8500.000000	87.334	-166.3126
8620.000000	87.791	-171.8716
8750.000000	88.036	-179.3093
8850.000000	88.006	174.2800
9000.000000	87.541	164.3174
9120.000000	86.770	156.9961
9250.000000	85.553	150.9742
9380.000000	84.032	148.0120
9500.000000	82.499	148.5209
9620.000000	81.010	152.1674
9750.000000	79.663	158.9911
