* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:37:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mich Sony MDR-XB500 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.013	-118.8984
20.299999	90.091	-119.7779
20.600000	90.163	-120.6382
20.900000	90.231	-121.4743
21.200001	90.296	-122.2826
21.400000	90.338	-122.8071
21.799999	90.419	-123.8285
22.000000	90.458	-124.3298
22.400000	90.535	-125.3224
22.700001	90.589	-126.0617
23.000000	90.639	-126.7954
23.299999	90.686	-127.5188
23.600000	90.728	-128.2265
24.000000	90.778	-129.1374
24.299999	90.812	-129.7903
24.700001	90.855	-130.6149
25.000000	90.885	-131.1961
25.400000	90.926	-131.9218
25.799999	90.970	-132.5996
26.200001	91.019	-133.2486
26.500000	91.060	-133.7310
26.900000	91.117	-134.3832
27.200001	91.160	-134.8833
27.600000	91.216	-135.5609
28.000000	91.269	-136.2381
28.500000	91.332	-137.0658
29.000000	91.393	-137.8700
29.500000	91.455	-138.6659
30.000000	91.513	-139.4664
30.400000	91.556	-140.1056
30.700001	91.586	-140.5759
31.100000	91.621	-141.1766
31.500000	91.656	-141.7359
32.000000	91.703	-142.3780
32.500000	91.760	-142.9901
33.000000	91.827	-143.6301
33.500000	91.900	-144.3381
34.000000	91.972	-145.1182
34.500000	92.038	-145.9495
35.000000	92.100	-146.8171
35.500000	92.157	-147.7181
36.000000	92.208	-148.6504
36.500000	92.253	-149.6110
37.000000	92.292	-150.6126
37.500000	92.320	-151.6764
38.200001	92.322	-153.2201
38.700001	92.289	-154.2273
39.500000	92.215	-155.4135
40.000000	92.186	-155.9428
40.599998	92.177	-156.5514
41.200001	92.181	-157.2416
41.799999	92.185	-158.0007
42.500000	92.186	-158.9658
43.099998	92.176	-159.8958
43.700001	92.144	-160.8808
44.400002	92.073	-161.9719
45.000000	91.996	-162.7967
45.500000	91.925	-163.4162
46.200001	91.814	-164.1962
46.799999	91.708	-164.7679
47.500000	91.573	-165.2753
48.200001	91.434	-165.5695
48.700001	91.338	-165.6522
49.400002	91.217	-165.6401
50.000000	91.121	-165.5508
50.799999	90.999	-165.3059
51.500000	90.900	-164.9330
52.200001	90.816	-164.4145
53.000000	90.743	-163.6800
53.799999	90.699	-162.8134
54.500000	90.692	-161.9732
55.200001	90.719	-161.1312
56.000000	90.786	-160.2661
57.000000	90.904	-159.3610
58.000000	91.054	-158.6265
59.000000	91.229	-158.1062
60.000000	91.417	-157.8125
60.799999	91.569	-157.7144
61.500000	91.701	-157.7016
62.200001	91.834	-157.7477
63.000000	91.988	-157.8844
64.000000	92.179	-158.1922
65.000000	92.364	-158.6411
66.000000	92.542	-159.2146
67.000000	92.711	-159.8917
68.000000	92.869	-160.6504
69.000000	93.017	-161.4731
70.000000	93.155	-162.3583
71.000000	93.282	-163.2954
72.000000	93.396	-164.2636
73.000000	93.500	-165.2576
74.000000	93.594	-166.2780
75.000000	93.677	-167.3103
76.199997	93.766	-168.5544
77.500000	93.847	-169.8996
78.800003	93.917	-171.2281
80.000000	93.970	-172.4502
81.199997	94.011	-173.6363
82.500000	94.047	-174.8705
83.800003	94.076	-176.0664
85.000000	94.098	-177.1402
86.199997	94.118	-178.1857
87.500000	94.139	-179.3059
88.500000	94.154	179.8330
90.000000	94.172	178.5463
91.199997	94.181	177.5320
92.500000	94.189	176.4501
93.800003	94.196	175.3584
95.000000	94.199	174.3391
96.199997	94.200	173.3118
97.500000	94.197	172.1812
98.800003	94.190	171.0242
100.000000	94.177	169.9395
101.500000	94.151	168.5583
103.000000	94.112	167.1330
104.400002	94.059	165.7875
106.000000	93.978	164.2736
107.500000	93.886	162.9015
109.000000	93.778	161.6009
110.599998	93.647	160.2880
112.000000	93.518	159.1954
113.800003	93.326	157.9047
115.000000	93.183	157.1467
117.199997	92.897	156.0571
118.000000	92.788	155.7811
120.599998	92.434	155.4137
122.000000	92.262	155.5505
124.099998	92.056	156.0741
125.000000	91.992	156.3658
126.500000	91.917	156.8618
128.000000	91.876	157.3066
131.500000	91.860	158.0467
132.000000	91.864	158.1202
134.000000	91.892	158.3403
136.000000	91.940	158.4348
138.000000	92.008	158.3917
140.000000	92.095	158.1786
143.000000	92.240	157.4467
145.000000	92.325	156.6573
147.500000	92.396	155.4443
150.000000	92.429	154.1763
152.500000	92.438	152.9842
155.000000	92.441	151.8906
157.500000	92.457	150.8340
160.000000	92.495	149.6925
162.500000	92.551	148.2912
165.000000	92.593	146.5086
167.500000	92.584	144.4153
170.000000	92.506	142.2349
172.500000	92.369	140.1631
175.000000	92.188	138.2911
177.500000	91.977	136.6492
180.000000	91.749	135.2535
182.500000	91.517	134.0760
185.000000	91.289	133.0618
187.500000	91.066	132.1844
190.000000	90.849	131.4304
192.500000	90.639	130.7763
195.000000	90.437	130.1954
197.500000	90.241	129.6775
200.000000	90.048	129.2070
203.000000	89.823	128.6841
206.000000	89.608	128.2072
209.000000	89.401	127.7799
212.000000	89.201	127.3707
214.000000	89.072	127.1041
218.000000	88.812	126.6416
220.000000	88.676	126.4493
224.000000	88.401	126.0616
227.000000	88.202	125.7804
230.000000	88.005	125.5625
233.000000	87.806	125.3934
236.000000	87.605	125.2798
240.000000	87.341	125.2570
243.000000	87.150	125.3023
247.000000	86.909	125.4203
250.000000	86.739	125.5434
254.000000	86.526	125.7162
258.000000	86.325	125.8651
262.000000	86.125	125.9667
265.000000	85.973	126.0315
269.000000	85.770	126.1266
272.000000	85.619	126.2116
276.000000	85.418	126.3271
280.000000	85.212	126.4789
285.000000	84.953	126.7925
290.000000	84.695	127.2088
295.000000	84.451	127.6847
300.000000	84.220	128.1565
304.000000	84.035	128.5269
307.000000	83.889	128.8350
311.000000	83.692	129.3373
315.000000	83.505	129.9519
320.000000	83.294	130.7854
325.000000	83.098	131.5963
330.000000	82.912	132.4094
335.000000	82.735	133.2172
340.000000	82.560	134.0409
345.000000	82.389	134.9183
350.000000	82.230	135.8149
355.000000	82.079	136.7010
360.000000	81.930	137.6128
365.000000	81.788	138.5862
370.000000	81.657	139.5793
375.000000	81.535	140.5497
382.000000	81.371	141.9844
387.000000	81.271	143.0901
395.000000	81.150	144.8153
400.000000	81.089	145.8418
406.000000	81.027	147.0183
412.000000	80.971	148.1381
418.000000	80.923	149.2757
425.000000	80.894	150.6394
431.000000	80.899	151.7648
437.000000	80.940	152.7800
444.000000	81.027	153.5872
450.000000	81.099	153.8708
455.000000	81.136	153.8831
462.000000	81.144	153.7128
468.000000	81.115	153.5263
475.000000	81.051	153.3399
482.000000	80.968	153.1778
487.000000	80.896	153.0574
494.000000	80.773	152.9041
500.000000	80.647	152.8503
508.000000	80.465	152.9280
515.000000	80.297	153.1166
522.000000	80.124	153.3708
530.000000	79.922	153.7297
538.000000	79.713	154.1722
545.000000	79.526	154.5907
552.000000	79.326	155.0293
560.000000	79.079	155.6138
570.000000	78.743	156.5818
580.000000	78.387	157.8673
590.000000	78.022	159.5691
600.000000	77.668	161.7089
608.000000	77.403	163.7315
615.000000	77.195	165.7040
622.000000	77.014	167.8398
630.000000	76.847	170.4054
640.000000	76.700	173.6967
650.000000	76.617	176.9967
660.000000	76.585	-179.7922
670.000000	76.599	-176.7164
680.000000	76.638	-173.8007
690.000000	76.689	-170.9410
700.000000	76.764	-168.0911
710.000000	76.873	-165.2372
720.000000	77.026	-162.4409
730.000000	77.220	-159.8581
740.000000	77.424	-157.5540
750.000000	77.623	-155.3100
762.000000	77.893	-152.5193
775.000000	78.269	-149.5743
788.000000	78.741	-147.0330
800.000000	79.243	-145.3365
812.000000	79.767	-144.4182
825.000000	80.326	-144.3948
838.000000	80.809	-145.4780
850.000000	81.117	-147.2870
862.000000	81.246	-149.4065
875.000000	81.189	-151.3401
885.000000	81.044	-152.1746
900.000000	80.775	-152.1217
912.000000	80.600	-151.2729
925.000000	80.465	-150.0068
938.000000	80.343	-148.5414
950.000000	80.233	-146.7532
962.000000	80.175	-144.4653
975.000000	80.210	-141.7143
988.000000	80.344	-139.0261
1000.000000	80.520	-136.7788
1015.000000	80.774	-134.1648
1030.000000	81.094	-131.5615
1044.000000	81.486	-129.4222
1060.000000	81.990	-127.7673
1075.000000	82.458	-126.9913
1090.000000	82.885	-126.9080
1106.000000	83.240	-127.4166
1120.000000	83.436	-128.0121
1138.000000	83.538	-128.2671
1150.000000	83.561	-127.7763
1172.000000	83.694	-125.5032
1180.000000	83.805	-124.4411
1206.000000	84.388	-121.3090
1220.000000	84.787	-120.2155
1241.000000	85.387	-119.3988
1250.000000	85.634	-119.2342
1265.000000	86.042	-119.1115
1280.000000	86.449	-119.2253
1315.000000	87.336	-120.3687
1320.000000	87.456	-120.6118
1340.000000	87.908	-121.8251
1360.000000	88.297	-123.2562
1380.000000	88.636	-124.7286
1400.000000	88.921	-126.1932
1430.000000	89.306	-127.9276
1450.000000	89.579	-129.0160
1475.000000	89.910	-130.4493
1500.000000	90.245	-131.8493
1525.000000	90.603	-133.4145
1550.000000	90.955	-135.3604
1575.000000	91.272	-137.6052
1600.000000	91.548	-140.1107
1625.000000	91.764	-142.7883
1650.000000	91.921	-145.5073
1675.000000	92.022	-148.1943
1700.000000	92.072	-150.7613
1725.000000	92.080	-153.1580
1750.000000	92.055	-155.3667
1775.000000	92.001	-157.3940
1800.000000	91.916	-159.1969
1825.000000	91.807	-160.7046
1850.000000	91.685	-161.8022
1875.000000	91.590	-162.4443
1900.000000	91.564	-162.8584
1925.000000	91.603	-163.4604
1950.000000	91.650	-164.4198
1975.000000	91.670	-165.5320
2000.000000	91.671	-166.6417
2030.000000	91.655	-167.9633
2060.000000	91.618	-169.2405
2090.000000	91.563	-170.3753
2120.000000	91.512	-171.3594
2140.000000	91.484	-171.9992
2180.000000	91.420	-173.3056
2200.000000	91.379	-173.9241
2240.000000	91.293	-175.0135
2270.000000	91.230	-175.7615
2300.000000	91.161	-176.4455
2330.000000	91.091	-177.0016
2360.000000	91.032	-177.4384
2400.000000	90.976	-177.9412
2430.000000	90.948	-178.3031
2470.000000	90.926	-178.7623
2500.000000	90.923	-179.0963
2540.000000	90.939	-179.5366
2580.000000	90.988	179.9682
2620.000000	91.068	179.3127
2650.000000	91.145	178.6631
2690.000000	91.263	177.5355
2720.000000	91.359	176.4394
2760.000000	91.480	174.5641
2800.000000	91.563	172.2144
2850.000000	91.579	168.8225
2900.000000	91.498	165.1428
2950.000000	91.311	161.2531
3000.000000	91.015	157.3598
3040.000000	90.709	154.2675
3070.000000	90.438	151.9422
3110.000000	90.013	148.8354
3150.000000	89.505	145.7542
3200.000000	88.734	142.0106
3250.000000	87.782	138.5099
3300.000000	86.602	135.4863
3350.000000	85.129	133.4289
3400.000000	83.268	133.4935
3450.000000	80.924	138.3949
3500.000000	78.192	153.0779
3550.000000	76.384	179.8303
3600.000000	77.802	-151.3233
3650.000000	80.770	-133.3662
3700.000000	83.444	-127.1189
3750.000000	85.561	-127.5416
3820.000000	87.733	-133.0819
3870.000000	88.818	-138.6250
3950.000000	89.880	-148.3687
4000.000000	90.177	-154.3013
4060.000000	90.207	-160.6431
4120.000000	89.918	-165.3881
4180.000000	89.427	-167.4173
4250.000000	88.985	-166.1654
4310.000000	88.980	-163.5212
4370.000000	89.341	-161.0867
4440.000000	90.040	-159.8664
4500.000000	90.707	-160.4785
4550.000000	91.245	-162.0050
4620.000000	91.923	-165.4770
4680.000000	92.383	-169.5562
4750.000000	92.713	-175.1593
4820.000000	92.805	179.0618
4870.000000	92.747	175.1991
4940.000000	92.546	170.4266
5000.000000	92.307	166.9470
5080.000000	91.942	163.0563
5150.000000	91.608	160.1868
5220.000000	91.267	157.6115
5300.000000	90.846	154.9217
5380.000000	90.366	152.6386
5450.000000	89.895	151.2114
5520.000000	89.407	150.5311
5600.000000	88.897	150.6028
5700.000000	88.397	151.4213
5800.000000	88.052	152.3234
5900.000000	87.769	152.8638
6000.000000	87.470	153.4520
6080.000000	87.254	154.1588
6150.000000	87.095	154.7716
6220.000000	86.942	155.3140
6300.000000	86.758	155.9674
6400.000000	86.520	157.0233
6500.000000	86.297	158.4196
6600.000000	86.113	160.1742
6700.000000	85.992	162.1974
6800.000000	85.942	164.3463
