* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:17:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nectar Ambrosia Rag L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 70.739 80.4770
20.299999 70.865 79.9393
20.600000 70.984 79.3849
20.900000 71.094 78.8333
21.200001 71.197 78.2980
21.400000 71.264 77.9536
21.799999 71.393 77.2953
22.000000 71.457 76.9796
22.400000 71.586 76.3638
22.700001 71.684 75.8985
23.000000 71.782 75.4125
23.299999 71.876 74.9035
23.600000 71.965 74.3871
24.000000 72.073 73.7314
24.299999 72.151 73.2995
24.700001 72.260 72.8122
25.000000 72.352 72.4796
25.400000 72.488 72.0072
25.799999 72.628 71.4433
26.200001 72.759 70.8076
26.500000 72.849 70.3317
26.900000 72.962 69.7463
27.200001 73.048 69.3423
27.600000 73.166 68.8043
28.000000 73.282 68.2118
28.500000 73.406 67.4207
29.000000 73.503 66.7410
29.500000 73.598 66.2781
30.000000 73.720 65.9138
30.400000 73.834 65.5464
30.700001 73.922 65.1878
31.100000 74.030 64.6223
31.500000 74.126 64.0148
32.000000 74.234 63.2634
32.500000 74.338 62.5218
33.000000 74.436 61.7711
33.500000 74.527 61.0352
34.000000 74.617 60.3489
34.500000 74.709 59.7038
35.000000 74.804 59.0752
35.500000 74.899 58.4682
36.000000 74.993 57.9041
36.500000 75.088 57.3822
37.000000 75.185 56.8942
37.500000 75.282 56.4501
38.200001 75.431 55.8687
38.700001 75.547 55.3650
39.500000 75.700 54.2682
40.000000 75.755 53.5803
40.599998 75.804 52.9619
41.200001 75.874 52.4539
41.799999 75.958 51.7937
42.500000 76.025 50.8468
43.099998 76.057 50.1580
43.700001 76.103 49.6223
44.400002 76.185 48.9504
45.000000 76.255 48.2514
45.500000 76.301 47.6762
46.200001 76.362 47.0014
46.799999 76.429 46.5068
47.500000 76.522 45.8528
48.200001 76.601 45.0444
48.700001 76.633 44.4732
49.400002 76.659 43.8888
50.000000 76.700 43.5717
50.799999 76.799 43.0504
51.500000 76.889 42.3018
52.200001 76.950 41.4032
53.000000 76.988 40.4298
53.799999 77.018 39.6483
54.500000 77.063 39.0471
55.200001 77.118 38.3575
56.000000 77.157 37.5036
57.000000 77.179 36.6735
58.000000 77.218 36.0229
59.000000 77.266 35.3082
60.000000 77.300 34.4543
60.799999 77.305 33.8014
61.500000 77.316 33.3357
62.200001 77.347 32.8465
63.000000 77.390 32.1303
64.000000 77.424 31.1462
65.000000 77.442 30.2307
66.000000 77.444 29.5067
67.000000 77.462 29.0331
68.000000 77.498 28.5291
69.000000 77.516 28.0235
70.000000 77.541 27.6091
71.000000 77.575 27.0391
72.000000 77.584 26.3251
73.000000 77.574 25.6681
74.000000 77.567 25.0724
75.000000 77.562 24.4894
76.199997 77.558 23.8282
77.500000 77.552 23.1647
78.800003 77.543 22.5911
80.000000 77.537 22.1237
81.199997 77.537 21.6848
82.500000 77.544 21.1432
83.800003 77.542 20.5480
85.000000 77.538 20.0534
86.199997 77.540 19.5853
87.500000 77.545 19.0732
88.500000 77.545 18.6942
90.000000 77.544 18.1685
91.199997 77.545 17.7618
92.500000 77.546 17.3129
93.800003 77.548 16.8354
95.000000 77.546 16.3778
96.199997 77.538 15.9460
97.500000 77.532 15.5287
98.800003 77.531 15.1082
100.000000 77.528 14.7022
101.500000 77.520 14.1691
103.000000 77.506 13.6349
104.400002 77.491 13.1681
106.000000 77.477 12.6548
107.500000 77.462 12.1811
109.000000 77.444 11.7312
110.599998 77.419 11.2632
112.000000 77.392 10.8826
113.800003 77.357 10.4008
115.000000 77.332 10.0913
117.199997 77.291 9.5562
118.000000 77.277 9.3730
120.599998 77.235 8.8195
122.000000 77.209 8.5366
124.099998 77.163 8.1278
125.000000 77.142 7.9480
126.500000 77.108 7.6333
128.000000 77.077 7.2882
131.500000 77.000 6.5231
132.000000 76.988 6.4453
134.000000 76.940 6.2137
136.000000 76.889 6.0328
138.000000 76.834 5.8680
140.000000 76.784 5.6857
143.000000 76.711 5.3846
145.000000 76.664 5.2228
147.500000 76.605 5.0471
150.000000 76.540 4.9164
152.500000 76.476 4.8146
155.000000 76.412 4.7539
157.500000 76.355 4.7263
160.000000 76.298 4.7028
162.500000 76.239 4.7244
165.000000 76.181 4.8300
167.500000 76.124 5.0070
170.000000 76.064 5.3225
172.500000 76.018 5.7949
175.000000 76.001 6.3622
177.500000 76.022 6.8631
180.000000 76.068 7.1741
182.500000 76.125 7.3101
185.000000 76.181 7.2802
187.500000 76.220 7.1509
190.000000 76.244 6.9808
192.500000 76.260 6.8206
195.000000 76.270 6.6784
197.500000 76.270 6.5198
200.000000 76.264 6.3468
203.000000 76.256 6.1465
206.000000 76.246 6.0045
209.000000 76.230 5.8618
212.000000 76.212 5.7242
214.000000 76.205 5.6617
218.000000 76.194 5.6140
220.000000 76.183 5.6036
224.000000 76.156 5.6152
227.000000 76.134 5.6343
230.000000 76.114 5.6754
233.000000 76.099 5.6829
236.000000 76.079 5.7258
240.000000 76.059 5.8809
243.000000 76.051 5.9454
247.000000 76.045 5.9545
250.000000 76.047 5.9411
254.000000 76.057 5.9549
258.000000 76.063 5.9274
262.000000 76.055 5.8373
265.000000 76.041 5.8556
269.000000 76.020 5.9425
272.000000 76.012 5.9681
276.000000 76.012 5.9832
280.000000 76.009 6.0511
285.000000 76.011 6.1177
290.000000 76.007 6.1699
295.000000 75.991 6.3057
300.000000 75.975 6.3942
304.000000 75.967 6.4264
307.000000 75.971 6.4611
311.000000 75.983 6.5231
315.000000 75.990 6.5970
320.000000 75.997 6.7095
325.000000 76.002 6.8309
330.000000 76.003 6.9441
335.000000 75.997 7.0071
340.000000 75.995 7.0396
345.000000 75.994 7.0917
350.000000 75.989 7.1674
355.000000 75.982 7.2273
360.000000 75.982 7.3655
365.000000 75.995 7.5605
370.000000 76.004 7.6799
375.000000 76.003 7.7917
382.000000 76.015 8.0200
387.000000 76.030 8.1812
395.000000 76.060 8.4940
400.000000 76.090 8.6370
406.000000 76.124 8.7194
412.000000 76.152 8.7219
418.000000 76.172 8.6987
425.000000 76.189 8.7479
431.000000 76.207 8.8197
437.000000 76.231 8.8730
444.000000 76.264 8.9260
450.000000 76.293 8.9479
455.000000 76.317 8.9640
462.000000 76.356 8.9744
468.000000 76.392 8.9240
475.000000 76.421 8.8019
482.000000 76.433 8.7234
487.000000 76.446 8.7302
494.000000 76.485 8.6864
500.000000 76.516 8.5583
508.000000 76.539 8.3772
515.000000 76.549 8.2738
522.000000 76.563 8.2318
530.000000 76.578 8.1663
538.000000 76.589 8.0445
545.000000 76.604 7.9583
552.000000 76.627 7.9021
560.000000 76.659 7.7911
570.000000 76.688 7.5844
580.000000 76.716 7.3732
590.000000 76.745 7.1489
600.000000 76.771 6.8414
608.000000 76.781 6.5392
615.000000 76.781 6.2543
622.000000 76.773 5.9902
630.000000 76.755 5.7621
640.000000 76.730 5.6210
650.000000 76.739 5.5072
660.000000 76.757 5.1873
670.000000 76.742 4.8546
680.000000 76.726 4.6511
690.000000 76.718 4.4276
700.000000 76.715 4.1543
710.000000 76.705 3.8074
720.000000 76.682 3.4263
730.000000 76.655 3.0129
740.000000 76.611 2.6399
750.000000 76.550 2.3846
762.000000 76.485 2.2430
775.000000 76.431 2.1272
788.000000 76.382 2.0279
800.000000 76.349 1.8992
812.000000 76.319 1.6967
825.000000 76.282 1.4202
838.000000 76.238 1.1602
850.000000 76.205 0.8519
862.000000 76.164 0.4028
875.000000 76.096 -0.1643
885.000000 76.027 -0.6428
900.000000 75.878 -1.3270
912.000000 75.745 -1.6650
925.000000 75.592 -2.0636
938.000000 75.398 -2.3608
950.000000 75.196 -2.4003
962.000000 74.976 -2.1777
975.000000 74.738 -1.5421
988.000000 74.534 -0.5539
1000.000000 74.388 0.5797
1015.000000 74.290 2.0289
1030.000000 74.238 3.1501
1044.000000 74.185 4.0723
1060.000000 74.145 5.0148
1075.000000 74.092 5.7524
1090.000000 74.028 6.6334
1106.000000 73.978 7.6531
1120.000000 73.942 8.6780
1138.000000 73.975 10.0772
1150.000000 74.026 10.6545
1172.000000 74.067 11.2432
1180.000000 74.066 11.4280
1206.000000 74.029 12.1423
1220.000000 73.987 12.7681
1241.000000 73.956 13.9962
1250.000000 73.976 14.5157
1265.000000 74.038 15.1582
1280.000000 74.104 15.6270
1315.000000 74.223 16.0192
1320.000000 74.221 15.9974
1340.000000 74.158 16.1467
1360.000000 74.074 16.8123
1380.000000 74.050 17.8896
1400.000000 74.134 18.6371
1430.000000 74.137 18.5330
1450.000000 74.009 18.9238
1475.000000 73.949 20.5270
1500.000000 74.032 21.4119
1525.000000 74.021 21.8093
1550.000000 73.948 22.5402
1575.000000 73.911 23.6531
1600.000000 73.907 24.7268
1625.000000 73.887 25.7570
1650.000000 73.874 26.9949
1675.000000 73.889 28.1779
1700.000000 73.877 29.1823
1725.000000 73.842 30.8083
1750.000000 73.927 32.5097
1775.000000 73.964 33.6585
1800.000000 73.959 35.4734
1825.000000 74.070 37.7166
1850.000000 74.267 39.5942
1875.000000 74.478 41.1951
1900.000000 74.728 42.5947
1925.000000 74.973 43.4848
1950.000000 75.137 44.4160
1975.000000 75.345 45.9130
2000.000000 75.653 47.1501
2030.000000 75.988 48.0722
2060.000000 76.355 49.1136
2090.000000 76.772 49.5531
2120.000000 77.137 49.5620
2140.000000 77.363 49.5353
2180.000000 77.817 49.3751
2200.000000 78.040 49.1507
2240.000000 78.458 48.4577
2270.000000 78.740 47.8302
2300.000000 79.015 47.2851
2330.000000 79.306 46.5854
2360.000000 79.549 45.6993
2400.000000 79.888 44.7175
2430.000000 80.103 43.5393
2470.000000 80.335 42.7915
2500.000000 80.613 42.2022
2540.000000 80.942 40.7621
2580.000000 81.256 39.0936
2620.000000 81.471 37.3212
2650.000000 81.654 36.3477
2690.000000 81.914 34.7028
2720.000000 82.096 33.4143
2760.000000 82.331 31.5101
2800.000000 82.524 29.5320
2850.000000 82.782 27.1675
2900.000000 83.008 24.3242
2950.000000 83.196 21.4663
3000.000000 83.373 18.2573
3040.000000 83.417 15.4695
3070.000000 83.430 13.6969
3110.000000 83.479 11.2157
3150.000000 83.474 8.4663
3200.000000 83.406 5.1405
3250.000000 83.269 1.8550
3300.000000 83.058 -1.1617
3350.000000 82.806 -3.8461
3400.000000 82.505 -6.1986
3450.000000 82.188 -8.0896
3500.000000 81.878 -9.7147
3550.000000 81.561 -11.2196
3600.000000 81.227 -12.6252
3650.000000 80.835 -13.7745
3700.000000 80.427 -14.3763
3750.000000 80.030 -14.6594
3820.000000 79.466 -14.4243
3870.000000 79.085 -13.7153
3950.000000 78.586 -12.0508
4000.000000 78.311 -10.9707
4060.000000 77.995 -9.4301
4120.000000 77.714 -7.5834
4180.000000 77.488 -5.5262
4250.000000 77.285 -3.0876
4310.000000 77.138 -0.9404
4370.000000 77.019 1.4415
4440.000000 76.959 4.4755
4500.000000 76.984 7.0509
4550.000000 77.044 9.1098
4620.000000 77.186 11.8823
4680.000000 77.362 14.1060
4750.000000 77.619 16.4692
4820.000000 77.932 18.6223
4870.000000 78.199 19.9976
4940.000000 78.629 21.5357
5000.000000 79.029 22.4708
5080.000000 79.616 23.2682
5150.000000 80.203 23.4485
5220.000000 80.867 22.8319
5300.000000 81.661 20.7417
5380.000000 82.453 17.0190
5450.000000 83.065 12.0041
5520.000000 83.496 5.4435
5600.000000 83.675 -3.5417
5700.000000 83.277 -15.4102
5800.000000 82.222 -25.3447
5900.000000 80.741 -31.6028
6000.000000 79.115 -34.2507
6080.000000 77.816 -33.9705
6150.000000 76.749 -32.1419
6220.000000 75.799 -29.0396
6300.000000 74.911 -24.2468
6400.000000 74.187 -16.8386
6500.000000 74.039 -8.9973
6600.000000 74.458 -2.8820
6700.000000 75.079 -0.1744
