* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 4:57:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nectar Ambrosia Rag R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 71.364 75.3748
20.299999 71.479 74.9121
20.600000 71.593 74.4501
20.900000 71.705 73.9878
21.200001 71.817 73.5220
21.400000 71.891 73.2070
21.799999 72.035 72.5646
22.000000 72.105 72.2376
22.400000 72.241 71.5760
22.700001 72.338 71.0790
23.000000 72.433 70.5858
23.299999 72.524 70.0970
23.600000 72.613 69.6117
24.000000 72.727 68.9689
24.299999 72.809 68.4910
24.700001 72.914 67.8661
25.000000 72.989 67.4135
25.400000 73.086 66.8394
25.799999 73.184 66.3018
26.200001 73.283 65.7916
26.500000 73.361 65.4140
26.900000 73.468 64.8976
27.200001 73.550 64.4892
27.600000 73.656 63.9132
28.000000 73.756 63.3187
28.500000 73.872 62.5982
29.000000 73.986 61.9406
29.500000 74.104 61.3241
30.000000 74.228 60.6889
30.400000 74.325 60.1485
30.700001 74.395 59.7333
31.100000 74.483 59.1891
31.500000 74.568 58.6682
32.000000 74.674 58.0360
32.500000 74.780 57.3851
33.000000 74.880 56.6991
33.500000 74.970 56.0070
34.000000 75.051 55.3427
34.500000 75.131 54.7010
35.000000 75.208 54.0518
35.500000 75.280 53.3828
36.000000 75.344 52.7197
36.500000 75.401 52.0964
37.000000 75.460 51.5185
37.500000 75.524 50.9564
38.200001 75.620 50.1243
38.700001 75.686 49.4812
39.500000 75.777 48.4301
40.000000 75.824 47.8068
40.599998 75.877 47.1103
41.200001 75.928 46.4488
41.799999 75.975 45.8040
42.500000 76.018 45.0958
43.099998 76.048 44.5635
43.700001 76.079 44.0968
44.400002 76.120 43.5860
45.000000 76.156 43.1434
45.500000 76.186 42.7700
46.200001 76.227 42.2510
46.799999 76.264 41.8096
47.500000 76.312 41.2763
48.200001 76.361 40.6981
48.700001 76.394 40.2612
49.400002 76.435 39.6433
50.000000 76.465 39.1240
50.799999 76.494 38.4692
51.500000 76.510 37.9926
52.200001 76.529 37.6352
53.000000 76.564 37.2680
53.799999 76.602 36.8355
54.500000 76.625 36.4443
55.200001 76.645 36.0903
56.000000 76.673 35.6972
57.000000 76.717 35.1291
58.000000 76.757 34.4756
59.000000 76.794 33.8517
60.000000 76.844 33.2760
60.799999 76.892 32.7976
61.500000 76.933 32.3728
62.200001 76.971 31.9666
63.000000 77.011 31.5432
64.000000 77.056 31.0646
65.000000 77.093 30.6369
66.000000 77.131 30.2846
67.000000 77.179 29.8594
68.000000 77.215 29.3174
69.000000 77.243 28.7888
70.000000 77.274 28.2266
71.000000 77.300 27.6466
72.000000 77.327 27.1075
73.000000 77.355 26.5906
74.000000 77.384 26.1009
75.000000 77.412 25.6325
76.199997 77.442 25.0868
77.500000 77.472 24.5025
78.800003 77.496 23.9109
80.000000 77.514 23.3694
81.199997 77.529 22.8480
82.500000 77.550 22.2899
83.800003 77.570 21.6801
85.000000 77.581 21.1035
86.199997 77.587 20.5447
87.500000 77.591 19.9807
88.500000 77.597 19.5772
90.000000 77.607 18.9818
91.199997 77.611 18.5188
92.500000 77.608 18.0333
93.800003 77.597 17.5844
95.000000 77.586 17.2120
96.199997 77.579 16.8328
97.500000 77.572 16.4023
98.800003 77.566 15.9855
100.000000 77.562 15.6286
101.500000 77.560 15.2157
103.000000 77.559 14.8286
104.400002 77.558 14.4644
106.000000 77.558 14.0157
107.500000 77.554 13.5528
109.000000 77.546 13.0873
110.599998 77.533 12.6257
112.000000 77.521 12.2673
113.800003 77.508 11.7952
115.000000 77.494 11.4683
117.199997 77.461 10.8826
118.000000 77.447 10.6909
120.599998 77.410 10.1071
122.000000 77.388 9.7865
124.099998 77.351 9.3204
125.000000 77.334 9.1284
126.500000 77.304 8.8208
128.000000 77.270 8.5287
131.500000 77.180 7.9994
132.000000 77.167 7.9409
134.000000 77.119 7.7336
136.000000 77.076 7.5414
138.000000 77.036 7.3539
140.000000 76.996 7.1911
143.000000 76.944 6.9908
145.000000 76.916 6.8649
147.500000 76.883 6.7378
150.000000 76.855 6.6357
152.500000 76.829 6.4991
155.000000 76.806 6.3146
157.500000 76.785 6.1071
160.000000 76.758 5.9233
162.500000 76.720 5.7993
165.000000 76.676 5.7139
167.500000 76.637 5.6133
170.000000 76.610 5.5081
172.500000 76.591 5.4241
175.000000 76.572 5.3444
177.500000 76.548 5.2367
180.000000 76.520 5.1207
182.500000 76.492 5.0347
185.000000 76.465 4.9504
187.500000 76.436 4.8439
190.000000 76.407 4.7126
192.500000 76.375 4.5544
195.000000 76.336 4.4148
197.500000 76.293 4.3281
200.000000 76.246 4.2853
203.000000 76.186 4.2690
206.000000 76.129 4.2819
209.000000 76.078 4.3209
212.000000 76.030 4.3505
214.000000 75.995 4.3544
218.000000 75.916 4.3602
220.000000 75.870 4.3937
224.000000 75.766 4.5608
227.000000 75.686 4.7903
230.000000 75.607 5.0958
233.000000 75.527 5.4817
236.000000 75.442 5.9377
240.000000 75.326 6.7111
243.000000 75.255 7.4706
247.000000 75.198 8.6284
250.000000 75.183 9.5691
254.000000 75.196 10.8864
258.000000 75.242 12.1909
262.000000 75.329 13.4312
265.000000 75.421 14.2517
269.000000 75.568 15.1660
272.000000 75.696 15.7076
276.000000 75.878 16.1844
280.000000 76.052 16.3945
285.000000 76.246 16.3651
290.000000 76.411 16.1620
295.000000 76.549 15.8134
300.000000 76.670 15.3784
304.000000 76.755 14.9926
307.000000 76.810 14.6850
311.000000 76.871 14.3102
315.000000 76.922 14.0165
320.000000 76.977 13.6530
325.000000 77.019 13.2531
330.000000 77.056 12.9097
335.000000 77.091 12.6179
340.000000 77.120 12.3749
345.000000 77.147 12.1318
350.000000 77.164 11.8323
355.000000 77.173 11.5205
360.000000 77.185 11.2653
365.000000 77.203 11.0308
370.000000 77.211 10.8318
375.000000 77.211 10.6754
382.000000 77.221 10.4518
387.000000 77.231 10.3273
395.000000 77.242 10.2371
400.000000 77.258 10.1831
406.000000 77.293 10.0608
412.000000 77.318 9.8828
418.000000 77.331 9.6569
425.000000 77.348 9.4838
431.000000 77.361 9.3549
437.000000 77.368 9.1931
444.000000 77.374 9.0668
450.000000 77.382 8.9698
455.000000 77.390 8.9065
462.000000 77.407 8.8702
468.000000 77.429 8.8419
475.000000 77.460 8.7723
482.000000 77.496 8.6432
487.000000 77.523 8.5118
494.000000 77.550 8.2810
500.000000 77.562 8.1162
508.000000 77.593 7.9526
515.000000 77.634 7.7117
522.000000 77.661 7.4575
530.000000 77.688 7.2267
538.000000 77.723 6.8839
545.000000 77.744 6.5052
552.000000 77.752 6.1423
560.000000 77.757 5.7784
570.000000 77.764 5.3925
580.000000 77.777 5.0171
590.000000 77.793 4.5529
600.000000 77.801 4.0721
608.000000 77.800 3.7145
615.000000 77.802 3.4068
622.000000 77.806 3.0261
630.000000 77.795 2.5378
640.000000 77.770 2.0975
650.000000 77.768 1.6890
660.000000 77.764 1.1407
670.000000 77.736 0.5338
680.000000 77.698 0.0004
690.000000 77.658 -0.4799
700.000000 77.623 -0.9684
710.000000 77.590 -1.4811
720.000000 77.554 -2.0406
730.000000 77.497 -2.6875
740.000000 77.414 -3.2957
750.000000 77.328 -3.8007
762.000000 77.221 -4.3467
775.000000 77.094 -4.8008
788.000000 76.978 -5.1631
800.000000 76.864 -5.5630
812.000000 76.739 -5.9025
825.000000 76.605 -6.1448
838.000000 76.491 -6.3356
850.000000 76.377 -6.7259
862.000000 76.217 -7.0651
875.000000 76.026 -7.1481
885.000000 75.884 -7.0688
900.000000 75.699 -6.7484
912.000000 75.593 -6.3860
925.000000 75.520 -5.9591
938.000000 75.460 -5.8077
950.000000 75.379 -6.0365
962.000000 75.261 -6.3962
975.000000 75.081 -6.7762
988.000000 74.854 -6.8313
1000.000000 74.624 -6.5056
1015.000000 74.352 -5.5003
1030.000000 74.131 -4.2013
1044.000000 74.005 -2.8887
1060.000000 73.928 -1.7492
1075.000000 73.842 -0.9510
1090.000000 73.736 -0.1207
1106.000000 73.624 0.9038
1120.000000 73.530 1.8948
1138.000000 73.453 3.2704
1150.000000 73.429 3.9784
1172.000000 73.333 5.2162
1180.000000 73.300 5.7280
1206.000000 73.242 7.3839
1220.000000 73.232 8.0843
1241.000000 73.177 8.9355
1250.000000 73.138 9.3840
1265.000000 73.080 10.2897
1280.000000 73.049 11.2380
1315.000000 72.986 13.0923
1320.000000 72.976 13.3596
1340.000000 72.937 14.3696
1360.000000 72.856 15.5525
1380.000000 72.823 17.1932
1400.000000 72.875 18.6761
1430.000000 73.000 19.8848
1450.000000 72.966 20.3911
1475.000000 72.902 21.7000
1500.000000 72.886 23.0221
1525.000000 72.851 24.3260
1550.000000 72.809 25.9703
1575.000000 72.824 27.6688
1600.000000 72.832 29.4267
1625.000000 72.914 31.4672
1650.000000 73.037 32.9587
1675.000000 73.103 34.3113
1700.000000 73.169 36.0120
1725.000000 73.290 37.8157
1750.000000 73.454 39.3753
1775.000000 73.605 40.7430
1800.000000 73.772 42.0699
1825.000000 73.907 43.2036
1850.000000 74.017 44.7743
1875.000000 74.225 46.6672
1900.000000 74.494 47.9519
1925.000000 74.692 48.9288
1950.000000 74.884 50.3269
1975.000000 75.163 51.8395
2000.000000 75.490 52.9187
2030.000000 75.837 53.7629
2060.000000 76.186 54.8585
2090.000000 76.609 55.7692
2120.000000 77.057 56.1129
2140.000000 77.331 56.0359
2180.000000 77.807 55.8606
2200.000000 78.053 55.8538
2240.000000 78.592 55.4509
2270.000000 78.953 54.5565
2300.000000 79.239 53.6885
2330.000000 79.533 53.2044
2360.000000 79.880 52.6144
2400.000000 80.291 51.2458
2430.000000 80.571 50.3212
2470.000000 80.978 48.8896
2500.000000 81.242 47.5429
2540.000000 81.583 45.8567
2580.000000 81.911 43.9429
2620.000000 82.207 41.9467
2650.000000 82.418 40.4098
2690.000000 82.688 38.2638
2720.000000 82.866 36.5358
2760.000000 83.086 34.2980
2800.000000 83.290 31.8344
2850.000000 83.477 28.8298
2900.000000 83.654 25.7783
2950.000000 83.784 22.6442
3000.000000 83.860 19.5132
3040.000000 83.908 17.1266
3070.000000 83.936 15.2613
3110.000000 83.935 12.7732
3150.000000 83.914 10.4142
3200.000000 83.870 7.4677
3250.000000 83.795 4.4744
3300.000000 83.662 1.5227
3350.000000 83.492 -1.2925
3400.000000 83.275 -3.9591
3450.000000 83.028 -6.4460
3500.000000 82.745 -8.7958
3550.000000 82.421 -10.9774
3600.000000 82.046 -12.8890
3650.000000 81.631 -14.4240
3700.000000 81.185 -15.5579
3750.000000 80.715 -16.2113
3820.000000 80.062 -16.2621
3870.000000 79.609 -15.7554
3950.000000 78.961 -14.0225
4000.000000 78.625 -12.4921
4060.000000 78.316 -10.5177
4120.000000 78.074 -8.6841
4180.000000 77.853 -6.9540
4250.000000 77.603 -4.8284
4310.000000 77.414 -2.7942
4370.000000 77.267 -0.6310
4440.000000 77.134 1.9176
4500.000000 77.048 4.2133
4550.000000 77.001 6.2407
4620.000000 76.992 9.2661
4680.000000 77.055 11.9203
4750.000000 77.209 14.9098
4820.000000 77.445 17.7261
4870.000000 77.663 19.5918
4940.000000 78.044 21.9349
5000.000000 78.440 23.5679
5080.000000 79.052 25.0048
5150.000000 79.638 25.4446
5220.000000 80.255 25.1053
5300.000000 80.991 23.6312
5380.000000 81.730 20.7217
5450.000000 82.331 16.7354
5520.000000 82.811 11.2764
5600.000000 83.100 3.3790
5700.000000 82.904 -7.6560
5800.000000 82.080 -17.6059
5900.000000 80.801 -24.7183
6000.000000 79.290 -28.5227
6080.000000 78.043 -29.3348
6150.000000 76.988 -28.6632
6220.000000 75.998 -26.9269
6300.000000 74.961 -23.8273
6400.000000 73.826 -18.3237
6500.000000 72.951 -11.1010
