* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 9:05:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Phil Phone 300ohm L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	71.183	-43.5457
20.299999	71.385	-44.6183
20.600000	71.596	-45.9714
20.900000	71.796	-47.4814
21.200001	71.981	-48.9495
21.400000	72.105	-49.8173
21.799999	72.377	-51.2621
22.000000	72.536	-51.8659
22.400000	72.908	-52.9950
22.700001	73.222	-53.9303
23.000000	73.541	-55.0431
23.299999	73.838	-56.3171
23.600000	74.098	-57.6622
24.000000	74.376	-59.3518
24.299999	74.545	-60.3746
24.700001	74.753	-61.3267
25.000000	74.923	-61.8254
25.400000	75.185	-62.4872
25.799999	75.458	-63.4872
26.200001	75.684	-64.9178
26.500000	75.795	-66.1087
26.900000	75.867	-67.5135
27.200001	75.895	-68.2319
27.600000	75.958	-68.7145
28.000000	76.108	-68.9828
28.500000	76.413	-69.7602
29.000000	76.739	-71.4487
29.500000	76.991	-73.7032
30.000000	77.167	-75.8602
30.400000	77.295	-77.2933
30.700001	77.403	-78.2269
31.100000	77.567	-79.4041
31.500000	77.744	-80.5905
32.000000	77.962	-82.0859
32.500000	78.171	-83.4904
33.000000	78.386	-84.7775
33.500000	78.614	-86.0895
34.000000	78.836	-87.6132
34.500000	79.017	-89.3718
35.000000	79.133	-91.1871
35.500000	79.199	-92.8218
36.000000	79.248	-94.1977
36.500000	79.311	-95.4293
37.000000	79.395	-96.6881
37.500000	79.494	-98.0580
38.200001	79.654	-100.2433
38.700001	79.777	-102.1040
39.500000	79.915	-105.6130
40.000000	79.938	-107.8040
40.599998	79.937	-110.0405
41.200001	79.965	-111.8976
41.799999	80.039	-113.7656
42.500000	80.117	-116.2628
43.099998	80.121	-118.5607
43.700001	80.036	-120.7585
44.400002	79.805	-122.7588
45.000000	79.517	-123.4764
45.500000	79.274	-123.1443
46.200001	79.050	-121.4953
46.799999	79.039	-119.6184
47.500000	79.223	-117.8097
48.200001	79.514	-116.9929
48.700001	79.720	-117.0179
49.400002	79.968	-117.5587
50.000000	80.153	-118.2477
50.799999	80.377	-119.4466
51.500000	80.539	-120.7076
52.200001	80.671	-121.9810
53.000000	80.813	-123.4117
53.799999	80.937	-124.8944
54.500000	81.025	-126.1371
55.200001	81.113	-127.2914
56.000000	81.218	-128.6692
57.000000	81.320	-130.5259
58.000000	81.395	-132.3391
59.000000	81.454	-134.1967
60.000000	81.481	-135.9351
60.799999	81.510	-137.1636
61.500000	81.547	-138.2424
62.200001	81.586	-139.3804
63.000000	81.621	-140.7781
64.000000	81.617	-142.6663
65.000000	81.536	-144.2720
66.000000	81.472	-145.3358
67.000000	81.467	-146.5359
68.000000	81.420	-147.9827
69.000000	81.341	-148.9862
70.000000	81.321	-149.7119
71.000000	81.332	-150.6267
72.000000	81.327	-151.6461
73.000000	81.298	-152.6873
74.000000	81.238	-153.6277
75.000000	81.180	-154.3418
76.199997	81.150	-155.2150
77.500000	81.121	-156.3384
78.800003	81.083	-157.3835
80.000000	81.058	-158.2065
81.199997	81.051	-159.0750
82.500000	81.021	-160.1792
83.800003	80.971	-161.2142
85.000000	80.938	-162.1583
86.199997	80.907	-163.1944
87.500000	80.855	-164.2355
88.500000	80.812	-164.8971
90.000000	80.747	-165.8235
91.199997	80.679	-166.5849
92.500000	80.592	-167.4532
93.800003	80.498	-168.3580
95.000000	80.412	-169.1740
96.199997	80.328	-169.8949
97.500000	80.233	-170.5181
98.800003	80.117	-170.8624
100.000000	80.005	-170.8481
101.500000	79.895	-170.5540
103.000000	79.843	-170.3145
104.400002	79.832	-170.3867
106.000000	79.830	-170.8965
107.500000	79.796	-171.5549
109.000000	79.763	-172.0856
110.599998	79.754	-172.6292
112.000000	79.757	-173.0388
113.800003	79.761	-173.3638
115.000000	79.746	-173.5123
117.199997	79.613	-173.5042
118.000000	79.560	-173.3035
120.599998	79.619	-173.5928
122.000000	79.626	-175.0654
124.099998	79.514	-176.7667
125.000000	79.474	-177.1995
126.500000	79.424	-177.7119
128.000000	79.393	-178.1296
131.500000	79.337	-179.3205
132.000000	79.323	-179.4984
134.000000	79.237	179.7744
136.000000	79.069	179.0715
138.000000	78.856	178.5565
140.000000	78.637	178.2375
143.000000	78.351	179.2386
145.000000	78.287	-179.5614
147.500000	78.288	-178.7829
150.000000	78.298	-178.9407
152.500000	78.284	-179.3087
155.000000	78.267	-179.5889
157.500000	78.259	-179.8265
160.000000	78.256	179.7361
162.500000	78.235	179.4359
165.000000	78.185	179.4051
167.500000	78.095	179.6220
170.000000	78.011	179.6477
172.500000	77.940	179.0714
175.000000	77.910	178.4418
177.500000	77.951	178.2680
180.000000	77.996	178.3561
182.500000	77.965	178.2396
185.000000	77.872	177.9042
187.500000	77.776	177.6201
190.000000	77.686	177.5611
192.500000	77.598	177.6320
195.000000	77.530	177.7086
197.500000	77.497	177.8516
200.000000	77.479	177.9835
203.000000	77.428	177.9745
206.000000	77.364	177.9299
209.000000	77.305	177.9578
212.000000	77.251	177.9645
214.000000	77.225	177.8791
218.000000	77.186	177.7863
220.000000	77.166	177.8016
224.000000	77.111	177.7941
227.000000	77.057	177.8301
230.000000	77.005	178.0012
233.000000	76.965	178.1122
236.000000	76.908	178.0949
240.000000	76.830	178.1038
243.000000	76.793	178.0681
247.000000	76.727	178.2119
250.000000	76.678	178.5272
254.000000	76.627	178.8476
258.000000	76.591	178.9779
262.000000	76.551	179.0651
265.000000	76.521	179.2167
269.000000	76.499	179.4584
272.000000	76.496	179.6182
276.000000	76.495	179.8533
280.000000	76.463	-179.9581
285.000000	76.371	-179.6006
290.000000	76.310	-179.0826
295.000000	76.261	-179.1387
300.000000	76.228	-179.1797
304.000000	76.195	-178.9563
307.000000	76.176	-178.8083
311.000000	76.161	-178.7268
315.000000	76.132	-178.6465
320.000000	76.072	-178.3994
325.000000	76.008	-178.1288
330.000000	75.951	-177.9174
335.000000	75.919	-177.5188
340.000000	75.881	-176.9802
345.000000	75.878	-176.6304
350.000000	75.866	-176.3175
355.000000	75.851	-175.9690
360.000000	75.838	-175.6288
365.000000	75.815	-175.3127
370.000000	75.785	-175.0176
375.000000	75.755	-174.7260
382.000000	75.727	-174.2678
387.000000	75.709	-173.9302
395.000000	75.676	-173.6691
400.000000	75.654	-173.5502
406.000000	75.640	-173.1099
412.000000	75.630	-172.5127
418.000000	75.604	-172.0183
425.000000	75.575	-171.5168
431.000000	75.567	-171.0112
437.000000	75.566	-170.4885
444.000000	75.551	-170.0979
450.000000	75.542	-169.7589
455.000000	75.526	-169.3986
462.000000	75.504	-168.7457
468.000000	75.505	-168.1825
475.000000	75.524	-167.6129
482.000000	75.551	-167.0552
487.000000	75.575	-166.6658
494.000000	75.610	-166.2241
500.000000	75.640	-165.9056
508.000000	75.696	-165.5342
515.000000	75.716	-165.2578
522.000000	75.707	-164.9315
530.000000	75.719	-164.4291
538.000000	75.745	-163.9758
545.000000	75.747	-163.6492
552.000000	75.741	-163.1286
560.000000	75.768	-162.4955
570.000000	75.852	-161.9333
580.000000	75.938	-161.5980
590.000000	76.011	-161.5480
600.000000	76.013	-162.0175
608.000000	75.895	-162.3469
615.000000	75.711	-161.9530
622.000000	75.569	-160.5493
630.000000	75.598	-158.5273
640.000000	75.801	-157.0065
650.000000	75.945	-156.4262
660.000000	76.049	-155.9625
670.000000	76.167	-155.6187
680.000000	76.254	-155.4327
690.000000	76.325	-155.1609
700.000000	76.395	-154.8818
710.000000	76.461	-154.6047
720.000000	76.526	-154.3791
730.000000	76.574	-154.1953
740.000000	76.609	-153.9246
750.000000	76.646	-153.6964
762.000000	76.676	-153.4221
775.000000	76.715	-152.9924
788.000000	76.760	-152.6213
800.000000	76.790	-152.2173
812.000000	76.822	-151.7194
825.000000	76.846	-151.2442
838.000000	76.838	-150.7026
850.000000	76.846	-149.8294
862.000000	76.916	-148.8215
875.000000	77.037	-147.9429
885.000000	77.138	-147.4446
900.000000	77.285	-146.9406
912.000000	77.377	-146.6686
925.000000	77.430	-146.3056
938.000000	77.483	-145.7511
950.000000	77.552	-145.1729
962.000000	77.646	-144.5851
975.000000	77.769	-144.0375
988.000000	77.891	-143.6360
1000.000000	77.985	-143.3489
1015.000000	78.085	-142.8831
1030.000000	78.196	-142.3981
1044.000000	78.293	-141.9474
1060.000000	78.415	-141.3700
1075.000000	78.553	-140.8263
1090.000000	78.691	-140.4417
1106.000000	78.826	-139.9785
1120.000000	78.964	-139.6641
1138.000000	79.109	-139.2713
1150.000000	79.211	-138.7964
1172.000000	79.458	-138.1729
1180.000000	79.544	-138.0541
1206.000000	79.838	-137.6221
1220.000000	80.002	-137.4913
1241.000000	80.244	-137.2551
1250.000000	80.366	-137.2129
1265.000000	80.566	-137.3850
1280.000000	80.743	-137.6808
1315.000000	81.102	-138.3913
1320.000000	81.147	-138.5078
1340.000000	81.316	-138.9629
1360.000000	81.469	-139.1900
1380.000000	81.687	-139.2043
1400.000000	81.954	-139.8289
1430.000000	82.224	-141.6248
1450.000000	82.301	-142.8187
1475.000000	82.319	-143.1454
1500.000000	82.560	-142.9292
1525.000000	82.802	-144.2191
1550.000000	82.906	-145.3018
1575.000000	83.045	-145.9526
1600.000000	83.202	-146.8787
1625.000000	83.367	-147.8336
1650.000000	83.533	-149.3735
1675.000000	83.581	-151.0583
1700.000000	83.562	-152.1876
1725.000000	83.574	-152.9352
1750.000000	83.612	-153.8351
1775.000000	83.625	-154.8024
1800.000000	83.608	-155.5042
1825.000000	83.599	-156.0530
1850.000000	83.579	-156.3092
1875.000000	83.644	-156.3578
1900.000000	83.745	-156.8652
1925.000000	83.811	-157.5384
1950.000000	83.889	-158.1533
1975.000000	83.989	-158.9774
2000.000000	84.069	-160.1165
2030.000000	84.089	-161.5924
2060.000000	84.066	-162.9083
2090.000000	83.997	-164.0099
2120.000000	83.952	-164.4980
2140.000000	83.997	-164.9052
2180.000000	84.087	-167.0265
2200.000000	84.062	-168.4678
2240.000000	83.849	-171.3994
2270.000000	83.523	-173.3517
2300.000000	83.051	-174.1569
2330.000000	82.603	-173.6381
2360.000000	82.235	-172.4633
2400.000000	81.835	-169.9997
2430.000000	81.631	-167.5115
2470.000000	81.614	-164.0649
2500.000000	81.702	-162.0488
2540.000000	81.871	-159.4758
2580.000000	82.170	-157.2839
2620.000000	82.551	-155.8970
2650.000000	82.867	-155.5717
2690.000000	83.254	-156.1362
2720.000000	83.479	-157.1929
2760.000000	83.621	-159.0970
2800.000000	83.575	-160.7885
2850.000000	83.320	-161.5469
2900.000000	83.071	-160.6842
2950.000000	82.827	-158.6401
3000.000000	82.782	-154.5714
3040.000000	83.081	-151.0891
3070.000000	83.427	-149.2719
3110.000000	83.903	-147.8429
3150.000000	84.347	-146.9315
3200.000000	84.941	-145.9012
3250.000000	85.629	-145.4868
3300.000000	86.348	-146.0325
3350.000000	87.062	-147.4727
3400.000000	87.735	-149.6921
3450.000000	88.388	-152.7078
3500.000000	88.940	-156.7596
3550.000000	89.346	-161.3834
3600.000000	89.612	-166.2376
3650.000000	89.748	-171.0583
3700.000000	89.769	-175.6390
3750.000000	89.712	-179.8206
3820.000000	89.548	174.8517
3870.000000	89.375	171.3954
3950.000000	89.024	166.5018
4000.000000	88.762	163.8412
4060.000000	88.424	161.1429
4120.000000	88.077	158.8862
4180.000000	87.731	157.0640
4250.000000	87.343	155.4190
4310.000000	87.033	154.3459
4370.000000	86.755	153.5072
4440.000000	86.465	152.6011
4500.000000	86.219	151.9296
4550.000000	86.022	151.4609
4620.000000	85.746	150.9135
4680.000000	85.498	150.6541
4750.000000	85.209	150.7616
4820.000000	84.952	151.3610
4870.000000	84.802	152.0391
4940.000000	84.638	153.2778
5000.000000	84.552	154.6814
5080.000000	84.572	157.0661
5150.000000	84.776	159.2861
5220.000000	85.149	161.1409
5300.000000	85.751	162.5567
5380.000000	86.549	163.0312
5450.000000	87.419	162.1902
5520.000000	88.403	159.4955
5600.000000	89.501	153.2413
5700.000000	90.428	140.3589
5800.000000	90.456	124.1305
5900.000000	89.486	109.3794
6000.000000	87.835	99.6780
6080.000000	86.361	95.8387
6150.000000	85.147	94.6169
6220.000000	84.083	94.6701
6300.000000	83.070	95.5176
6400.000000	82.040	97.1089
6500.000000	81.209	99.0414
6600.000000	80.555	101.0343
6700.000000	80.048	102.7631
6800.000000	79.639	104.0341
6900.000000	79.265	104.8118
7000.000000	78.870	105.4165
7100.000000	78.469	106.3857
7200.000000	78.153	107.8804
7300.000000	78.006	109.4553
7400.000000	78.030	110.5215
7500.000000	78.184	110.7712
7620.000000	78.510	109.7842
7750.000000	79.000	106.6160
7880.000000	79.522	100.7184
8000.000000	79.922	92.9007
8120.000000	80.236	83.0165
8250.000000	80.491	69.2937
8380.000000	80.461	51.0488
8500.000000	79.815	30.7743
8620.000000	78.350	10.7356
8750.000000	76.032	-6.4415
8850.000000	74.153	-16.3249
9000.000000	71.825	-28.8997
9120.000000	70.541	-38.5128
9250.000000	69.754	-48.9632
9380.000000	69.559	-59.5724
9500.000000	69.787	-69.6729
9620.000000	70.189	-79.8624
9750.000000	70.675	-89.9323
9880.000000	71.257	-98.4581
10000.000000	71.892	-105.5087
10150.000000	72.704	-114.1635
10300.000000	73.362	-123.1117
10440.000000	73.699	-131.4277
10600.000000	73.690	-139.5724
10750.000000	73.382	-144.5735
10900.000000	72.979	-146.4395
11060.000000	72.705	-145.4294
11200.000000	72.782	-143.2197
11380.000000	73.293	-141.3110
11500.000000	73.661	-141.6211
11720.000000	73.911	-143.4705
11800.000000	73.897	-143.5505
12060.000000	74.150	-141.0652
12200.000000	74.669	-139.8379
12410.000000	75.846	-141.4952
12500.000000	76.399	-144.2800
12650.000000	77.198	-152.6682
12800.000000	77.579	-166.5266
13150.000000	75.156	140.9319
13200.000000	74.338	130.8796
13400.000000	70.013	77.7673
13600.000000	66.928	7.4261
13800.000000	69.287	-45.9697
14000.000000	72.198	-72.2695
14300.000000	75.349	-92.8025
14500.000000	76.926	-103.9325
14750.000000	78.795	-117.4677
15000.000000	80.312	-136.0546
15250.000000	80.404	-158.3896
15500.000000	79.287	-175.3923
15750.000000	77.661	173.0121
16000.000000	75.278	168.8035
16250.000000	72.591	-176.2627
16500.000000	73.594	-154.8760
16750.000000	76.196	-153.6047
17000.000000	77.308	-170.7289
17250.000000	76.377	167.5745
17500.000000	73.622	153.7504
17750.000000	69.583	155.1315
18000.000000	65.037	-179.6552
18250.000000	64.251	-143.9316
18500.000000	66.899	-129.1655
18750.000000	68.912	-133.5015
19000.000000	70.268	-143.6339
19250.000000	71.264	-155.7131
19500.000000	71.855	-169.3615
19750.000000	71.875	177.4919
