* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 7:32:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Phil Phone 300ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.917	-62.3825
20.299999	74.133	-63.3503
20.600000	74.336	-64.3315
20.900000	74.533	-65.2904
21.200001	74.729	-66.2297
21.400000	74.862	-66.8712
21.799999	75.128	-68.2446
22.000000	75.256	-68.9924
22.400000	75.488	-70.5969
22.700001	75.633	-71.8191
23.000000	75.754	-72.9553
23.299999	75.862	-73.9320
23.600000	75.971	-74.7330
24.000000	76.141	-75.5871
24.299999	76.295	-76.1802
24.700001	76.533	-77.0702
25.000000	76.721	-77.8855
25.400000	76.964	-79.1759
25.799999	77.181	-80.6080
26.200001	77.370	-82.0598
26.500000	77.497	-83.1099
26.900000	77.657	-84.4370
27.200001	77.773	-85.3869
27.600000	77.925	-86.6203
28.000000	78.074	-87.8492
28.500000	78.250	-89.4070
29.000000	78.405	-90.9678
29.500000	78.536	-92.4566
30.000000	78.656	-93.7951
30.400000	78.756	-94.7607
30.700001	78.839	-95.4572
31.100000	78.959	-96.4138
31.500000	79.082	-97.4484
32.000000	79.227	-98.8488
32.500000	79.354	-100.2791
33.000000	79.468	-101.6484
33.500000	79.583	-102.9584
34.000000	79.702	-104.2719
34.500000	79.816	-105.6184
35.000000	79.919	-106.9594
35.500000	80.014	-108.2428
36.000000	80.109	-109.4718
36.500000	80.205	-110.6972
37.000000	80.296	-111.9538
37.500000	80.373	-113.2162
38.200001	80.461	-114.8931
38.700001	80.521	-116.0162
39.500000	80.620	-117.8330
40.000000	80.671	-119.0213
40.599998	80.714	-120.4242
41.200001	80.748	-121.7070
41.799999	80.794	-122.9052
42.500000	80.866	-124.3611
43.099998	80.924	-125.7164
43.700001	80.971	-127.0997
44.400002	81.014	-128.6780
45.000000	81.046	-130.0143
45.500000	81.064	-131.1230
46.200001	81.074	-132.6288
46.799999	81.070	-133.8566
47.500000	81.050	-135.2363
48.200001	81.006	-136.5103
48.700001	80.962	-137.2890
49.400002	80.907	-138.1817
50.000000	80.878	-138.8643
50.799999	80.863	-139.8425
51.500000	80.852	-140.8508
52.200001	80.819	-141.9753
53.000000	80.736	-143.1666
53.799999	80.630	-143.9511
54.500000	80.562	-144.2939
55.200001	80.536	-144.4807
56.000000	80.558	-144.6926
57.000000	80.639	-145.1885
58.000000	80.738	-146.0844
59.000000	80.809	-147.4591
60.000000	80.787	-149.0934
60.799999	80.702	-150.1919
61.500000	80.608	-150.8923
62.200001	80.511	-151.3748
63.000000	80.409	-151.6645
64.000000	80.328	-151.7221
65.000000	80.314	-151.7370
66.000000	80.342	-151.9006
67.000000	80.390	-152.2353
68.000000	80.443	-152.6966
69.000000	80.502	-153.2432
70.000000	80.562	-153.9496
71.000000	80.599	-154.7823
72.000000	80.616	-155.6185
73.000000	80.616	-156.4440
74.000000	80.599	-157.2099
75.000000	80.575	-157.8492
76.199997	80.557	-158.5377
77.500000	80.541	-159.2914
78.800003	80.527	-160.0562
80.000000	80.506	-160.7928
81.199997	80.478	-161.4571
82.500000	80.461	-162.0781
83.800003	80.467	-162.7265
85.000000	80.477	-163.4197
86.199997	80.476	-164.1824
87.500000	80.451	-165.0238
88.500000	80.414	-165.6291
90.000000	80.349	-166.4764
91.199997	80.295	-167.1576
92.500000	80.238	-167.8923
93.800003	80.186	-168.5991
95.000000	80.139	-169.2259
96.199997	80.083	-169.7606
97.500000	80.019	-170.2300
98.800003	79.944	-170.6710
100.000000	79.862	-171.0170
101.500000	79.761	-171.2914
103.000000	79.699	-171.3837
104.400002	79.688	-171.5204
106.000000	79.681	-171.8362
107.500000	79.657	-172.2160
109.000000	79.615	-172.7021
110.599998	79.555	-173.2752
112.000000	79.510	-173.7093
113.800003	79.477	-174.0854
115.000000	79.459	-174.2645
117.199997	79.355	-174.3789
118.000000	79.300	-174.2839
120.599998	79.218	-174.2952
122.000000	79.177	-175.0506
124.099998	79.074	-176.0534
