* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 10:59:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Poke 300ohm Philphone L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.808	-69.1614
20.299999	87.957	-70.2126
20.600000	88.102	-71.2473
20.900000	88.242	-72.2610
21.200001	88.379	-73.2510
21.400000	88.468	-73.8986
21.799999	88.645	-75.1675
22.000000	88.733	-75.7915
22.400000	88.905	-77.0243
22.700001	89.033	-77.9397
23.000000	89.158	-78.8499
23.299999	89.281	-79.7555
23.600000	89.401	-80.6556
24.000000	89.555	-81.8435
24.299999	89.667	-82.7203
24.700001	89.812	-83.8646
25.000000	89.918	-84.7023
25.400000	90.057	-85.7955
25.799999	90.194	-86.8721
26.200001	90.329	-87.9440
26.500000	90.427	-88.7472
26.900000	90.553	-89.8129
27.200001	90.644	-90.6012
27.600000	90.759	-91.6277
28.000000	90.871	-92.6212
28.500000	91.010	-93.8259
29.000000	91.147	-95.0140
29.500000	91.281	-96.2029
30.000000	91.409	-97.3898
30.400000	91.507	-98.3273
30.700001	91.579	-99.0189
31.100000	91.672	-99.9261
31.500000	91.764	-100.8213
32.000000	91.877	-101.9338
32.500000	91.986	-103.0436
33.000000	92.090	-104.1442
33.500000	92.190	-105.2267
34.000000	92.286	-106.2877
34.500000	92.380	-107.3303
35.000000	92.471	-108.3584
35.500000	92.560	-109.3740
36.000000	92.647	-110.3797
36.500000	92.732	-111.3784
37.000000	92.814	-112.3739
37.500000	92.894	-113.3680
38.200001	92.998	-114.7573
38.700001	93.066	-115.7418
39.500000	93.167	-117.2804
40.000000	93.226	-118.2155
40.599998	93.294	-119.3228
41.200001	93.358	-120.4255
41.799999	93.415	-121.5124
42.500000	93.473	-122.7327
43.099998	93.519	-123.7323
43.700001	93.563	-124.6986
44.400002	93.610	-125.7817
45.000000	93.649	-126.6575
45.500000	93.682	-127.3478
46.200001	93.735	-128.2753
46.799999	93.786	-129.0670
47.500000	93.851	-130.0225
48.200001	93.914	-131.0219
48.700001	93.956	-131.7553
49.400002	94.011	-132.7969
50.000000	94.054	-133.6993
50.799999	94.103	-134.9111
51.500000	94.138	-135.9622
52.200001	94.168	-136.9905
53.000000	94.199	-138.1473
53.799999	94.226	-139.3076
54.500000	94.243	-140.3286
55.200001	94.252	-141.3388
56.000000	94.254	-142.4626
57.000000	94.245	-143.8187
58.000000	94.221	-145.1004
59.000000	94.184	-146.2681
60.000000	94.139	-147.3140
60.799999	94.100	-148.0466
61.500000	94.067	-148.6153
62.200001	94.037	-149.1449
63.000000	94.002	-149.7235
64.000000	93.950	-150.3693
65.000000	93.894	-150.8298
66.000000	93.854	-151.0599
67.000000	93.853	-151.1586
68.000000	93.895	-151.2996
69.000000	93.966	-151.6241
70.000000	94.046	-152.1799
71.000000	94.117	-152.9216
72.000000	94.171	-153.7732
73.000000	94.209	-154.6688
74.000000	94.231	-155.5529
75.000000	94.245	-156.3796
76.199997	94.264	-157.3112
77.500000	94.290	-158.3475
78.800003	94.306	-159.4456
80.000000	94.307	-160.4785
81.199997	94.292	-161.4864
82.500000	94.263	-162.5075
83.800003	94.227	-163.4205
85.000000	94.196	-164.1863
86.199997	94.168	-164.9155
87.500000	94.136	-165.6620
88.500000	94.112	-166.2010
90.000000	94.076	-166.9641
91.199997	94.050	-167.5535
92.500000	94.025	-168.1983
93.800003	93.999	-168.8668
95.000000	93.973	-169.5015
96.199997	93.943	-170.1397
97.500000	93.908	-170.8177
98.800003	93.869	-171.4682
100.000000	93.831	-172.0312
101.500000	93.781	-172.6752
103.000000	93.731	-173.2549
104.400002	93.688	-173.7582
106.000000	93.641	-174.3152
107.500000	93.600	-174.8344
109.000000	93.561	-175.3566
110.599998	93.521	-175.9161
112.000000	93.485	-176.4091
113.800003	93.438	-177.0563
115.000000	93.403	-177.4993
117.199997	93.331	-178.3160
118.000000	93.301	-178.6060
120.599998	93.191	-179.4948
122.000000	93.124	-179.9079
124.099998	93.019	179.5889
125.000000	92.976	179.4148
126.500000	92.910	179.1667
128.000000	92.858	178.9269
131.500000	92.756	178.1610
132.000000	92.740	178.0219
134.000000	92.661	177.4015
136.000000	92.545	176.7367
138.000000	92.379	176.2157
140.000000	92.178	176.1237
143.000000	91.928	177.0127
145.000000	91.863	177.8981
147.500000	91.876	178.7203
150.000000	91.926	179.0608
152.500000	91.972	179.0360
155.000000	91.995	178.8128
157.500000	91.998	178.5087
160.000000	91.987	178.1710
162.500000	91.964	177.8384
165.000000	91.934	177.5112
167.500000	91.896	177.1513
170.000000	91.842	176.8417
172.500000	91.783	176.6068
175.000000	91.728	176.4459
177.500000	91.675	176.2085
180.000000	91.607	176.0471
182.500000	91.547	176.0158
185.000000	91.494	176.0083
187.500000	91.442	176.0070
190.000000	91.396	176.0151
192.500000	91.356	176.0120
195.000000	91.316	176.0095
197.500000	91.274	176.0085
200.000000	91.234	176.0074
203.000000	91.189	176.0115
206.000000	91.146	176.0380
209.000000	91.105	176.0617
212.000000	91.064	176.0781
214.000000	91.036	176.0986
218.000000	90.985	176.1730
220.000000	90.962	176.1956
224.000000	90.914	176.2242
227.000000	90.874	176.2480
230.000000	90.834	176.2936
233.000000	90.797	176.3624
236.000000	90.763	176.4175
240.000000	90.716	176.5002
243.000000	90.682	176.5789
