* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 7:10:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Poke CD1700 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.957	-82.8831
20.299999	82.101	-83.5086
20.600000	82.241	-84.1318
20.900000	82.378	-84.7400
21.200001	82.512	-85.3226
21.400000	82.602	-85.6972
21.799999	82.782	-86.4290
22.000000	82.873	-86.7974
22.400000	83.052	-87.5645
22.700001	83.181	-88.1721
23.000000	83.299	-88.7912
23.299999	83.405	-89.3860
23.600000	83.503	-89.9259
24.000000	83.629	-90.5374
24.299999	83.727	-90.9356
24.700001	83.867	-91.4538
25.000000	83.975	-91.8800
25.400000	84.112	-92.5140
25.799999	84.234	-93.1656
26.200001	84.345	-93.7533
26.500000	84.430	-94.1406
26.900000	84.554	-94.6361
27.200001	84.654	-95.0520
27.600000	84.787	-95.7168
28.000000	84.904	-96.4739
28.500000	85.021	-97.3712
29.000000	85.131	-98.0477
29.500000	85.271	-98.5712
30.000000	85.446	-99.1799
30.400000	85.592	-99.8240
30.700001	85.695	-100.3827
31.100000	85.820	-101.1559
31.500000	85.933	-101.8971
32.000000	86.071	-102.7477
32.500000	86.214	-103.5650
33.000000	86.360	-104.4202
33.500000	86.499	-105.3388
34.000000	86.623	-106.3082
34.500000	86.728	-107.2959
35.000000	86.812	-108.2668
35.500000	86.876	-109.1956
36.000000	86.919	-110.0715
36.500000	86.938	-110.8598
37.000000	86.931	-111.4547
37.500000	86.915	-111.7296
38.200001	86.946	-111.5667
38.700001	87.042	-111.3175
39.500000	87.300	-111.4053
40.000000	87.472	-111.8745
40.599998	87.656	-112.6836
41.200001	87.821	-113.5727
41.799999	87.981	-114.5192
42.500000	88.156	-115.7579
43.099998	88.280	-116.9015
43.700001	88.379	-118.0044
44.400002	88.479	-119.1499
45.000000	88.568	-120.0698
45.500000	88.643	-120.8892
46.200001	88.728	-122.1570
46.799999	88.769	-123.2399
47.500000	88.800	-124.3485
48.200001	88.840	-125.3989
48.700001	88.871	-126.2257
49.400002	88.894	-127.4726
50.000000	88.898	-128.4992
50.799999	88.906	-129.7898
51.500000	88.921	-131.0000
52.200001	88.921	-132.3290
53.000000	88.889	-133.8969
53.799999	88.817	-135.4437
54.500000	88.715	-136.7206
55.200001	88.575	-137.8600
56.000000	88.364	-138.9528
57.000000	88.009	-139.8117
58.000000	87.564	-139.5927
59.000000	87.119	-137.8944
60.000000	86.812	-134.7286
60.799999	86.768	-131.5746
61.500000	86.903	-128.9145
62.200001	87.166	-126.7663
63.000000	87.556	-125.1976
64.000000	88.065	-124.6213
65.000000	88.502	-125.2323
66.000000	88.833	-126.5291
67.000000	89.049	-128.1637
68.000000	89.146	-129.8153
69.000000	89.134	-131.0663
70.000000	89.077	-131.4942
71.000000	89.082	-131.2042
72.000000	89.188	-130.8180
73.000000	89.351	-130.7517
74.000000	89.521	-131.0610
75.000000	89.665	-131.6608
76.199997	89.782	-132.4184
77.500000	89.914	-132.9462
78.800003	90.091	-133.6649
80.000000	90.247	-134.5182
81.199997	90.410	-135.4590
82.500000	90.579	-136.7410
83.800003	90.700	-138.2323
85.000000	90.759	-139.5873
86.199997	90.785	-140.8067
87.500000	90.796	-141.9895
88.500000	90.795	-142.8297
90.000000	90.787	-143.9831
91.199997	90.777	-144.8477
92.500000	90.758	-145.7101
93.800003	90.735	-146.4723
95.000000	90.713	-147.0972
96.199997	90.692	-147.6851
97.500000	90.663	-148.3008
98.800003	90.625	-148.8250
100.000000	90.594	-149.2068
101.500000	90.572	-149.6091
103.000000	90.571	-150.0633
104.400002	90.570	-150.5820
106.000000	90.558	-151.1931
107.500000	90.540	-151.7224
109.000000	90.517	-152.2282
110.599998	90.483	-152.7316
112.000000	90.447	-153.1141
113.800003	90.401	-153.4634
115.000000	90.381	-153.6105
117.199997	90.374	-153.8820
118.000000	90.375	-154.0143
120.599998	90.377	-154.6267
122.000000	90.362	-155.0442
124.099998	90.326	-155.6489
125.000000	90.309	-155.8989
126.500000	90.277	-156.3052
128.000000	90.241	-156.6910
131.500000	90.141	-157.5753
132.000000	90.123	-157.7145
134.000000	90.026	-158.3159
136.000000	89.866	-158.8561
138.000000	89.630	-158.9390
140.000000	89.373	-158.0657
143.000000	89.224	-155.2074
145.000000	89.351	-153.5718
147.500000	89.579	-152.7967
150.000000	89.739	-152.9058
152.500000	89.829	-153.1659
155.000000	89.886	-153.2840
157.500000	89.947	-153.3185
160.000000	90.007	-153.4669
162.500000	90.050	-153.6865
165.000000	90.081	-153.8774
167.500000	90.105	-154.0463
170.000000	90.122	-154.1955
172.500000	90.139	-154.3323
175.000000	90.159	-154.4604
177.500000	90.184	-154.5653
180.000000	90.206	-154.6686
182.500000	90.213	-154.7595
185.000000	90.213	-154.8208
187.500000	90.218	-154.8581
190.000000	90.228	-154.8722
192.500000	90.244	-154.8913
195.000000	90.261	-154.9332
197.500000	90.277	-154.9933
200.000000	90.290	-155.0672
203.000000	90.298	-155.1750
206.000000	90.300	-155.2779
209.000000	90.297	-155.3077
212.000000	90.295	-155.2465
214.000000	90.298	-155.1902
218.000000	90.317	-155.1069
220.000000	90.327	-155.0823
224.000000	90.336	-155.0501
227.000000	90.341	-154.9904
230.000000	90.351	-154.8837
233.000000	90.367	-154.7379
236.000000	90.386	-154.5779
240.000000	90.420	-154.3848
243.000000	90.454	-154.2556
247.000000	90.506	-154.1105
250.000000	90.551	-154.0455
254.000000	90.620	-154.0537
258.000000	90.693	-154.1960
262.000000	90.757	-154.4857
265.000000	90.792	-154.7870
269.000000	90.819	-155.2544
272.000000	90.823	-155.6249
276.000000	90.804	-156.1157
280.000000	90.757	-156.5573
285.000000	90.663	-156.9115
290.000000	90.546	-156.9417
295.000000	90.429	-156.6535
300.000000	90.329	-156.0570
304.000000	90.277	-155.3637
307.000000	90.262	-154.7585
311.000000	90.276	-153.9429
315.000000	90.320	-153.2346
320.000000	90.400	-152.5706
325.000000	90.487	-152.1326
330.000000	90.571	-151.8855
335.000000	90.641	-151.7657
340.000000	90.693	-151.6876
345.000000	90.732	-151.5829
350.000000	90.771	-151.4563
355.000000	90.808	-151.3657
360.000000	90.829	-151.2946
365.000000	90.833	-151.1154
370.000000	90.847	-150.7247
375.000000	90.899	-150.3100
382.000000	91.001	-149.9997
387.000000	91.072	-149.9414
395.000000	91.169	-150.1514
400.000000	91.195	-150.4486
406.000000	91.176	-150.7596
412.000000	91.120	-150.8549
418.000000	91.042	-150.6851
425.000000	90.942	-149.9621
431.000000	90.903	-148.9141
437.000000	90.933	-147.7855
444.000000	91.030	-146.6565
450.000000	91.140	-145.9438
455.000000	91.234	-145.5156
462.000000	91.357	-145.0819
468.000000	91.454	-144.7922
475.000000	91.558	-144.5190
482.000000	91.647	-144.2601
487.000000	91.707	-144.0417
494.000000	91.793	-143.6698
500.000000	91.877	-143.3118
508.000000	92.010	-142.8548
515.000000	92.145	-142.5679
522.000000	92.285	-142.4497
530.000000	92.437	-142.4719
538.000000	92.577	-142.6376
545.000000	92.684	-142.8446
552.000000	92.779	-143.0936
560.000000	92.867	-143.4065
570.000000	92.954	-143.7437
580.000000	93.037	-144.0069
590.000000	93.114	-144.3055
600.000000	93.176	-144.5918
608.000000	93.216	-144.8068
615.000000	93.241	-144.9781
622.000000	93.257	-145.0933
630.000000	93.274	-145.1122
640.000000	93.307	-145.0460
650.000000	93.347	-144.9730
660.000000	93.390	-144.8676
670.000000	93.438	-144.7536
680.000000	93.489	-144.6288
690.000000	93.543	-144.5198
700.000000	93.594	-144.4213
710.000000	93.644	-144.2695
720.000000	93.704	-144.0666
730.000000	93.774	-143.9010
740.000000	93.847	-143.7747
750.000000	93.924	-143.7113
762.000000	94.009	-143.7048
775.000000	94.093	-143.7014
788.000000	94.170	-143.7216
800.000000	94.231	-143.7027
812.000000	94.294	-143.6211
825.000000	94.367	-143.5300
838.000000	94.445	-143.4437
850.000000	94.522	-143.3908
862.000000	94.601	-143.3885
875.000000	94.678	-143.4720
885.000000	94.726	-143.5209
900.000000	94.795	-143.5116
912.000000	94.857	-143.4879
925.000000	94.927	-143.4965
938.000000	94.993	-143.5294
950.000000	95.051	-143.5913
962.000000	95.098	-143.6673
975.000000	95.139	-143.6908
988.000000	95.180	-143.6331
1000.000000	95.222	-143.5374
1015.000000	95.280	-143.4092
1030.000000	95.341	-143.2623
1044.000000	95.403	-143.1216
1060.000000	95.474	-142.9906
1075.000000	95.536	-142.8499
1090.000000	95.599	-142.6611
1106.000000	95.670	-142.4257
1120.000000	95.738	-142.1708
1138.000000	95.843	-141.8295
1150.000000	95.922	-141.6281
1172.000000	96.082	-141.3208
1180.000000	96.147	-141.2467
1206.000000	96.361	-141.2766
1220.000000	96.460	-141.4450
1241.000000	96.579	-141.6922
1250.000000	96.624	-141.7657
1265.000000	96.697	-141.8470
1280.000000	96.770	-141.8786
1315.000000	96.959	-141.8752
1320.000000	96.989	-141.8803
1340.000000	97.109	-141.9501
1360.000000	97.225	-142.0839
1380.000000	97.334	-142.2248
1400.000000	97.445	-142.3606
1430.000000	97.615	-142.6614
1450.000000	97.716	-142.9426
1475.000000	97.823	-143.2318
1500.000000	97.935	-143.4196
1525.000000	98.059	-143.6526
1550.000000	98.170	-143.9791
1575.000000	98.268	-144.2194
1600.000000	98.377	-144.4456
1625.000000	98.476	-144.7187
1650.000000	98.565	-144.9181
1675.000000	98.666	-145.0048
1700.000000	98.785	-145.1469
1725.000000	98.904	-145.3522
1750.000000	99.028	-145.5813
1775.000000	99.158	-145.9182
1800.000000	99.277	-146.4107
1825.000000	99.369	-146.9978
1850.000000	99.422	-147.5980
1875.000000	99.413	-147.9499
1900.000000	99.399	-147.4493
1925.000000	99.553	-146.4555
1950.000000	99.821	-146.3348
1975.000000	100.039	-146.9592
2000.000000	100.197	-147.6892
2030.000000	100.350	-148.4497
2060.000000	100.489	-149.1479
2090.000000	100.626	-149.8294
2120.000000	100.769	-150.5548
2140.000000	100.865	-151.0953
2180.000000	101.047	-152.3602
2200.000000	101.127	-153.0868
2240.000000	101.252	-154.6511
2270.000000	101.314	-155.8584
2300.000000	101.349	-157.0499
2330.000000	101.359	-158.1928
2360.000000	101.345	-159.2663
2400.000000	101.293	-160.5283
2430.000000	101.232	-161.3331
2470.000000	101.122	-162.1690
2500.000000	101.022	-162.5547
2540.000000	100.879	-162.6646
2580.000000	100.747	-162.2919
2620.000000	100.650	-161.4259
2650.000000	100.622	-160.4940
2690.000000	100.667	-159.0548
2720.000000	100.762	-157.9755
2760.000000	100.960	-156.6953
2800.000000	101.221	-155.7129
2850.000000	101.602	-154.9659
2900.000000	102.017	-154.6834
2950.000000	102.471	-154.8196
3000.000000	102.964	-155.4870
3040.000000	103.374	-156.5235
3070.000000	103.680	-157.6361
3110.000000	104.065	-159.5831
3150.000000	104.404	-162.0122
3200.000000	104.736	-165.5465
3250.000000	104.955	-169.3998
3300.000000	105.057	-173.2827
3350.000000	105.066	-176.9206
3400.000000	105.024	179.7796
3450.000000	104.967	176.6717
3500.000000	104.891	173.4810
3550.000000	104.754	170.1158
3600.000000	104.513	166.8192
3650.000000	104.168	164.0149
3700.000000	103.760	162.0164
3750.000000	103.352	160.8775
3820.000000	102.881	160.3623
3870.000000	102.652	160.3094
3950.000000	102.423	159.9263
4000.000000	102.305	159.3878
4060.000000	102.148	158.6122
4120.000000	101.978	157.8897
4180.000000	101.810	157.2189
4250.000000	101.593	156.4653
4310.000000	101.379	156.0987
4370.000000	101.173	156.1555
4440.000000	100.994	156.6937
4500.000000	100.925	157.3116
4550.000000	100.924	157.7089
4620.000000	100.964	157.9138
4680.000000	100.998	157.8654
4750.000000	101.029	157.8820
4820.000000	101.104	158.2074
4870.000000	101.224	158.5054
4940.000000	101.489	158.5759
5000.000000	101.759	158.1348
5080.000000	102.141	157.0050
5150.000000	102.506	155.6202
5220.000000	102.917	153.8137
5300.000000	103.457	150.9743
5380.000000	104.042	146.8749
5450.000000	104.534	142.0012
5520.000000	104.946	135.8381
5600.000000	105.242	127.3318
5700.000000	105.243	115.0975
5800.000000	104.759	102.1556
5900.000000	103.779	89.8218
6000.000000	102.370	79.1436
6080.000000	101.003	72.1420
6150.000000	99.668	67.2001
6220.000000	98.214	63.4522
6300.000000	96.417	60.9088
6400.000000	94.023	60.8777
6500.000000	91.617	64.6038
6600.000000	89.382	71.8316
6700.000000	87.509	82.0654
6800.000000	86.233	93.8045
6900.000000	85.561	104.7929
7000.000000	85.169	114.1972
7100.000000	84.821	123.3025
7200.000000	84.666	133.6092
7300.000000	85.074	144.3254
7400.000000	86.050	152.7578
7500.000000	87.215	157.0537
7620.000000	88.342	156.9419
7750.000000	88.978	153.5221
7880.000000	89.200	149.1542
8000.000000	89.093	143.7060
8120.000000	88.505	136.6404
8250.000000	87.014	128.6242
8380.000000	84.092	132.2158
8500.000000	81.586	163.4955
8620.000000	83.727	-164.6215
8750.000000	86.497	-160.1318
8850.000000	87.590	-166.0940
9000.000000	88.166	-174.3188
9120.000000	88.286	-178.0122
9250.000000	88.417	179.0642
9380.000000	88.477	175.8465
9500.000000	88.401	172.9314
9620.000000	88.249	170.4273
9750.000000	88.074	168.0382
9880.000000	87.916	165.5809
10000.000000	87.766	162.9679
