* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 11:08:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Poke DCA Aeon 2 Noire L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.030	-62.3980
20.299999	89.057	-63.4899
20.600000	89.093	-64.5474
20.900000	89.139	-65.5970
21.200001	89.197	-66.6660
21.400000	89.239	-67.4021
21.799999	89.330	-68.9437
22.000000	89.376	-69.7516
22.400000	89.461	-71.4311
22.700001	89.515	-72.7172
23.000000	89.557	-73.9846
23.299999	89.592	-75.1933
23.600000	89.621	-76.3209
24.000000	89.664	-77.6977
24.299999	89.704	-78.6723
24.700001	89.767	-79.9702
25.000000	89.814	-80.9841
25.400000	89.866	-82.3888
25.799999	89.892	-83.7668
26.200001	89.897	-84.9926
26.500000	89.898	-85.7710
26.900000	89.914	-86.6530
27.200001	89.944	-87.2761
27.600000	90.006	-88.1810
28.000000	90.075	-89.2628
28.500000	90.141	-90.8342
29.000000	90.170	-92.4547
29.500000	90.176	-93.9627
30.000000	90.182	-95.3486
30.400000	90.194	-96.4261
30.700001	90.206	-97.2386
31.100000	90.224	-98.3344
31.500000	90.242	-99.4406
32.000000	90.263	-100.8318
32.500000	90.279	-102.2199
33.000000	90.289	-103.5658
33.500000	90.295	-104.8362
34.000000	90.306	-106.0545
34.500000	90.318	-107.2817
35.000000	90.319	-108.5280
35.500000	90.305	-109.7273
36.000000	90.280	-110.8195
36.500000	90.254	-111.8175
37.000000	90.229	-112.7670
37.500000	90.205	-113.6800
38.200001	90.180	-114.9292
38.700001	90.166	-115.8974
39.500000	90.110	-117.6220
40.000000	90.041	-118.5962
40.599998	89.956	-119.5127
41.200001	89.899	-120.3584
41.799999	89.841	-121.3153
42.500000	89.734	-122.3335
43.099998	89.640	-122.9041
43.700001	89.569	-123.3672
44.400002	89.483	-123.8921
45.000000	89.397	-124.0983
45.500000	89.348	-124.0486
46.200001	89.332	-123.9642
46.799999	89.329	-124.0470
47.500000	89.308	-124.0561
48.200001	89.308	-123.8386
48.700001	89.331	-123.6785
