* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 10:48:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Poke HD-580 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.545	-41.0170
20.299999	77.703	-41.6876
20.600000	77.878	-42.2857
20.900000	78.072	-42.8844
21.200001	78.283	-43.5655
21.400000	78.428	-44.0985
21.799999	78.711	-45.3591
22.000000	78.842	-46.0694
22.400000	79.072	-47.5615
22.700001	79.217	-48.6397
23.000000	79.345	-49.5935
23.299999	79.471	-50.3961
23.600000	79.607	-51.0767
24.000000	79.813	-51.9028
24.299999	79.984	-52.5685
24.700001	80.217	-53.6083
25.000000	80.380	-54.4943
25.400000	80.568	-55.7207
25.799999	80.724	-56.8425
26.200001	80.867	-57.7561
26.500000	80.979	-58.3143
26.900000	81.145	-58.9691
27.200001	81.281	-59.4645
27.600000	81.467	-60.1928
28.000000	81.648	-60.9968
28.500000	81.857	-62.0219
29.000000	82.056	-62.9885
29.500000	82.258	-63.9267
30.000000	82.460	-64.9310
30.400000	82.613	-65.8036
30.700001	82.718	-66.4766
31.100000	82.844	-67.3471
31.500000	82.963	-68.1480
32.000000	83.113	-69.0519
32.500000	83.274	-69.9285
33.000000	83.441	-70.8737
33.500000	83.600	-71.9029
34.000000	83.743	-72.9503
34.500000	83.874	-73.9408
35.000000	84.004	-74.8610
35.500000	84.138	-75.7581
36.000000	84.271	-76.6816
36.500000	84.397	-77.6305
37.000000	84.510	-78.5511
37.500000	84.617	-79.3914
38.200001	84.774	-80.4528
38.700001	84.898	-81.2253
39.500000	85.091	-82.6553
40.000000	85.188	-83.6385
40.599998	85.274	-84.7944
41.200001	85.331	-85.8199
41.799999	85.367	-86.6329
42.500000	85.406	-87.2119
43.099998	85.470	-87.4112
43.700001	85.585	-87.5423
44.400002	85.766	-87.8980
45.000000	85.929	-88.4432
45.500000	86.057	-89.0036
46.200001	86.228	-89.8823
46.799999	86.367	-90.7261
47.500000	86.512	-91.8174
48.200001	86.635	-92.9857
48.700001	86.708	-93.8496
49.400002	86.782	-95.0626
50.000000	86.821	-96.0393
50.799999	86.849	-97.1823
51.500000	86.856	-98.0615
52.200001	86.835	-98.7775
53.000000	86.785	-99.1255
53.799999	86.770	-98.8723
54.500000	86.823	-98.4222
55.200001	86.926	-97.9618
56.000000	87.100	-97.4769
57.000000	87.403	-97.2605
58.000000	87.717	-97.7751
59.000000	87.988	-98.7081
60.000000	88.222	-99.8574
60.799999	88.379	-100.8606
61.500000	88.497	-101.7432
62.200001	88.599	-102.5962
63.000000	88.702	-103.4760
64.000000	88.832	-104.4407
65.000000	88.965	-105.3800
66.000000	89.095	-106.2903
67.000000	89.228	-107.2028
68.000000	89.354	-108.1696
69.000000	89.469	-109.1233
70.000000	89.581	-110.0659
71.000000	89.684	-111.0193
72.000000	89.776	-111.9335
73.000000	89.864	-112.7897
74.000000	89.953	-113.6081
75.000000	90.045	-114.4459
76.199997	90.148	-115.5449
77.500000	90.242	-116.7085
78.800003	90.341	-117.7863
80.000000	90.440	-118.7923
81.199997	90.535	-119.8106
82.500000	90.624	-120.8706
83.800003	90.701	-121.8393
85.000000	90.772	-122.7011
86.199997	90.837	-123.6088
87.500000	90.898	-124.6155
88.500000	90.941	-125.3852
90.000000	91.006	-126.4798
91.199997	91.065	-127.3102
92.500000	91.130	-128.2296
93.800003	91.180	-129.1456
95.000000	91.218	-129.9235
96.199997	91.256	-130.6923
97.500000	91.293	-131.5581
98.800003	91.326	-132.4306
100.000000	91.355	-133.1946
101.500000	91.397	-134.0929
103.000000	91.444	-134.9646
104.400002	91.485	-135.7774
106.000000	91.522	-136.7177
107.500000	91.550	-137.5902
109.000000	91.578	-138.4669
110.599998	91.604	-139.4011
112.000000	91.624	-140.1926
113.800003	91.647	-141.1927
115.000000	91.658	-141.8781
117.199997	91.662	-143.1939
118.000000	91.657	-143.6710
120.599998	91.628	-145.0854
122.000000	91.611	-145.7792
124.099998	91.572	-146.7598
125.000000	91.549	-147.1412
126.500000	91.507	-147.7171
128.000000	91.460	-148.2149
131.500000	91.340	-148.9716
132.000000	91.325	-149.0168
134.000000	91.284	-149.0533
136.000000	91.291	-149.0089
138.000000	91.341	-149.0914
140.000000	91.407	-149.4035
143.000000	91.490	-150.2183
145.000000	91.523	-150.8325
147.500000	91.547	-151.5847
150.000000	91.566	-152.3259
152.500000	91.586	-153.0622
155.000000	91.602	-153.7671
157.500000	91.602	-154.4754
160.000000	91.595	-155.1602
162.500000	91.604	-155.8235
165.000000	91.607	-156.4344
167.500000	91.588	-156.9082
170.000000	91.565	-157.3897
172.500000	91.553	-157.9779
175.000000	91.546	-158.5324
177.500000	91.540	-158.9916
180.000000	91.525	-159.4592
182.500000	91.504	-159.9470
185.000000	91.483	-160.4346
187.500000	91.462	-160.8761
190.000000	91.441	-161.2987
192.500000	91.417	-161.6928
195.000000	91.395	-162.0625
197.500000	91.373	-162.4405
200.000000	91.348	-162.8177
203.000000	91.315	-163.2333
206.000000	91.278	-163.5958
209.000000	91.240	-163.9008
212.000000	91.206	-164.1527
214.000000	91.187	-164.3071
218.000000	91.156	-164.6028
220.000000	91.143	-164.7580
224.000000	91.123	-165.0823
227.000000	91.106	-165.3344
230.000000	91.086	-165.5987
233.000000	91.063	-165.8594
236.000000	91.039	-166.1068
240.000000	91.007	-166.4149
243.000000	90.983	-166.6121
247.000000	90.953	-166.8342
250.000000	90.928	-166.9746
254.000000	90.895	-167.1433
258.000000	90.865	-167.3227
262.000000	90.837	-167.4966
265.000000	90.817	-167.6230
269.000000	90.791	-167.7925
272.000000	90.771	-167.9092
276.000000	90.745	-168.0262
280.000000	90.720	-168.1411
285.000000	90.686	-168.3262
290.000000	90.646	-168.4760
295.000000	90.596	-168.5144
300.000000	90.550	-168.4885
304.000000	90.514	-168.4581
307.000000	90.490	-168.4111
311.000000	90.466	-168.3201
315.000000	90.454	-168.2326
320.000000	90.448	-168.1329
325.000000	90.445	-168.0695
330.000000	90.440	-168.0337
335.000000	90.442	-167.9561
340.000000	90.440	-167.9392
345.000000	90.434	-167.9299
350.000000	90.426	-167.9036
355.000000	90.420	-167.9200
360.000000	90.423	-167.9346
365.000000	90.421	-167.9256
370.000000	90.413	-167.9331
375.000000	90.405	-167.9426
382.000000	90.397	-167.9182
387.000000	90.391	-167.8835
395.000000	90.387	-167.8533
400.000000	90.384	-167.8438
406.000000	90.380	-167.8267
412.000000	90.374	-167.8369
418.000000	90.364	-167.8731
425.000000	90.343	-167.8576
431.000000	90.323	-167.7622
437.000000	90.308	-167.6166
444.000000	90.304	-167.4417
450.000000	90.306	-167.3477
455.000000	90.304	-167.2938
462.000000	90.299	-167.2075
468.000000	90.296	-167.1153
475.000000	90.291	-167.0054
482.000000	90.287	-166.8608
487.000000	90.288	-166.7536
494.000000	90.293	-166.6487
500.000000	90.295	-166.5783
508.000000	90.293	-166.4856
515.000000	90.289	-166.3896
522.000000	90.286	-166.2766
530.000000	90.284	-166.1663
538.000000	90.277	-166.0471
545.000000	90.269	-165.9185
552.000000	90.263	-165.7748
560.000000	90.258	-165.6171
570.000000	90.250	-165.4137
580.000000	90.243	-165.1379
590.000000	90.246	-164.8448
600.000000	90.257	-164.5750
608.000000	90.267	-164.3618
615.000000	90.278	-164.2069
622.000000	90.290	-164.1056
630.000000	90.294	-164.0110
640.000000	90.291	-163.8615
650.000000	90.280	-163.6828
660.000000	90.271	-163.4202
670.000000	90.269	-163.1402
680.000000	90.269	-162.8609
690.000000	90.272	-162.5764
700.000000	90.278	-162.3358
710.000000	90.271	-162.1262
720.000000	90.256	-161.8158
730.000000	90.248	-161.4372
740.000000	90.240	-161.0194
750.000000	90.238	-160.5013
762.000000	90.271	-159.8365
775.000000	90.327	-159.3167
788.000000	90.372	-158.9066
800.000000	90.410	-158.5341
812.000000	90.447	-158.1203
825.000000	90.504	-157.6613
838.000000	90.575	-157.3316
850.000000	90.637	-157.1437
862.000000	90.692	-157.0388
875.000000	90.739	-156.9727
885.000000	90.769	-156.9435
900.000000	90.807	-156.9986
912.000000	90.814	-157.1538
925.000000	90.775	-157.3203
938.000000	90.691	-157.1709
950.000000	90.620	-156.6618
962.000000	90.574	-155.9974
975.000000	90.542	-155.1057
988.000000	90.562	-154.0181
1000.000000	90.641	-153.2108
1015.000000	90.736	-152.6946
1030.000000	90.784	-152.2654
1044.000000	90.822	-151.7117
1060.000000	90.884	-151.0372
1075.000000	90.947	-150.4558
1090.000000	91.014	-149.8339
1106.000000	91.110	-149.1569
1120.000000	91.218	-148.7301
1138.000000	91.355	-148.4792
1150.000000	91.430	-148.4038
1172.000000	91.514	-148.2876
1180.000000	91.536	-148.2068
1206.000000	91.630	-147.9945
1220.000000	91.657	-147.8989
1241.000000	91.674	-147.5293
1250.000000	91.682	-147.3193
1265.000000	91.699	-146.8486
1280.000000	91.741	-146.2246
1315.000000	91.973	-145.0316
1320.000000	92.016	-145.0001
1340.000000	92.141	-145.2690
1360.000000	92.155	-145.5378
1380.000000	92.126	-145.2808
