* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 7:07:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Poke HD-580 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.810	-51.7809
20.299999	80.980	-52.5518
20.600000	81.153	-53.3148
20.900000	81.326	-54.0988
21.200001	81.495	-54.9177
21.400000	81.603	-55.4749
21.799999	81.805	-56.5824
22.000000	81.900	-57.1158
22.400000	82.084	-58.1173
22.700001	82.219	-58.8157
23.000000	82.356	-59.4878
23.299999	82.493	-60.1517
23.600000	82.628	-60.8137
24.000000	82.805	-61.6890
24.299999	82.935	-62.3304
24.700001	83.107	-63.1605
25.000000	83.237	-63.7734
25.400000	83.410	-64.5986
25.799999	83.579	-65.4478
26.200001	83.742	-66.3123
26.500000	83.858	-66.9545
26.900000	84.007	-67.7835
27.200001	84.117	-68.3785
27.600000	84.261	-69.1396
28.000000	84.405	-69.8773
28.500000	84.586	-70.7899
29.000000	84.765	-71.7142
29.500000	84.938	-72.6559
30.000000	85.100	-73.5906
30.400000	85.222	-74.3041
30.700001	85.312	-74.8087
31.100000	85.433	-75.4474
31.500000	85.557	-76.0701
32.000000	85.716	-76.8685
32.500000	85.870	-77.7049
33.000000	86.016	-78.5521
33.500000	86.154	-79.3796
34.000000	86.289	-80.1842
34.500000	86.419	-80.9747
35.000000	86.545	-81.7450
35.500000	86.668	-82.4790
36.000000	86.790	-83.1793
36.500000	86.915	-83.8691
37.000000	87.039	-84.5676
37.500000	87.161	-85.2722
38.200001	87.326	-86.2516
38.700001	87.441	-86.9510
39.500000	87.619	-88.0895
40.000000	87.724	-88.8054
40.599998	87.845	-89.6624
41.200001	87.960	-90.5329
41.799999	88.065	-91.4202
42.500000	88.167	-92.4109
43.099998	88.247	-93.1432
43.700001	88.335	-93.7742
44.400002	88.454	-94.5031
45.000000	88.560	-95.1953
45.500000	88.644	-95.7926
46.200001	88.756	-96.5947
46.799999	88.859	-97.2726
47.500000	88.979	-98.1458
48.200001	89.083	-99.1024
48.700001	89.145	-99.7871
49.400002	89.219	-100.7168
50.000000	89.270	-101.4999
50.799999	89.315	-102.5052
51.500000	89.333	-103.2899
52.200001	89.338	-103.9521
53.000000	89.333	-104.5488
53.799999	89.323	-104.9811
54.500000	89.306	-105.2050
55.200001	89.283	-105.1769
56.000000	89.283	-104.7095
57.000000	89.395	-103.7093
58.000000	89.640	-102.9150
59.000000	89.949	-102.7098
60.000000	90.258	-103.0710
60.799999	90.481	-103.6334
61.500000	90.658	-104.2435
62.200001	90.818	-104.9259
63.000000	90.981	-105.7550
64.000000	91.162	-106.8223
65.000000	91.320	-107.9086
66.000000	91.460	-108.9777
67.000000	91.584	-110.0054
68.000000	91.699	-110.9740
69.000000	91.811	-111.8831
70.000000	91.922	-112.7700
71.000000	92.029	-113.6435
72.000000	92.134	-114.5092
73.000000	92.235	-115.3702
74.000000	92.331	-116.2108
75.000000	92.426	-117.0466
76.199997	92.532	-118.0773
77.500000	92.631	-119.1823
78.800003	92.722	-120.2300
80.000000	92.804	-121.1777
81.199997	92.883	-122.1154
82.500000	92.965	-123.1199
83.800003	93.044	-124.0986
85.000000	93.113	-124.9780
86.199997	93.179	-125.8337
87.500000	93.246	-126.7452
88.500000	93.295	-127.4424
90.000000	93.364	-128.4786
91.199997	93.417	-129.3013
92.500000	93.471	-130.1840
93.800003	93.524	-131.0537
95.000000	93.568	-131.8502
96.199997	93.607	-132.6287
97.500000	93.642	-133.4404
98.800003	93.673	-134.2137
100.000000	93.700	-134.8973
101.500000	93.734	-135.7296
103.000000	93.769	-136.5575
104.400002	93.797	-137.3263
106.000000	93.822	-138.1769
107.500000	93.837	-138.9142
109.000000	93.851	-139.5670
110.599998	93.875	-140.1779
112.000000	93.911	-140.7100
113.800003	93.966	-141.4844
115.000000	93.999	-142.0548
117.199997	94.044	-143.1381
118.000000	94.055	-143.5270
120.599998	94.081	-144.7560
122.000000	94.090	-145.4047
124.099998	94.100	-146.3411
125.000000	94.104	-146.7349
126.500000	94.109	-147.3908
128.000000	94.110	-148.0551
131.500000	94.068	-149.6028
132.000000	94.055	-149.7971
134.000000	93.994	-150.4025
136.000000	93.944	-150.7134
138.000000	93.931	-150.8736
140.000000	93.950	-151.0793
143.000000	94.003	-151.6033
145.000000	94.039	-152.0677
147.500000	94.078	-152.7402
150.000000	94.106	-153.4670
152.500000	94.121	-154.1982
155.000000	94.129	-154.9093
157.500000	94.130	-155.6006
160.000000	94.124	-156.2623
162.500000	94.114	-156.8883
165.000000	94.101	-157.4722
167.500000	94.088	-158.0112
170.000000	94.074	-158.5176
172.500000	94.062	-159.0064
175.000000	94.051	-159.4684
177.500000	94.041	-159.8895
180.000000	94.030	-160.3132
182.500000	94.012	-160.7650
185.000000	93.991	-161.1917
187.500000	93.974	-161.5834
190.000000	93.960	-161.9509
192.500000	93.945	-162.3048
195.000000	93.930	-162.6533
197.500000	93.916	-162.9962
200.000000	93.900	-163.3311
203.000000	93.881	-163.7228
206.000000	93.859	-164.0965
209.000000	93.835	-164.4447
212.000000	93.809	-164.7638
214.000000	93.793	-164.9594
218.000000	93.764	-165.3136
220.000000	93.750	-165.4811
224.000000	93.725	-165.8156
227.000000	93.705	-166.0606
230.000000	93.685	-166.2854
233.000000	93.665	-166.4868
236.000000	93.647	-166.6738
240.000000	93.627	-166.9169
243.000000	93.615	-167.0994
247.000000	93.597	-167.3392
250.000000	93.584	-167.5184
