* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 11:05:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Poke HD-800s L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.026	-80.0666
20.299999	84.141	-81.1157
20.600000	84.253	-82.1506
20.900000	84.360	-83.1688
21.200001	84.464	-84.1665
21.400000	84.531	-84.8192
21.799999	84.663	-86.0969
22.000000	84.727	-86.7231
22.400000	84.853	-87.9542
22.700001	84.944	-88.8601
23.000000	85.033	-89.7505
23.299999	85.120	-90.6243
23.600000	85.205	-91.4821
24.000000	85.317	-92.6042
24.299999	85.398	-93.4343
24.700001	85.504	-94.5291
25.000000	85.580	-95.3401
25.400000	85.677	-96.4011
25.799999	85.769	-97.4290
26.200001	85.858	-98.4198
26.500000	85.923	-99.1422
26.900000	86.010	-100.0862
27.200001	86.074	-100.7855
27.600000	86.157	-101.7096
28.000000	86.237	-102.6218
28.500000	86.331	-103.7384
29.000000	86.422	-104.8258
29.500000	86.508	-105.8888
30.000000	86.591	-106.9328
30.400000	86.655	-107.7552
30.700001	86.701	-108.3641
31.100000	86.760	-109.1648
31.500000	86.816	-109.9523
32.000000	86.884	-110.9156
32.500000	86.947	-111.8531
33.000000	87.009	-112.7656
33.500000	87.068	-113.6579
34.000000	87.125	-114.5354
34.500000	87.179	-115.3978
35.000000	87.228	-116.2397
35.500000	87.275	-117.0543
36.000000	87.318	-117.8395
36.500000	87.361	-118.5999
37.000000	87.402	-119.3459
37.500000	87.441	-120.0853
38.200001	87.487	-121.0975
38.700001	87.513	-121.7778
39.500000	87.553	-122.7507
40.000000	87.582	-123.2996
40.599998	87.625	-123.9358
41.200001	87.675	-124.5823
41.799999	87.728	-125.2574
42.500000	87.790	-126.0892
43.099998	87.841	-126.8381
43.700001	87.888	-127.6179
44.400002	87.932	-128.5610
45.000000	87.958	-129.3749
45.500000	87.970	-130.0280
46.200001	87.978	-130.8756
46.799999	87.980	-131.5441
