* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 10:52:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Poke MDR-CD1700 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.834	-59.9158
20.299999	77.006	-60.6190
20.600000	77.169	-61.2766
20.900000	77.325	-61.8609
21.200001	77.481	-62.3649
21.400000	77.588	-62.6667
21.799999	77.810	-63.2217
22.000000	77.924	-63.4937
22.400000	78.159	-64.0614
22.700001	78.337	-64.5214
23.000000	78.512	-65.0131
23.299999	78.683	-65.5300
23.600000	78.849	-66.0642
24.000000	79.063	-66.7914
24.299999	79.217	-67.3413
24.700001	79.417	-68.0780
25.000000	79.562	-68.6357
25.400000	79.751	-69.3934
25.799999	79.933	-70.1757
26.200001	80.106	-70.9828
26.500000	80.228	-71.5953
26.900000	80.381	-72.3988
27.200001	80.488	-72.9708
27.600000	80.628	-73.6710
28.000000	80.771	-74.3002
28.500000	80.964	-75.0468
29.000000	81.171	-75.8625
29.500000	81.377	-76.8108
30.000000	81.565	-77.8348
30.400000	81.702	-78.6259
30.700001	81.801	-79.1752
31.100000	81.935	-79.8571
31.500000	82.074	-80.5221
32.000000	82.250	-81.3943
32.500000	82.418	-82.3240
33.000000	82.572	-83.2668
33.500000	82.712	-84.1948
34.000000	82.837	-85.1094
34.500000	82.940	-85.9777
35.000000	83.023	-86.7082
35.500000	83.099	-87.2194
36.000000	83.193	-87.5404
36.500000	83.315	-87.7928
37.000000	83.460	-88.0956
37.500000	83.618	-88.4910
38.200001	83.850	-89.2053
38.700001	84.020	-89.8457
39.500000	84.276	-91.0871
40.000000	84.419	-91.9220
40.599998	84.578	-92.8939
41.200001	84.736	-93.8134
41.799999	84.901	-94.7376
