* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:52:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sam HD-580 BS L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.240	-36.0212
20.299999	60.420	-37.6790
20.600000	60.528	-38.7958
20.900000	60.637	-39.2344
21.200001	60.822	-39.2496
21.400000	60.997	-39.3532
21.799999	61.399	-40.2675
22.000000	61.575	-41.1882
22.400000	61.764	-43.6871
22.700001	61.722	-45.3679
23.000000	61.557	-45.9814
23.299999	61.404	-45.1305
23.600000	61.422	-43.1876
24.000000	61.849	-40.4168
24.299999	62.381	-39.6418
24.700001	63.073	-41.2481
25.000000	63.396	-43.9500
25.400000	63.473	-47.9146
25.799999	63.238	-50.2279
26.200001	62.980	-49.9426
26.500000	62.968	-48.6282
26.900000	63.267	-46.9930
27.200001	63.610	-46.7729
27.600000	64.010	-47.9359
28.000000	64.235	-49.6171
28.500000	64.410	-50.7121
29.000000	64.766	-51.0074
29.500000	65.295	-52.5105
30.000000	65.672	-55.9670
30.400000	65.721	-59.0134
30.700001	65.630	-60.6615
31.100000	65.469	-61.4984
31.500000	65.416	-61.1289
32.000000	65.591	-60.4256
32.500000	65.881	-60.6276
33.000000	66.115	-61.4627
33.500000	66.300	-62.1757
34.000000	66.516	-62.7479
34.500000	66.756	-63.6518
35.000000	66.950	-64.9452
35.500000	67.077	-66.2125
36.000000	67.185	-67.2010
36.500000	67.313	-68.0776
37.000000	67.447	-69.0763
37.500000	67.561	-70.1712
38.200001	67.685	-71.5637
38.700001	67.769	-72.3612
39.500000	67.932	-73.2478
40.000000	68.088	-73.6413
40.599998	68.340	-74.3093
41.200001	68.601	-75.4824
41.799999	68.810	-76.9344
42.500000	69.002	-78.4611
43.099998	69.173	-79.6111
43.700001	69.349	-80.8369
44.400002	69.534	-82.4023
45.000000	69.670	-83.8026
45.500000	69.762	-85.0132
46.200001	69.844	-86.6844
46.799999	69.879	-87.9043
47.500000	69.921	-89.0298
48.200001	69.983	-90.0947
48.700001	70.023	-90.9027
49.400002	70.057	-91.9587
50.000000	70.087	-92.6814
50.799999	70.165	-93.6324
51.500000	70.228	-94.7708
52.200001	70.218	-95.9819
53.000000	70.133	-96.7638
53.799999	70.078	-96.7247
54.500000	70.102	-96.4076
55.200001	70.174	-96.0846
56.000000	70.291	-95.7313
57.000000	70.484	-95.2430
58.000000	70.768	-94.7795
59.000000	71.134	-95.0754
60.000000	71.412	-96.3526
60.799999	71.539	-97.3172
61.500000	71.642	-97.8945
62.200001	71.764	-98.4369
63.000000	71.905	-99.1641
64.000000	72.073	-100.1152
65.000000	72.247	-101.1155
66.000000	72.411	-102.2291
67.000000	72.561	-103.3012
68.000000	72.722	-104.3261
69.000000	72.887	-105.4584
70.000000	73.043	-106.6449
71.000000	73.200	-107.9058
72.000000	73.338	-109.3085
73.000000	73.443	-110.7091
74.000000	73.526	-112.0156
75.000000	73.594	-113.2094
76.199997	73.664	-114.5435
77.500000	73.713	-115.9856
78.800003	73.710	-117.2377
80.000000	73.726	-117.9929
81.199997	73.803	-118.9008
82.500000	73.879	-120.2200
83.800003	73.935	-121.5417
85.000000	73.986	-122.6141
86.199997	74.055	-123.6164
87.500000	74.125	-124.7450
88.500000	74.167	-125.5838
90.000000	74.213	-126.8895
91.199997	74.211	-127.9536
92.500000	74.189	-128.8988
93.800003	74.182	-129.7167
95.000000	74.184	-130.4621
96.199997	74.184	-131.0840
97.500000	74.209	-131.5628
98.800003	74.262	-132.0950
100.000000	74.304	-132.6489
101.500000	74.354	-133.3735
103.000000	74.389	-134.2895
104.400002	74.383	-135.1909
106.000000	74.356	-135.9790
107.500000	74.356	-136.5077
109.000000	74.398	-137.0432
110.599998	74.467	-137.8210
112.000000	74.512	-138.6753
113.800003	74.525	-139.6996
115.000000	74.520	-140.2247
117.199997	74.505	-141.0842
118.000000	74.492	-141.4054
120.599998	74.470	-142.1980
