* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 7:31:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 1 L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.021 -104.9835
20.600000 85.091 -105.6544
20.900000 85.172 -106.3862
21.200001 85.256 -107.0988
21.400000 85.314 -107.5647
21.799999 85.439 -108.4941
22.000000 85.504 -108.9644
22.400000 85.636 -109.9181
22.700001 85.731 -110.6336
23.000000 85.819 -111.3321
23.299999 85.898 -111.9985
23.600000 85.971 -112.6260
24.000000 86.062 -113.4129
24.299999 86.130 -113.9888
24.700001 86.220 -114.7803
25.000000 86.289 -115.4118
25.400000 86.377 -116.3045
25.799999 86.461 -117.2201
26.200001 86.540 -118.1072
26.500000 86.599 -118.7339
26.900000 86.681 -119.5215
27.200001 86.745 -120.0936
27.600000 86.829 -120.8578
28.000000 86.904 -121.6324
28.500000 86.982 -122.5859
29.000000 87.047 -123.4799
29.500000 87.113 -124.3270
30.000000 87.188 -125.1946
30.400000 87.249 -125.9344
30.700001 87.293 -126.5088
31.100000 87.346 -127.2733
31.500000 87.392 -128.0028
32.000000 87.443 -128.8415
32.500000 87.488 -129.6084
33.000000 87.527 -130.3227
33.500000 87.562 -130.9878
34.000000 87.603 -131.6112
34.500000 87.656 -132.2313
35.000000 87.722 -132.9006
35.500000 87.790 -133.6404
36.000000 87.851 -134.4255
36.500000 87.901 -135.2210
37.000000 87.945 -136.0206
37.500000 87.986 -136.8349
38.200001 88.036 -137.9647
38.700001 88.066 -138.7099
39.500000 88.101 -139.8007
40.000000 88.109 -140.5038
40.599998 88.098 -141.4186
41.200001 88.079 -142.3503
41.799999 88.078 -143.1978
42.500000 88.110 -144.0236
43.099998 88.142 -144.6577
43.700001 88.143 -145.3356
44.400002 88.095 -146.1996
45.000000 88.060 -146.9293
45.500000 88.071 -147.5466
46.200001 88.119 -148.4787
46.799999 88.110 -149.1562
47.500000 88.023 -149.6331
48.200001 87.926 -150.4993
48.700001 87.850 -151.8662
49.400002 87.665 -154.2277
50.000000 87.476 -155.1990
50.799999 87.409 -154.1063
51.500000 87.513 -152.5516
52.200001 87.549 -151.6186
53.000000 87.468 -151.0398
53.799999 87.411 -150.8105
54.500000 87.407 -150.7614
55.200001 87.425 -150.5200
56.000000 87.468 -150.1427
57.000000 87.513 -150.0609
58.000000 87.564 -150.1608
59.000000 87.649 -150.2679
60.000000 87.730 -150.3644
60.799999 87.795 -150.4221
61.500000 87.854 -150.5217
62.200001 87.907 -150.6996
63.000000 87.951 -150.9672
64.000000 88.003 -151.3036
65.000000 88.068 -151.6085
66.000000 88.134 -151.8964
67.000000 88.193 -152.2038
68.000000 88.242 -152.4910
69.000000 88.294 -152.6560
70.000000 88.361 -152.8986
71.000000 88.422 -153.3383
72.000000 88.479 -153.7627
73.000000 88.541 -154.1325
74.000000 88.599 -154.5130
75.000000 88.658 -154.9308
76.199997 88.732 -155.5165
77.500000 88.810 -156.2111
78.800003 88.877 -156.9200
80.000000 88.926 -157.5982
81.199997 88.970 -158.3403
82.500000 89.014 -159.0931
83.800003 89.054 -159.7897
85.000000 89.080 -160.4801
86.199997 89.095 -161.1513
87.500000 89.102 -161.8350
88.500000 89.107 -162.3530
90.000000 89.114 -163.1181
91.199997 89.113 -163.7089
92.500000 89.110 -164.3613
93.800003 89.104 -165.0285
95.000000 89.094 -165.5754
96.199997 89.079 -166.0616
97.500000 89.055 -166.5867
98.800003 89.029 -167.0962
100.000000 89.011 -167.5893
101.500000 88.981 -168.1467
103.000000 88.953 -168.6106
104.400002 88.931 -169.0367
106.000000 88.904 -169.5424
107.500000 88.879 -170.0016
109.000000 88.854 -170.4805
110.599998 88.823 -171.0038
112.000000 88.796 -171.4832
113.800003 88.760 -172.1376
115.000000 88.725 -172.5827
117.199997 88.641 -173.3924
118.000000 88.604 -173.6755
120.599998 88.458 -174.4337
122.000000 88.360 -174.7125
124.099998 88.207 -174.9627
125.000000 88.141 -174.9715
126.500000 88.035 -174.8138
128.000000 87.946 -174.4668
131.500000 87.867 -173.6478
132.000000 87.868 -173.6003
134.000000 87.875 -173.5381
136.000000 87.869 -173.6893
138.000000 87.830 -173.9639
140.000000 87.748 -174.1961
143.000000 87.561 -174.0190
145.000000 87.455 -173.2957
147.500000 87.417 -172.0177
150.000000 87.478 -170.8805
152.500000 87.584 -170.4698
155.000000 87.684 -170.4640
157.500000 87.757 -170.5884
160.000000 87.803 -170.7892
162.500000 87.827 -171.0576
165.000000 87.829 -171.3037
167.500000 87.814 -171.5463
170.000000 87.804 -171.7717
172.500000 87.821 -171.6870
175.000000 87.834 -171.5249
177.500000 87.846 -171.4673
180.000000 87.856 -171.4667
182.500000 87.868 -171.5343
185.000000 87.883 -171.7086
187.500000 87.886 -171.9268
190.000000 87.883 -172.1487
192.500000 87.874 -172.3008
195.000000 87.859 -172.3535
197.500000 87.842 -172.3726
200.000000 87.824 -172.4142
203.000000 87.810 -172.3889
206.000000 87.800 -172.2918
209.000000 87.795 -172.1869
212.000000 87.809 -172.0844
214.000000 87.825 -172.0781
218.000000 87.837 -172.2293
220.000000 87.848 -172.2218
224.000000 87.875 -172.4995
227.000000 87.860 -172.6512
230.000000 87.843 -172.7873
233.000000 87.821 -172.9974
236.000000 87.791 -173.1329
240.000000 87.756 -173.1778
243.000000 87.736 -173.1287
247.000000 87.719 -173.0887
250.000000 87.706 -173.0870
254.000000 87.679 -173.1783
258.000000 87.637 -172.9876
262.000000 87.589 -172.6350
265.000000 87.537 -172.4431
269.000000 87.474 -172.1051
272.000000 87.459 -171.7734
276.000000 87.467 -171.2984
280.000000 87.489 -170.8362
285.000000 87.545 -170.3736
290.000000 87.603 -170.2369
295.000000 87.644 -170.1950
300.000000 87.677 -170.1618
304.000000 87.691 -170.2159
307.000000 87.690 -170.3076
311.000000 87.672 -170.3807
315.000000 87.666 -170.4300
320.000000 87.749 -170.5815
325.000000 87.914 -170.5910
330.000000 87.830 -169.9209
335.000000 87.719 -169.0307
340.000000 87.733 -168.7067
345.000000 87.776 -168.6655
350.000000 87.806 -168.5695
355.000000 87.825 -168.4844
360.000000 87.835 -168.3560
365.000000 87.851 -168.1395
370.000000 87.879 -167.9140
375.000000 87.900 -167.7924
382.000000 87.920 -167.6656
387.000000 87.942 -167.3975
395.000000 87.981 -167.1518
400.000000 87.996 -166.8332
406.000000 88.017 -166.1604
412.000000 88.056 -166.0030
418.000000 88.089 -166.3152
425.000000 88.166 -166.4425
431.000000 88.207 -166.3340
437.000000 88.248 -166.2733
444.000000 88.307 -166.1246
450.000000 88.365 -166.0276
455.000000 88.417 -166.0555
462.000000 88.485 -166.1007
468.000000 88.522 -166.1965
475.000000 88.550 -166.3116
482.000000 88.588 -166.3851
487.000000 88.620 -166.4096
494.000000 88.662 -166.4948
500.000000 88.693 -166.5752
508.000000 88.739 -166.7123
515.000000 88.773 -166.8326
522.000000 88.797 -167.0057
530.000000 88.819 -167.1575
538.000000 88.841 -167.1565
545.000000 88.849 -167.2502
552.000000 88.842 -167.3109
560.000000 88.840 -167.2181
570.000000 88.880 -166.9762
580.000000 88.942 -166.9142
590.000000 89.008 -167.0278
600.000000 89.049 -167.2280
608.000000 89.079 -167.3012
615.000000 89.111 -167.3896
622.000000 89.140 -167.5286
630.000000 89.164 -167.6736
640.000000 89.192 -167.8118
650.000000 89.218 -167.9562
660.000000 89.255 -168.0792
670.000000 89.300 -168.3071
680.000000 89.334 -168.6324
690.000000 89.363 -168.9966
700.000000 89.396 -169.5069
710.000000 89.419 -170.4330
720.000000 89.317 -172.0866
730.000000 88.914 -172.9703
740.000000 88.553 -170.1023
750.000000 88.667 -167.1143
762.000000 88.957 -166.2544
775.000000 89.141 -166.3727
788.000000 89.242 -166.4570
800.000000 89.331 -166.4189
812.000000 89.423 -166.4168
825.000000 89.546 -166.4342
838.000000 89.695 -166.7076
850.000000 89.848 -167.4303
862.000000 89.937 -169.0277
875.000000 89.781 -171.1265
885.000000 89.490 -171.4636
900.000000 89.252 -169.0150
912.000000 89.407 -167.3094
925.000000 89.647 -167.1004
938.000000 89.809 -167.7151
950.000000 89.884 -168.4249
962.000000 89.920 -169.0254
975.000000 89.936 -169.5990
988.000000 89.943 -170.1086
1000.000000 89.930 -170.6813
1015.000000 89.866 -171.2150
1030.000000 89.817 -171.3416
1044.000000 89.792 -171.5060
1060.000000 89.754 -171.6455
1075.000000 89.724 -171.7345
1090.000000 89.692 -171.7630
1106.000000 89.680 -171.8074
1120.000000 89.660 -172.0116
1138.000000 89.608 -172.0903
1150.000000 89.590 -172.0536
1172.000000 89.549 -172.1192
1180.000000 89.532 -172.1367
1206.000000 89.471 -172.0954
1220.000000 89.448 -172.0509
1241.000000 89.413 -172.2176
1250.000000 89.381 -172.3474
1265.000000 89.312 -172.4684
1280.000000 89.213 -172.6378
1315.000000 88.966 -171.0134
1320.000000 88.962 -170.7522
1340.000000 88.965 -169.9998
1360.000000 88.970 -169.5285
1380.000000 88.957 -169.0726
1400.000000 88.953 -168.6032
1430.000000 88.935 -168.0298
1450.000000 88.876 -167.6429
1475.000000 88.839 -166.5104
1500.000000 88.858 -165.6687
1525.000000 88.853 -164.8618
1550.000000 88.885 -163.7012
1575.000000 88.963 -162.9360
1600.000000 89.025 -162.2495
1625.000000 89.077 -161.6692
1650.000000 89.135 -160.9187
1675.000000 89.209 -160.3459
1700.000000 89.276 -159.8993
1725.000000 89.330 -159.4366
1750.000000 89.385 -159.0944
1775.000000 89.405 -158.7296
1800.000000 89.418 -158.2560
1825.000000 89.418 -157.7531
1850.000000 89.371 -157.0717
1875.000000 89.345 -155.5678
1900.000000 89.443 -153.9322
1925.000000 89.597 -152.7192
1950.000000 89.762 -151.9421
1975.000000 89.886 -151.3177
2000.000000 90.012 -150.5304
2030.000000 90.189 -149.7265
2060.000000 90.353 -149.0825
2090.000000 90.500 -148.4053
2120.000000 90.672 -147.6000
2140.000000 90.795 -147.2135
2180.000000 91.017 -146.3499
2200.000000 91.144 -145.8694
2240.000000 91.430 -145.0056
2270.000000 91.663 -144.6112
2300.000000 91.879 -144.3666
2330.000000 92.092 -144.0921
2360.000000 92.317 -143.8856
2400.000000 92.606 -143.8148
2430.000000 92.809 -143.7522
2470.000000 93.094 -143.5002
2500.000000 93.354 -143.2755
2540.000000 93.762 -143.4916
2580.000000 94.137 -144.4919
2620.000000 94.440 -145.7005
2650.000000 94.641 -146.6575
2690.000000 94.870 -147.9941
2720.000000 95.009 -148.9454
2760.000000 95.170 -149.9286
2800.000000 95.372 -150.6101
2850.000000 95.708 -151.7315
2900.000000 96.069 -153.6241
2950.000000 96.352 -156.2155
3000.000000 96.540 -158.9711
3040.000000 96.637 -161.1751
3070.000000 96.683 -162.7780
3110.000000 96.724 -164.8479
3150.000000 96.740 -166.9097
3200.000000 96.711 -169.4043
3250.000000 96.648 -171.6693
3300.000000 96.565 -173.7793
3350.000000 96.467 -175.7761
3400.000000 96.345 -177.7145
3450.000000 96.192 -179.4610
3500.000000 96.037 179.0136
3550.000000 95.878 177.5463
3600.000000 95.704 176.1732
3650.000000 95.526 174.9502
3700.000000 95.340 173.7372
3750.000000 95.129 172.6007
3820.000000 94.788 171.3167
3870.000000 94.526 170.8200
3950.000000 94.157 170.7017
4000.000000 93.981 170.8026
4060.000000 93.806 170.8315
4120.000000 93.644 170.6906
4180.000000 93.444 170.4391
4250.000000 93.160 170.5958
4310.000000 92.936 171.3232
4370.000000 92.780 172.3379
4440.000000 92.665 173.5442
4500.000000 92.616 174.6113
4550.000000 92.615 175.4279
4620.000000 92.645 176.2953
4680.000000 92.662 176.8546
4750.000000 92.670 177.6267
4820.000000 92.673 178.6456
4870.000000 92.684 179.7953
4940.000000 92.837 -177.7432
