* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 7:23:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 1 R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.287 -107.1148
20.600000 85.353 -107.8010
20.900000 85.432 -108.5608
21.200001 85.514 -109.3175
21.400000 85.570 -109.8199
21.799999 85.685 -110.8250
22.000000 85.744 -111.3270
22.400000 85.860 -112.3203
22.700001 85.944 -113.0455
23.000000 86.026 -113.7464
23.299999 86.105 -114.4228
23.600000 86.183 -115.0820
24.000000 86.286 -115.9546
24.299999 86.361 -116.6173
24.700001 86.456 -117.5152
25.000000 86.520 -118.1883
25.400000 86.599 -119.0586
25.799999 86.671 -119.8763
26.200001 86.741 -120.6447
26.500000 86.794 -121.2058
26.900000 86.865 -121.9612
27.200001 86.918 -122.5432
27.600000 86.985 -123.3364
28.000000 87.050 -124.1306
28.500000 87.133 -125.0997
29.000000 87.221 -126.0418
29.500000 87.310 -126.9713
30.000000 87.394 -127.8886
30.400000 87.455 -128.6077
30.700001 87.497 -129.1403
31.100000 87.551 -129.8498
31.500000 87.599 -130.5653
32.000000 87.653 -131.4551
32.500000 87.701 -132.3017
33.000000 87.751 -133.0907
33.500000 87.808 -133.8685
34.000000 87.866 -134.6976
34.500000 87.915 -135.5839
35.000000 87.951 -136.4709
35.500000 87.982 -137.3069
36.000000 88.020 -138.0948
36.500000 88.067 -138.8679
37.000000 88.119 -139.6405
37.500000 88.170 -140.4044
38.200001 88.233 -141.4476
38.700001 88.269 -142.1697
39.500000 88.319 -143.2731
40.000000 88.351 -143.9467
40.599998 88.381 -144.7249
41.200001 88.383 -145.3350
41.799999 88.353 -145.6443
42.500000 88.296 -145.7735
43.099998 88.227 -145.9920
43.700001 88.131 -146.4622
44.400002 87.992 -147.2691
45.000000 87.858 -148.0839
45.500000 87.745 -148.8299
46.200001 87.625 -150.2084
46.799999 87.589 -152.0186
47.500000 87.630 -154.5637
48.200001 87.804 -156.2782
48.700001 88.034 -156.6124
49.400002 88.379 -156.5565
50.000000 88.466 -156.5994
50.799999 88.125 -156.3888
51.500000 87.645 -155.7746
52.200001 87.320 -155.6805
53.000000 87.190 -156.3184
53.799999 87.185 -156.2651
54.500000 87.202 -155.4703
55.200001 87.185 -154.7009
56.000000 87.141 -154.2979
57.000000 87.175 -154.2305
58.000000 87.287 -153.9548
59.000000 87.375 -153.5621
60.000000 87.431 -153.5749
60.799999 87.486 -153.8721
61.500000 87.525 -154.1529
62.200001 87.544 -154.2819
63.000000 87.560 -154.2729
64.000000 87.603 -154.3637
65.000000 87.652 -154.5824
66.000000 87.693 -154.7123
67.000000 87.736 -154.7808
68.000000 87.786 -154.9088
69.000000 87.838 -155.0810
70.000000 87.901 -155.2174
71.000000 87.989 -155.3712
72.000000 88.082 -155.5965
73.000000 88.164 -155.8596
74.000000 88.246 -156.1815
75.000000 88.326 -156.5950
76.199997 88.405 -157.1051
77.500000 88.488 -157.6620
78.800003 88.573 -158.3052
80.000000 88.639 -158.9131
81.199997 88.684 -159.5833
82.500000 88.723 -160.3761
83.800003 88.768 -161.1778
85.000000 88.806 -161.9015
86.199997 88.831 -162.5721
87.500000 88.850 -163.2273
88.500000 88.860 -163.7533
90.000000 88.875 -164.6863
91.199997 88.874 -165.4624
92.500000 88.850 -166.0768
93.800003 88.829 -166.6245
95.000000 88.814 -167.1545
96.199997 88.795 -167.6036
97.500000 88.757 -168.1050
98.800003 88.708 -168.6703
100.000000 88.684 -169.0508
101.500000 88.687 -169.3542
103.000000 88.684 -169.6720
104.400002 88.676 -170.0033
106.000000 88.666 -170.4194
107.500000 88.656 -170.8885
109.000000 88.642 -171.3615
110.599998 88.626 -171.8183
112.000000 88.605 -172.2532
113.800003 88.576 -172.8019
115.000000 88.558 -173.1392
117.199997 88.514 -173.7859
118.000000 88.495 -174.0080
120.599998 88.428 -174.6715
122.000000 88.386 -175.0601
124.099998 88.314 -175.5914
125.000000 88.282 -175.7880
126.500000 88.229 -176.0536
128.000000 88.179 -176.2135
131.500000 88.079 -176.6952
132.000000 88.068 -176.8139
134.000000 88.013 -177.3635
136.000000 87.933 -177.9038
138.000000 87.815 -178.2414
140.000000 87.663 -178.4596
143.000000 87.409 -178.1214
145.000000 87.288 -177.3792
147.500000 87.221 -176.3972
150.000000 87.213 -175.6644
152.500000 87.235 -175.3647
155.000000 87.247 -175.1405
157.500000 87.244 -174.8797
160.000000 87.237 -174.6333
162.500000 87.246 -174.3504
165.000000 87.267 -174.1290
167.500000 87.291 -174.1522
170.000000 87.307 -174.3855
172.500000 87.339 -174.1059
175.000000 87.359 -173.9957
177.500000 87.364 -174.0480
180.000000 87.366 -174.0878
182.500000 87.376 -174.2523
185.000000 87.377 -174.4205
187.500000 87.362 -174.5757
190.000000 87.339 -174.6902
192.500000 87.331 -174.7339
195.000000 87.321 -174.7712
197.500000 87.298 -174.7781
200.000000 87.273 -174.7336
203.000000 87.235 -174.6362
206.000000 87.201 -174.5201
209.000000 87.176 -174.3133
212.000000 87.155 -174.0954
214.000000 87.145 -173.9432
218.000000 87.139 -173.6479
220.000000 87.139 -173.4940
224.000000 87.140 -173.1876
227.000000 87.150 -172.9909
230.000000 87.167 -172.7490
233.000000 87.186 -172.4922
236.000000 87.210 -172.3018
240.000000 87.256 -172.1540
243.000000 87.295 -172.2224
247.000000 87.335 -172.3920
250.000000 87.351 -172.5141
254.000000 87.356 -172.5597
258.000000 87.353 -172.5972
262.000000 87.350 -172.6381
265.000000 87.347 -172.6516
269.000000 87.343 -172.6456
272.000000 87.341 -172.6625
276.000000 87.335 -172.7355
280.000000 87.324 -172.7064
285.000000 87.308 -172.5756
290.000000 87.300 -172.5051
295.000000 87.301 -172.4531
300.000000 87.301 -172.3577
304.000000 87.292 -172.3083
307.000000 87.280 -172.2526
311.000000 87.264 -172.1372
315.000000 87.247 -171.9726
320.000000 87.231 -171.6495
325.000000 87.234 -171.2772
330.000000 87.250 -170.9225
335.000000 87.268 -170.6128
340.000000 87.303 -170.3319
345.000000 87.354 -170.1851
350.000000 87.396 -170.1372
355.000000 87.424 -170.1570
360.000000 87.444 -170.2113
365.000000 87.446 -170.1718
370.000000 87.441 -170.0166
375.000000 87.460 -169.9242
382.000000 87.488 -169.8478
387.000000 87.494 -169.9189
395.000000 87.497 -169.8624
400.000000 87.495 -169.7455
406.000000 87.488 -169.5223
412.000000 87.490 -169.1711
418.000000 87.500 -168.7901
425.000000 87.514 -168.4749
431.000000 87.537 -168.0265
437.000000 87.583 -167.5377
444.000000 87.664 -167.1289
450.000000 87.751 -166.9355
455.000000 87.825 -166.8606
462.000000 87.920 -166.8494
468.000000 87.993 -166.9993
475.000000 88.057 -167.2273
482.000000 88.103 -167.4007
487.000000 88.131 -167.5437
494.000000 88.169 -167.7544
500.000000 88.197 -167.9136
508.000000 88.222 -168.1120
515.000000 88.238 -168.2383
522.000000 88.254 -168.2813
530.000000 88.282 -168.2976
538.000000 88.313 -168.3763
545.000000 88.338 -168.4648
552.000000 88.360 -168.5341
560.000000 88.391 -168.6005
570.000000 88.432 -168.7986
580.000000 88.456 -169.0299
590.000000 88.474 -169.2144
600.000000 88.489 -169.3311
608.000000 88.504 -169.3656
615.000000 88.524 -169.4339
622.000000 88.544 -169.5960
630.000000 88.556 -169.8014
640.000000 88.563 -169.9719
650.000000 88.581 -170.1227
660.000000 88.602 -170.3746
670.000000 88.620 -170.7063
680.000000 88.637 -171.2213
690.000000 88.614 -172.2030
700.000000 88.395 -173.4772
710.000000 88.015 -172.4234
720.000000 87.977 -169.4170
730.000000 88.197 -168.2530
740.000000 88.367 -168.3183
750.000000 88.457 -168.5978
762.000000 88.504 -168.8943
775.000000 88.535 -169.0110
788.000000 88.554 -169.1098
800.000000 88.565 -169.1080
812.000000 88.583 -169.1273
825.000000 88.593 -169.1709
838.000000 88.616 -169.1250
850.000000 88.654 -169.1993
862.000000 88.678 -169.5351
875.000000 88.618 -170.0193
885.000000 88.520 -169.8708
900.000000 88.468 -168.5122
912.000000 88.592 -167.4927
925.000000 88.788 -167.3914
938.000000 88.930 -168.0188
950.000000 88.998 -168.8307
962.000000 89.004 -169.6835
975.000000 88.951 -170.3924
988.000000 88.870 -170.7061
1000.000000 88.804 -170.7488
1015.000000 88.741 -170.6985
1030.000000 88.692 -170.5084
1044.000000 88.684 -170.2639
1060.000000 88.696 -170.2788
1075.000000 88.691 -170.4576
1090.000000 88.661 -170.7224
1106.000000 88.578 -170.9797
1120.000000 88.478 -170.9012
1138.000000 88.354 -170.3891
1150.000000 88.298 -169.8372
1172.000000 88.288 -168.7991
1180.000000 88.305 -168.5577
1206.000000 88.341 -168.3300
1220.000000 88.314 -168.3493
1241.000000 88.213 -168.0767
1250.000000 88.169 -167.6962
1265.000000 88.147 -166.8588
1280.000000 88.190 -166.3007
1315.000000 88.161 -166.5622
1320.000000 88.119 -166.6036
1340.000000 87.900 -165.7063
1360.000000 87.819 -163.7092
1380.000000 87.882 -161.9155
1400.000000 88.015 -160.7692
1430.000000 88.134 -159.8040
1450.000000 88.216 -158.8174
1475.000000 88.369 -158.2090
1500.000000 88.418 -157.7643
1525.000000 88.491 -156.6382
1550.000000 88.649 -155.9342
1575.000000 88.737 -155.7022
1600.000000 88.815 -155.0283
1625.000000 88.912 -154.6267
1650.000000 88.964 -154.1174
1675.000000 89.051 -153.2742
1700.000000 89.204 -152.6904
1725.000000 89.330 -152.8407
1750.000000 89.337 -153.0864
1775.000000 89.284 -152.8453
1800.000000 89.183 -152.2274
1825.000000 89.060 -150.4686
1850.000000 89.130 -147.6233
1875.000000 89.408 -145.5300
1900.000000 89.696 -144.4805
1925.000000 89.957 -143.6985
1950.000000 90.215 -143.2348
1975.000000 90.433 -143.0192
2000.000000 90.635 -142.6466
2030.000000 90.895 -142.4850
2060.000000 91.088 -142.5148
2090.000000 91.262 -142.1896
2120.000000 91.466 -141.7899
2140.000000 91.613 -141.5736
2180.000000 91.925 -141.2336
2200.000000 92.091 -141.1881
2240.000000 92.399 -141.4347
2270.000000 92.598 -141.7327
2300.000000 92.766 -142.0180
2330.000000 92.914 -142.1043
2360.000000 93.086 -141.9331
2400.000000 93.375 -141.9051
2430.000000 93.582 -142.1083
2470.000000 93.849 -142.3063
2500.000000 94.067 -142.4850
2540.000000 94.367 -142.8694
2580.000000 94.682 -143.4156
2620.000000 95.008 -144.2380
2650.000000 95.239 -145.0909
2690.000000 95.522 -146.3733
2720.000000 95.720 -147.4424
2760.000000 95.962 -148.9726
2800.000000 96.164 -150.6255
2850.000000 96.377 -152.5169
2900.000000 96.615 -154.2829
2950.000000 96.879 -156.4952
3000.000000 97.087 -159.1873
3040.000000 97.199 -161.4588
3070.000000 97.257 -163.1552
3110.000000 97.309 -165.3970
3150.000000 97.333 -167.6512
3200.000000 97.319 -170.4252
3250.000000 97.267 -173.0994
3300.000000 97.184 -175.6688
3350.000000 97.085 -178.1834
3400.000000 96.959 179.1500
3450.000000 96.755 176.4171
3500.000000 96.478 174.0061
3550.000000 96.165 171.9441
3600.000000 95.825 170.1908
3650.000000 95.464 168.7397
3700.000000 95.092 167.5905
3750.000000 94.718 166.6273
3820.000000 94.148 165.3344
3870.000000 93.636 164.5432
3950.000000 92.512 165.6060
4000.000000 91.848 169.7596
4060.000000 91.692 177.0714
4120.000000 92.181 -178.8221
4180.000000 92.562 -178.8771
4250.000000 92.529 -179.7348
4310.000000 92.274 -178.8406
4370.000000 92.064 -175.8958
4440.000000 92.169 -170.6080
4500.000000 92.681 -166.2822
4550.000000 93.309 -164.1507
4620.000000 94.207 -163.6120
4680.000000 94.912 -164.2065
4750.000000 95.768 -165.7992
4820.000000 96.607 -169.2630
4870.000000 97.092 -172.9081
4940.000000 97.509 -178.9792
