* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 8:48:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sennheiser HD6XX L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 69.857 -92.8723
20.299999 69.932 -93.9594
20.600000 69.945 -94.9774
20.900000 69.903 -95.6707
21.200001 69.845 -95.8542
21.400000 69.823 -95.6862
21.799999 69.884 -94.9534
22.000000 69.977 -94.6184
22.400000 70.249 -94.5375
22.700001 70.465 -95.1696
23.000000 70.634 -96.3074
23.299999 70.723 -97.7057
23.600000 70.731 -99.0691
24.000000 70.649 -100.4130
24.299999 70.565 -100.8972
24.700001 70.491 -100.8756
25.000000 70.499 -100.5253
25.400000 70.607 -99.9329
25.799999 70.818 -99.5037
26.200001 71.104 -99.4624
26.500000 71.347 -99.7635
26.900000 71.678 -100.6363
27.200001 71.910 -101.6078
27.600000 72.169 -103.2003
28.000000 72.355 -104.9310
28.500000 72.480 -106.9376
29.000000 72.504 -108.3854
29.500000 72.480 -108.9686
30.000000 72.491 -108.6266
30.400000 72.581 -107.9324
30.700001 72.708 -107.4168
31.100000 72.939 -107.0389
31.500000 73.192 -107.2207
32.000000 73.458 -108.1746
32.500000 73.614 -109.5289
33.000000 73.672 -110.8073
33.500000 73.680 -111.7721
34.000000 73.687 -112.4827
34.500000 73.706 -113.1204
35.000000 73.726 -113.7432
35.500000 73.745 -114.2310
36.000000 73.792 -114.4978
36.500000 73.906 -114.7271
37.000000 74.073 -115.2762
37.500000 74.228 -116.2731
38.200001 74.328 -117.7591
38.700001 74.355 -118.3264
39.500000 74.487 -118.6520
40.000000 74.597 -119.0819
40.599998 74.651 -119.6392
41.200001 74.661 -119.4897
41.799999 74.786 -118.7842
42.500000 75.087 -118.8007
43.099998 75.290 -119.9758
43.700001 75.344 -121.3887
44.400002 75.318 -122.4396
45.000000 75.317 -122.9192
45.500000 75.347 -123.2495
46.200001 75.433 -123.7896
46.799999 75.535 -124.5109
47.500000 75.623 -125.6696
48.200001 75.648 -126.6311
48.700001 75.674 -126.9889
49.400002 75.776 -127.3831
50.000000 75.887 -127.9991
50.799999 75.985 -129.0649
51.500000 76.024 -129.8603
52.200001 76.053 -130.4378
53.000000 76.100 -130.8885
53.799999 76.186 -131.3740
54.500000 76.270 -132.0049
55.200001 76.348 -132.7465
56.000000 76.440 -133.7370
57.000000 76.520 -135.2944
58.000000 76.543 -136.7391
59.000000 76.558 -138.1554
60.000000 76.493 -139.6479
60.799999 76.376 -140.4423
61.500000 76.266 -140.7590
62.200001 76.162 -140.8367
63.000000 76.047 -140.6989
64.000000 75.917 -140.0892
65.000000 75.849 -139.0155
66.000000 75.878 -137.8555
67.000000 75.983 -136.9868
68.000000 76.126 -136.4729
69.000000 76.294 -136.2612
70.000000 76.479 -136.3580
71.000000 76.672 -136.7574
72.000000 76.851 -137.5118
73.000000 76.974 -138.4443
74.000000 77.059 -139.1482
75.000000 77.152 -139.7340
76.199997 77.245 -140.5399
77.500000 77.313 -141.3594
78.800003 77.360 -142.1500
80.000000 77.396 -142.9077
81.199997 77.406 -143.6255
82.500000 77.440 -144.0490
83.800003 77.532 -144.4373
85.000000 77.644 -144.9539
86.199997 77.734 -145.5966
87.500000 77.809 -146.1204
88.500000 77.859 -146.5184
90.000000 77.929 -146.9865
91.199997 77.998 -147.6084
92.500000 78.033 -148.4691
93.800003 78.056 -149.2796
95.000000 78.077 -149.9891
96.199997 78.105 -150.6431
97.500000 78.135 -151.3051
98.800003 78.165 -151.8495
100.000000 78.196 -152.3388
101.500000 78.221 -153.0176
103.000000 78.232 -153.6346
104.400002 78.250 -154.2053
106.000000 78.274 -154.9095
107.500000 78.295 -155.4861
109.000000 78.324 -156.0134
110.599998 78.352 -156.5672
112.000000 78.367 -157.0769
113.800003 78.367 -157.7189
115.000000 78.363 -158.0884
117.199997 78.370 -158.8229
118.000000 78.372 -159.1085
120.599998 78.387 -160.0084
122.000000 78.398 -160.5082
124.099998 78.417 -161.2308
125.000000 78.423 -161.6009
126.500000 78.422 -162.1909
128.000000 78.426 -162.7418
131.500000 78.431 -164.1447
132.000000 78.425 -164.3445
134.000000 78.375 -165.1177
136.000000 78.286 -165.9803
138.000000 78.153 -166.8073
140.000000 78.017 -167.1896
143.000000 77.899 -166.7401
145.000000 77.889 -166.3437
147.500000 77.890 -166.5013
150.000000 77.915 -166.8475
152.500000 77.971 -167.4188
155.000000 77.971 -167.9539
157.500000 77.934 -168.3525
160.000000 77.889 -168.7928
162.500000 77.843 -169.1074
165.000000 77.807 -169.2456
167.500000 77.794 -169.2971
170.000000 77.804 -169.4597
172.500000 77.794 -169.6337
175.000000 77.774 -169.6955
177.500000 77.754 -169.7599
180.000000 77.762 -169.8742
182.500000 77.774 -170.4344
185.000000 77.745 -170.8780
187.500000 77.738 -171.1132
190.000000 77.736 -171.4191
192.500000 77.728 -171.6609
195.000000 77.727 -171.7759
197.500000 77.734 -171.8002
200.000000 77.730 -171.9066
203.000000 77.702 -172.1417
206.000000 77.671 -172.5590
209.000000 77.635 -172.9158
212.000000 77.619 -173.0931
214.000000 77.611 -173.2359
218.000000 77.573 -173.6006
220.000000 77.547 -173.7758
224.000000 77.496 -174.1868
227.000000 77.457 -174.4780
230.000000 77.418 -174.5795
233.000000 77.386 -174.4728
236.000000 77.368 -174.4524
240.000000 77.364 -174.6282
243.000000 77.366 -174.6555
247.000000 77.349 -174.6680
250.000000 77.323 -174.6749
254.000000 77.272 -174.6502
258.000000 77.233 -174.9070
262.000000 77.229 -175.3005
265.000000 77.222 -175.3948
269.000000 77.191 -175.3154
272.000000 77.159 -175.3097
276.000000 77.110 -175.5198
280.000000 77.092 -175.5812
285.000000 77.089 -175.5955
290.000000 77.049 -175.8844
295.000000 77.027 -175.9669
300.000000 77.013 -175.9494
304.000000 76.984 -176.0808
307.000000 76.965 -176.1464
311.000000 76.938 -176.2182
315.000000 76.897 -176.2171
320.000000 76.850 -176.1885
325.000000 76.830 -176.2993
330.000000 76.815 -176.2565
335.000000 76.799 -176.1582
340.000000 76.778 -176.1381
345.000000 76.753 -176.1339
350.000000 76.725 -176.1311
355.000000 76.699 -176.1075
360.000000 76.686 -176.0922
365.000000 76.670 -176.1470
370.000000 76.643 -176.1711
375.000000 76.609 -176.1509
382.000000 76.553 -176.1469
387.000000 76.516 -176.1842
395.000000 76.482 -176.2136
400.000000 76.471 -176.1870
406.000000 76.434 -176.0673
412.000000 76.375 -175.9210
418.000000 76.319 -175.8044
425.000000 76.279 -175.6946
431.000000 76.252 -175.5364
437.000000 76.211 -175.3476
444.000000 76.153 -174.9862
450.000000 76.120 -174.6636
455.000000 76.101 -174.3529
462.000000 76.078 -174.0347
468.000000 76.053 -173.8862
475.000000 76.013 -173.5179
482.000000 75.984 -173.0338
487.000000 75.984 -172.6993
494.000000 76.002 -172.4009
500.000000 76.022 -172.2894
508.000000 76.026 -172.0999
515.000000 76.005 -171.6583
522.000000 75.988 -171.3306
530.000000 75.989 -171.0707
538.000000 76.005 -170.7579
545.000000 76.009 -170.4758
552.000000 76.010 -170.1677
560.000000 76.012 -169.8542
570.000000 76.040 -169.4359
580.000000 76.071 -169.0495
590.000000 76.093 -168.8749
600.000000 76.104 -168.5363
608.000000 76.103 -168.1983
615.000000 76.111 -167.9948
622.000000 76.122 -167.7986
630.000000 76.153 -167.5438
640.000000 76.219 -167.3895
650.000000 76.255 -167.2182
660.000000 76.262 -167.0110
670.000000 76.265 -166.9171
680.000000 76.284 -167.0701
690.000000 76.290 -167.1321
700.000000 76.285 -166.9062
710.000000 76.287 -166.6505
720.000000 76.291 -166.4569
730.000000 76.303 -166.1693
740.000000 76.322 -165.8651
750.000000 76.330 -165.6104
762.000000 76.333 -165.3936
775.000000 76.326 -165.2080
788.000000 76.311 -164.9634
800.000000 76.304 -164.5752
812.000000 76.308 -164.1107
825.000000 76.349 -163.6906
838.000000 76.415 -163.6081
850.000000 76.441 -163.8495
862.000000 76.404 -164.1302
875.000000 76.288 -164.2831
885.000000 76.157 -164.0180
900.000000 75.985 -162.6238
912.000000 75.936 -160.9838
925.000000 75.989 -159.3616
938.000000 76.103 -158.0947
950.000000 76.231 -157.2720
962.000000 76.369 -156.6680
975.000000 76.514 -156.1317
988.000000 76.641 -155.7434
1000.000000 76.739 -155.5126
1015.000000 76.833 -155.4053
1030.000000 76.923 -155.0547
1044.000000 77.032 -154.5240
1060.000000 77.193 -154.1783
1075.000000 77.330 -154.3308
1090.000000 77.428 -154.4453
1106.000000 77.523 -154.5905
1120.000000 77.570 -154.9127
1138.000000 77.591 -155.1029
1150.000000 77.615 -155.1057
1172.000000 77.702 -154.8303
1180.000000 77.745 -154.7800
1206.000000 77.873 -154.9643
1220.000000 77.891 -155.0270
1241.000000 77.921 -155.0912
1250.000000 77.947 -155.1493
1265.000000 77.986 -155.2725
1280.000000 77.991 -155.3284
1315.000000 77.994 -154.9291
1320.000000 77.997 -154.8860
1340.000000 77.989 -154.6606
1360.000000 78.010 -154.0018
1380.000000 78.080 -153.2389
1400.000000 78.222 -152.8065
1430.000000 78.357 -153.3484
1450.000000 78.311 -153.3885
1475.000000 78.368 -152.2660
1500.000000 78.557 -152.2372
1525.000000 78.611 -152.6329
1550.000000 78.646 -152.5645
1575.000000 78.704 -152.5518
1600.000000 78.732 -152.6176
1625.000000 78.747 -152.6706
1650.000000 78.688 -152.6452
1675.000000 78.652 -151.5430
1700.000000 78.776 -150.7162
1725.000000 78.829 -150.5434
1750.000000 78.908 -149.9529
1775.000000 78.979 -150.0900
1800.000000 78.943 -149.6959
1825.000000 78.992 -148.7426
1850.000000 79.082 -148.1137
1875.000000 79.195 -147.5900
1900.000000 79.263 -147.4980
1925.000000 79.293 -146.9327
1950.000000 79.384 -146.3905
1975.000000 79.420 -146.0385
2000.000000 79.475 -145.0228
2030.000000 79.639 -143.9685
2060.000000 79.832 -143.1848
2090.000000 80.048 -142.9730
2120.000000 80.157 -143.1434
2140.000000 80.188 -142.9774
2180.000000 80.261 -142.1184
2200.000000 80.290 -141.3574
2240.000000 80.549 -138.9774
2270.000000 80.887 -138.1846
2300.000000 81.157 -138.2584
2330.000000 81.335 -137.9852
2360.000000 81.580 -137.1842
2400.000000 82.037 -136.9297
2430.000000 82.307 -137.5646
2470.000000 82.575 -138.0319
2500.000000 82.788 -138.2243
2540.000000 83.075 -138.4466
2580.000000 83.428 -138.5496
2620.000000 83.815 -139.3585
2650.000000 84.071 -140.2296
2690.000000 84.382 -141.5014
2720.000000 84.599 -142.5289
2760.000000 84.875 -143.9458
2800.000000 85.143 -145.6531
2850.000000 85.350 -147.9674
2900.000000 85.566 -149.4175
2950.000000 85.877 -151.4349
3000.000000 86.071 -153.9459
3040.000000 86.221 -155.6250
3070.000000 86.338 -157.0737
3110.000000 86.474 -159.1008
3150.000000 86.577 -161.3779
3200.000000 86.616 -164.0846
3250.000000 86.648 -166.5126
3300.000000 86.650 -168.9675
3350.000000 86.640 -171.2262
3400.000000 86.637 -173.4771
3450.000000 86.624 -175.9794
3500.000000 86.545 -178.5886
3550.000000 86.417 179.0424
3600.000000 86.281 176.8978
3650.000000 86.146 174.7246
3700.000000 85.978 172.5238
3750.000000 85.784 170.2553
3820.000000 85.359 167.1791
3870.000000 84.997 165.8855
3950.000000 84.491 164.4260
4000.000000 84.195 163.7358
4060.000000 83.847 162.9496
4120.000000 83.464 162.3702
4180.000000 83.072 162.2406
4250.000000 82.596 162.4965
4310.000000 82.162 163.4117
4370.000000 81.760 165.6807
4440.000000 81.582 169.4136
4500.000000 81.667 172.2268
4550.000000 81.870 173.9371
4620.000000 82.191 174.7195
4680.000000 82.399 174.7756
4750.000000 82.633 174.6393
4820.000000 82.874 173.9579
4870.000000 83.013 173.0883
