* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 8:55:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sennheiser HD6XX R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 69.290 -93.3558
20.299999 69.498 -93.5590
20.600000 69.749 -94.2646
20.900000 69.970 -95.5603
21.200001 70.101 -97.2172
21.400000 70.126 -98.3187
21.799999 70.053 -99.9467
22.000000 69.989 -100.2905
22.400000 69.922 -100.0205
22.700001 69.992 -99.3720
23.000000 70.173 -98.8773
23.299999 70.416 -98.8915
23.600000 70.657 -99.4783
24.000000 70.897 -100.8143
24.299999 71.005 -101.8738
24.700001 71.094 -102.9830
25.000000 71.162 -103.5563
25.400000 71.287 -104.2245
25.799999 71.431 -105.1149
26.200001 71.530 -106.2860
26.500000 71.545 -107.1566
26.900000 71.498 -107.9090
27.200001 71.451 -107.9941
27.600000 71.451 -107.5718
28.000000 71.564 -107.0742
28.500000 71.790 -107.2109
29.000000 71.932 -108.1597
29.500000 71.924 -108.8700
30.000000 71.909 -108.5382
30.400000 72.024 -107.9044
30.700001 72.188 -107.7193
31.100000 72.435 -108.2383
31.500000 72.605 -109.4896
32.000000 72.643 -111.1357
32.500000 72.590 -111.8896
33.000000 72.635 -111.8477
33.500000 72.825 -112.0797
34.000000 73.026 -113.1774
34.500000 73.124 -114.6625
35.000000 73.143 -115.8154
35.500000 73.177 -116.5046
36.000000 73.260 -117.1266
36.500000 73.344 -117.9142
37.000000 73.389 -118.6482
37.500000 73.426 -119.0645
38.200001 73.545 -119.3586
38.700001 73.662 -119.7439
39.500000 73.794 -120.6261
40.000000 73.841 -120.9883
40.599998 73.917 -121.1296
41.200001 74.048 -121.3082
41.799999 74.195 -121.9142
42.500000 74.293 -123.0052
43.099998 74.309 -123.6851
43.700001 74.355 -123.9448
44.400002 74.503 -124.4595
45.000000 74.618 -125.4807
45.500000 74.647 -126.3973
46.200001 74.649 -127.0997
46.799999 74.718 -127.3381
47.500000 74.860 -127.9335
48.200001 74.965 -128.8541
48.700001 75.013 -129.4057
49.400002 75.095 -130.0165
50.000000 75.173 -130.6461
50.799999 75.229 -131.5843
51.500000 75.248 -132.1753
52.200001 75.285 -132.6066
53.000000 75.350 -133.2054
53.799999 75.411 -133.9623
54.500000 75.459 -134.7025
55.200001 75.499 -135.4746
56.000000 75.542 -136.3223
57.000000 75.607 -137.3857
58.000000 75.660 -138.4902
59.000000 75.706 -139.5272
60.000000 75.728 -140.7084
60.799999 75.689 -141.5959
61.500000 75.633 -142.1233
62.200001 75.583 -142.5149
63.000000 75.523 -143.0097
64.000000 75.396 -143.5299
65.000000 75.241 -143.5304
66.000000 75.118 -142.9828
67.000000 75.067 -141.9987
68.000000 75.140 -140.8472
69.000000 75.325 -140.2483
70.000000 75.511 -140.3530
71.000000 75.673 -140.6600
72.000000 75.833 -141.1907
73.000000 75.954 -141.9099
74.000000 76.046 -142.4780
75.000000 76.144 -142.9771
76.199997 76.244 -143.7450
77.500000 76.296 -144.5193
78.800003 76.338 -145.1514
80.000000 76.370 -145.8224
81.199997 76.391 -146.4207
82.500000 76.441 -146.9249
83.800003 76.517 -147.4149
85.000000 76.600 -147.8088
86.199997 76.688 -148.2119
87.500000 76.774 -148.7853
88.500000 76.809 -149.3811
90.000000 76.825 -150.1221
91.199997 76.877 -150.8252
92.500000 76.920 -152.0121
93.800003 76.929 -153.1288
95.000000 76.932 -153.9208
96.199997 76.936 -154.5250
97.500000 76.930 -154.9985
98.800003 76.921 -155.4069
100.000000 76.889 -155.8517
101.500000 76.836 -156.2713
103.000000 76.819 -156.5337
104.400002 76.864 -156.8329
106.000000 76.921 -157.3594
107.500000 76.948 -157.7470
109.000000 76.953 -158.0226
110.599998 76.952 -158.2770
112.000000 76.974 -158.6630
113.800003 77.010 -159.4657
115.000000 77.036 -159.9332
117.199997 77.107 -160.5742
118.000000 77.131 -160.7906
120.599998 77.151 -161.6570
122.000000 77.134 -162.1511
124.099998 77.133 -162.9058
125.000000 77.143 -163.2892
126.500000 77.155 -163.9108
128.000000 77.164 -164.4675
131.500000 77.134 -165.9899
132.000000 77.118 -166.2677
134.000000 77.010 -167.1606
136.000000 76.893 -167.3235
138.000000 76.827 -166.9420
140.000000 76.824 -166.6019
143.000000 76.892 -166.9937
145.000000 76.938 -167.5821
147.500000 76.992 -168.1549
150.000000 76.972 -168.9843
152.500000 76.883 -169.7476
155.000000 76.821 -170.3372
157.500000 76.778 -170.8423
160.000000 76.681 -171.1785
162.500000 76.565 -171.4471
165.000000 76.478 -171.5477
167.500000 76.454 -171.3486
170.000000 76.460 -171.1438
172.500000 76.470 -171.0367
175.000000 76.495 -171.0683
177.500000 76.499 -171.3236
180.000000 76.478 -171.6383
182.500000 76.463 -171.9384
185.000000 76.467 -172.0043
187.500000 76.450 -172.2043
190.000000 76.405 -172.5330
192.500000 76.388 -172.8246
195.000000 76.408 -172.9818
197.500000 76.414 -173.1815
200.000000 76.407 -173.3777
203.000000 76.422 -173.7311
206.000000 76.414 -173.9542
209.000000 76.354 -174.2782
212.000000 76.290 -174.6967
214.000000 76.271 -174.8824
218.000000 76.238 -174.9783
220.000000 76.214 -175.0390
224.000000 76.169 -175.3398
227.000000 76.137 -175.4595
230.000000 76.098 -175.4931
233.000000 76.063 -175.5035
236.000000 76.041 -175.4655
240.000000 76.029 -175.5793
243.000000 76.006 -175.7993
247.000000 75.945 -175.9138
250.000000 75.917 -176.0436
254.000000 75.908 -176.2869
258.000000 75.879 -176.3540
262.000000 75.842 -176.3578
265.000000 75.822 -176.3729
269.000000 75.792 -176.3354
272.000000 75.772 -176.2966
276.000000 75.738 -176.1972
280.000000 75.706 -176.1932
285.000000 75.696 -176.4198
290.000000 75.675 -176.5215
295.000000 75.646 -176.7047
300.000000 75.614 -176.8975
304.000000 75.566 -176.7895
307.000000 75.519 -176.7266
311.000000 75.474 -176.9762
315.000000 75.462 -177.1830
320.000000 75.445 -176.9035
325.000000 75.399 -176.7858
330.000000 75.366 -176.6935
335.000000 75.335 -176.5685
340.000000 75.305 -176.4638
345.000000 75.261 -176.3911
350.000000 75.225 -176.3619
355.000000 75.197 -176.3173
360.000000 75.170 -176.1437
365.000000 75.142 -176.0017
370.000000 75.120 -176.0577
375.000000 75.105 -176.0510
382.000000 75.075 -175.8065
387.000000 75.046 -175.5013
395.000000 75.015 -175.1887
400.000000 75.001 -174.9968
406.000000 74.984 -174.8249
412.000000 74.967 -174.8036
418.000000 74.941 -174.7103
425.000000 74.912 -174.5515
431.000000 74.888 -174.3983
437.000000 74.863 -174.1760
444.000000 74.822 -173.8705
450.000000 74.781 -173.6978
455.000000 74.758 -173.5929
462.000000 74.748 -173.3540
468.000000 74.739 -173.1563
475.000000 74.714 -172.9472
482.000000 74.685 -172.5992
487.000000 74.676 -172.2764
494.000000 74.685 -171.9062
500.000000 74.694 -171.7822
508.000000 74.688 -171.6867
515.000000 74.670 -171.2628
522.000000 74.660 -170.7517
530.000000 74.673 -170.3785
538.000000 74.694 -170.2523
545.000000 74.698 -170.2541
552.000000 74.675 -170.1647
560.000000 74.641 -169.8698
570.000000 74.605 -169.1866
580.000000 74.615 -168.5996
590.000000 74.633 -168.4507
600.000000 74.611 -168.2331
608.000000 74.606 -167.9243
615.000000 74.594 -167.7239
622.000000 74.565 -167.4857
630.000000 74.541 -166.9052
640.000000 74.545 -166.2902
650.000000 74.582 -165.7282
660.000000 74.636 -165.2068
670.000000 74.674 -164.9637
680.000000 74.681 -164.8553
690.000000 74.689 -164.6264
700.000000 74.690 -164.3516
710.000000 74.676 -163.9595
720.000000 74.680 -163.3524
730.000000 74.714 -162.7456
740.000000 74.755 -162.2462
750.000000 74.816 -161.7822
762.000000 74.885 -161.4136
775.000000 74.949 -161.1724
788.000000 75.025 -161.0536
800.000000 75.087 -161.2026
812.000000 75.104 -161.3437
825.000000 75.101 -161.3591
838.000000 75.068 -161.5320
850.000000 74.996 -161.7001
862.000000 74.883 -161.6392
875.000000 74.715 -161.0208
885.000000 74.607 -159.9541
900.000000 74.566 -157.8939
912.000000 74.627 -156.3698
925.000000 74.743 -155.1050
938.000000 74.876 -154.2767
950.000000 74.984 -153.8648
962.000000 75.076 -153.4931
975.000000 75.168 -152.9940
988.000000 75.249 -152.6619
1000.000000 75.287 -152.2844
1015.000000 75.346 -151.3278
1030.000000 75.442 -150.5818
1044.000000 75.537 -149.9764
1060.000000 75.699 -149.3109
1075.000000 75.877 -149.0482
1090.000000 75.997 -149.1102
1106.000000 76.084 -149.0605
1120.000000 76.172 -148.8093
1138.000000 76.301 -148.4441
1150.000000 76.393 -148.3619
1172.000000 76.516 -148.4720
1180.000000 76.538 -148.4996
1206.000000 76.659 -148.1505
1220.000000 76.760 -147.8976
1241.000000 76.908 -147.8691
1250.000000 76.958 -147.8818
1265.000000 77.051 -147.8013
1280.000000 77.159 -147.8082
1315.000000 77.315 -148.5150
1320.000000 77.329 -148.5798
1340.000000 77.388 -148.5905
1360.000000 77.484 -148.8137
1380.000000 77.519 -149.4490
1400.000000 77.503 -149.6456
1430.000000 77.492 -149.7145
1450.000000 77.456 -149.5741
1475.000000 77.454 -148.9964
1500.000000 77.512 -148.6001
1525.000000 77.508 -148.3588
1550.000000 77.530 -147.5699
1575.000000 77.615 -147.1425
1600.000000 77.645 -146.9364
1625.000000 77.655 -146.1085
1650.000000 77.734 -145.3156
1675.000000 77.825 -144.6180
1700.000000 77.919 -143.8861
1725.000000 78.044 -143.2305
1750.000000 78.196 -142.8427
1775.000000 78.306 -142.7161
1800.000000 78.411 -142.3362
1825.000000 78.535 -142.3057
1850.000000 78.579 -142.4082
1875.000000 78.596 -142.1285
1900.000000 78.636 -141.3746
1925.000000 78.746 -140.5712
1950.000000 78.877 -140.2324
1975.000000 78.958 -140.0656
2000.000000 79.018 -139.6710
2030.000000 79.095 -139.0679
2060.000000 79.160 -138.1968
2090.000000 79.285 -137.0759
2120.000000 79.421 -136.0982
2140.000000 79.527 -135.1850
2180.000000 79.877 -133.4955
2200.000000 80.078 -132.9887
2240.000000 80.492 -132.4448
2270.000000 80.778 -132.5510
2300.000000 81.021 -132.8418
2330.000000 81.219 -133.1599
2360.000000 81.362 -133.3324
2400.000000 81.558 -132.6826
2430.000000 81.811 -131.9843
2470.000000 82.224 -131.5855
2500.000000 82.572 -131.7118
2540.000000 82.955 -132.7337
2580.000000 83.262 -133.3002
2620.000000 83.640 -133.9801
2650.000000 83.902 -134.7733
2690.000000 84.265 -135.6749
2720.000000 84.575 -136.7079
2760.000000 84.930 -138.8140
2800.000000 85.196 -140.9910
2850.000000 85.451 -143.6807
2900.000000 85.665 -146.2222
2950.000000 85.816 -148.6758
3000.000000 85.936 -150.8130
3040.000000 86.042 -152.3185
3070.000000 86.145 -153.3529
3110.000000 86.327 -154.9185
3150.000000 86.521 -156.9939
3200.000000 86.683 -160.1405
3250.000000 86.747 -163.4029
3300.000000 86.714 -166.5531
3350.000000 86.628 -169.2889
3400.000000 86.536 -171.7379
3450.000000 86.431 -174.0970
3500.000000 86.298 -176.2921
3550.000000 86.174 -178.2443
3600.000000 86.065 179.6924
3650.000000 85.921 177.4433
3700.000000 85.714 175.2886
3750.000000 85.466 173.4219
3820.000000 85.106 171.3991
3870.000000 84.866 170.1103
3950.000000 84.469 168.0681
4000.000000 84.165 166.8231
4060.000000 83.747 165.8414
4120.000000 83.312 165.4443
4180.000000 82.894 165.7634
4250.000000 82.477 166.8197
4310.000000 82.195 168.0115
4370.000000 81.953 169.5276
4440.000000 81.784 171.7960
4500.000000 81.749 173.8307
4550.000000 81.815 175.5413
4620.000000 82.044 177.3968
4680.000000 82.325 178.2313
4750.000000 82.670 178.1689
4820.000000 82.963 177.1729
4870.000000 83.102 176.1567
