* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 8:15:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony MDR XB-500 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 102.168 -168.2280
20.299999 102.176 -168.8414
20.600000 102.190 -169.4978
20.900000 102.201 -170.2046
21.200001 102.204 -170.9340
21.400000 102.200 -171.4116
21.799999 102.183 -172.3029
22.000000 102.173 -172.7099
22.400000 102.157 -173.4668
22.700001 102.150 -174.0168
23.000000 102.143 -174.5760
23.299999 102.135 -175.1491
23.600000 102.121 -175.7249
24.000000 102.096 -176.4669
24.299999 102.074 -176.9910
24.700001 102.047 -177.6572
25.000000 102.030 -178.1555
25.400000 102.009 -178.8531
25.799999 101.984 -179.6020
26.200001 101.947 179.6223
26.500000 101.912 179.0528
26.900000 101.857 178.3454
27.200001 101.815 177.8632
27.600000 101.762 177.2703
28.000000 101.715 176.6977
28.500000 101.659 175.9643
29.000000 101.593 175.2278
29.500000 101.513 174.5775
30.000000 101.429 174.0942
30.400000 101.370 173.8268
30.700001 101.335 173.6697
31.100000 101.300 173.4776
31.500000 101.274 173.2748
32.000000 101.250 173.0009
32.500000 101.232 172.7269
33.000000 101.228 172.4429
33.500000 101.242 172.0691
34.000000 101.265 171.5086
34.500000 101.276 170.7387
35.000000 101.259 169.8442
35.500000 101.213 168.9496
36.000000 101.149 168.1245
36.500000 101.075 167.3640
37.000000 100.989 166.6634
37.500000 100.889 166.0837
38.200001 100.746 165.6177
38.700001 100.671 165.4851
39.500000 100.610 165.2574
40.000000 100.585 165.0103
40.599998 100.558 164.6604
41.200001 100.544 164.2232
41.799999 100.530 163.5779
42.500000 100.476 162.6194
43.099998 100.395 161.8536
43.700001 100.315 161.1840
44.400002 100.236 160.2784
45.000000 100.147 159.3024
45.500000 100.042 158.4567
46.200001 99.861 157.4057
46.799999 99.689 156.6457
47.500000 99.469 155.9091
48.200001 99.227 155.4323
48.700001 99.051 155.2901
49.400002 98.816 155.3178
50.000000 98.624 155.4866
50.799999 98.375 155.8760
51.500000 98.163 156.3660
52.200001 97.957 156.9812
53.000000 97.726 157.7836
53.799999 97.486 158.6743
54.500000 97.255 159.6553
55.200001 97.019 160.9986
56.000000 96.776 163.0537
57.000000 96.570 166.3039
58.000000 96.525 169.9591
59.000000 96.645 173.4638
60.000000 96.890 176.5096
60.799999 97.154 178.5479
61.500000 97.424 -179.9798
62.200001 97.724 -178.8424
63.000000 98.088 -178.0233
64.000000 98.533 -177.6150
65.000000 98.963 -177.6440
66.000000 99.383 -178.1450
67.000000 99.763 -179.0684
68.000000 100.103 179.7383
69.000000 100.403 178.2790
70.000000 100.658 176.5902
71.000000 100.866 174.6914
72.000000 101.015 172.6353
73.000000 101.106 170.5581
74.000000 101.149 168.5327
75.000000 101.145 166.6077
76.199997 101.085 164.5830
77.500000 100.980 162.7854
78.800003 100.842 161.4003
80.000000 100.710 160.5416
81.199997 100.592 159.9488
82.500000 100.486 159.5872
83.800003 100.423 159.4915
85.000000 100.417 159.5194
86.199997 100.460 159.5308
87.500000 100.552 159.4260
88.500000 100.649 159.2038
90.000000 100.827 158.5258
91.199997 100.978 157.6255
92.500000 101.132 156.3043
93.800003 101.261 154.6729
95.000000 101.348 152.9679
96.199997 101.402 151.1316
97.500000 101.417 149.0554
98.800003 101.390 146.9651
100.000000 101.331 145.0697
101.500000 101.216 142.7682
103.000000 101.055 140.6208
104.400002 100.873 138.8327
106.000000 100.643 137.0453
107.500000 100.408 135.6205
109.000000 100.169 134.4693
110.599998 99.921 133.4950
112.000000 99.723 132.8251
113.800003 99.510 132.0615
115.000000 99.392 131.4936
117.199997 99.191 130.1432
118.000000 99.111 129.5390
120.599998 98.762 127.2418
122.000000 98.481 125.9596
124.099998 97.881 124.6537
125.000000 97.564 124.7220
126.500000 97.054 126.3070
128.000000 96.759 129.4684
131.500000 97.093 134.1646
132.000000 97.165 134.1824
134.000000 97.368 133.4148
136.000000 97.434 132.1528
138.000000 97.410 130.8340
140.000000 97.329 129.5677
143.000000 97.131 127.8127
145.000000 96.954 126.7924
147.500000 96.689 125.7831
150.000000 96.379 125.1728
152.500000 96.057 125.1273
155.000000 95.778 125.6375
157.500000 95.588 126.5002
160.000000 95.492 127.3035
162.500000 95.450 127.7989
165.000000 95.435 128.0432
167.500000 95.449 128.0852
170.000000 95.490 127.8353
172.500000 95.541 127.1428
175.000000 95.569 125.9058
177.500000 95.542 124.2379
180.000000 95.440 122.3019
182.500000 95.248 120.2992
185.000000 94.976 118.4951
187.500000 94.642 117.0495
190.000000 94.265 116.0772
192.500000 93.872 115.5181
195.000000 93.487 115.3066
197.500000 93.128 115.3745
200.000000 92.797 115.6193
203.000000 92.425 116.0825
206.000000 92.071 116.7076
209.000000 91.742 117.5236
212.000000 91.442 118.4166
214.000000 91.249 119.0356
218.000000 90.879 120.3766
220.000000 90.706 121.1282
224.000000 90.385 122.7902
227.000000 90.157 124.1092
230.000000 89.944 125.4847
233.000000 89.753 126.9620
236.000000 89.588 128.5562
240.000000 89.410 130.6805
243.000000 89.302 132.1805
247.000000 89.181 134.2879
250.000000 89.120 135.8424
254.000000 89.079 137.8604
258.000000 89.059 139.8044
262.000000 89.054 141.6008
265.000000 89.080 142.9241
269.000000 89.155 144.6532
272.000000 89.235 145.8073
276.000000 89.359 147.1300
280.000000 89.499 148.2299
285.000000 89.690 149.2560
290.000000 89.885 149.8783
295.000000 90.075 150.1213
300.000000 90.256 150.0232
304.000000 90.392 149.7399
307.000000 90.485 149.4033
311.000000 90.587 148.7612
315.000000 90.667 147.9340
320.000000 90.728 146.7313
325.000000 90.728 145.3763
330.000000 90.670 143.9413
335.000000 90.570 142.5234
340.000000 90.424 141.1401
345.000000 90.223 139.9194
350.000000 89.978 138.9590
355.000000 89.704 138.2399
360.000000 89.404 137.7653
365.000000 89.081 137.6180
370.000000 88.759 137.8483
375.000000 88.459 138.3375
382.000000 88.070 139.3749
387.000000 87.812 140.3267
395.000000 87.436 142.1348
400.000000 87.228 143.4326
406.000000 86.993 145.1770
412.000000 86.794 147.1921
418.000000 86.661 149.2280
425.000000 86.576 151.5562
431.000000 86.553 153.6217
437.000000 86.569 155.5216
444.000000 86.619 157.5293
450.000000 86.693 159.1644
455.000000 86.791 160.3832
462.000000 86.968 161.5891
468.000000 87.129 162.1549
475.000000 87.285 162.3947
482.000000 87.397 162.4380
487.000000 87.449 162.3514
494.000000 87.479 162.0779
500.000000 87.467 161.8616
508.000000 87.420 161.7887
515.000000 87.373 161.8121
522.000000 87.304 161.8845
530.000000 87.218 162.1901
538.000000 87.151 162.5934
545.000000 87.098 162.9200
552.000000 87.030 163.2380
560.000000 86.936 163.5963
570.000000 86.814 164.1317
580.000000 86.691 164.9473
590.000000 86.584 165.9872
600.000000 86.504 167.1238
608.000000 86.463 168.1201
615.000000 86.446 168.9958
622.000000 86.447 169.7755
630.000000 86.458 170.4932
640.000000 86.467 171.3242
650.000000 86.481 172.1176
660.000000 86.492 172.7919
670.000000 86.506 173.3941
680.000000 86.522 173.9073
690.000000 86.536 174.2774
700.000000 86.537 174.5611
710.000000 86.536 174.8317
720.000000 86.543 174.8619
730.000000 86.493 174.3185
740.000000 86.293 173.8978
750.000000 86.025 174.4847
762.000000 85.754 176.2113
775.000000 85.573 178.9260
788.000000 85.596 -177.6976
800.000000 85.903 -174.7637
812.000000 86.473 -173.6528
825.000000 87.091 -176.1554
838.000000 87.229 178.1979
850.000000 86.747 173.1301
862.000000 85.857 170.5329
875.000000 84.757 171.2161
885.000000 83.985 173.8409
900.000000 83.113 179.9543
912.000000 82.709 -174.0271
925.000000 82.574 -167.5339
938.000000 82.658 -161.7979
950.000000 82.842 -157.2494
962.000000 83.077 -153.1749
975.000000 83.385 -149.1287
988.000000 83.750 -145.5674
1000.000000 84.118 -142.7551
1015.000000 84.608 -139.8087
1030.000000 85.117 -137.5878
1044.000000 85.550 -136.2861
1060.000000 85.947 -134.9825
1075.000000 86.305 -133.5512
1090.000000 86.684 -132.2827
1106.000000 87.075 -131.2415
1120.000000 87.392 -130.4645
1138.000000 87.750 -129.5662
1150.000000 87.981 -128.8235
1172.000000 88.425 -127.4744
1180.000000 88.586 -126.9580
1206.000000 89.181 -124.9258
1220.000000 89.567 -124.0132
1241.000000 90.180 -123.2531
1250.000000 90.445 -123.0981
1265.000000 90.889 -123.0653
1280.000000 91.327 -123.3669
1315.000000 92.236 -125.2097
1320.000000 92.349 -125.5425
1340.000000 92.771 -126.8982
1360.000000 93.160 -128.3164
1380.000000 93.522 -129.8147
1400.000000 93.855 -131.4209
1430.000000 94.291 -133.9742
1450.000000 94.541 -135.7287
1475.000000 94.817 -137.8947
1500.000000 95.067 -140.0911
1525.000000 95.291 -142.4362
1550.000000 95.447 -144.9339
1575.000000 95.555 -147.1290
1600.000000 95.657 -149.3805
1625.000000 95.693 -151.7031
1650.000000 95.667 -153.8146
1675.000000 95.598 -155.6241
1700.000000 95.509 -157.0504
1725.000000 95.429 -158.1559
1750.000000 95.366 -159.0806
1775.000000 95.318 -159.8912
1800.000000 95.277 -160.6454
1825.000000 95.236 -161.3065
1850.000000 95.204 -161.8356
1875.000000 95.189 -162.3485
1900.000000 95.183 -162.9412
1925.000000 95.170 -163.6074
1950.000000 95.147 -164.2930
1975.000000 95.112 -164.9630
2000.000000 95.066 -165.5825
2030.000000 94.995 -166.2255
2060.000000 94.910 -166.6924
2090.000000 94.819 -166.9202
2120.000000 94.736 -166.9251
2140.000000 94.686 -166.8312
2180.000000 94.593 -166.2448
2200.000000 94.587 -165.5153
2240.000000 94.837 -164.2463
2270.000000 95.064 -164.9104
2300.000000 95.174 -165.9596
2330.000000 95.226 -166.8382
2360.000000 95.259 -167.5954
2400.000000 95.288 -168.4973
2430.000000 95.303 -169.1221
2470.000000 95.324 -169.9345
2500.000000 95.341 -170.5682
2540.000000 95.361 -171.4823
2580.000000 95.375 -172.4698
2620.000000 95.379 -173.5164
2650.000000 95.372 -174.3316
2690.000000 95.344 -175.4289
2720.000000 95.308 -176.2172
2760.000000 95.251 -177.1616
2800.000000 95.204 -178.0096
2850.000000 95.182 -179.1846
2900.000000 95.181 179.1381
2950.000000 95.136 176.9025
3000.000000 95.017 174.4420
3040.000000 94.886 172.3482
3070.000000 94.761 170.6110
3110.000000 94.534 168.0852
3150.000000 94.220 165.3797
3200.000000 93.678 161.8605
3250.000000 92.934 158.4078
3300.000000 91.949 155.4128
3350.000000 90.684 153.4765
3400.000000 89.119 153.6146
3450.000000 87.313 157.4382
3500.000000 85.518 166.8776
3550.000000 84.277 -177.5227
3600.000000 84.110 -159.3628
3650.000000 84.918 -143.8629
3700.000000 86.234 -132.7262
3750.000000 87.739 -125.4113
3820.000000 89.865 -120.3244
3870.000000 91.270 -119.6756
3950.000000 93.116 -122.2999
4000.000000 93.989 -125.1117
4060.000000 94.815 -128.8592
4120.000000 95.432 -132.8104
4180.000000 95.898 -136.5257
4250.000000 96.304 -141.1805
4310.000000 96.387 -145.2962
4370.000000 96.203 -148.1147
4440.000000 95.928 -148.0549
4500.000000 96.023 -145.7884
4550.000000 96.404 -144.1366
4620.000000 97.150 -143.6370
4680.000000 97.816 -144.6451
4750.000000 98.562 -146.9570
4820.000000 99.258 -150.2897
4870.000000 99.706 -153.2356
4940.000000 100.235 -157.9831
5000.000000 100.575 -162.3931
5080.000000 100.885 -168.3212
5150.000000 101.087 -173.3347
5220.000000 101.282 -178.4207
5300.000000 101.486 175.0120
5380.000000 101.524 167.2479
5450.000000 101.292 160.0609
5520.000000 100.808 153.3999
5600.000000 100.036 147.0616
5700.000000 98.895 141.4565
5800.000000 97.751 138.2351
5900.000000 96.709 136.3984
6000.000000 95.707 135.3359
6080.000000 94.905 135.4280
