* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 8:05:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony MDR XB-500 5 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.623 -110.5650
20.299999 93.749 -111.3297
20.600000 93.877 -112.1603
20.900000 94.001 -113.0706
21.200001 94.113 -114.0475
21.400000 94.178 -114.7162
21.799999 94.282 -116.0195
22.000000 94.323 -116.6195
22.400000 94.396 -117.6616
22.700001 94.456 -118.3117
23.000000 94.531 -118.9017
23.299999 94.622 -119.5059
23.600000 94.724 -120.1920
24.000000 94.859 -121.2856
24.299999 94.944 -122.2143
24.700001 95.026 -123.4893
25.000000 95.067 -124.3920
25.400000 95.107 -125.4515
25.799999 95.149 -126.3531
26.200001 95.203 -127.1741
26.500000 95.252 -127.7900
26.900000 95.321 -128.6495
27.200001 95.370 -129.3223
27.600000 95.427 -130.2315
28.000000 95.477 -131.1205
28.500000 95.531 -132.1619
29.000000 95.584 -133.1075
29.500000 95.646 -133.9842
30.000000 95.720 -134.8668
30.400000 95.784 -135.6264
30.700001 95.827 -136.2333
31.100000 95.876 -137.0687
31.500000 95.912 -137.8925
32.000000 95.942 -138.8522
32.500000 95.964 -139.7189
33.000000 95.982 -140.5019
33.500000 95.997 -141.2065
34.000000 96.015 -141.8580
34.500000 96.037 -142.5188
35.000000 96.048 -143.2167
35.500000 96.037 -143.8586
36.000000 96.014 -144.2962
36.500000 96.016 -144.5215
37.000000 96.065 -144.7467
37.500000 96.142 -145.2126
38.200001 96.220 -146.2261
38.700001 96.244 -146.8935
39.500000 96.316 -147.6471
40.000000 96.406 -148.1875
40.599998 96.522 -149.1074
41.200001 96.613 -150.1622
41.799999 96.694 -151.1638
42.500000 96.803 -152.3459
43.099998 96.894 -153.5084
43.700001 96.961 -154.7637
44.400002 97.013 -156.2147
45.000000 97.048 -157.4743
45.500000 97.070 -158.6098
46.200001 97.064 -160.3554
46.799999 97.010 -161.8781
47.500000 96.901 -163.4669
48.200001 96.779 -164.7975
48.700001 96.699 -165.6857
49.400002 96.581 -166.9520
50.000000 96.458 -167.9845
50.799999 96.280 -169.0567
51.500000 96.149 -169.7827
52.200001 96.036 -170.5775
53.000000 95.874 -171.5958
53.799999 95.653 -172.4131
54.500000 95.431 -172.7714
55.200001 95.205 -172.7857
56.000000 94.956 -172.4669
57.000000 94.659 -171.6682
58.000000 94.384 -170.3010
59.000000 94.184 -168.3925
60.000000 94.077 -166.2480
60.799999 94.058 -164.4620
61.500000 94.093 -162.9233
62.200001 94.173 -161.5130
63.000000 94.305 -160.1565
64.000000 94.497 -158.8165
65.000000 94.717 -157.7659
66.000000 94.959 -157.0821
67.000000 95.203 -156.6905
68.000000 95.454 -156.4916
69.000000 95.712 -156.5181
70.000000 95.971 -156.8207
71.000000 96.200 -157.3981
72.000000 96.392 -157.9894
73.000000 96.584 -158.5539
74.000000 96.775 -159.2902
75.000000 96.946 -160.1873
76.199997 97.119 -161.4214
77.500000 97.249 -162.7085
78.800003 97.369 -163.6725
80.000000 97.504 -164.5048
81.199997 97.642 -165.4765
82.500000 97.770 -166.6597
83.800003 97.872 -167.8943
85.000000 97.943 -169.0013
86.199997 98.012 -170.0144
87.500000 98.093 -171.1374
88.500000 98.155 -172.0155
90.000000 98.251 -173.3928
91.199997 98.323 -174.5976
92.500000 98.379 -176.0661
93.800003 98.379 -177.5715
95.000000 98.332 -178.7049
96.199997 98.273 -179.4054
97.500000 98.248 -179.7037
98.800003 98.301 -179.8636
100.000000 98.401 179.7481
101.500000 98.538 178.8886
103.000000 98.667 177.7304
104.400002 98.765 176.4571
106.000000 98.849 174.9371
107.500000 98.916 173.5185
109.000000 98.984 172.0413
110.599998 99.051 170.3374
112.000000 99.102 168.7275
113.800003 99.143 166.4631
115.000000 99.144 164.8752
117.199997 99.087 161.9585
118.000000 99.047 160.8986
120.599998 98.828 157.5481
122.000000 98.650 155.9766
124.099998 98.339 154.3006
125.000000 98.207 153.8771
126.500000 98.018 153.5424
128.000000 97.889 153.5345
131.500000 97.859 153.2260
132.000000 97.872 153.0196
134.000000 97.916 151.7943
136.000000 97.922 150.1652
138.000000 97.884 148.3694
140.000000 97.808 146.5004
143.000000 97.619 143.5918
145.000000 97.432 141.6721
147.500000 97.117 139.4593
150.000000 96.709 137.7220
152.500000 96.229 136.8905
155.000000 95.782 137.5092
157.500000 95.544 139.1201
160.000000 95.523 140.2311
162.500000 95.568 140.3537
165.000000 95.601 139.9838
167.500000 95.631 139.4056
170.000000 95.664 138.5565
172.500000 95.689 137.3216
175.000000 95.678 135.7043
177.500000 95.603 133.8889
180.000000 95.462 132.1144
182.500000 95.288 130.5474
185.000000 95.115 129.1725
187.500000 94.945 127.8274
190.000000 94.752 126.3172
192.500000 94.506 124.6801
195.000000 94.207 123.2062
197.500000 93.880 122.1061
200.000000 93.549 121.3217
203.000000 93.160 120.6742
206.000000 92.797 120.2944
209.000000 92.462 120.0764
212.000000 92.149 119.9472
214.000000 91.949 119.8824
218.000000 91.551 119.7199
220.000000 91.347 119.6589
224.000000 90.934 119.6880
227.000000 90.628 119.8679
230.000000 90.329 120.1523
233.000000 90.038 120.5191
236.000000 89.757 120.9943
240.000000 89.398 121.7571
243.000000 89.139 122.3689
247.000000 88.807 123.2335
250.000000 88.577 123.9493
254.000000 88.285 124.9101
258.000000 87.983 125.9899
262.000000 87.676 127.2511
265.000000 87.459 128.2775
269.000000 87.201 129.7822
272.000000 87.021 130.9815
276.000000 86.798 132.5635
280.000000 86.601 134.1023
285.000000 86.376 136.1210
290.000000 86.185 138.2817
295.000000 86.026 140.4124
300.000000 85.901 142.5277
304.000000 85.824 144.2032
307.000000 85.781 145.4365
311.000000 85.742 146.9875
315.000000 85.699 148.4415
320.000000 85.650 150.1660
325.000000 85.612 151.7413
330.000000 85.587 153.5947
335.000000 85.607 155.5185
340.000000 85.644 157.2572
345.000000 85.699 158.9263
350.000000 85.787 160.5872
355.000000 85.913 162.1690
360.000000 86.065 163.5525
365.000000 86.231 164.6637
370.000000 86.417 165.5189
375.000000 86.617 166.1731
382.000000 86.898 166.5973
387.000000 87.069 166.4902
395.000000 87.275 165.9055
400.000000 87.375 165.5616
406.000000 87.470 165.0661
412.000000 87.547 164.4620
418.000000 87.603 163.8625
425.000000 87.625 162.9475
431.000000 87.589 161.9495
437.000000 87.506 161.0068
444.000000 87.342 160.3228
450.000000 87.182 160.2581
455.000000 87.070 160.3676
462.000000 86.945 160.5833
468.000000 86.845 160.7360
475.000000 86.715 160.9897
482.000000 86.583 161.5347
487.000000 86.508 162.1122
494.000000 86.445 162.8951
500.000000 86.409 163.4109
508.000000 86.377 164.0208
515.000000 86.359 164.4724
522.000000 86.347 164.8993
530.000000 86.348 165.2560
538.000000 86.344 165.3752
545.000000 86.323 165.4044
552.000000 86.291 165.4336
560.000000 86.240 165.3854
570.000000 86.154 165.2932
580.000000 86.047 165.1934
590.000000 85.911 165.1365
600.000000 85.750 165.1642
608.000000 85.598 165.2737
615.000000 85.452 165.4826
622.000000 85.295 165.8567
630.000000 85.113 166.5640
640.000000 84.909 167.8313
650.000000 84.759 169.3058
660.000000 84.673 170.7044
670.000000 84.621 171.8826
680.000000 84.558 172.8984
690.000000 84.487 173.9197
700.000000 84.436 175.0311
710.000000 84.429 175.9100
720.000000 84.377 176.1361
730.000000 84.202 176.4747
740.000000 83.983 177.4756
750.000000 83.757 179.0013
762.000000 83.516 -178.1134
775.000000 83.440 -173.6405
788.000000 83.711 -168.6973
800.000000 84.347 -165.1932
812.000000 85.227 -164.6082
825.000000 86.036 -168.3685
838.000000 86.241 -175.1139
850.000000 85.774 179.1521
862.000000 84.902 176.2343
875.000000 83.875 176.6480
885.000000 83.203 178.8815
900.000000 82.481 -176.5519
912.000000 82.074 -172.3039
925.000000 81.824 -167.2401
938.000000 81.753 -162.4511
950.000000 81.805 -158.4007
962.000000 81.899 -155.0523
975.000000 81.965 -151.6949
988.000000 82.034 -147.9476
1000.000000 82.182 -144.0798
1015.000000 82.533 -139.5355
1030.000000 82.978 -135.9529
1044.000000 83.397 -133.3631
1060.000000 83.846 -130.8058
1075.000000 84.273 -128.4426
1090.000000 84.745 -126.2577
1106.000000 85.301 -124.4480
1120.000000 85.779 -123.5824
1138.000000 86.291 -123.0751
1150.000000 86.578 -122.6690
1172.000000 87.104 -121.6669
1180.000000 87.302 -121.3410
1206.000000 87.959 -120.6025
1220.000000 88.302 -120.4367
1241.000000 88.791 -120.4035
1250.000000 88.990 -120.4372
1265.000000 89.312 -120.5448
1280.000000 89.621 -120.7430
1315.000000 90.296 -121.2916
1320.000000 90.389 -121.3737
1340.000000 90.759 -121.6913
1360.000000 91.140 -122.0511
1380.000000 91.536 -122.6271
1400.000000 91.921 -123.5060
1430.000000 92.441 -125.2681
1450.000000 92.738 -126.5955
1475.000000 93.059 -128.2808
1500.000000 93.333 -129.9184
1525.000000 93.580 -131.4573
1550.000000 93.803 -132.9966
1575.000000 93.975 -134.5284
1600.000000 94.118 -135.4667
1625.000000 94.376 -136.1814
1650.000000 94.646 -137.7207
1675.000000 94.841 -139.4688
1700.000000 94.993 -141.1604
1725.000000 95.115 -142.7647
1750.000000 95.217 -144.2941
1775.000000 95.299 -145.7559
1800.000000 95.365 -147.1164
1825.000000 95.423 -148.3628
1850.000000 95.477 -149.5186
1875.000000 95.532 -150.6217
1900.000000 95.587 -151.6917
1925.000000 95.641 -152.7444
1950.000000 95.694 -153.8058
1975.000000 95.744 -154.8978
2000.000000 95.786 -156.0308
2030.000000 95.816 -157.4131
2060.000000 95.821 -158.7704
2090.000000 95.804 -160.0566
2120.000000 95.764 -161.2251
2140.000000 95.726 -161.9020
2180.000000 95.638 -162.9110
2200.000000 95.602 -163.2131
2240.000000 95.602 -163.5747
2270.000000 95.652 -164.1572
2300.000000 95.677 -164.9804
2330.000000 95.678 -165.7587
2360.000000 95.673 -166.4832
2400.000000 95.658 -167.3772
2430.000000 95.643 -167.9721
2470.000000 95.631 -168.6715
2500.000000 95.630 -169.1596
2540.000000 95.638 -169.8067
2580.000000 95.655 -170.4729
2620.000000 95.682 -171.1475
2650.000000 95.712 -171.6646
2690.000000 95.766 -172.4166
2720.000000 95.817 -173.0636
2760.000000 95.900 -174.0875
2800.000000 95.989 -175.3768
2850.000000 96.084 -177.4447
2900.000000 96.125 -179.9491
2950.000000 96.094 177.3184
3000.000000 96.005 174.5109
3040.000000 95.907 172.1433
3070.000000 95.807 170.2187
3110.000000 95.615 167.5187
3150.000000 95.350 164.7977
3200.000000 94.921 161.4805
3250.000000 94.385 158.3158
3300.000000 93.732 155.3590
3350.000000 92.940 152.7118
3400.000000 91.981 150.5537
3450.000000 90.823 149.2139
3500.000000 89.422 149.3271
3550.000000 87.759 152.0135
3600.000000 85.916 159.3423
3650.000000 84.316 174.4412
3700.000000 83.958 -162.7740
3750.000000 85.332 -142.3430
3820.000000 88.366 -129.1253
3870.000000 90.378 -127.4618
3950.000000 92.881 -131.4516
4000.000000 94.002 -136.0732
4060.000000 94.943 -142.5666
4120.000000 95.487 -149.3016
4180.000000 95.715 -155.4981
4250.000000 95.728 -161.9904
4310.000000 95.474 -167.1387
4370.000000 94.905 -170.9873
4440.000000 93.953 -171.6005
4500.000000 93.324 -167.3567
4550.000000 93.319 -161.9298
4620.000000 94.039 -156.4801
4680.000000 94.872 -155.0801
4750.000000 95.776 -155.9162
4820.000000 96.559 -158.1567
4870.000000 97.057 -160.3213
4940.000000 97.672 -163.9940
5000.000000 98.124 -167.6271
5080.000000 98.622 -173.0584
5150.000000 98.957 -178.3517
5220.000000 99.176 175.8663
5300.000000 99.247 168.8487
5380.000000 99.111 161.7150
5450.000000 98.813 155.5705
5520.000000 98.327 149.8561
