* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 8:11:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony MDR XB-500 1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 99.181 -144.4277
20.299999 99.211 -145.3451
20.600000 99.231 -146.2101
20.900000 99.246 -147.0042
21.200001 99.263 -147.7353
21.400000 99.277 -148.2009
21.799999 99.311 -149.1205
22.000000 99.330 -149.5883
22.400000 99.368 -150.5523
22.700001 99.393 -151.2933
23.000000 99.414 -152.0383
23.299999 99.433 -152.7800
23.600000 99.450 -153.5163
24.000000 99.469 -154.4929
24.299999 99.481 -155.2228
24.700001 99.492 -156.1860
25.000000 99.497 -156.8914
25.400000 99.499 -157.7954
25.799999 99.500 -158.6525
26.200001 99.503 -159.4719
26.500000 99.506 -160.0741
26.900000 99.512 -160.8785
27.200001 99.515 -161.4910
27.600000 99.515 -162.3206
28.000000 99.505 -163.1509
28.500000 99.479 -164.1495
29.000000 99.440 -165.0599
29.500000 99.396 -165.8664
30.000000 99.352 -166.5888
30.400000 99.319 -167.1244
30.700001 99.294 -167.5056
31.100000 99.263 -167.9851
31.500000 99.234 -168.4306
32.000000 99.204 -168.9479
32.500000 99.183 -169.4421
33.000000 99.173 -169.9337
33.500000 99.173 -170.4413
34.000000 99.185 -171.0009
34.500000 99.205 -171.6662
35.000000 99.221 -172.4663
35.500000 99.219 -173.3629
36.000000 99.193 -174.2657
36.500000 99.148 -175.0964
37.000000 99.096 -175.8335
37.500000 99.040 -176.4957
38.200001 98.954 -177.3154
38.700001 98.889 -177.8013
39.500000 98.790 -178.3501
40.000000 98.744 -178.5530
40.599998 98.724 -178.7494
41.200001 98.741 -179.0908
41.799999 98.765 -179.7121
42.500000 98.759 179.3536
43.099998 98.732 178.5837
43.700001 98.709 177.8133
44.400002 98.676 176.7231
45.000000 98.610 175.6859
45.500000 98.530 174.8773
46.200001 98.407 173.8251
46.799999 98.284 172.8711
47.500000 98.082 171.8253
48.200001 97.833 171.2265
48.700001 97.665 171.1027
49.400002 97.466 171.1134
50.000000 97.311 171.1638
50.799999 97.116 171.3414
51.500000 96.964 171.5641
52.200001 96.817 171.7394
53.000000 96.624 171.9279
53.799999 96.391 172.2758
54.500000 96.155 172.8924
55.200001 95.912 173.9650
56.000000 95.669 175.7227
57.000000 95.449 178.4273
58.000000 95.340 -178.3850
59.000000 95.394 -174.9866
60.000000 95.604 -171.9212
60.799999 95.856 -169.8800
61.500000 96.118 -168.4554
62.200001 96.401 -167.3684
63.000000 96.735 -166.4843
64.000000 97.160 -165.8700
65.000000 97.575 -165.7634
66.000000 97.970 -166.1076
67.000000 98.333 -166.8301
68.000000 98.667 -167.8429
69.000000 98.970 -169.1465
70.000000 99.234 -170.6758
71.000000 99.461 -172.3680
72.000000 99.644 -174.1842
73.000000 99.784 -176.0229
74.000000 99.889 -177.8623
75.000000 99.954 -179.6850
76.199997 99.985 178.2484
77.500000 99.971 176.1958
78.800003 99.915 174.4354
80.000000 99.847 173.1364
81.199997 99.777 172.1024
82.500000 99.706 171.2322
83.800003 99.644 170.5744
85.000000 99.598 170.1626
86.199997 99.577 169.9239
87.500000 99.594 169.7672
88.500000 99.638 169.6564
90.000000 99.760 169.4109
91.199997 99.907 168.9917
92.500000 100.087 168.1486
93.800003 100.262 166.9495
95.000000 100.408 165.5850
96.199997 100.532 163.9933
97.500000 100.627 162.0659
98.800003 100.679 160.0400
100.000000 100.696 158.1264
101.500000 100.674 155.6720
103.000000 100.597 153.2195
104.400002 100.478 151.0623
106.000000 100.302 148.8570
107.500000 100.114 147.0994
109.000000 99.924 145.6118
110.599998 99.721 144.2498
112.000000 99.549 143.2411
113.800003 99.355 142.1053
115.000000 99.245 141.3161
117.199997 99.050 139.6237
118.000000 98.972 138.9298
120.599998 98.648 136.4106
122.000000 98.388 134.9868
124.099998 97.817 133.4037
125.000000 97.509 133.3427
126.500000 97.009 134.6996
128.000000 96.718 137.6453
131.500000 97.071 142.1057
132.000000 97.152 142.1068
134.000000 97.399 141.2411
136.000000 97.517 139.7936
138.000000 97.541 138.2409
140.000000 97.497 136.6952
143.000000 97.342 134.5751
145.000000 97.205 133.2974
147.500000 97.010 131.8658
150.000000 96.789 130.6145
152.500000 96.554 129.6008
155.000000 96.323 128.7263
157.500000 96.084 127.9531
160.000000 95.824 127.3964
162.500000 95.546 127.2632
165.000000 95.293 127.7690
167.500000 95.148 128.7899
170.000000 95.149 129.6686
172.500000 95.251 129.7527
175.000000 95.363 128.8566
177.500000 95.417 127.2657
180.000000 95.378 125.3890
182.500000 95.243 123.5858
185.000000 95.044 121.9879
187.500000 94.809 120.5141
190.000000 94.544 119.1394
192.500000 94.255 117.9600
195.000000 93.953 117.0158
197.500000 93.643 116.3214
200.000000 93.332 115.8778
203.000000 92.974 115.6226
206.000000 92.644 115.5072
209.000000 92.344 115.4993
212.000000 92.066 115.5067
214.000000 91.885 115.5076
218.000000 91.527 115.4788
220.000000 91.346 115.4922
224.000000 90.979 115.6403
227.000000 90.702 115.8088
230.000000 90.428 116.0313
233.000000 90.159 116.3347
236.000000 89.894 116.7136
240.000000 89.548 117.2845
243.000000 89.291 117.7562
247.000000 88.948 118.5007
250.000000 88.702 119.0392
254.000000 88.388 119.6901
258.000000 88.068 120.4901
262.000000 87.735 121.4166
265.000000 87.478 122.1775
269.000000 87.143 123.3447
272.000000 86.892 124.3096
276.000000 86.544 125.7176
280.000000 86.207 127.3053
285.000000 85.814 129.5372
290.000000 85.453 132.2380
295.000000 85.146 135.3430
300.000000 84.895 138.5715
304.000000 84.732 141.1801
307.000000 84.632 143.1513
311.000000 84.529 145.7394
315.000000 84.452 148.3156
320.000000 84.392 151.6687
325.000000 84.377 154.9473
330.000000 84.409 158.2909
335.000000 84.530 161.6973
340.000000 84.731 164.8602
345.000000 84.988 167.7703
350.000000 85.298 170.3188
355.000000 85.660 172.4430
360.000000 86.059 174.0182
365.000000 86.475 175.0635
370.000000 86.896 175.5367
375.000000 87.300 175.4364
382.000000 87.793 174.2970
387.000000 88.062 172.8319
395.000000 88.310 169.9191
400.000000 88.333 168.0364
406.000000 88.233 166.1442
412.000000 88.043 164.8683
418.000000 87.814 164.1277
425.000000 87.525 163.9537
431.000000 87.293 164.4307
437.000000 87.103 165.3904
444.000000 86.938 166.9097
450.000000 86.860 168.3808
455.000000 86.847 169.5667
462.000000 86.890 171.0580
468.000000 86.955 172.0595
475.000000 87.039 173.0329
482.000000 87.127 173.9229
487.000000 87.203 174.4612
494.000000 87.323 174.9828
500.000000 87.421 175.2847
508.000000 87.543 175.5452
515.000000 87.649 175.5045
522.000000 87.734 175.3577
530.000000 87.819 175.2530
538.000000 87.896 174.8469
545.000000 87.923 174.3484
552.000000 87.913 173.9300
560.000000 87.884 173.5615
570.000000 87.828 173.2371
580.000000 87.759 173.1341
590.000000 87.700 173.1679
600.000000 87.653 173.1656
608.000000 87.616 173.0591
615.000000 87.573 172.9256
622.000000 87.520 172.8088
630.000000 87.440 172.6558
640.000000 87.306 172.5834
650.000000 87.162 172.7310
660.000000 87.013 173.0318
670.000000 86.865 173.5184
680.000000 86.724 174.2224
690.000000 86.603 175.1155
700.000000 86.511 176.1787
710.000000 86.470 177.2799
720.000000 86.479 178.0971
730.000000 86.473 178.2489
740.000000 86.352 178.2261
750.000000 86.160 178.8563
762.000000 85.954 -179.5523
775.000000 85.838 -177.0173
788.000000 85.896 -174.0220
800.000000 86.176 -171.3748
812.000000 86.700 -170.0338
825.000000 87.340 -171.7275
838.000000 87.633 -176.6712
850.000000 87.366 178.2083
862.000000 86.695 174.7877
875.000000 85.782 173.8066
885.000000 85.087 174.7523
900.000000 84.164 178.0315
912.000000 83.581 -177.9885
925.000000 83.130 -173.1041
938.000000 82.833 -167.7824
950.000000 82.708 -162.6383
962.000000 82.729 -157.4828
975.000000 82.905 -152.2704
988.000000 83.192 -147.6979
1000.000000 83.519 -144.0466
1015.000000 83.989 -140.2819
1030.000000 84.462 -137.4307
1044.000000 84.861 -135.3279
1060.000000 85.273 -133.1195
1075.000000 85.652 -131.0934
1090.000000 86.048 -129.1250
1106.000000 86.495 -127.2238
1120.000000 86.898 -125.8688
1138.000000 87.391 -124.5407
1150.000000 87.701 -123.7425
1172.000000 88.241 -122.3340
1180.000000 88.434 -121.7781
1206.000000 89.109 -119.8249
1220.000000 89.536 -118.8395
1241.000000 90.241 -118.0282
1250.000000 90.543 -117.9527
1265.000000 91.037 -118.0619
1280.000000 91.523 -118.4736
1315.000000 92.550 -120.6366
1320.000000 92.680 -121.0327
1340.000000 93.164 -122.7328
1360.000000 93.592 -124.5819
1380.000000 93.978 -126.4982
1400.000000 94.326 -128.5591
1430.000000 94.752 -131.7655
1450.000000 94.981 -133.8048
1475.000000 95.231 -136.2182
1500.000000 95.454 -138.5451
1525.000000 95.659 -140.9014
1550.000000 95.816 -143.3754
1575.000000 95.933 -145.6580
1600.000000 96.045 -148.0200
1625.000000 96.096 -150.4968
1650.000000 96.086 -152.7867
1675.000000 96.032 -154.7896
1700.000000 95.954 -156.4718
1725.000000 95.868 -157.8700
1750.000000 95.784 -159.0593
1775.000000 95.704 -160.0853
1800.000000 95.628 -160.9877
1825.000000 95.553 -161.7746
1850.000000 95.482 -162.3856
1875.000000 95.426 -162.8560
1900.000000 95.388 -163.2609
1925.000000 95.360 -163.6342
1950.000000 95.344 -164.0018
1975.000000 95.334 -164.4007
2000.000000 95.326 -164.8362
2030.000000 95.311 -165.3981
2060.000000 95.287 -165.9289
2090.000000 95.260 -166.3797
2120.000000 95.234 -166.7545
2140.000000 95.214 -166.9719
2180.000000 95.148 -167.1281
2200.000000 95.132 -166.7740
2240.000000 95.332 -166.0696
2270.000000 95.515 -167.0050
2300.000000 95.576 -168.2767
2330.000000 95.573 -169.2855
2360.000000 95.558 -170.0477
2400.000000 95.549 -170.8443
2430.000000 95.556 -171.3808
2470.000000 95.582 -172.1270
2500.000000 95.608 -172.7508
2540.000000 95.645 -173.7266
2580.000000 95.673 -174.8997
2620.000000 95.678 -176.2495
2650.000000 95.662 -177.3499
2690.000000 95.608 -178.8719
2720.000000 95.540 -179.9875
2760.000000 95.418 178.6931
2800.000000 95.286 177.6655
2850.000000 95.160 176.6415
2900.000000 95.092 175.3729
2950.000000 95.017 173.4688
3000.000000 94.869 171.1578
3040.000000 94.711 169.1681
3070.000000 94.567 167.5079
3110.000000 94.316 165.0909
3150.000000 93.982 162.5343
3200.000000 93.423 159.2668
3250.000000 92.670 156.1141
3300.000000 91.681 153.4437
3350.000000 90.414 151.8239
3400.000000 88.847 152.2657
3450.000000 87.040 156.3828
3500.000000 85.253 166.1295
3550.000000 84.037 -178.0109
3600.000000 83.907 -159.6726
3650.000000 84.758 -144.0328
3700.000000 86.115 -132.7867
3750.000000 87.663 -125.2864
3820.000000 89.875 -119.9225
3870.000000 91.356 -119.1393
3950.000000 93.352 -121.8898
4000.000000 94.303 -125.1181
4060.000000 95.169 -129.4596
4120.000000 95.811 -133.7983
4180.000000 96.309 -137.9213
4250.000000 96.735 -143.0817
4310.000000 96.824 -147.6015
4370.000000 96.632 -150.7954
4440.000000 96.340 -151.0045
4500.000000 96.453 -148.8475
4550.000000 96.877 -147.4112
4620.000000 97.684 -147.5497
4680.000000 98.376 -149.3089
4750.000000 99.119 -152.5970
4820.000000 99.767 -156.9302
4870.000000 100.149 -160.5325
4940.000000 100.543 -166.0663
5000.000000 100.741 -170.9940
5080.000000 100.829 -177.2359
5150.000000 100.828 177.9579
5220.000000 100.857 173.5505
5300.000000 100.965 168.0181
5380.000000 100.987 161.0706
5450.000000 100.756 154.3343
5520.000000 100.261 148.0427
5600.000000 99.471 142.1985
5700.000000 98.332 137.2783
5800.000000 97.223 134.7180
