* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 7:57:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony MDR XB-500 1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 100.452 -152.9835
20.299999 100.478 -153.7779
20.600000 100.499 -154.5602
20.900000 100.516 -155.3246
21.200001 100.531 -156.0718
21.400000 100.541 -156.5639
21.799999 100.557 -157.5464
22.000000 100.563 -158.0410
22.400000 100.569 -159.0359
22.700001 100.567 -159.7747
23.000000 100.559 -160.4909
23.299999 100.547 -161.1725
23.600000 100.534 -161.8170
24.000000 100.521 -162.6360
24.299999 100.516 -163.2439
24.700001 100.513 -164.0793
25.000000 100.510 -164.7343
25.400000 100.500 -165.6339
25.799999 100.481 -166.5297
26.200001 100.454 -167.3849
26.500000 100.431 -167.9881
26.900000 100.400 -168.7432
27.200001 100.377 -169.2796
27.600000 100.348 -169.9622
28.000000 100.317 -170.6051
28.500000 100.279 -171.3391
29.000000 100.246 -171.9961
29.500000 100.221 -172.6134
30.000000 100.201 -173.2355
30.400000 100.182 -173.7384
30.700001 100.165 -174.1041
31.100000 100.141 -174.5585
31.500000 100.120 -174.9782
32.000000 100.104 -175.5120
32.500000 100.090 -176.1342
33.000000 100.060 -176.8337
33.500000 100.006 -177.4860
34.000000 99.943 -177.9908
34.500000 99.894 -178.3974
35.000000 99.855 -178.8345
35.500000 99.804 -179.2997
36.000000 99.734 -179.6150
36.500000 99.677 -179.6425
37.000000 99.673 -179.5110
37.500000 99.725 -179.5333
38.200001 99.815 179.9264
38.700001 99.853 179.3920
39.500000 99.911 178.6587
40.000000 99.973 178.1407
40.599998 100.051 177.2688
41.200001 100.101 176.2040
41.799999 100.123 175.1052
42.500000 100.127 173.8306
43.099998 100.115 172.7388
43.700001 100.090 171.6611
44.400002 100.053 170.3647
45.000000 100.004 169.1739
45.500000 99.940 168.1801
46.200001 99.826 166.9142
46.799999 99.727 165.9362
47.500000 99.609 164.8015
48.200001 99.474 163.6717
48.700001 99.365 162.9250
49.400002 99.203 162.0042
50.000000 99.059 161.3329
50.799999 98.868 160.6066
51.500000 98.711 160.0565
52.200001 98.558 159.4594
53.000000 98.356 158.7226
53.799999 98.117 158.0898
54.500000 97.888 157.6742
55.200001 97.643 157.3742
56.000000 97.341 157.2279
57.000000 96.945 157.4406
58.000000 96.549 158.1297
59.000000 96.175 159.3118
60.000000 95.834 160.9578
60.799999 95.594 162.6863
61.500000 95.432 164.4922
62.200001 95.327 166.4269
63.000000 95.267 168.6274
64.000000 95.257 171.3284
65.000000 95.322 174.0396
66.000000 95.469 176.5742
67.000000 95.675 178.8669
68.000000 95.951 -179.0743
69.000000 96.292 -177.5067
70.000000 96.660 -176.5485
71.000000 97.024 -176.1659
72.000000 97.361 -176.2407
73.000000 97.663 -176.6012
74.000000 97.937 -177.1214
75.000000 98.194 -177.7524
76.199997 98.489 -178.6777
77.500000 98.792 -179.9250
78.800003 99.064 178.5140
80.000000 99.269 176.8439
81.199997 99.426 175.0594
82.500000 99.548 173.0876
83.800003 99.627 171.1046
85.000000 99.658 169.2939
86.199997 99.651 167.5816
87.500000 99.607 165.9150
88.500000 99.557 164.8077
90.000000 99.469 163.3746
91.199997 99.389 162.4584
92.500000 99.312 161.6880
93.800003 99.247 161.0211
95.000000 99.194 160.4527
96.199997 99.146 159.9102
97.500000 99.096 159.3437
98.800003 99.051 158.8312
100.000000 99.021 158.4136
101.500000 99.000 157.9078
103.000000 98.992 157.3364
104.400002 98.974 156.7439
106.000000 98.943 156.1680
107.500000 98.929 155.7541
109.000000 98.951 155.3909
110.599998 99.020 154.9008
112.000000 99.109 154.2090
113.800003 99.210 152.8013
115.000000 99.244 151.6339
117.199997 99.233 149.2563
118.000000 99.203 148.3564
120.599998 98.995 145.6743
122.000000 98.822 144.6449
124.099998 98.541 143.9839
125.000000 98.447 144.0501
126.500000 98.368 144.3601
128.000000 98.382 144.4623
131.500000 98.471 143.0936
132.000000 98.474 142.8009
134.000000 98.464 141.5090
136.000000 98.423 140.0452
138.000000 98.340 138.5248
140.000000 98.213 137.1619
143.000000 97.989 135.5371
145.000000 97.844 134.4715
147.500000 97.650 133.0710
150.000000 97.438 131.7906
152.500000 97.181 130.6856
155.000000 96.876 130.0451
157.500000 96.567 130.0688
160.000000 96.333 130.6656
162.500000 96.202 131.2773
165.000000 96.106 131.7221
167.500000 96.026 132.4226
170.000000 96.042 133.3654
172.500000 96.190 133.8267
175.000000 96.397 133.3867
177.500000 96.576 132.1805
180.000000 96.682 130.4162
182.500000 96.710 128.3453
185.000000 96.678 126.1312
187.500000 96.585 123.8128
190.000000 96.418 121.5583
192.500000 96.178 119.5385
195.000000 95.893 117.8847
197.500000 95.594 116.5562
200.000000 95.297 115.4941
203.000000 94.955 114.4738
206.000000 94.625 113.7079
209.000000 94.307 113.1393
212.000000 94.003 112.7039
214.000000 93.809 112.4583
218.000000 93.432 112.0644
220.000000 93.247 111.9156
224.000000 92.886 111.7101
227.000000 92.624 111.6408
230.000000 92.365 111.6438
233.000000 92.110 111.7173
236.000000 91.862 111.8597
240.000000 91.545 112.1532
243.000000 91.317 112.4074
247.000000 91.021 112.7834
250.000000 90.809 113.1040
254.000000 90.549 113.5267
258.000000 90.297 113.9026
262.000000 90.050 114.4312
265.000000 89.883 114.9216
269.000000 89.679 115.4994
272.000000 89.533 115.8235
276.000000 89.333 116.2330
280.000000 89.129 116.6338
285.000000 88.882 116.9756
290.000000 88.632 117.3043
295.000000 88.359 117.7559
300.000000 88.081 118.4118
304.000000 87.865 118.9310
307.000000 87.705 119.3154
311.000000 87.487 119.8137
315.000000 87.259 120.2645
320.000000 86.983 120.9933
325.000000 86.703 121.9233
330.000000 86.441 122.8180
335.000000 86.188 123.8893
340.000000 85.927 125.1467
345.000000 85.675 126.3656
350.000000 85.453 127.6417
355.000000 85.252 128.9869
360.000000 85.052 130.4908
365.000000 84.839 131.9756
370.000000 84.640 133.4362
375.000000 84.482 134.9091
382.000000 84.295 137.2915
387.000000 84.206 139.0859
395.000000 84.007 142.0331
400.000000 83.881 143.8965
406.000000 83.807 146.1810
412.000000 83.795 148.6097
418.000000 83.840 150.8803
425.000000 83.950 152.7935
431.000000 84.056 154.0178
437.000000 84.153 154.9619
444.000000 84.218 155.8105
450.000000 84.226 156.5706
455.000000 84.227 157.2515
462.000000 84.231 158.1311
468.000000 84.231 158.8509
475.000000 84.212 159.6359
482.000000 84.145 160.7839
487.000000 84.106 161.7900
494.000000 84.096 162.9974
500.000000 84.109 164.0204
508.000000 84.115 165.7325
515.000000 84.145 166.9612
522.000000 84.200 167.9423
530.000000 84.283 169.0719
538.000000 84.380 170.0638
545.000000 84.458 170.7317
552.000000 84.541 171.3269
560.000000 84.651 171.9426
570.000000 84.785 172.4722
580.000000 84.899 172.7073
590.000000 84.991 172.7706
600.000000 85.068 172.6001
608.000000 85.111 172.2589
615.000000 85.111 171.7679
622.000000 85.069 171.2163
630.000000 84.975 170.7112
640.000000 84.796 170.3636
650.000000 84.576 170.3090
660.000000 84.356 170.5755
670.000000 84.130 171.0864
680.000000 83.880 171.8333
690.000000 83.613 173.0565
700.000000 83.396 174.8163
710.000000 83.274 176.5989
720.000000 83.160 177.8112
730.000000 82.962 179.1216
740.000000 82.747 -178.7954
750.000000 82.559 -176.2952
762.000000 82.391 -172.7239
775.000000 82.377 -167.8143
788.000000 82.701 -162.4335
800.000000 83.360 -158.4598
812.000000 84.258 -157.2398
825.000000 85.116 -160.3670
838.000000 85.359 -166.6541
850.000000 84.907 -171.8002
862.000000 84.063 -173.7759
875.000000 83.132 -172.0784
885.000000 82.584 -169.1122
900.000000 82.067 -163.5325
912.000000 81.879 -158.7222
925.000000 81.837 -153.8223
938.000000 81.911 -149.2127
950.000000 82.069 -145.1419
962.000000 82.281 -141.4763
975.000000 82.555 -137.6884
988.000000 82.916 -133.9919
1000.000000 83.315 -131.0786
1015.000000 83.841 -128.1620
1030.000000 84.371 -125.7998
1044.000000 84.883 -123.8357
1060.000000 85.479 -122.3521
1075.000000 85.979 -121.4719
1090.000000 86.462 -120.6291
1106.000000 86.973 -120.2386
1120.000000 87.345 -120.4282
1138.000000 87.679 -120.5066
1150.000000 87.881 -119.9783
1172.000000 88.376 -118.3132
1180.000000 88.602 -117.7913
1206.000000 89.412 -117.0954
1220.000000 89.834 -117.3127
1241.000000 90.415 -117.9932
1250.000000 90.655 -118.3973
1265.000000 91.035 -119.2690
1280.000000 91.382 -120.3237
1315.000000 92.043 -123.0742
1320.000000 92.121 -123.4560
1340.000000 92.414 -124.8257
1360.000000 92.704 -126.0415
1380.000000 92.992 -127.1913
1400.000000 93.271 -128.3623
1430.000000 93.659 -130.4561
1450.000000 93.894 -132.0455
1475.000000 94.143 -134.1026
1500.000000 94.346 -136.1288
1525.000000 94.519 -138.1503
1550.000000 94.643 -140.2123
1575.000000 94.695 -142.1008
1600.000000 94.715 -143.2919
1625.000000 94.836 -144.1540
1650.000000 94.982 -145.6391
1675.000000 95.066 -147.3176
1700.000000 95.114 -148.8738
1725.000000 95.142 -150.3585
1750.000000 95.142 -151.7683
1775.000000 95.117 -153.0452
1800.000000 95.074 -154.1364
1825.000000 95.020 -154.9750
1850.000000 94.976 -155.5741
1875.000000 94.953 -156.0418
1900.000000 94.950 -156.4775
1925.000000 94.960 -156.9195
1950.000000 94.977 -157.3695
1975.000000 95.004 -157.8478
2000.000000 95.032 -158.3755
2030.000000 95.061 -159.0578
2060.000000 95.078 -159.7585
2090.000000 95.083 -160.4493
2120.000000 95.076 -161.1051
2140.000000 95.062 -161.5071
2180.000000 95.017 -162.0963
2200.000000 94.998 -162.2088
2240.000000 95.032 -162.1732
2270.000000 95.115 -162.4717
2300.000000 95.174 -163.0724
2330.000000 95.205 -163.6587
2360.000000 95.228 -164.1989
2400.000000 95.250 -164.8882
2430.000000 95.261 -165.3676
2470.000000 95.277 -165.9546
2500.000000 95.292 -166.3733
2540.000000 95.316 -166.9174
2580.000000 95.344 -167.4165
2620.000000 95.384 -167.8371
2650.000000 95.431 -168.1243
2690.000000 95.523 -168.5547
2720.000000 95.613 -168.9854
2760.000000 95.757 -169.7916
2800.000000 95.919 -170.9748
2850.000000 96.105 -173.1382
2900.000000 96.217 -175.9588
2950.000000 96.224 -179.0665
3000.000000 96.144 177.8834
3040.000000 96.051 175.4265
3070.000000 95.957 173.4529
3110.000000 95.779 170.7111
3150.000000 95.532 167.9496
3200.000000 95.127 164.5360
3250.000000 94.612 161.2846
3300.000000 93.984 158.3277
3350.000000 93.241 155.7568
3400.000000 92.371 153.6722
3450.000000 91.350 152.2566
3500.000000 90.146 151.8233
3550.000000 88.724 152.9811
3600.000000 87.067 156.9795
3650.000000 85.299 166.3441
3700.000000 84.036 -175.5199
3750.000000 84.421 -151.7588
3820.000000 87.262 -131.4780
3870.000000 89.442 -127.8439
3950.000000 92.118 -131.1634
4000.000000 93.262 -135.7743
4060.000000 94.175 -142.2210
4120.000000 94.657 -148.7458
4180.000000 94.809 -154.4547
4250.000000 94.772 -160.0587
4310.000000 94.523 -164.4904
4370.000000 93.972 -167.7879
4440.000000 93.030 -167.7758
4500.000000 92.435 -162.7386
4550.000000 92.517 -156.7365
4620.000000 93.371 -151.2948
4680.000000 94.246 -150.3261
4750.000000 95.123 -151.5495
4820.000000 95.849 -153.8673
4870.000000 96.306 -155.9497
4940.000000 96.866 -159.4058
5000.000000 97.271 -162.7826
5080.000000 97.711 -167.7772
5150.000000 97.999 -172.6178
5220.000000 98.170 -177.8835
5300.000000 98.186 175.8562
5380.000000 98.019 169.7101
5450.000000 97.733 164.5234
5520.000000 97.298 159.7058
5600.000000 96.631 155.1475
5700.000000 95.667 151.3520
5800.000000 94.711 149.3930
