* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Oct 12, 2023 3:57:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Target RMS Average 1
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	2.995
20.144928	2.985
20.290907	2.974
20.437943	2.964
20.586044	2.954
20.735220	2.943
20.885475	2.933
21.036821	2.922
21.189262	2.912
21.342808	2.902
21.497467	2.891
21.653246	2.881
21.810154	2.870
21.968201	2.860
22.127390	2.849
22.287735	2.839
22.449242	2.829
22.611917	2.818
22.775772	2.808
22.940815	2.797
23.107054	2.787
23.274498	2.777
23.443153	2.766
23.613033	2.756
23.784142	2.745
23.956491	2.735
24.130091	2.724
24.304947	2.714
24.481071	2.704
24.658470	2.693
24.837156	2.683
25.017136	2.672
25.198421	2.662
25.381020	2.652
25.564941	2.641
25.750195	2.631
25.936790	2.620
26.124741	2.610
26.314051	2.599
26.504732	2.589
26.696796	2.579
26.890253	2.568
27.085112	2.558
27.281382	2.547
27.479073	2.537
27.678198	2.527
27.878765	2.516
28.080786	2.506
28.284271	2.495
28.489231	2.485
28.695675	2.474
28.903616	2.464
29.113064	2.454
29.324028	2.443
29.536524	2.433
29.750557	2.422
29.966141	2.412
30.183289	2.402
30.402010	2.391
30.622314	2.381
30.844217	2.370
31.067726	2.360
31.292856	2.349
31.519617	2.339
31.748020	2.329
31.978081	2.318
32.209808	2.308
32.443211	2.297
32.678310	2.287
32.915108	2.277
33.153625	2.266
33.393871	2.256
33.635857	2.245
33.879597	2.235
34.125103	2.224
34.372387	2.214
34.621464	2.204
34.872345	2.193
35.125042	2.183
35.379574	2.172
35.635948	2.162
35.894180	2.152
36.154285	2.141
36.416275	2.131
36.680161	2.120
36.945961	2.110
37.213688	2.099
37.483353	2.088
37.754974	2.079
38.028561	2.081
38.304131	2.086
38.581699	2.083
38.861279	2.077
39.142883	2.068
39.426529	2.056
39.712231	2.046
40.000000	2.035
40.289856	2.025
40.581814	2.014
40.875885	2.004
41.172089	1.994
41.470440	1.983
41.770950	1.973
42.073643	1.962
42.378525	1.952
42.685616	1.942
42.994934	1.931
43.306492	1.921
43.620308	1.910
43.936401	1.900
44.254780	1.889
44.575470	1.879
44.898483	1.869
45.223835	1.858
45.551544	1.848
45.881630	1.838
46.214108	1.834
46.548996	1.842
46.886307	1.848
47.226067	1.841
47.568283	1.827
47.912983	1.817
48.260181	1.806
48.609894	1.796
48.962143	1.786
49.316940	1.775
49.674313	1.765
50.034271	1.754
50.396843	1.744
50.762039	1.734
51.129883	1.723
51.500389	1.713
51.873581	1.702
52.249481	1.692
52.628101	1.681
53.009464	1.671
53.393593	1.661
53.780506	1.650
54.170223	1.640
54.562763	1.629
54.958145	1.619
55.356396	1.607
55.757530	1.598
