* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Apr 15, 2023 9:00:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 10dB Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	1.820
20.144928	1.809
20.290907	1.800
20.437943	1.790
20.586044	1.780
20.735220	1.771
20.885475	1.760
21.036821	1.751
21.189262	1.741
21.342808	1.732
21.497467	1.722
21.653246	1.712
21.810154	1.703
21.968201	1.693
22.127390	1.684
22.287735	1.675
22.449242	1.665
22.611917	1.656
22.775772	1.646
22.940815	1.637
23.107054	1.628
23.274498	1.617
23.443153	1.608
23.613033	1.598
23.784142	1.589
23.956491	1.579
24.130091	1.570
24.304947	1.561
24.481071	1.551
24.658470	1.542
24.837156	1.531
25.017136	1.522
25.198421	1.512
25.381020	1.503
25.564941	1.494
25.750195	1.484
25.936790	1.475
26.124741	1.464
26.314051	1.455
26.504732	1.446
26.696796	1.436
26.890253	1.427
27.085112	1.417
27.281382	1.408
27.479073	1.398
27.678198	1.389
27.878765	1.380
28.080786	1.370
28.284271	1.362
28.489231	1.352
28.695675	1.343
28.903616	1.334
29.113064	1.325
29.324028	1.316
29.536524	1.306
29.750557	1.297
29.966141	1.287
30.183289	1.277
30.402010	1.268
30.622314	1.259
30.844217	1.250
31.067726	1.240
31.292856	1.232
31.519617	1.223
31.748020	1.214
31.978081	1.205
32.209808	1.195
32.443211	1.187
32.678310	1.177
32.915108	1.168
33.153625	1.159
33.393871	1.149
33.635857	1.141
33.879597	1.131
34.125103	1.122
34.372387	1.112
34.621464	1.103
34.872345	1.094
35.125042	1.085
35.379574	1.076
35.635948	1.068
35.894180	1.058
36.154285	1.049
36.416275	1.040
36.680161	1.031
36.945961	1.022
37.213688	1.013
37.483353	1.005
37.754974	0.995
38.028561	0.986
38.304131	0.976
38.581699	0.967
38.861279	0.958
39.142883	0.949
39.426529	0.940
39.712231	0.931
40.000000	0.922
40.289856	0.913
40.581814	0.904
40.875885	0.896
41.172089	0.886
41.470440	0.878
41.770950	0.868
42.073643	0.860
42.378525	0.851
42.685616	0.842
42.994934	0.833
43.306492	0.824
43.620308	0.816
43.936401	0.806
44.254780	0.797
44.575470	0.789
44.898483	0.779
45.223835	0.771
45.551544	0.762
45.881630	0.753
46.214108	0.745
46.548996	0.736
46.886307	0.728
47.226067	0.718
47.568283	0.709
47.912983	0.700
48.260181	0.692
48.609894	0.684
48.962143	0.674
49.316940	0.666
49.674313	0.656
50.034271	0.647
50.396843	0.638
50.762039	0.630
51.129883	0.621
51.500389	0.612
51.873581	0.604
52.249481	0.594
52.628101	0.585
53.009464	0.577
53.393593	0.568
53.780506	0.560
54.170223	0.550
54.562763	0.542
54.958145	0.533
55.356396	0.524
55.757530	0.516
56.161572	0.507
56.568542	0.498
56.978462	0.489
57.391350	0.480
57.807232	0.471
58.226128	0.462
58.648056	0.454
59.073048	0.445
59.501114	0.436
59.932281	0.428
60.366577	0.419
60.804020	0.411
61.244629	0.402
61.688435	0.394
62.135452	0.384
62.585712	0.376
63.039234	0.368
63.496040	0.359
63.956161	0.351
64.419617	0.341
64.886421	0.333
65.356621	0.323
65.830215	0.315
66.307251	0.306
66.787743	0.297
67.271713	0.289
67.759193	0.280
68.250206	0.272
68.744774	0.263
69.242928	0.254
69.744690	0.246
70.250084	0.238
70.759148	0.229
71.271896	0.221
71.788361	0.212
72.308571	0.204
72.832550	0.195
73.360321	0.186
73.891922	0.178
74.427376	0.170
74.966705	0.162
75.509949	0.152
76.057121	0.144
76.608261	0.135
77.163399	0.128
77.722557	0.118
78.285767	0.110
78.853058	0.102
79.424461	0.093
80.000000	0.085
80.579712	0.075
81.163628	0.068
81.751770	0.060
