* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 11:18:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AKG 7XX L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.429	-101.2415
20.299999	84.622	-101.2834
20.600000	84.838	-101.8196
20.900000	85.015	-102.8781
21.200001	85.107	-104.2112
21.400000	85.114	-105.0430
21.799999	85.043	-106.0936
22.000000	85.002	-106.2133
22.400000	84.988	-105.8345
22.700001	85.080	-105.4743
23.000000	85.239	-105.4825
23.299999	85.410	-106.0627
23.600000	85.538	-107.1425
24.000000	85.589	-108.8154
24.299999	85.557	-109.8009
24.700001	85.500	-110.4336
25.000000	85.509	-110.5488
25.400000	85.623	-110.7409
25.799999	85.798	-111.5042
26.200001	85.942	-112.8656
26.500000	85.998	-114.0117
26.900000	86.019	-115.2950
27.200001	86.029	-115.9478
27.600000	86.082	-116.5465
28.000000	86.189	-117.1581
28.500000	86.341	-118.2729
29.000000	86.444	-119.5502
29.500000	86.506	-120.5408
30.000000	86.591	-121.2120
30.400000	86.687	-121.7657
30.700001	86.760	-122.2944
31.100000	86.837	-123.1296
31.500000	86.875	-123.9508
32.000000	86.890	-124.7100
32.500000	86.915	-125.1495
33.000000	86.977	-125.5316
33.500000	87.060	-126.1101
34.000000	87.129	-126.9243
34.500000	87.162	-127.8246
35.000000	87.165	-128.6108
35.500000	87.163	-129.1844
36.000000	87.184	-129.6155
36.500000	87.233	-130.0700
37.000000	87.293	-130.6570
37.500000	87.346	-131.3484
38.200001	87.397	-132.3063
38.700001	87.426	-132.9148
39.500000	87.469	-133.7505
40.000000	87.500	-134.2020
40.599998	87.543	-134.7664
41.200001	87.569	-135.4177
41.799999	87.555	-135.9623
42.500000	87.529	-136.0806
43.099998	87.577	-135.8933
43.700001	87.694	-135.9843
44.400002	87.828	-136.7111
45.000000	87.893	-137.5305
45.500000	87.931	-138.1569
46.200001	87.988	-139.0532
