* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 1:59:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ambrosia (Brainwavz) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.112	86.6209
20.299999	91.231	85.9766
20.600000	91.349	85.3481
20.900000	91.466	84.7271
21.200001	91.583	84.1065
21.400000	91.659	83.6915
21.799999	91.808	82.8625
22.000000	91.881	82.4521
22.400000	92.021	81.6483
22.700001	92.123	81.0653
23.000000	92.223	80.4994
23.299999	92.323	79.9452
23.600000	92.422	79.3974
24.000000	92.552	78.6703
24.299999	92.647	78.1263
24.700001	92.770	77.4084
25.000000	92.859	76.8816
25.400000	92.975	76.1991
25.799999	93.091	75.5347
26.200001	93.207	74.8740
26.500000	93.293	74.3713
26.900000	93.405	73.6864
27.200001	93.485	73.1660
27.600000	93.587	72.4782
28.000000	93.683	71.8176
28.500000	93.800	71.0456
29.000000	93.922	70.3117
29.500000	94.047	69.5696
30.000000	94.172	68.7886
30.400000	94.267	68.1431
30.700001	94.334	67.6585
31.100000	94.420	67.0253
31.500000	94.503	66.4112
32.000000	94.604	65.6643
32.500000	94.702	64.9322
33.000000	94.799	64.2155
33.500000	94.895	63.5119
34.000000	94.991	62.8003
34.500000	95.085	62.0567
35.000000	95.172	61.2853
35.500000	95.248	60.5242
36.000000	95.317	59.8096
36.500000	95.386	59.1415
37.000000	95.458	58.4879
37.500000	95.531	57.8210
38.200001	95.625	56.8679
38.700001	95.686	56.1986
39.500000	95.778	55.1812
40.000000	95.833	54.5763
40.599998	95.900	53.8680
41.200001	95.966	53.1633
41.799999	96.029	52.4608
42.500000	96.097	51.6614
43.099998	96.153	50.9987
43.700001	96.209	50.3472
44.400002	96.271	49.6023
45.000000	96.325	48.9861
45.500000	96.371	48.4781
46.200001	96.437	47.7437
46.799999	96.490	47.0913
47.500000	96.544	46.3459
48.200001	96.595	45.6353
48.700001	96.631	45.1354
49.400002	96.677	44.4390
50.000000	96.712	43.8630
50.799999	96.756	43.1348
51.500000	96.794	42.5150
52.200001	96.828	41.9067
53.000000	96.866	41.2348
53.799999	96.903	40.5766
54.500000	96.934	40.0083
55.200001	96.966	39.4510
56.000000	97.003	38.8122
57.000000	97.043	38.0139
58.000000	97.078	37.2898
59.000000	97.121	36.6198
60.000000	97.165	35.9385
60.799999	97.197	35.3993
61.500000	97.225	34.9324
62.200001	97.250	34.4627
63.000000	97.277	33.9286
64.000000	97.308	33.2704
65.000000	97.336	32.6198
66.000000	97.363	31.9973
67.000000	97.394	31.3935
68.000000	97.425	30.7870
69.000000	97.457	30.1868
70.000000	97.490	29.5755
71.000000	97.519	28.9393
