* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:43:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ambrosia (Brainwavz) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.894	81.6945
20.299999	91.010	81.0558
20.600000	91.123	80.4125
20.900000	91.235	79.7641
21.200001	91.342	79.1150
21.400000	91.412	78.6859
21.799999	91.547	77.8436
22.000000	91.612	77.4335
22.400000	91.740	76.6390
22.700001	91.835	76.0645
23.000000	91.929	75.5045
23.299999	92.022	74.9535
23.600000	92.116	74.4070
24.000000	92.239	73.6795
24.299999	92.329	73.1329
24.700001	92.446	72.4043
25.000000	92.531	71.8610
25.400000	92.641	71.1459
25.799999	92.747	70.4461
26.200001	92.851	69.7629
26.500000	92.927	69.2588
26.900000	93.028	68.5914
27.200001	93.104	68.0887
27.600000	93.202	67.4105
28.000000	93.296	66.7250
28.500000	93.406	65.8744
29.000000	93.511	65.0535
29.500000	93.614	64.2640
30.000000	93.717	63.4818
30.400000	93.799	62.8456
30.700001	93.858	62.3627
31.100000	93.932	61.7217
31.500000	94.002	61.0961
32.000000	94.088	60.3427
32.500000	94.173	59.6070
33.000000	94.256	58.8675
33.500000	94.336	58.1194
34.000000	94.411	57.3738
34.500000	94.480	56.6412
35.000000	94.546	55.9217
35.500000	94.608	55.2110
36.000000	94.666	54.5078
36.500000	94.719	53.8168
37.000000	94.768	53.1479
37.500000	94.813	52.5130
38.200001	94.877	51.6838
38.700001	94.926	51.1110
39.500000	95.007	50.1644
40.000000	95.052	49.5546
40.599998	95.099	48.8394
41.200001	95.141	48.1689
41.799999	95.182	47.5399
42.500000	95.231	46.8366
43.099998	95.272	46.2437
43.700001	95.310	45.6563
44.400002	95.348	45.0047
45.000000	95.379	44.5047
45.500000	95.408	44.1206
46.200001	95.455	43.5753
46.799999	95.494	43.0738
47.500000	95.529	42.5052
48.200001	95.562	42.0197
48.700001	95.592	41.7051
49.400002	95.640	41.2368
