* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:06:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ambrosia (Dekoni) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.265	88.4482
20.299999	89.391	87.7905
20.600000	89.513	87.1407
20.900000	89.633	86.5015
21.200001	89.749	85.8754
21.400000	89.826	85.4653
21.799999	89.977	84.6575
22.000000	90.051	84.2566
22.400000	90.197	83.4548
22.700001	90.303	82.8530
23.000000	90.404	82.2576
23.299999	90.500	81.6797
23.600000	90.594	81.1276
24.000000	90.717	80.4355
24.299999	90.810	79.9404
24.700001	90.936	79.2877
25.000000	91.031	78.7869
25.400000	91.156	78.0958
25.799999	91.273	77.3917
26.200001	91.384	76.7016
26.500000	91.464	76.2043
26.900000	91.570	75.5665
27.200001	91.650	75.0965
27.600000	91.756	74.4657
28.000000	91.860	73.8247
28.500000	91.983	73.0283
29.000000	92.101	72.2694
29.500000	92.219	71.5519
30.000000	92.340	70.8463
30.400000	92.437	70.2706
30.700001	92.509	69.8295
31.100000	92.602	69.2329
31.500000	92.691	68.6325
32.000000	92.798	67.8839
32.500000	92.898	67.1476
33.000000	92.992	66.4395
33.500000	93.086	65.7649
34.000000	93.182	65.1002
34.500000	93.279	64.4059
35.000000	93.372	63.6660
35.500000	93.454	62.9067
36.000000	93.525	62.1732
36.500000	93.589	61.4957
37.000000	93.652	60.8828
37.500000	93.717	60.3288
38.200001	93.822	59.6088
38.700001	93.907	59.0734
39.500000	94.044	58.0644
40.000000	94.115	57.3623
40.599998	94.180	56.5463
41.200001	94.232	55.8353
41.799999	94.286	55.2179
42.500000	94.354	54.5396
43.099998	94.416	53.9458
43.700001	94.474	53.3339
44.400002	94.536	52.6242
45.000000	94.586	52.0487
45.500000	94.629	51.5914
46.200001	94.697	50.9429
46.799999	94.755	50.3448
47.500000	94.813	49.6233
48.200001	94.863	48.9474
48.700001	94.898	48.5075
49.400002	94.951	47.9183
50.000000	94.998	47.4044
50.799999	95.057	46.7073
51.500000	95.103	46.1147
52.200001	95.148	45.5433
53.000000	95.198	44.8958
53.799999	95.246	44.2466
54.500000	95.284	43.6921
55.200001	95.321	43.1584
56.000000	95.365	42.5571
57.000000	95.417	41.8095
58.000000	95.464	41.1027
59.000000	95.512	40.4084
60.000000	95.551	39.7273
60.799999	95.581	39.2269
61.500000	95.608	38.8010
62.200001	95.635	38.3702
63.000000	95.664	37.8892
64.000000	95.703	37.3177
65.000000	95.745	36.7504
66.000000	95.788	36.1843
67.000000	95.833	35.6332
68.000000	95.880	35.0872
69.000000	95.926	34.5330
70.000000	95.971	33.9671
71.000000	96.014	33.3907
72.000000	96.055	32.7972
73.000000	96.095	32.1671
74.000000	96.129	31.4854
75.000000	96.150	30.7755
76.199997	96.157	29.9717
77.500000	96.153	29.2202
78.800003	96.145	28.6205
80.000000	96.146	28.1846
81.199997	96.161	27.7806
82.500000	96.184	27.3313
83.800003	96.214	26.8658
85.000000	96.245	26.3994
86.199997	96.276	25.9000
87.500000	96.308	25.3341
88.500000	96.331	24.8842
90.000000	96.362	24.1956
91.199997	96.385	23.6326
92.500000	96.405	23.0073
93.800003	96.420	22.3799
95.000000	96.428	21.8048
96.199997	96.431	21.2382
97.500000	96.430	20.6424
98.800003	96.423	20.0532
100.000000	96.411	19.5146
101.500000	96.386	18.8740
103.000000	96.356	18.3096
104.400002	96.331	17.8324
106.000000	96.304	17.3107
107.500000	96.277	16.8664
109.000000	96.251	16.4795
110.599998	96.227	16.0769
112.000000	96.201	15.7274
113.800003	96.165	15.3336
115.000000	96.144	15.0905
117.199997	96.105	14.6785
118.000000	96.092	14.5488
120.599998	96.053	14.1775
122.000000	96.035	13.9901
124.099998	96.013	13.7251
125.000000	96.007	13.6121
126.500000	96.001	13.4196
128.000000	96.000	13.2234
131.500000	95.997	12.7128
132.000000	95.996	12.6388
134.000000	95.992	12.3396
136.000000	95.990	11.9988
138.000000	95.984	11.6158
140.000000	95.971	11.2097
143.000000	95.935	10.6014
145.000000	95.901	10.2420
147.500000	95.857	9.8860
150.000000	95.817	9.5664
152.500000	95.775	9.2469
155.000000	95.732	8.9510
157.500000	95.685	8.6820
160.000000	95.624	8.4915
162.500000	95.558	8.4507
165.000000	95.501	8.5437
167.500000	95.466	8.7086
170.000000	95.453	8.8593
172.500000	95.454	8.9521
175.000000	95.462	8.9801
177.500000	95.473	8.9514
180.000000	95.486	8.8700
182.500000	95.497	8.7333
185.000000	95.499	8.5706
187.500000	95.493	8.4136
190.000000	95.482	8.2692
192.500000	95.469	8.1313
195.000000	95.454	7.9905
197.500000	95.438	7.8491
200.000000	95.419	7.7149
203.000000	95.391	7.5762
206.000000	95.360	7.4886
209.000000	95.333	7.4571
212.000000	95.313	7.4352
214.000000	95.301	7.4105
218.000000	95.281	7.3453
220.000000	95.271	7.3197
224.000000	95.249	7.2894
227.000000	95.229	7.2785
230.000000	95.210	7.2661
233.000000	95.193	7.2416
236.000000	95.176	7.2133
240.000000	95.150	7.2003
243.000000	95.127	7.2273
247.000000	95.102	7.3086
250.000000	95.090	7.3700
254.000000	95.076	7.4274
258.000000	95.060	7.4818
262.000000	95.043	7.5440
265.000000	95.034	7.6050
269.000000	95.024	7.7183
272.000000	95.016	7.8085
276.000000	95.005	7.9042
280.000000	94.993	7.9783
285.000000	94.978	8.0823
290.000000	94.964	8.2068
295.000000	94.952	8.3470
300.000000	94.941	8.5322
304.000000	94.938	8.7000
307.000000	94.938	8.8146
311.000000	94.942	8.9401
315.000000	94.947	9.0442
320.000000	94.949	9.1686
325.000000	94.949	9.2923
330.000000	94.948	9.4316
335.000000	94.947	9.5947
340.000000	94.951	9.7668
345.000000	94.959	9.9298
350.000000	94.967	10.0862
355.000000	94.975	10.2396
360.000000	94.984	10.4025
365.000000	94.997	10.5579
370.000000	95.011	10.7003
375.000000	95.026	10.8407
382.000000	95.050	11.0126
387.000000	95.068	11.1147
395.000000	95.092	11.2711
400.000000	95.107	11.3910
