* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:38:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ambrosia (Dekoni) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.253	79.4365
20.299999	90.353	78.7580
20.600000	90.453	78.1048
20.900000	90.552	77.4659
21.200001	90.652	76.8296
21.400000	90.717	76.4047
21.799999	90.845	75.5580
22.000000	90.908	75.1399
22.400000	91.029	74.3218
22.700001	91.118	73.7250
23.000000	91.206	73.1374
23.299999	91.294	72.5522
23.600000	91.379	71.9668
24.000000	91.488	71.1891
24.299999	91.565	70.6177
24.700001	91.663	69.8862
25.000000	91.735	69.3645
25.400000	91.832	68.6968
25.799999	91.929	68.0379
26.200001	92.027	67.3653
26.500000	92.097	66.8486
26.900000	92.186	66.1542
27.200001	92.247	65.6434
27.600000	92.326	64.9908
28.000000	92.404	64.3717
28.500000	92.503	63.6167
29.000000	92.602	62.8439
29.500000	92.696	62.0504
30.000000	92.782	61.2732
30.400000	92.847	60.6845
30.700001	92.897	60.2608
31.100000	92.964	59.7034
31.500000	93.032	59.1374
32.000000	93.114	58.4083
32.500000	93.188	57.6750
33.000000	93.255	56.9689
33.500000	93.319	56.3013
34.000000	93.383	55.6597
34.500000	93.445	55.0246
35.000000	93.505	54.3868
35.500000	93.560	53.7536
36.000000	93.609	53.1466
36.500000	93.656	52.5859
37.000000	93.705	52.0675
37.500000	93.759	51.5578
38.200001	93.839	50.7899
38.700001	93.889	50.2026
39.500000	93.952	49.2964
40.000000	93.986	48.7872
40.599998	94.026	48.2260
41.200001	94.067	47.7034
41.799999	94.108	47.2174
42.500000	94.159	46.6791
43.099998	94.206	46.2112
43.700001	94.250	45.7318
44.400002	94.297	45.1865
45.000000	94.336	44.7432
45.500000	94.371	44.3793
46.200001	94.418	43.8667
46.799999	94.459	43.4326
47.500000	94.507	42.9324
48.200001	94.556	42.4127
48.700001	94.587	42.0359
49.400002	94.625	41.5547
50.000000	94.660	41.2056
50.799999	94.720	40.7544
51.500000	94.776	40.3082
52.200001	94.826	39.8406
53.000000	94.880	39.3158
53.799999	94.931	38.7849
54.500000	94.972	38.3268
55.200001	95.011	37.8809
56.000000	95.055	37.3539
57.000000	95.100	36.6994
58.000000	95.143	36.1017
59.000000	95.187	35.5079
60.000000	95.233	34.9413
60.799999	95.273	34.4513
61.500000	95.298	33.9961
62.200001	95.314	33.6089
63.000000	95.340	33.2664
64.000000	95.392	32.7920
65.000000	95.435	32.2208
66.000000	95.468	31.6946
67.000000	95.505	31.2010
68.000000	95.543	30.6862
69.000000	95.577	30.1724
70.000000	95.611	29.6660
71.000000	95.645	29.1509
72.000000	95.679	28.6224
73.000000	95.711	28.0551
74.000000	95.736	27.4510
75.000000	95.751	26.8431
76.199997	95.758	26.1331
77.500000	95.750	25.4055
78.800003	95.726	24.7963
80.000000	95.701	24.3995
81.199997	95.687	24.1166
82.500000	95.686	23.8646
83.800003	95.701	23.6354
85.000000	95.727	23.3676
86.199997	95.753	23.0547
87.500000	95.781	22.7083
88.500000	95.804	22.4445
90.000000	95.840	22.0219
91.199997	95.867	21.6603
92.500000	95.895	21.2549
93.800003	95.922	20.8178
95.000000	95.945	20.3800
96.199997	95.963	19.9209
97.500000	95.981	19.4186
98.800003	95.995	18.9235
100.000000	96.007	18.4822
101.500000	96.020	17.9535
103.000000	96.030	17.4313
104.400002	96.034	16.9441
106.000000	96.032	16.3608
107.500000	96.018	15.8054
109.000000	95.997	15.2909
110.599998	95.971	14.7867
112.000000	95.947	14.3896
113.800003	95.917	13.9460
115.000000	95.897	13.6857
117.199997	95.867	13.2669
118.000000	95.857	13.1200
120.599998	95.826	12.6557
122.000000	95.809	12.4176
124.099998	95.785	12.0698
125.000000	95.775	11.9198
126.500000	95.756	11.6672
128.000000	95.735	11.4279
131.500000	95.687	10.9825
132.000000	95.681	10.9311
134.000000	95.664	10.7319
136.000000	95.653	10.5137
138.000000	95.643	10.2632
140.000000	95.632	9.9967
143.000000	95.615	9.6082
145.000000	95.604	9.3412
147.500000	95.585	8.9933
150.000000	95.560	8.6498
152.500000	95.531	8.3179
155.000000	95.505	8.0082
157.500000	95.483	7.6801
160.000000	95.459	7.3167
162.500000	95.427	6.9418
165.000000	95.387	6.5764
167.500000	95.344	6.2034
170.000000	95.290	5.8324
172.500000	95.225	5.4960
175.000000	95.148	5.2169
177.500000	95.063	5.0253
180.000000	94.980	4.9207
182.500000	94.904	4.8745
185.000000	94.834	4.8702
187.500000	94.767	4.8925
190.000000	94.698	4.9387
192.500000	94.624	5.0085
195.000000	94.549	5.1071
197.500000	94.471	5.2555
200.000000	94.393	5.4736
203.000000	94.301	5.8309
206.000000	94.217	6.2798
209.000000	94.140	6.8204
212.000000	94.075	7.4616
214.000000	94.039	7.9398
218.000000	93.986	8.9854
220.000000	93.972	9.5386
224.000000	93.975	10.6676
227.000000	94.008	11.5017
230.000000	94.063	12.2781
233.000000	94.132	12.9440
236.000000	94.209	13.4776
240.000000	94.320	14.0263
243.000000	94.409	14.3297
247.000000	94.525	14.5990
250.000000	94.606	14.7213
254.000000	94.710	14.7732
258.000000	94.806	14.7092
262.000000	94.887	14.5680
265.000000	94.939	14.4357
269.000000	94.998	14.2357
272.000000	95.035	14.0757
276.000000	95.074	13.8782
280.000000	95.104	13.7030
285.000000	95.134	13.5043
290.000000	95.162	13.3225
295.000000	95.181	13.1603
300.000000	95.193	13.0515
304.000000	95.206	13.0089
307.000000	95.218	12.9790
311.000000	95.234	12.9302
315.000000	95.248	12.8872
320.000000	95.263	12.8408
325.000000	95.278	12.8109
330.000000	95.296	12.7859
335.000000	95.314	12.7487
340.000000	95.331	12.6925
345.000000	95.346	12.6362
350.000000	95.357	12.5811
355.000000	95.364	12.5439
360.000000	95.372	12.5359
365.000000	95.381	12.5415
370.000000	95.391	12.5537
375.000000	95.403	12.5640
382.000000	95.415	12.5845
387.000000	95.422	12.6301
395.000000	95.442	12.7098
400.000000	95.455	12.7632
406.000000	95.474	12.8293
412.000000	95.496	12.8774
418.000000	95.518	12.9161
425.000000	95.545	12.9623
431.000000	95.571	12.9952
437.000000	95.596	12.9988
444.000000	95.615	12.9987
450.000000	95.624	13.0591
455.000000	95.638	13.1400
462.000000	95.671	13.2380
468.000000	95.703	13.2857
475.000000	95.740	13.2961
482.000000	95.774	13.2951
487.000000	95.799	13.2853
494.000000	95.831	13.2340
500.000000	95.854	13.1866
508.000000	95.883	13.1779
515.000000	95.911	13.1988
522.000000	95.943	13.2040
530.000000	95.983	13.1631
538.000000	96.019	13.0894
545.000000	96.050	13.0336
552.000000	96.081	12.9694
560.000000	96.113	12.8844
570.000000	96.157	12.8157
580.000000	96.209	12.6620
590.000000	96.251	12.4655
600.000000	96.293	12.3085
608.000000	96.333	12.1324
615.000000	96.360	11.9279
622.000000	96.378	11.7375
630.000000	96.395	11.5898
640.000000	96.430	11.4268
650.000000	96.467	11.1664
660.000000	96.497	10.9278
670.000000	96.538	10.6626
680.000000	96.575	10.2911
690.000000	96.603	9.8809
700.000000	96.623	9.4390
710.000000	96.631	8.9619
720.000000	96.626	8.5289
730.000000	96.622	8.1300
740.000000	96.615	7.7001
750.000000	96.600	7.2833
762.000000	96.571	6.7515
775.000000	96.517	6.2703
788.000000	96.468	5.9741
800.000000	96.444	5.6860
812.000000	96.412	5.2672
825.000000	96.348	4.8198
838.000000	96.268	4.6526
850.000000	96.231	4.6802
862.000000	96.228	4.5488
875.000000	96.232	4.1701
885.000000	96.223	3.6721
900.000000	96.155	2.8599
912.000000	96.079	2.2998
925.000000	95.978	1.6611
938.000000	95.842	1.1081
950.000000	95.694	0.8064
962.000000	95.549	0.7197
975.000000	95.409	0.7181
988.000000	95.271	0.6918
1000.000000	95.132	0.7209
1015.000000	94.954	0.9158
1030.000000	94.780	1.2432
1044.000000	94.622	1.6315
1060.000000	94.437	2.1395
1075.000000	94.257	2.8261
1090.000000	94.092	3.6691
1106.000000	93.914	4.7141
1120.000000	93.768	5.9255
1138.000000	93.652	7.7589
1150.000000	93.614	8.9475
1172.000000	93.603	11.0649
1180.000000	93.622	11.7741
1206.000000	93.719	13.5282
1220.000000	93.763	14.2653
1241.000000	93.838	15.2469
1250.000000	93.869	15.5572
1265.000000	93.896	16.0032
1280.000000	93.910	16.5736
1315.000000	93.967	17.4357
1320.000000	93.957	17.5591
1340.000000	93.927	18.4686
1360.000000	93.976	19.3649
1380.000000	94.000	19.8518
1400.000000	93.999	20.6299
1430.000000	94.062	21.4363
1450.000000	94.037	22.0070
1475.000000	94.055	23.0710
1500.000000	94.088	23.7928
1525.000000	94.080	24.6013
1550.000000	94.100	25.6749
1575.000000	94.162	26.4545
1600.000000	94.168	27.0759
1625.000000	94.165	27.9164
1650.000000	94.139	28.7379
1675.000000	94.097	29.9750
1700.000000	94.102	31.4253
1725.000000	94.135	32.9486
1750.000000	94.218	34.4036
1775.000000	94.302	35.6457
1800.000000	94.373	36.9101
1825.000000	94.454	38.2551
1850.000000	94.543	39.5560
1875.000000	94.624	40.8963
1900.000000	94.712	42.4118
1925.000000	94.828	44.0510
1950.000000	94.960	45.6984
1975.000000	95.105	47.4397
2000.000000	95.274	49.3304
2030.000000	95.549	51.8264
2060.000000	95.904	54.1886
2090.000000	96.330	56.4379
2120.000000	96.827	58.3777
2140.000000	97.199	59.5556
2180.000000	98.075	61.1163
2200.000000	98.537	61.3142
2240.000000	99.469	60.5366
2270.000000	100.076	58.7857
2300.000000	100.556	56.4937
2330.000000	100.895	54.0073
2360.000000	101.121	51.9934
2400.000000	101.421	50.0735
2430.000000	101.665	48.8229
2470.000000	102.017	46.9623
2500.000000	102.248	45.4148
2540.000000	102.526	43.4237
2580.000000	102.805	41.5216
2620.000000	103.083	39.4898
2650.000000	103.276	37.8476
2690.000000	103.484	35.6051
2720.000000	103.630	34.2094
2760.000000	103.907	32.4721
2800.000000	104.251	30.0157
2850.000000	104.569	25.6682
2900.000000	104.689	21.1223
2950.000000	104.697	16.8347
3000.000000	104.604	12.8431
3040.000000	104.479	10.0654
3070.000000	104.377	8.2196
3110.000000	104.250	5.9788
3150.000000	104.139	3.7816
3200.000000	104.001	0.8227
3250.000000	103.794	-2.4351
3300.000000	103.466	-5.6395
3350.000000	103.007	-8.1702
3400.000000	102.502	-9.5743
3450.000000	102.064	-10.1573
3500.000000	101.701	-10.5419
3550.000000	101.365	-10.9359
3600.000000	101.019	-11.3132
3650.000000	100.621	-11.4880
3700.000000	100.160	-10.9074
3750.000000	99.723	-9.1105
3820.000000	99.399	-5.0714
3870.000000	99.467	-2.2776
3950.000000	99.841	-0.3149
4000.000000	100.032	-0.5400
4060.000000	100.133	-1.5448
4120.000000	100.076	-2.6625
4180.000000	99.904	-3.1862
4250.000000	99.702	-2.8536
4310.000000	99.577	-2.2462
4370.000000	99.479	-1.4780
4440.000000	99.400	-0.3826
4500.000000	99.369	0.6909
4550.000000	99.375	1.6676
4620.000000	99.442	3.0656
4680.000000	99.554	4.1949
4750.000000	99.742	5.3641
4820.000000	99.989	6.3044
4870.000000	100.201	6.7687
4940.000000	100.532	7.0582
5000.000000	100.837	7.0186
5080.000000	101.303	6.5890
5150.000000	101.781	5.5690
5220.000000	102.287	3.5839
5300.000000	102.815	0.0220
5380.000000	103.233	-4.6544
5450.000000	103.500	-9.4893
5520.000000	103.650	-15.0959
5600.000000	103.587	-22.2654
5700.000000	103.090	-30.7955
5800.000000	102.312	-37.5883
5900.000000	101.420	-43.1958
6000.000000	100.357	-47.5804
6080.000000	99.427	-49.6511
6150.000000	98.633	-50.5123
6220.000000	97.898	-50.7731
6300.000000	97.141	-50.7310
6400.000000	96.278	-50.6401
6500.000000	95.431	-50.6501
6600.000000	94.537	-50.5264
6700.000000	93.555	-50.0219
6800.000000	92.440	-48.6562
6900.000000	91.178	-45.5022
7000.000000	89.831	-39.3876
7100.000000	88.661	-29.3970
7200.000000	88.180	-16.4513
7300.000000	88.712	-3.9655
7400.000000	89.828	4.4058
7500.000000	90.923	8.3140
7620.000000	91.952	9.8001
7750.000000	92.812	9.7224
7880.000000	93.469	8.5746
8000.000000	93.915	6.8865
8120.000000	94.176	4.8301
8250.000000	94.253	3.2675
8380.000000	94.361	3.2006
8500.000000	94.706	3.3293
8620.000000	95.267	2.0804
8750.000000	95.956	-2.2194
8850.000000	96.348	-8.2624
9000.000000	96.352	-21.2316
9120.000000	95.649	-33.3384
9250.000000	94.049	-45.4697
9380.000000	91.578	-53.6037
9500.000000	88.572	-54.5855
9620.000000	84.877	-43.7734
9750.000000	80.724	-11.9927
9880.000000	80.255	29.3344
10000.000000	82.991	54.8898
10150.000000	86.193	67.1794
10300.000000	88.680	69.9703
10440.000000	90.622	69.4242
10600.000000	92.517	66.2175
10750.000000	94.017	61.0849
10900.000000	95.269	54.0169
11060.000000	96.279	43.9801
11200.000000	96.720	32.8251
11380.000000	96.294	17.5186
11500.000000	95.303	10.4146
11720.000000	92.913	10.3958
11800.000000	92.331	13.5619
12060.000000	92.476	23.2677
12200.000000	93.244	24.7739
12410.000000	94.568	20.9726
12500.000000	95.054	16.5667
12650.000000	95.412	5.0959
12800.000000	94.799	-8.6188
13150.000000	89.369	-12.0954
13200.000000	88.438	-7.7720
13400.000000	86.195	14.8162
13600.000000	86.978	35.0055
13800.000000	88.864	46.2494
14000.000000	90.602	49.8045
14300.000000	92.530	48.5459
14500.000000	93.820	47.4294
14750.000000	96.265	43.4782
15000.000000	98.453	25.9645
15250.000000	98.647	-2.6290
15500.000000	96.721	-25.8911
15750.000000	93.708	-36.6944
16000.000000	90.646	-38.2898
16250.000000	87.969	-30.5167
16500.000000	87.062	-17.4419
16750.000000	88.239	-10.1220
17000.000000	89.833	-15.0389
17250.000000	90.144	-32.0353
17500.000000	88.403	-46.8409
17750.000000	85.482	-49.6503
18000.000000	82.667	-44.0985
18250.000000	80.697	-35.2144
18500.000000	79.828	-26.9526
18750.000000	79.944	-24.1147
19000.000000	80.135	-31.1002
19250.000000	79.386	-45.0876
19500.000000	77.304	-56.1693
19750.000000	74.413	-57.1696
