* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 7, 2023 12:23:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 7
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.136	-136.3967
20.299999	70.048	-137.2784
20.600000	69.950	-137.5975
20.900000	69.892	-137.3789
21.200001	69.917	-136.8540
21.400000	69.985	-136.5495
21.799999	70.209	-136.3895
22.000000	70.336	-136.6548
22.400000	70.550	-137.9020
22.700001	70.634	-139.2344
23.000000	70.635	-140.5834
23.299999	70.570	-141.6727
23.600000	70.470	-142.3560
24.000000	70.344	-142.6165
24.299999	70.296	-142.5182
24.700001	70.311	-142.3919
25.000000	70.359	-142.5366
25.400000	70.424	-143.1441
25.799999	70.447	-144.0371
26.200001	70.420	-144.8936
26.500000	70.385	-145.3798
26.900000	70.349	-145.8142
27.200001	70.344	-146.0735
27.600000	70.366	-146.4920
28.000000	70.399	-147.1075
28.500000	70.418	-148.1060
29.000000	70.389	-149.1173
29.500000	70.324	-149.9324
30.000000	70.245	-150.4727
30.400000	70.182	-150.7129
30.700001	70.139	-150.7910
31.100000	70.094	-150.7833
31.500000	70.068	-150.6905
32.000000	70.063	-150.5465
32.500000	70.085	-150.4667
33.000000	70.123	-150.5058
33.500000	70.168	-150.6728
34.000000	70.209	-150.9467
34.500000	70.241	-151.2680
35.000000	70.264	-151.5568
35.500000	70.288	-151.7572
36.000000	70.321	-151.8808
36.500000	70.366	-151.9746
37.000000	70.414	-152.0626
37.500000	70.460	-152.1210
38.200001	70.519	-152.0695
38.700001	70.565	-151.9067
39.500000	70.669	-151.5240
40.000000	70.756	-151.3580
40.599998	70.866	-151.3876
41.200001	70.954	-151.6779
41.799999	71.006	-152.0989
42.500000	71.031	-152.5895
