* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 7, 2023 12:24:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 7
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.363	-135.2026
20.299999	70.384	-135.7441
20.600000	70.399	-136.2616
20.900000	70.410	-136.7417
21.200001	70.418	-137.1754
21.400000	70.425	-137.4430
21.799999	70.440	-137.9510
22.000000	70.450	-138.2057
22.400000	70.469	-138.7435
22.700001	70.480	-139.1728
23.000000	70.485	-139.6068
23.299999	70.485	-140.0206
23.600000	70.484	-140.4021
24.000000	70.487	-140.8695
24.299999	70.496	-141.2221
24.700001	70.515	-141.7460
25.000000	70.529	-142.1949
25.400000	70.539	-142.8437
25.799999	70.539	-143.4836
26.200001	70.535	-144.0675
26.500000	70.534	-144.4772
26.900000	70.537	-145.0230
27.200001	70.539	-145.4477
27.600000	70.533	-146.0114
28.000000	70.517	-146.4974
28.500000	70.500	-146.9180
29.000000	70.509	-147.2272
29.500000	70.539	-147.6248
30.000000	70.556	-148.1523
30.400000	70.547	-148.5353
30.700001	70.532	-148.7246
31.100000	70.521	-148.8360
31.500000	70.530	-148.8759
32.000000	70.566	-149.0189
32.500000	70.599	-149.3384
33.000000	70.607	-149.6866
33.500000	70.603	-149.9042
34.000000	70.613	-150.0101
34.500000	70.641	-150.1494
35.000000	70.672	-150.3946
35.500000	70.693	-150.6893
36.000000	70.706	-150.9471
36.500000	70.719	-151.1468
37.000000	70.737	-151.3182
37.500000	70.760	-151.4859
38.200001	70.795	-151.7281
38.700001	70.821	-151.9120
39.500000	70.852	-152.1816
40.000000	70.870	-152.2772
40.599998	70.901	-152.3107
41.200001	70.951	-152.3473
41.799999	71.013	-152.4741
42.500000	71.086	-152.7372
43.099998	71.147	-153.0256
43.700001	71.208	-153.3862
44.400002	71.272	-153.9194
45.000000	71.313	-154.4351
45.500000	71.338	-154.8624
46.200001	71.364	-155.4292
46.799999	71.384	-155.8954
47.500000	71.404	-156.4401
48.200001	71.416	-156.9868
48.700001	71.418	-157.3610
49.400002	71.414	-157.8278
50.000000	71.407	-158.1606
50.799999	71.402	-158.5237
51.500000	71.403	-158.8036
52.200001	71.409	-159.0820
53.000000	71.415	-159.4012
53.799999	71.421	-159.6991
54.500000	71.429	-159.9585
55.200001	71.435	-160.2378
56.000000	71.434	-160.5416
57.000000	71.432	-160.8462
58.000000	71.433	-161.1392
59.000000	71.431	-161.4164
60.000000	71.432	-161.6623
60.799999	71.435	-161.8836
61.500000	71.437	-162.1006
62.200001	71.435	-162.3300
63.000000	71.428	-162.5982
64.000000	71.410	-162.9181
65.000000	71.384	-163.1901
66.000000	71.348	-163.3841
67.000000	71.308	-163.4594
68.000000	71.274	-163.4019
69.000000	71.256	-163.2622
70.000000	71.257	-163.1286
71.000000	71.271	-163.0682
72.000000	71.291	-163.0892
73.000000	71.311	-163.1893
74.000000	71.327	-163.3431
75.000000	71.338	-163.5022
76.199997	71.346	-163.6686
77.500000	71.354	-163.7867
78.800003	71.365	-163.8756
80.000000	71.377	-163.9414
81.199997	71.395	-164.0189
82.500000	71.415	-164.1387
83.800003	71.437	-164.2975
85.000000	71.455	-164.4757
86.199997	71.470	-164.6652
87.500000	71.484	-164.8598
88.500000	71.495	-165.0086
90.000000	71.509	-165.2274
91.199997	71.520	-165.3962
92.500000	71.528	-165.5609
93.800003	71.535	-165.6910
95.000000	71.541	-165.7986
96.199997	71.546	-165.9135
97.500000	71.547	-166.0464
98.800003	71.545	-166.1909
100.000000	71.540	-166.3209
101.500000	71.535	-166.4408
103.000000	71.535	-166.5480
104.400002	71.535	-166.6578
106.000000	71.530	-166.7760
107.500000	71.522	-166.8743
109.000000	71.513	-166.9819
110.599998	71.500	-167.0988
112.000000	71.485	-167.1694
113.800003	71.464	-167.1851
115.000000	71.449	-167.1511
117.199997	71.420	-167.0464
118.000000	71.410	-166.9836
120.599998	71.414	-166.7207
122.000000	71.438	-166.7046
124.099998	71.463	-166.7523
125.000000	71.472	-166.7503
126.500000	71.488	-166.7356
128.000000	71.502	-166.7280
131.500000	71.523	-166.7919
132.000000	71.525	-166.8046
134.000000	71.526	-166.8227
136.000000	71.530	-166.7556
138.000000	71.545	-166.6899
140.000000	71.563	-166.6772
143.000000	71.592	-166.6908
145.000000	71.616	-166.6816
147.500000	71.642	-166.6368
150.000000	71.659	-166.5947
152.500000	71.673	-166.6211
155.000000	71.691	-166.6742
157.500000	71.714	-166.6788
160.000000	71.733	-166.6149
162.500000	71.752	-166.6024
165.000000	71.769	-166.6933
167.500000	71.791	-166.7793
170.000000	71.817	-166.8205
172.500000	71.842	-166.8368
175.000000	71.864	-166.8653
177.500000	71.882	-166.9153
180.000000	71.898	-166.9648
182.500000	71.915	-167.0208
185.000000	71.934	-167.0814
187.500000	71.948	-167.1505
190.000000	71.955	-167.2075
192.500000	71.966	-167.2752
195.000000	71.978	-167.3589
197.500000	71.989	-167.4379
200.000000	71.999	-167.5260
203.000000	72.005	-167.6364
206.000000	72.011	-167.7081
209.000000	72.013	-167.7644
212.000000	72.004	-167.8117
214.000000	71.996	-167.8362
218.000000	71.985	-167.8728
220.000000	71.981	-167.8639
224.000000	71.978	-167.7875
227.000000	71.976	-167.7091
230.000000	71.975	-167.6198
233.000000	71.976	-167.5167
236.000000	71.980	-167.4059
240.000000	71.993	-167.2537
243.000000	72.004	-167.1204
247.000000	72.018	-166.8937
250.000000	72.033	-166.7259
254.000000	72.066	-166.5722
