* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 11:50:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.381	-31.5930
20.299999	80.143	-34.0247
20.600000	79.846	-33.8242
20.900000	79.778	-31.5391
21.200001	80.163	-28.9784
21.400000	80.586	-28.2537
21.799999	81.540	-29.8391
22.000000	81.941	-32.1163
22.400000	82.444	-38.5140
22.700001	82.569	-43.8066
23.000000	82.523	-48.7589
23.299999	82.365	-53.0895
23.600000	82.141	-56.7001
24.000000	81.799	-60.3132
24.299999	81.553	-62.0474
24.700001	81.317	-63.0201
25.000000	81.284	-62.9924
25.400000	81.495	-62.7606
25.799999	81.905	-63.4988
26.200001	82.290	-65.7574
26.500000	82.445	-68.0499
26.900000	82.426	-70.8239
27.200001	82.299	-71.9167
27.600000	82.147	-71.6617
28.000000	82.234	-70.2573
28.500000	82.727	-69.3567
29.000000	83.299	-71.2018
29.500000	83.651	-75.1499
30.000000	83.750	-79.5430
30.400000	83.728	-82.8037
30.700001	83.690	-85.1252
31.100000	83.626	-88.2037
31.500000	83.536	-91.2899
32.000000	83.376	-94.9498
32.500000	83.189	-98.1484
33.000000	82.997	-100.8689
33.500000	82.777	-102.9916
34.000000	82.532	-103.9108
34.500000	82.409	-103.2368
35.000000	82.592	-101.8354
35.500000	83.038	-101.5605
36.000000	83.460	-103.3787
36.500000	83.629	-106.4998
37.000000	83.516	-109.2205
37.500000	83.264	-110.5303
38.200001	83.010	-110.6656
38.700001	82.952	-110.7433
39.500000	82.888	-111.4601
40.000000	82.868	-111.8535
40.599998	82.955	-112.4243
41.200001	83.153	-113.9752
41.799999	83.301	-116.9465
42.500000	83.177	-121.0803
43.099998	82.815	-123.1013
43.700001	82.494	-122.7366
44.400002	82.522	-121.1937
45.000000	82.761	-121.2444
45.500000	82.868	-122.3442
46.200001	82.773	-123.7769
46.799999	82.595	-123.8842
47.500000	82.457	-123.1976
48.200001	82.406	-122.4917
48.700001	82.407	-122.1630
49.400002	82.453	-122.2303
50.000000	82.485	-123.0836
50.799999	82.382	-124.9600
51.500000	82.157	-126.0348
52.200001	82.002	-126.0280
53.000000	82.094	-125.9493
53.799999	82.324	-127.1206
54.500000	82.474	-128.7689
55.200001	82.571	-130.2689
56.000000	82.659	-131.5673
57.000000	82.737	-132.5140
58.000000	82.842	-132.5508
59.000000	83.035	-132.8199
60.000000	83.093	-134.0767
60.799999	83.000	-134.8802
61.500000	82.904	-135.3990
62.200001	82.794	-136.0463
63.000000	82.632	-136.7659
64.000000	82.443	-137.4409
65.000000	82.284	-138.0423
66.000000	82.157	-138.0707
67.000000	82.173	-137.6053
68.000000	82.272	-137.5339
69.000000	82.317	-137.4974
70.000000	82.361	-137.0904
71.000000	82.418	-136.7841
72.000000	82.444	-136.6320
73.000000	82.452	-136.2689
74.000000	82.564	-135.7721
75.000000	82.756	-136.1014
76.199997	82.920	-137.2502
77.500000	82.999	-138.3214
78.800003	83.130	-138.5880
80.000000	83.279	-139.4724
81.199997	83.322	-140.3836
82.500000	83.348	-141.4638
83.800003	83.315	-142.5994
85.000000	83.295	-143.5110
86.199997	83.314	-144.2393
87.500000	83.410	-145.0322
88.500000	83.482	-145.7061
90.000000	83.587	-146.5883
91.199997	83.601	-147.5196
92.500000	83.541	-148.2780
93.800003	83.451	-149.3658
95.000000	83.288	-150.2391
96.199997	83.178	-150.9385
97.500000	83.050	-151.8290
98.800003	82.940	-152.0146
100.000000	82.869	-152.0822
101.500000	82.713	-151.3268
103.000000	82.663	-149.9058
104.400002	82.701	-148.8849
106.000000	82.839	-148.4614
107.500000	82.956	-148.8573
109.000000	83.016	-149.1837
110.599998	83.068	-149.1425
112.000000	83.072	-149.2422
113.800003	82.950	-148.9280
115.000000	82.934	-148.4259
117.199997	83.075	-149.0126
118.000000	83.097	-149.6923
120.599998	82.982	-150.7808
122.000000	82.972	-150.4169
124.099998	83.045	-150.2664
125.000000	83.074	-150.3969
126.500000	83.118	-150.7531
128.000000	83.160	-151.0959
131.500000	83.334	-151.1752
132.000000	83.359	-151.2189
134.000000	83.400	-151.3751
136.000000	83.436	-151.1109
138.000000	83.578	-151.2134
140.000000	83.674	-151.9384
143.000000	83.708	-152.3055
145.000000	83.801	-152.4085
147.500000	83.910	-153.3514
150.000000	83.895	-153.8415
152.500000	83.879	-153.6340
155.000000	83.882	-154.1522
157.500000	83.872	-155.0615
160.000000	83.957	-155.6949
162.500000	84.029	-156.4332
165.000000	83.990	-157.1690
167.500000	83.905	-157.7734
170.000000	83.847	-158.2028
172.500000	83.793	-158.3988
175.000000	83.733	-158.0922
177.500000	83.731	-157.4209
180.000000	83.767	-156.8209
182.500000	83.820	-156.3640
185.000000	83.902	-156.4921
187.500000	83.954	-157.2265
190.000000	83.984	-158.0254
192.500000	84.028	-158.6350
195.000000	84.095	-159.1228
197.500000	84.158	-159.3826
200.000000	84.202	-159.2598
203.000000	84.210	-159.0346
206.000000	84.184	-159.3253
209.000000	84.185	-159.9687
212.000000	84.221	-160.2565
214.000000	84.238	-160.2125
218.000000	84.252	-160.3985
220.000000	84.271	-160.6479
224.000000	84.318	-160.9644
227.000000	84.342	-161.0959
230.000000	84.345	-161.2552
233.000000	84.355	-161.4596
236.000000	84.365	-161.7174
240.000000	84.402	-162.1453
243.000000	84.412	-162.3768
247.000000	84.447	-162.6610
250.000000	84.444	-162.7871
254.000000	84.480	-162.7852
258.000000	84.489	-163.1777
262.000000	84.506	-163.2678
265.000000	84.537	-163.4652
269.000000	84.535	-163.6198
272.000000	84.557	-163.5697
276.000000	84.618	-163.7918
280.000000	84.647	-164.2191
285.000000	84.650	-164.5854
290.000000	84.677	-164.8051
295.000000	84.726	-165.1920
300.000000	84.767	-165.6754
304.000000	84.783	-166.0052
307.000000	84.787	-166.2000
311.000000	84.790	-166.4482
315.000000	84.799	-166.7374
320.000000	84.816	-167.1532
325.000000	84.819	-167.5918
330.000000	84.817	-168.0474
335.000000	84.815	-168.4443
340.000000	84.795	-168.7073
345.000000	84.759	-168.9652
350.000000	84.725	-169.2772
355.000000	84.711	-169.5803
360.000000	84.701	-169.7751
365.000000	84.682	-169.9777
370.000000	84.661	-170.1935
375.000000	84.632	-170.3419
382.000000	84.592	-170.5107
387.000000	84.571	-170.6159
395.000000	84.542	-170.7546
400.000000	84.519	-170.8544
406.000000	84.489	-170.9526
412.000000	84.461	-171.0128
418.000000	84.438	-171.0291
425.000000	84.425	-170.9797
431.000000	84.425	-170.8940
437.000000	84.435	-170.8677
444.000000	84.454	-171.0343
450.000000	84.459	-171.3305
455.000000	84.446	-171.6165
462.000000	84.410	-171.9689
468.000000	84.367	-172.2127
475.000000	84.308	-172.4167
482.000000	84.243	-172.5216
487.000000	84.192	-172.5561
494.000000	84.109	-172.5677
500.000000	84.026	-172.4890
508.000000	83.912	-172.1655
515.000000	83.825	-171.6937
522.000000	83.750	-171.0895
530.000000	83.679	-170.2858
538.000000	83.634	-169.3837
545.000000	83.620	-168.5234
552.000000	83.632	-167.6262
560.000000	83.676	-166.6121
570.000000	83.776	-165.4448
580.000000	83.916	-164.4542
590.000000	84.081	-163.7181
600.000000	84.261	-163.2891
608.000000	84.409	-163.1525
615.000000	84.537	-163.1401
622.000000	84.663	-163.2214
630.000000	84.801	-163.4425
640.000000	84.961	-163.9210
650.000000	85.103	-164.6289
660.000000	85.220	-165.5326
670.000000	85.304	-166.5890
680.000000	85.351	-167.7704
690.000000	85.348	-169.0525
700.000000	85.286	-170.3701
710.000000	85.160	-171.5895
720.000000	84.970	-172.5202
730.000000	84.729	-172.9691
740.000000	84.470	-172.8002
750.000000	84.241	-172.0921
762.000000	84.027	-170.9020
775.000000	83.845	-169.2349
788.000000	83.752	-167.0897
800.000000	83.780	-165.0583
812.000000	83.892	-163.3256
825.000000	84.061	-161.8859
838.000000	84.246	-160.8148
850.000000	84.426	-160.0695
862.000000	84.610	-159.5589
875.000000	84.805	-159.2615
885.000000	84.944	-159.1754
900.000000	85.129	-159.2062
912.000000	85.257	-159.3116
925.000000	85.379	-159.4366
938.000000	85.500	-159.5176
950.000000	85.626	-159.6070
962.000000	85.762	-159.8459
975.000000	85.900	-160.3599
988.000000	86.002	-161.0552
1000.000000	86.062	-161.6824
1015.000000	86.120	-162.3145
1030.000000	86.189	-162.8733
1044.000000	86.268	-163.5295
1060.000000	86.348	-164.6529
1075.000000	86.367	-166.1027
1090.000000	86.292	-167.7371
1106.000000	86.092	-169.2490
1120.000000	85.836	-170.0483
1138.000000	85.448	-170.1438
1150.000000	85.181	-169.5898
1172.000000	84.756	-167.3400
1180.000000	84.642	-166.1825
1206.000000	84.505	-161.7894
1220.000000	84.579	-159.4901
1241.000000	84.809	-156.6174
1250.000000	84.933	-155.6059
1265.000000	85.164	-154.2007
1280.000000	85.411	-153.1438
1315.000000	85.979	-151.7776
1320.000000	86.056	-151.6714
1340.000000	86.350	-151.3871
1360.000000	86.632	-151.2722
1380.000000	86.912	-151.3138
1400.000000	87.193	-151.5596
1430.000000	87.604	-152.4095
1450.000000	87.860	-153.3183
1475.000000	88.145	-154.8510
1500.000000	88.371	-156.8098
1525.000000	88.516	-159.1582
1550.000000	88.551	-161.8325
1575.000000	88.433	-164.6281
1600.000000	88.125	-167.0579
1625.000000	87.630	-168.3185
1650.000000	87.055	-167.6607
1675.000000	86.588	-165.1187
1700.000000	86.363	-161.6801
1725.000000	86.342	-158.3510
1750.000000	86.419	-155.2674
1775.000000	86.594	-152.1212
1800.000000	86.921	-149.1231
1825.000000	87.379	-146.8545
1850.000000	87.879	-145.5679
1875.000000	88.358	-145.1102
1900.000000	88.791	-145.2266
1925.000000	89.172	-145.7356
1950.000000	89.497	-146.5121
1975.000000	89.761	-147.4249
2000.000000	89.961	-148.2965
2030.000000	90.139	-148.9630
2060.000000	90.324	-148.9977
2090.000000	90.599	-148.6917
2120.000000	90.967	-148.6250
2140.000000	91.237	-148.8811
2180.000000	91.770	-150.0753
2200.000000	92.023	-150.9395
2240.000000	92.493	-153.1058
2270.000000	92.808	-155.0681
2300.000000	93.085	-157.2751
2330.000000	93.323	-159.7088
2360.000000	93.515	-162.3973
2400.000000	93.668	-166.3854
2430.000000	93.680	-169.5798
2470.000000	93.515	-173.9182
2500.000000	93.200	-176.8325
2540.000000	92.495	-178.7115
2580.000000	91.734	-176.4073
2620.000000	91.534	-171.0522
2650.000000	91.865	-167.4731
2690.000000	92.598	-165.2296
2720.000000	93.158	-165.3531
2760.000000	93.794	-167.1500
2800.000000	94.265	-170.0288
2850.000000	94.622	-174.1848
2900.000000	94.761	-177.9883
2950.000000	94.850	179.2497
3000.000000	95.043	176.5481
3040.000000	95.184	173.6983
3070.000000	95.223	171.3359
3110.000000	95.189	168.3663
3150.000000	95.116	165.8886
3200.000000	95.070	163.1256
3250.000000	95.061	160.0608
3300.000000	95.030	156.5609
3350.000000	94.967	152.5494
3400.000000	94.825	147.5079
3450.000000	94.413	141.3883
3500.000000	93.530	135.9604
3550.000000	92.209	134.4412
3600.000000	90.984	138.0724
3650.000000	90.497	143.3018
3700.000000	90.561	146.0541
3750.000000	90.609	145.8488
3820.000000	90.146	143.9600
3870.000000	89.384	144.9210
3950.000000	88.623	154.9164
4000.000000	89.202	160.8568
4060.000000	90.143	162.1254
4120.000000	90.616	159.0689
4180.000000	90.511	155.9054
4250.000000	90.044	155.9728
4310.000000	89.946	158.9695
4370.000000	90.339	161.4100
4440.000000	90.950	160.8918
4500.000000	91.223	158.4149
4550.000000	91.242	156.4397
4620.000000	91.160	154.9311
4680.000000	91.141	154.3901
4750.000000	91.228	153.8805
4820.000000	91.400	152.7148
4870.000000	91.497	151.2941
4940.000000	91.530	149.0427
5000.000000	91.505	147.2729
5080.000000	91.456	144.8945
5150.000000	91.354	142.6049
5220.000000	91.158	140.5202
5300.000000	90.895	138.8826
5380.000000	90.683	137.6811
5450.000000	90.543	136.6117
5520.000000	90.418	135.3320
5600.000000	90.249	133.6697
5700.000000	90.006	131.7333
5800.000000	89.796	129.6685
