* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 3:43:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Borealis L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.193	89.9647
20.299999	84.322	89.3144
20.600000	84.444	88.6744
20.900000	84.561	88.0589
21.200001	84.675	87.4719
21.400000	84.752	87.0911
21.799999	84.905	86.3390
22.000000	84.981	85.9603
22.400000	85.132	85.1884
22.700001	85.241	84.6010
23.000000	85.346	84.0165
23.299999	85.449	83.4432
23.600000	85.549	82.8835
24.000000	85.680	82.1559
24.299999	85.777	81.6187
24.700001	85.905	80.9099
25.000000	85.998	80.3859
25.400000	86.121	79.7023
25.799999	86.241	79.0359
26.200001	86.361	78.3756
26.500000	86.450	77.8766
26.900000	86.565	77.2049
27.200001	86.647	76.7043
27.600000	86.752	76.0578
28.000000	86.855	75.4469
28.500000	86.986	74.7154
29.000000	87.122	73.9633
29.500000	87.254	73.1536
30.000000	87.374	72.3113
30.400000	87.461	71.6545
30.700001	87.523	71.1856
31.100000	87.604	70.5909
31.500000	87.686	70.0161
32.000000	87.789	69.3013
32.500000	87.889	68.5866
33.000000	87.986	67.8860
33.500000	88.082	67.2042
34.000000	88.178	66.5246
34.500000	88.272	65.8322
35.000000	88.361	65.1353
35.500000	88.446	64.4588
36.000000	88.530	63.8133
36.500000	88.616	63.1794
37.000000	88.704	62.5233
37.500000	88.788	61.8342
38.200001	88.891	60.8695
38.700001	88.958	60.2281
39.500000	89.069	59.2614
40.000000	89.141	58.6350
40.599998	89.219	57.8477
41.200001	89.284	57.0818
41.799999	89.344	56.3815
42.500000	89.417	55.6144
43.099998	89.481	54.9516
43.700001	89.542	54.2858
44.400002	89.609	53.5312
45.000000	89.667	52.9013
45.500000	89.716	52.3761
46.200001	89.784	51.6328
46.799999	89.840	50.9946
47.500000	89.901	50.2712
48.200001	89.963	49.5781
48.700001	90.009	49.0802
49.400002	90.072	48.3427
50.000000	90.117	47.6900
50.799999	90.162	46.8752
51.500000	90.199	46.2295
52.200001	90.236	45.5955
53.000000	90.273	44.8760
53.799999	90.306	44.1936
54.500000	90.335	43.6046
55.200001	90.361	43.0045
56.000000	90.382	42.3397
57.000000	90.405	41.6011
58.000000	90.438	40.9590
59.000000	90.485	40.3104
60.000000	90.531	39.5967
60.799999	90.562	39.0335
61.500000	90.589	38.5605
62.200001	90.618	38.0849
63.000000	90.650	37.5182
64.000000	90.683	36.7864
65.000000	90.711	36.0698
66.000000	90.738	35.3644
67.000000	90.762	34.6447
68.000000	90.779	33.9399
69.000000	90.791	33.2720
70.000000	90.799	32.6396
71.000000	90.802	32.0434
72.000000	90.800	31.4827
73.000000	90.795	30.9568
74.000000	90.789	30.4489
75.000000	90.778	29.9586
76.199997	90.762	29.4184
77.500000	90.748	28.8872
78.800003	90.741	28.3901
80.000000	90.737	27.9200
81.199997	90.729	27.4561
82.500000	90.715	27.0112
83.800003	90.705	26.6371
85.000000	90.702	26.3221
86.199997	90.703	26.0100
87.500000	90.707	25.6551
88.500000	90.710	25.3697
90.000000	90.710	24.9276
91.199997	90.707	24.5757
92.500000	90.704	24.1954
93.800003	90.699	23.8192
95.000000	90.692	23.4993
96.199997	90.685	23.2007
97.500000	90.677	22.9030
98.800003	90.668	22.6313
100.000000	90.659	22.3862
101.500000	90.645	22.0925
103.000000	90.632	21.8167
104.400002	90.621	21.5717
106.000000	90.613	21.3012
107.500000	90.606	21.0496
109.000000	90.600	20.7947
110.599998	90.593	20.5139
112.000000	90.587	20.2614
113.800003	90.578	19.9414
115.000000	90.570	19.7456
117.199997	90.553	19.4554
118.000000	90.546	19.3668
120.599998	90.518	19.1191
122.000000	90.500	19.0276
124.099998	90.482	18.9223
125.000000	90.478	18.8804
