* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 3:10:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Borealis R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.694	88.7042
20.299999	83.823	88.0951
20.600000	83.950	87.4470
20.900000	84.071	86.7665
21.200001	84.183	86.0759
21.400000	84.253	85.6249
21.799999	84.389	84.7600
22.000000	84.456	84.3480
22.400000	84.591	83.5520
22.700001	84.694	82.9589
23.000000	84.797	82.3546
23.299999	84.898	81.7413
23.600000	84.995	81.1319
24.000000	85.118	80.3504
24.299999	85.209	79.8002
24.700001	85.332	79.1074
25.000000	85.427	78.5972
25.400000	85.556	77.8979
25.799999	85.681	77.1619
26.200001	85.795	76.4130
26.500000	85.872	75.8730
26.900000	85.969	75.2146
27.200001	86.041	74.7726
27.600000	86.142	74.2308
28.000000	86.251	73.6903
28.500000	86.394	72.9407
29.000000	86.528	72.0900
29.500000	86.645	71.1976
30.000000	86.746	70.3456
30.400000	86.821	69.7158
30.700001	86.878	69.2672
31.100000	86.955	68.6828
31.500000	87.032	68.1010
32.000000	87.125	67.3776
32.500000	87.216	66.6731
33.000000	87.307	65.9895
33.500000	87.399	65.3035
34.000000	87.489	64.5893
34.500000	87.571	63.8516
35.000000	87.641	63.1274
35.500000	87.701	62.4649
36.000000	87.758	61.8896
36.500000	87.822	61.3857
37.000000	87.897	60.8941
37.500000	87.980	60.3443
38.200001	88.089	59.4171
38.700001	88.148	58.6997
39.500000	88.209	57.6963
40.000000	88.246	57.2125
40.599998	88.304	56.7072
41.200001	88.374	56.1803
41.799999	88.445	55.6050
42.500000	88.521	54.9238
43.099998	88.583	54.3691
43.700001	88.647	53.8324
44.400002	88.724	53.1958
45.000000	88.787	52.6317
45.500000	88.836	52.1638
46.200001	88.900	51.5383
46.799999	88.956	51.0277
47.500000	89.023	50.4348
48.200001	89.091	49.8323
48.700001	89.138	49.3918
49.400002	89.203	48.7445
50.000000	89.250	48.1664
50.799999	89.300	47.4330
51.500000	89.342	46.8584
52.200001	89.388	46.2898
53.000000	89.436	45.6090
53.799999	89.476	44.9567
54.500000	89.512	44.4267
55.200001	89.550	43.9067
56.000000	89.595	43.3169
57.000000	89.654	42.5821
58.000000	89.710	41.8379
59.000000	89.763	41.0882
60.000000	89.806	40.3419
60.799999	89.835	39.7765
61.500000	89.859	39.2859
62.200001	89.878	38.7924
63.000000	89.894	38.2682
64.000000	89.918	37.6685
65.000000	89.945	37.0165
66.000000	89.960	36.3471
67.000000	89.969	35.7593
68.000000	89.985	35.2094
69.000000	90.002	34.6367
70.000000	90.012	34.0697
71.000000	90.016	33.5433
72.000000	90.019	33.0547
73.000000	90.019	32.5914
74.000000	90.018	32.1578
75.000000	90.017	31.7487
76.199997	90.016	31.2754
77.500000	90.018	30.7665
78.800003	90.014	30.2633
80.000000	90.007	29.8940
81.199997	90.011	29.5922
82.500000	90.022	29.2660
83.800003	90.034	28.9264
85.000000	90.043	28.6060
86.199997	90.050	28.2866
87.500000	90.057	27.9449
88.500000	90.065	27.6809
90.000000	90.080	27.2631
91.199997	90.090	26.9001
92.500000	90.091	26.5382
93.800003	90.092	26.2411
95.000000	90.095	25.9744
96.199997	90.098	25.6935
97.500000	90.099	25.3992
98.800003	90.102	25.1176
100.000000	90.107	24.8574
101.500000	90.112	24.5364
103.000000	90.109	24.2249
104.400002	90.098	24.0164
106.000000	90.096	23.8371
107.500000	90.102	23.6205
109.000000	90.105	23.3790
110.599998	90.109	23.1556
112.000000	90.113	22.9572
113.800003	90.113	22.7357
115.000000	90.115	22.6079
117.199997	90.120	22.3457
118.000000	90.122	22.2507
120.599998	90.132	21.9697
122.000000	90.139	21.8259
124.099998	90.146	21.6302
125.000000	90.148	21.5551
126.500000	90.154	21.4399
128.000000	90.163	21.3182
131.500000	90.179	21.0411
132.000000	90.181	21.0082
134.000000	90.189	20.8987
136.000000	90.202	20.8109
138.000000	90.227	20.7185
140.000000	90.262	20.5739
143.000000	90.319	20.2675
145.000000	90.359	19.9839
147.500000	90.397	19.4919
150.000000	90.410	18.9072
152.500000	90.400	18.3575
155.000000	90.385	17.8907
157.500000	90.358	17.4913
160.000000	90.316	17.1810
162.500000	90.270	16.9415
165.000000	90.226	16.7591
167.500000	90.191	16.6354
170.000000	90.162	16.5399
172.500000	90.132	16.4863
175.000000	90.104	16.4701
177.500000	90.080	16.4559
180.000000	90.059	16.4524
182.500000	90.042	16.4724
185.000000	90.027	16.5004
187.500000	90.013	16.5455
190.000000	90.002	16.5958
192.500000	89.993	16.6379
195.000000	89.984	16.6707
197.500000	89.977	16.6996
200.000000	89.969	16.7376
203.000000	89.958	16.7898
206.000000	89.948	16.8257
209.000000	89.941	16.8422
212.000000	89.931	16.8572
214.000000	89.923	16.8885
218.000000	89.908	17.0325
220.000000	89.905	17.1172
224.000000	89.899	17.2673
227.000000	89.895	17.3617
230.000000	89.893	17.4327
233.000000	89.891	17.4840
236.000000	89.886	17.5363
240.000000	89.875	17.6384
243.000000	89.868	17.7296
247.000000	89.858	17.8486
250.000000	89.849	17.9461
254.000000	89.830	18.1174
258.000000	89.812	18.3536
262.000000	89.805	18.6441
265.000000	89.805	18.8904
269.000000	89.812	19.1957
272.000000	89.822	19.3860
276.000000	89.838	19.6030
280.000000	89.853	19.7976
285.000000	89.867	20.0446
290.000000	89.880	20.2610
295.000000	89.893	20.4944
300.000000	89.903	20.7636
304.000000	89.913	20.9697
307.000000	89.924	21.1135
311.000000	89.940	21.3143
315.000000	89.954	21.5287
320.000000	89.966	21.7716
325.000000	89.982	22.0011
330.000000	89.998	22.2358
335.000000	90.011	22.4880
340.000000	90.032	22.7546
345.000000	90.058	23.0060
350.000000	90.083	23.2216
355.000000	90.105	23.4279
360.000000	90.125	23.6348
365.000000	90.145	23.8416
370.000000	90.166	24.0459
375.000000	90.186	24.2428
382.000000	90.208	24.5102
387.000000	90.219	24.7264
395.000000	90.229	25.1249
400.000000	90.242	25.4263
406.000000	90.268	25.8004
412.000000	90.296	26.1404
418.000000	90.323	26.4478
425.000000	90.347	26.8384
431.000000	90.373	27.2518
437.000000	90.411	27.6675
444.000000	90.460	28.1136
450.000000	90.505	28.4576
455.000000	90.542	28.7206
462.000000	90.597	29.0772
468.000000	90.645	29.3553
475.000000	90.698	29.6613
482.000000	90.748	29.9545
487.000000	90.781	30.1557
494.000000	90.822	30.4653
500.000000	90.858	30.7711
508.000000	90.917	31.1924
515.000000	90.978	31.5318
522.000000	91.041	31.8404
530.000000	91.113	32.1523
538.000000	91.180	32.4194
545.000000	91.235	32.6563
552.000000	91.291	32.8981
560.000000	91.356	33.1652
570.000000	91.437	33.4914
580.000000	91.519	33.7976
590.000000	91.597	34.0794
600.000000	91.673	34.3724
608.000000	91.732	34.6027
615.000000	91.782	34.8172
622.000000	91.835	35.0552
630.000000	91.901	35.3222
640.000000	91.985	35.6144
650.000000	92.066	35.8883
660.000000	92.148	36.1738
670.000000	92.233	36.4298
680.000000	92.313	36.6658
690.000000	92.386	36.9256
700.000000	92.461	37.2557
710.000000	92.549	37.6353
720.000000	92.655	37.9848
730.000000	92.768	38.2188
740.000000	92.872	38.3745
750.000000	92.968	38.5465
762.000000	93.086	38.7905
775.000000	93.229	39.0478
788.000000	93.384	39.1985
800.000000	93.524	39.2349
812.000000	93.658	39.1970
825.000000	93.790	39.1405
838.000000	93.925	39.1222
850.000000	94.057	39.0610
862.000000	94.187	38.9266
875.000000	94.326	38.7301
885.000000	94.432	38.5461
900.000000	94.591	38.1822
912.000000	94.713	37.8006
925.000000	94.830	37.2878
