* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 7:55:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.383	-87.6440
20.299999	79.543	-88.6597
20.600000	79.700	-89.6862
20.900000	79.851	-90.7222
21.200001	79.996	-91.7616
21.400000	80.088	-92.4513
21.799999	80.265	-93.8121
22.000000	80.350	-94.4780
22.400000	80.513	-95.7722
22.700001	80.634	-96.7100
23.000000	80.756	-97.6283
23.299999	80.879	-98.5461
23.600000	81.005	-99.4838
24.000000	81.171	-100.7916
24.299999	81.290	-101.8196
24.700001	81.436	-103.2277
25.000000	81.535	-104.2763
25.400000	81.657	-105.6193
25.799999	81.776	-106.8798
26.200001	81.902	-108.0856
26.500000	82.002	-108.9889
26.900000	82.141	-110.2296
27.200001	82.244	-111.1982
27.600000	82.377	-112.5319
28.000000	82.502	-113.8853
28.500000	82.647	-115.5657
29.000000	82.784	-117.2175
29.500000	82.917	-118.8514
30.000000	83.045	-120.4893
30.400000	83.144	-121.8166
30.700001	83.213	-122.8256
31.100000	83.299	-124.1838
31.500000	83.375	-125.5437
32.000000	83.460	-127.2266
32.500000	83.536	-128.8962
33.000000	83.605	-130.5925
33.500000	83.660	-132.3470
34.000000	83.690	-134.1433
34.500000	83.687	-135.9128
35.000000	83.648	-137.5591
35.500000	83.577	-138.9399
36.000000	83.491	-139.8912
36.500000	83.431	-140.3306
37.000000	83.455	-140.4127
37.500000	83.587	-140.5293
38.200001	83.897	-141.5334
38.700001	84.126	-143.0350
39.500000	84.398	-146.3142
40.000000	84.509	-148.6228
40.599998	84.592	-151.5792
41.200001	84.613	-154.7386
41.799999	84.555	-157.9825
42.500000	84.390	-161.6396
43.099998	84.184	-164.5646
43.700001	83.924	-167.2987
44.400002	83.551	-170.2139
45.000000	83.165	-172.3672
45.500000	82.800	-173.8060
46.200001	82.240	-175.1129
46.799999	81.748	-175.5065
47.500000	81.200	-175.2552
48.200001	80.683	-174.4064
48.700001	80.319	-173.3156
49.400002	79.855	-170.7391
50.000000	79.605	-167.5957
50.799999	79.612	-163.1447
51.500000	79.876	-160.1149
52.200001	80.252	-158.2371
53.000000	80.725	-157.4042
53.799999	81.169	-157.8618
54.500000	81.479	-159.0692
55.200001	81.705	-160.6786
56.000000	81.874	-162.7369
57.000000	81.979	-165.3829
58.000000	82.025	-167.9227
59.000000	82.055	-170.7744
60.000000	81.992	-174.1987
60.799999	81.839	-177.0269
61.500000	81.640	-179.4567
62.200001	81.370	178.1594
63.000000	80.951	175.6743
64.000000	80.251	173.4951
65.000000	79.411	172.9373
66.000000	78.531	174.2073
67.000000	77.701	177.3214
68.000000	77.048	-177.8702
69.000000	76.704	-172.2248
70.000000	76.668	-166.7875
71.000000	76.841	-162.1472
72.000000	77.123	-158.3719
73.000000	77.470	-155.2745
74.000000	77.870	-152.7457
75.000000	78.321	-150.7999
76.199997	78.904	-149.4366
77.500000	79.505	-149.3001
78.800003	79.969	-150.2931
80.000000	80.232	-151.4241
81.199997	80.402	-151.9951
82.500000	80.626	-151.8846
83.800003	80.961	-151.7462
85.000000	81.330	-152.1251
86.199997	81.699	-153.0818
87.500000	82.073	-154.6310
88.500000	82.336	-156.1526
90.000000	82.675	-158.9225
91.199997	82.891	-161.5898
92.500000	83.031	-164.9556
93.800003	83.038	-168.5373
95.000000	82.934	-171.7443
96.199997	82.733	-174.7291
97.500000	82.398	-177.4911
98.800003	81.946	-179.3308
100.000000	81.479	-179.8610
101.500000	80.955	-179.1407
103.000000	80.569	-177.5991
104.400002	80.330	-175.8235
106.000000	80.201	-173.5428
107.500000	80.233	-171.2997
109.000000	80.406	-169.3297
110.599998	80.674	-167.9912
112.000000	80.917	-167.5823
113.800003	81.214	-168.0093
115.000000	81.406	-168.7805
117.199997	81.752	-170.8122
118.000000	81.867	-171.7117
120.599998	81.927	-174.9042
122.000000	81.743	-175.5759
124.099998	81.464	-175.5059
125.000000	81.367	-175.3237
126.500000	81.278	-174.8338
128.000000	81.312	-174.2768
131.500000	81.643	-173.8334
132.000000	81.689	-173.8857
134.000000	81.850	-174.3721
136.000000	81.988	-175.3387
138.000000	82.111	-176.6190
140.000000	82.211	-177.9214
143.000000	82.303	179.9486
145.000000	82.316	178.3011
147.500000	82.314	176.0898
150.000000	82.273	173.9667
152.500000	82.168	172.0860
155.000000	82.000	170.2980
157.500000	81.800	168.6641
160.000000	81.593	167.3281
162.500000	81.373	166.2000
165.000000	81.130	165.1649
167.500000	80.889	164.2703
170.000000	80.665	163.5336
172.500000	80.431	162.9697
175.000000	80.173	162.5797
177.500000	79.908	162.3397
180.000000	79.645	162.2699
182.500000	79.382	162.4973
185.000000	79.131	162.9975
187.500000	78.893	163.6430
190.000000	78.674	164.4854
192.500000	78.500	165.4905
195.000000	78.370	166.5022
197.500000	78.267	167.4793
200.000000	78.189	168.3551
203.000000	78.115	169.2109
206.000000	78.050	169.8960
209.000000	77.979	170.4257
212.000000	77.887	170.8687
214.000000	77.813	171.1976
218.000000	77.647	172.0331
220.000000	77.554	172.5533
224.000000	77.362	173.8491
227.000000	77.222	175.1447
230.000000	77.110	176.8735
233.000000	77.076	179.0056
236.000000	77.173	-178.8541
240.000000	77.460	-176.9749
243.000000	77.664	-176.5668
247.000000	77.809	-176.6041
250.000000	77.858	-176.4899
254.000000	77.922	-176.0370
258.000000	78.010	-175.5753
262.000000	78.103	-175.2726
265.000000	78.167	-175.1013
269.000000	78.245	-174.9122
272.000000	78.300	-174.8020
276.000000	78.369	-174.6894
280.000000	78.427	-174.6345
285.000000	78.485	-174.6568
290.000000	78.535	-174.6795
295.000000	78.580	-174.6473
300.000000	78.621	-174.5786
304.000000	78.652	-174.5518
307.000000	78.675	-174.5426
311.000000	78.706	-174.5486
315.000000	78.730	-174.5781
320.000000	78.756	-174.5638
325.000000	78.792	-174.5069
330.000000	78.834	-174.5368
335.000000	78.869	-174.6780
340.000000	78.891	-174.8515
345.000000	78.901	-174.9941
350.000000	78.902	-175.0982
355.000000	78.903	-175.1572
360.000000	78.902	-175.1877
365.000000	78.901	-175.2035
370.000000	78.898	-175.1926
375.000000	78.901	-175.1476
382.000000	78.918	-175.1190
387.000000	78.929	-175.1682
395.000000	78.930	-175.2594
400.000000	78.927	-175.2812
406.000000	78.923	-175.2760
412.000000	78.922	-175.2840
418.000000	78.922	-175.3228
425.000000	78.917	-175.3732
431.000000	78.906	-175.3996
437.000000	78.893	-175.3987
444.000000	78.876	-175.3629
450.000000	78.864	-175.3185
455.000000	78.855	-175.2810
462.000000	78.843	-175.2259
468.000000	78.832	-175.1788
475.000000	78.818	-175.1219
482.000000	78.804	-175.0463
487.000000	78.794	-174.9816
494.000000	78.781	-174.8922
500.000000	78.770	-174.8209
508.000000	78.754	-174.7230
515.000000	78.740	-174.6326
522.000000	78.724	-174.5343
530.000000	78.705	-174.4166
538.000000	78.687	-174.2958
545.000000	78.671	-174.1862
552.000000	78.652	-174.0646
560.000000	78.630	-173.9075
570.000000	78.602	-173.6998
580.000000	78.572	-173.4816
590.000000	78.537	-173.2170
600.000000	78.505	-172.8834
608.000000	78.484	-172.5815
615.000000	78.468	-172.3063
622.000000	78.454	-172.0278
630.000000	78.441	-171.7032
640.000000	78.430	-171.2845
650.000000	78.424	-170.8748
660.000000	78.419	-170.4625
670.000000	78.416	-170.0291
680.000000	78.418	-169.5918
690.000000	78.422	-169.1676
700.000000	78.426	-168.7289
710.000000	78.434	-168.2496
720.000000	78.452	-167.7468
730.000000	78.482	-167.2623
740.000000	78.518	-166.8260
750.000000	78.559	-166.4313
762.000000	78.613	-166.0275
775.000000	78.669	-165.6935
788.000000	78.716	-165.4319
800.000000	78.748	-165.2037
812.000000	78.771	-164.9424
825.000000	78.790	-164.5727
838.000000	78.821	-164.1042
850.000000	78.873	-163.6366
862.000000	78.948	-163.2828
875.000000	79.035	-163.1193
885.000000	79.087	-163.1112
900.000000	79.137	-163.1440
912.000000	79.163	-163.1360
925.000000	79.185	-163.0880
